#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01,  3.7133909416450422e-02, -1.2583344055108312e-02,  5.0673033734021511e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374352e-01,  2.6605921559044110e-01, -1.4394865880281391e+00,  2.4686279934360980e+00,  0.0000000000000000e+00, -3.8389036536979391e+00,  2.7901263379846895e+00,  2.8306941266539415e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371086787937736e+02,  2.2522330865743144e-02,  2.9839369363275665e+01,  3.6715383011263487e-02, -1.0951278490650848e-02,  5.0681032517070190e-01,  6.3375879156294630e+00, -5.1277563049483242e-02, -1.4999999999072670e+04,  1.0000604221615408e+01,  2.6553096150106925e+00,  4.9703141559713990e-03,  7.9342656659434734e-03,  2.8523027248234967e-02, -2.3724593495993776e-01,  2.7433066213374352e-01,  2.4688387266487699e-01, -1.4255498930332104e+00,  2.6100213064557769e+00,  0.0000000000000000e+00, -3.8389036536979391e+00,  2.7901263379846895e+00,  2.8306941266539415e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371038019756008e+02,  2.2364354351020216e-02,  2.9829005870769489e+01,  3.6200261310359312e-02, -7.8363465358392420e-03,  5.0690816697326646e-01,  1.2675179994858972e+01, -1.0199108829513071e-01, -1.4999999994192745e+04,  1.0001213545924328e+01,  2.6543367950211212e+00,  9.9454748609857316e-03,  1.0209076152849696e-02,  1.4420997297802577e-02, -2.0975927542471842e-01,  2.7433066213374352e-01,  2.1830981990294757e-01, -1.4058678095521020e+00,  2.1385056059981435e+00,  0.0000000000000000e+00, -1.8816217092403362e+00,  1.1502267749333344e+00, -1.2270438449815801e+02,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370919943675312e+02,  2.2180011367124084e-02,  2.9819345855201306e+01,  3.5532341398965737e-02, -3.3388372056663475e-03,  5.0702697634472049e-01,  1.9012774956798861e+01, -1.5214116197984323e-01, -1.4999999982139410e+04,  1.0001826113681910e+01,  2.6534012410436341e+00,  1.4928227927577314e-02,  1.2296100229438929e-02,  4.3376032411705079e-04, -1.9451855022471012e-01,  2.7433066213374352e-01,  2.0598588805621884e-01, -1.3533678657505233e+00,  1.4832681263529337e+00,  0.0000000000000000e+00, -5.8562944647474946e-01,  9.3602619741426718e+00, -8.4741589268129633e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370734429535014e+02,  2.1970487061704187e-02,  2.9810538065317463e+01,  3.4610462886475249e-02,  2.3913187398774786e-03,  5.0715650428085479e-01,  2.5350370739303276e+01, -2.0172837297782237e-01, -1.4999999959622732e+04,  1.0002438974528914e+01,  2.6525157450908394e+00,  1.9921089832646587e-02,  1.4324678311815107e-02, -1.2619319700209875e-02, -1.8012354862446001e-01,  2.7433066213374352e-01,  1.9030900204450724e-01, -1.2534853739622680e+00,  1.2812128492925721e+00,  0.0000000000000000e+00, -2.5528831330699044e+00,  1.0636212881865958e+01, -3.1977307540671394e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370486120956514e+02,  2.1733668478161827e-02,  2.9802703505498719e+01,  3.3403260863787851e-02,  9.1784368806557947e-03,  5.0731053273024262e-01,  3.1687964637175870e+01, -2.5075329653976647e-01, -1.4999999923421830e+04,  1.0003048141753730e+01,  2.6516913961671835e+00,  2.4926279675127005e-02,  1.6098477892665847e-02, -2.4610902492311886e-02, -1.6891989189718620e-01,  2.7433066213374352e-01,  1.5206350786402811e-01, -1.1518177853223974e+00,  5.1395440632142597e-01,  0.0000000000000000e+00, -5.1038648018620334e+00,  9.7176383638362580e+00, -1.2162783274215214e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370182136140204e+02,  2.1465722584774308e-02,  2.9795937476696459e+01,  3.1903725320003296e-02,  1.6844739493877950e-02,  5.0750623120483140e-01,  3.8025553472424086e+01, -2.9921649921321014e-01, -1.4999999870461928e+04,  1.0003649246159057e+01,  2.6509375606279590e+00,  2.9945870946742732e-02,  1.7362910237170313e-02, -3.5632662064293733e-02, -1.6985472931733861e-01,  2.7433066213374352e-01,  1.1331520075217844e-01, -1.0336048990373863e+00, -3.7795052733374473e-01,  0.0000000000000000e+00, -2.6535462819302609e+00,  1.3948581470422882e+01, -5.6931534975613054e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369831725820029e+02,  2.1158027816786454e-02,  2.9790316960820341e+01,  3.0166846487973072e-02,  2.5257455486418709e-02,  5.0777439764211196e-01,  4.4363133778981492e+01, -3.4711854156298055e-01, -1.4999999797866274e+04,  1.0004238186450587e+01,  2.6502620733622191e+00,  3.4981957630651261e-02,  1.8362517867734348e-02, -4.5262349026525400e-02, -1.7647135098477351e-01,  2.7433066213374352e-01,  8.5551638770201527e-02, -8.3814720214014615e-01, -5.9858940554306184e-01,  0.0000000000000000e+00, -2.9047188268615161e+00,  2.5182049448404559e+01,  1.2759631558107777e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369445757764856e+02,  2.0801271471368087e-02,  2.9785876541827484e+01,  2.8243096615160817e-02,  3.4165248034583151e-02,  5.0813310704425196e-01,  5.0700701994427398e+01, -3.9445994334391382e-01, -1.4999999703073096e+04,  1.0004811085214923e+01,  2.6496709107060621e+00,  4.0036449503578597e-02,  1.9072233689122392e-02, -5.2378859909251702e-02, -1.8181455759991727e-01,  2.7433066213374352e-01,  7.8450846222415216e-02, -6.2162472668218349e-01,  3.0463462020184534e-01,  0.0000000000000000e+00,  1.4831401587946880e+00,  1.8165750138279684e+01,  1.6806581839602279e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3369036222048169e+02,  2.0390536458055462e-02,  2.9782616098953280e+01,  2.6054123731633155e-02,  4.3323553076640639e-02,  5.0855244573257818e-01,  5.7038254637023066e+01, -4.4124114453178165e-01, -1.4999999583990269e+04,  1.0005364232381291e+01,  2.6491674969458523e+00,  4.5110813537858598e-02,  1.9929967342707678e-02, -5.7682423485709879e-02, -1.7038474518653485e-01,  2.7433066213374352e-01,  1.1497766250967950e-01, -5.3665626355323859e-01,  1.7939840589138336e+00,  0.0000000000000000e+00,  5.8295284619156345e+00, -1.1550638198649763e+00,  1.3010193923411745e+02,  0.0000000000000000e+00
