#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277313e+02,  2.2655162823548174e-02,  2.9850264791017317e+01,  4.6371878218335397e-02, -1.6873921465570246e-02,  5.0690324176289547e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374346e-01,  3.1645297769871933e-01, -1.4271013304196420e+00,  2.4638460115928811e+00,  0.0000000000000000e+00, -3.7578243220842746e+00,  1.3818755020416986e+00,  6.4559263775843831e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371089896427179e+02,  2.2546962489865582e-02,  2.9838868603010638e+01,  4.4344931375057690e-02, -1.5896909073687054e-02,  5.0698913911559051e-01,  6.3375879170228444e+00, -5.1277565311201159e-02, -1.4999999999050840e+04,  1.0000688742310551e+01,  2.6552642875043646e+00,  4.9640391036308244e-03,  8.4376998528393598e-03,  2.8646756095472698e-02, -2.3729370700632355e-01,  2.7433066213374346e-01,  2.9768262643955712e-01, -1.4201988553844689e+00,  2.7863198566270659e+00,  0.0000000000000000e+00, -3.7578243220842746e+00,  1.3818755020416986e+00,  6.4559263775843831e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371046133508196e+02,  2.2401910714815416e-02,  2.9827910303616335e+01,  4.1455090989613745e-02, -1.3896835857937861e-02,  5.0709115857588494e-01,  1.2675180004399593e+01, -1.0199110082401965e-01, -1.4999999994084375e+04,  1.0001362267666972e+01,  2.6542373999786908e+00,  9.9313332675536430e-03,  1.1224036268227921e-02,  1.4527911136938276e-02, -2.0623682686984751e-01,  2.7433066213374346e-01,  2.5372150464213494e-01, -1.4203400067318210e+00,  2.9304938621111458e+00,  0.0000000000000000e+00, -5.0431922617596570e+00, -1.4101340017815285e+00, -3.5695627877931152e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370935167852201e+02,  2.2215320313920324e-02,  2.9817517517523008e+01,  3.7860084167234839e-02, -1.0931211712729606e-02,  5.0721375942016911e-01,  1.9012774992676526e+01, -1.5214120305469681e-01, -1.4999999981822994e+04,  1.0002012028638704e+01,  2.6532347315436979e+00,  1.4903866799186012e-02,  1.3507060584949947e-02,  2.6833438254920467e-04, -1.7874238109001694e-01,  2.7433066213374346e-01,  2.2193011906832011e-01, -1.4140326947761084e+00,  2.4954611792533283e+00,  0.0000000000000000e+00, -1.3214431301180669e+00,  2.6728578553151836e+00, -5.1397915230203850e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370759035850710e+02,  2.1985334255505532e-02,  2.9807804546367848e+01,  3.3666532950701773e-02, -7.0695373611411047e-03,  5.0735116309605977e-01,  2.5350370840295533e+01, -2.0172849261471845e-01, -1.4999999958866098e+04,  1.0002630660492516e+01,  2.6522652797940269e+00,  1.9883548734785466e-02,  1.5658204481381170e-02, -1.3724490357089864e-02, -1.5637746264900179e-01,  2.7433066213374346e-01,  1.9085304530898126e-01, -1.3380051231404939e+00,  1.9280687720049867e+00,  0.0000000000000000e+00, -4.9001870365015661e+00,  1.2547861986134802e+01, -6.2194044700914034e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370522471750689e+02,  2.1713151566220206e-02,  2.9798868033814699e+01,  2.8959231354939951e-02, -2.4094643948429722e-03,  5.0749073137595402e-01,  3.1687964875088802e+01, -2.5075357651987062e-01, -1.4999999921786504e+04,  1.0003211253862624e+01,  2.6513373651066918e+00,  2.4872037559306500e-02,  1.7320308243471052e-02, -2.6465034711166961e-02, -1.4021952850250471e-01,  2.7433066213374346e-01,  1.3566869108374255e-01, -1.2011748297579823e+00,  1.5761355134174184e+00,  0.0000000000000000e+00, -6.1477206793912336e+00,  1.4845562749044085e+01, -8.2629936683173657e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370232612055247e+02,  2.1393704990899889e-02,  2.9790769259228359e+01,  2.3955850367083080e-02,  2.8382699566647986e-03,  5.0766782964768775e-01,  3.8025553961539067e+01, -2.9921704818703954e-01, -1.4999999867304094e+04,  1.0003748341764862e+01,  2.6504576794237380e+00,  2.9870825656101083e-02,  1.8368867639897504e-02, -3.7723987455151445e-02, -1.2488624359970273e-01,  2.7433066213374346e-01,  8.2554425256255948e-02, -1.0244589473671708e+00,  1.4477010378997917e+00,  0.0000000000000000e+00, -4.4857553392715763e+00,  2.0532956905596325e+01, -1.7449588330311553e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369898667403527e+02,  2.1025906493165807e-02,  2.9783540299492973e+01,  1.8797965062387310e-02,  8.4451424704736679e-03,  5.0787403765549355e-01,  4.4363134681703343e+01, -3.4711947621227313e-01, -1.4999999792394145e+04,  1.0004238130249513e+01,  2.6496307867698650e+00,  3.4881199125831562e-02,  1.8969747309530112e-02, -4.6933744948273272e-02, -1.1129443284017121e-01,  2.7433066213374346e-01,  4.4512372134116275e-02, -8.7453303329785093e-01,  1.4527127746995943e+00,  0.0000000000000000e+00, -3.1302636957807835e+00,  9.4822110910814903e+00,  1.8452938037631899e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369531517297378e+02,  2.0610231573169727e-02,  2.9777180435476836e+01,  1.3628292368639191e-02,  1.4198656123967682e-02,  5.0810158051775012e-01,  5.0700703535967875e+01, -3.9446135443817326e-01, -1.4999999694366021e+04,  1.0004678200197956e+01,  2.6488588913622131e+00,  3.9903892872854792e-02,  1.9258225724495232e-02, -5.5197174933629987e-02, -9.5861013335974563e-02,  2.7433066213374346e-01,  2.5482253502383947e-02, -8.1043100429906356e-01,  2.1224162554824759e+00,  0.0000000000000000e+00, -6.7956605429203232e-01,  3.3510151144758473e+00,  1.1562169881510070e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3369143003042370e+02,  2.0151771961184825e-02,  2.9771690934750968e+01,  8.4848698348045041e-03,  2.0089674821717158e-02,  5.0831879807516167e-01,  5.7038257141464847e+01, -4.4124310557119339e-01, -1.4999999570794957e+04,  1.0005067088052627e+01,  2.6481432737948758e+00,  4.4939249119458673e-02,  1.9478883243643677e-02, -6.3126172606596212e-02, -6.8888513649712171e-02,  2.7433066213374346e-01, -2.9273288610739286e-03, -7.7522506233855815e-01,  3.6350193207675394e+00,  0.0000000000000000e+00, -5.0080323348722304e+00,  3.6972144660172237e+00,  1.8720143485496951e+02,  0.0000000000000000e+00
