#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277291e+02,  2.2655162823548181e-02,  2.9850264791017317e+01, -5.5343529442911980e-02,  1.4233260956229248e-02,  5.0603103797923699e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975642e+00,  0.0000000000000000e+00,  5.2763314442607449e-03,  4.2903512643121471e-02, -2.6190755327598270e-01,  2.7433066213374335e-01, -3.0041409465080188e-01, -1.2376713449563423e+00,  2.6631776099857292e+00,  0.0000000000000000e+00,  2.8599346364615488e+00,  2.5568392389775920e+00,  3.8587699931334910e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371072974680430e+02,  2.2122629642816007e-02,  2.9842267708595241e+01, -5.4126588104838065e-02,  1.5513836326320078e-02,  5.0608305162708256e-01,  6.3375879055034066e+00, -5.1277540204002957e-02, -1.4999999999268888e+04,  9.9996895788450857e+00,  2.6555731583136195e+00,  5.0097537585184950e-03,  2.2751916375594273e-03,  3.0539163542658510e-02, -2.3530238234705433e-01,  2.7433066213374335e-01, -2.8612870685628866e-01, -1.2248999201862245e+00,  2.8559233638885009e+00,  0.0000000000000000e+00,  2.8599346364615488e+00,  2.5568392389775920e+00,  3.8587699931334910e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371010760672834e+02,  2.1585056484994952e-02,  2.9834700387759941e+01, -5.2116760736883726e-02,  1.8053230230566236e-02,  5.0611318927541749e-01,  1.2675179935316322e+01, -1.0199092699673964e-01, -1.4999999995321588e+04,  9.9994050441953171e+00,  2.6548594505961400e+00,  1.0023307946674102e-02, -4.4052583558518247e-04,  1.8429987764275825e-02, -2.0484614740408458e-01,  2.7433066213374335e-01, -2.4353320849334084e-01, -1.2147951875169538e+00,  2.5668030507485819e+00,  0.0000000000000000e+00,  5.6676841358006147e+00, -5.3387175858954539e-01, -9.6469586621946775e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3370879698165515e+02,  2.1047326607196104e-02,  2.9827711970747043e+01, -4.9448892491214300e-02,  2.1760691936477998e-02,  5.0614298043022921e-01,  1.9012774779354743e+01, -1.5214065356495232e-01, -1.4999999985441214e+04,  9.9991530332971941e+00,  2.6541764594462225e+00,  1.5042705147110178e-02, -2.5906067339358935e-03,  6.2675314244376576e-03, -1.8401760610832144e-01,  2.7433066213374335e-01, -1.8285276608745576e-01, -1.1754308082016538e+00,  1.9640479368987991e+00,  0.0000000000000000e+00,  6.4805404338575707e+00,  8.4146204975126171e+00, -2.4201987170779727e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3370681745097477e+02,  2.0514582176754972e-02,  2.9821432200672501e+01, -4.6337205487164142e-02,  2.6506272990961609e-02,  5.0617494760473847e-01,  2.5350370346226722e+01, -2.0172723375029378e-01, -1.4999999966812586e+04,  9.9989381068021856e+00,  2.6535350053768654e+00,  2.0069937549086571e-02, -4.0939277554144686e-03, -5.0551432687242475e-03, -1.6560443038312955e-01,  2.7433066213374335e-01, -1.2796998196093509e-01, -1.0870176437767742e+00,  1.5185832278087052e+00,  0.0000000000000000e+00,  4.5069929482718658e+00,  9.2856950203482143e+00, -6.4980047589056952e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3370421628725285e+02,  1.9988867427528912e-02,  2.9815965799317031e+01, -4.2938534567953941e-02,  3.2136435092192016e-02,  5.0621846315129937e-01,  3.1687963902533721e+01, -2.5075118203938979e-01, -1.4999999936654423e+04,  9.9987626445582372e+00,  2.6529443970684650e+00,  2.5106799182298439e-02, -5.1474495303581733e-03, -1.5451102816856535e-02, -1.5367628287538027e-01,  2.7433066213374335e-01, -9.6046817710495891e-02, -9.9499487218447047e-01,  9.4503948800883542e-01,  0.0000000000000000e+00,  1.8840245346660662e+00,  9.1372638524310741e+00, -4.9843409118877062e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3370106532239151e+02,  1.9471519730527170e-02,  2.9811394083028492e+01, -3.9351742901488074e-02,  3.8495517318971190e-02,  5.0627879538900722e-01,  3.8025552243177430e+01, -2.9921299898384568e-01, -1.4999999892293523e+04,  9.9986274782937414e+00,  2.6524124312560908e+00,  3.0154844494509003e-02, -6.0129450922875131e-03, -2.4935160694987388e-02, -1.4672252253080517e-01,  2.7433066213374335e-01, -9.1352614592705106e-02, -8.9249904739675212e-01,  3.2265256010051796e-01,  0.0000000000000000e+00, -9.4424507048435724e-01,  1.1382400270070058e+01, -7.4758453848368035e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3369745768369501e+02,  1.8957652866597414e-02,  2.9807779465060161e+01, -3.5590859480531783e-02,  4.5454318443948420e-02,  5.0640212055493539e-01,  4.4363131875783196e+01, -3.4711317892214549e-01, -1.4999999831222891e+04,  9.9985327549417491e+00,  2.6519455225533375e+00,  3.5215590093797947e-02, -6.9726765951474865e-03, -3.3283251615992444e-02, -1.4722967827796732e-01,  2.7433066213374335e-01, -8.0882224428987001e-02, -7.2914867276565420e-01,  7.4398938084857347e-01,  0.0000000000000000e+00,  3.0404171812607235e+00,  2.1320344731075728e+01,  1.5911008536212873e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3369350280702588e+02,  1.8434233752480648e-02,  2.9805151156702372e+01, -3.1650723476699082e-02,  5.2814437193272439e-02,  5.0663812413184250e-01,  5.0700699215332357e+01, -3.9445222648581041e-01, -1.4999999751209445e+04,  9.9984786997512849e+00,  2.6515484244125429e+00,  4.0290862034322986e-02, -7.6289735524071338e-03, -3.9503565745250213e-02, -1.3185759983652798e-01,  2.7433066213374335e-01, -5.6018125577274265e-02, -5.0790748672312414e-01,  2.2402503097806608e+00,  0.0000000000000000e+00,  1.9373754088521749e+00,  2.2972140714638886e+01,  1.4044135261007486e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3368932128975871e+02,  1.7893095357071068e-02,  2.9803498167777722e+01, -2.7646077201851457e-02,  6.0312772405853976e-02,  5.0697024280676195e-01,  5.7038250764367255e+01, -4.4123058462822778e-01, -1.4999999650440326e+04,  9.9984648439665662e+00,  2.6512236306777295e+00,  4.5382089223921521e-02, -8.0919198634246941e-03, -4.3431253348722193e-02, -1.0246943232830379e-01,  2.7433066213374335e-01,  3.9212363382855045e-03, -3.9509591145632950e-01,  2.6284783849939584e+00,  0.0000000000000000e+00,  1.0062484846642883e+01, -3.8726334622663033e-01, -6.2718091952372276e+01,  0.0000000000000000e+00
