#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277041e+02,  2.2655162823548264e-02,  2.9850264791017320e+01,  1.8940333537172016e-01, -1.9693194034668765e-01,  5.0546543967187263e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975610e+00,  0.0000000000000000e+00,  5.2763314442607441e-03,  4.2903512643121457e-02, -2.6190755327598225e-01,  2.7433066213374258e-01,  5.2439485040838507e-01, -1.8201905465107895e+00, -3.9644584348430882e+01,  0.0000000000000000e+00, -1.5670684142608325e+01,  7.5078794368221846e+00,  4.7527925892286368e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3371228484585845e+02,  2.3476882496296855e-02,  2.9809442236800390e+01,  1.8383140360070593e-01, -1.9352198849472302e-01,  5.0541462445710073e-01,  6.3375880422716184e+00, -5.1268988031097695e-02, -1.5000000047110043e+04,  1.0002085243114204e+01,  2.6535065114966296e+00,  4.6388215278909701e-03,  1.0515041238550306e-02,  2.4719790899756927e-02, -6.5795734696660046e-01,  2.7433066213374258e-01,  4.4611970484091101e-01, -1.7826886512219673e+00, -3.7270562076088908e+01,  0.0000000000000000e+00, -1.5670684142608325e+01,  7.5078794368221846e+00,  4.7527925892286368e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3371319837677572e+02,  2.4316813394769460e-02,  2.9769991703547205e+01,  1.7712114069742885e-01, -1.8820994324731555e-01,  5.0521628130728968e-01,  1.2675180717820798e+01, -1.0195716028824005e-01, -1.5000000182127582e+04,  1.0004118545572720e+01,  2.6507503695836898e+00,  9.2841018507521401e-03,  1.4189812060462761e-02,  7.2853577735516786e-03, -1.0065741282228136e+00,  2.7433066213374258e-01,  3.2929268814042839e-01, -1.6532056161192257e+00, -2.6127007718254905e+01,  0.0000000000000000e+00, -7.7180846008282957e+00,  1.8414624190746807e+01,  1.7556603235155046e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3371343572771298e+02,  2.5172560548325972e-02,  2.9732081027495756e+01,  1.6962653400683889e-01, -1.8115696172157639e-01,  5.0491535953872124e-01,  1.9012777421767229e+01, -1.5206565234737665e-01, -1.5000000395847714e+04,  1.0006089997910562e+01,  2.6480555082683455e+00,  1.3937735330726612e-02,  1.7094315726870552e-02, -8.3112903413864372e-03, -1.1799754831954696e+00,  2.7433066213374258e-01,  2.5886856936400293e-01, -1.4332971273727948e+00, -1.2425802508419945e+01,  0.0000000000000000e+00, -6.3808239782120788e+00,  2.5611055256288612e+01,  9.8732095949345432e+02,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3371304110836877e+02,  2.6038399920931581e-02,  2.9695834172760065e+01,  1.6154600987232370e-01, -1.7264553530925109e-01,  5.0454723779531341e-01,  2.5350377241272643e+01, -2.0159566568442683e-01, -1.5000000679547162e+04,  1.0007992199498405e+01,  2.6454378644970720e+00,  1.8601705212048805e-02,  1.9362011248554727e-02, -2.1351947468662005e-02, -1.2548419106088264e+00,  2.7433066213374258e-01,  2.0370728470421093e-01, -1.1700462925003590e+00, -5.0448238942353472e+00,  0.0000000000000000e+00, -4.6624652106782651e+00,  2.7091761885172982e+01,  4.9035095906630181e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3371207517094058e+02,  2.6912648022636598e-02,  2.9661332704910507e+01,  1.5303597018089427e-01, -1.6299717218816454e-01,  5.0413233473882690e-01,  3.1687979072049611e+01, -2.5054838364064869e-01, -1.5000001025137755e+04,  1.0009819390571039e+01,  2.6429102640459075e+00,  2.3277697446496534e-02,  2.1164391345336306e-02, -3.1688838643091917e-02, -1.2807711653979741e+00,  2.7433066213374258e-01,  1.5671080487829084e-01, -9.1771497761454279e-01, -1.1186698649228031e+00,  0.0000000000000000e+00, -4.7462300504709534e+00,  2.3424967354967510e+01,  2.9566507760206963e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3371060933431886e+02,  2.7794559159739881e-02,  2.9628627077742642e+01,  1.4424730022086399e-01, -1.5249162750398895e-01,  5.0368793518191113e-01,  3.8025581721239554e+01, -2.9892493253319369e-01, -1.5000001425187433e+04,  1.0011567235580708e+01,  2.6404825172120159e+00,  2.7967055051115370e-02,  2.2493096261107990e-02, -3.9687911057364154e-02, -1.2771929568610303e+00,  2.7433066213374258e-01,  1.1408843947371855e-01, -6.9452244165241428e-01,  1.3370314585308978e+00,  0.0000000000000000e+00, -3.7867675035244077e+00,  2.1258178344650563e+01,  1.9596632735336132e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3370872045399926e+02,  2.8683555162139222e-02,  2.9597739016190900e+01,  1.3530572186000017e-01, -1.4138812660380831e-01,  5.0322815334593074e-01,  4.4363183985969911e+01, -3.4672636959817638e-01, -1.5000001872903747e+04,  1.0013232761480344e+01,  2.6381617707696745e+00,  3.2670812924047041e-02,  2.3443880645510503e-02, -4.5565410903879416e-02, -1.2540572501426115e+00,  2.7433066213374258e-01,  7.8906297989977975e-02, -4.9858681751971567e-01,  3.0039092396367457e+00,  0.0000000000000000e+00, -3.2566972215204535e+00,  1.7968133606715678e+01,  1.3774260442402937e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3370648653124306e+02,  2.9579038763592785e-02,  2.9568668696351299e+01,  1.2631686116152580e-01, -1.2990324173381626e-01,  5.0276405702731564e-01,  5.0700784707821285e+01, -3.9395367800878317e-01, -1.5000002362108255e+04,  1.0014814116286967e+01,  2.6359528004497421e+00,  3.7389716600290931e-02,  2.4069645671497161e-02, -4.9649685633182651e-02, -1.2171747902349215e+00,  2.7433066213374258e-01,  4.8702485022160930e-02, -3.3458121929445883e-01,  4.2029124860647453e+00,  0.0000000000000000e+00, -2.7901061346365279e+00,  1.4865787157980796e+01,  1.0229784551085564e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3370398360231934e+02,  3.0480282493431585e-02,  2.9541398742192644e+01,  1.1737018803870246e-01, -1.1821716681967223e-01,  5.0230456484520836e-01,  5.7038382808887491e+01, -4.4060776881911817e-01, -1.5000002887187664e+04,  1.0016310425609005e+01,  2.6338584198516282e+00,  4.2124267266731907e-02,  2.4416957269329902e-02, -5.2250350350322147e-02, -1.1700829746967625e+00,  2.7433066213374258e-01,  2.2912112930597816e-02, -1.9967553853391870e-01,  5.1110537913367446e+00,  0.0000000000000000e+00, -2.3731263580944040e+00,  1.2142330130279312e+01,  7.9512043804599386e+01,  0.0000000000000000e+00
