#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568701e+02, -2.1574662143679650e-03,  2.6867721768434354e+01, -5.5047506055342079e-03,  1.0285409489102335e-01,  5.0655531865727044e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681081e+00, -2.4869723644862333e-17,  5.3708704059146177e-03,  1.7424682438704782e+00,  2.6790091075902210e-02,  2.7758322632433713e-01,  1.5867230496797846e+00,  6.2879814910975232e-02, -6.9006725554369408e-01,  0.0000000000000000e+00, -2.9496209341411795e+01, -9.6356677811274904e-01,  1.9480428721647559e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384405211551518e+02, -2.5007580335645579e-03,  2.6869244221588744e+01, -8.3083948582016662e-03,  1.0270284910503827e-01,  5.0663507133961694e-01,  6.3376258736497002e+00, -4.6347525502573393e-02, -1.5000000000097341e+04,  1.0000150535434260e+01,  2.3904975446056667e+00,  5.1666546960328170e-03,  2.1222249523594784e-02,  1.7430964138496088e+00,  1.9896312299241929e-02,  2.7758322632433713e-01,  1.4393893366857198e+00,  5.8066794041281178e-02, -5.9276241677422592e-01,  0.0000000000000000e+00, -2.9496209341411795e+01, -9.6356677811274904e-01,  1.9480428721647559e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384394988359441e+02, -2.9047028769165462e-03,  2.6870701779750238e+01, -1.5352493498841794e-02,  1.0247557842250533e-01,  5.0683572033757562e-01,  1.2675255762415533e+01, -9.2130369449401145e-02, -1.5000000000544478e+04,  1.0000251423196492e+01,  2.3906278447491771e+00,  1.0334322905600225e-02,  3.4129898111923004e-02,  1.7436284195755987e+00,  1.4946686145348246e-02,  2.7758322632433713e-01,  1.1182022161702889e+00,  3.4618189006296124e-02, -5.0866183645523544e-01,  0.0000000000000000e+00, -3.4805452185777490e+01, -3.7308439498912609e+00, -2.6434925417856125e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384382276513998e+02, -3.3931724458890478e-03,  2.6872096955455135e+01, -2.5670688528299391e-02,  1.0218817359394279e-01,  5.0712394342475775e-01,  1.9012889467661346e+01, -1.3734867650279906e-01, -1.5000000001552380e+04,  1.0000265007964412e+01,  2.3907550108499978e+00,  1.5503900125558212e-02,  4.3563952144379775e-02,  1.7437880859576267e+00,  9.7332386437926719e-03,  2.7758322632433713e-01,  6.1508855319397004e-01,  6.7537157469933383e-03, -1.9606123182661103e-01,  0.0000000000000000e+00, -6.5917903142081528e+01, -1.8476235966211567e+00,  6.5226133588436213e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384367629631140e+02, -3.9776383002013633e-03,  2.6873445560492605e+01, -3.7654016372780381e-02,  1.0191623609518946e-01,  5.0745166488630689e-01,  2.5350526779264129e+01, -1.8200254664321816e-01, -1.5000000003263438e+04,  1.0000165567312743e+01,  2.3908784845674180e+00,  2.0675987270979225e-02,  4.6419379694220109e-02,  1.7437633589511630e+00,  1.1029378816145229e-02,  2.7758322632433713e-01, -2.7726334834651006e-02,  8.6052748415451019e-02,  5.5292365951333322e-01,  0.0000000000000000e+00, -6.2773637441248390e+01,  1.7723289936846381e+01,  8.4720641657820607e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384351841985904e+02, -4.6537747999486805e-03,  2.6874736953343305e+01, -4.9447419932944971e-02,  1.0155078702594686e-01,  5.0776672067563211e-01,  3.1688167512538385e+01, -2.2609198887129855e-01, -1.5000000005830279e+04,  9.9999463688720081e+00,  2.3909976661686936e+00,  2.5850606899215499e-02,  4.3009979420410724e-02,  1.7455074215903030e+00,  2.0780664408294836e-02,  2.7758322632433713e-01, -6.2550473610243529e-01,  1.3834522653447259e-01,  1.2416346125787729e+00,  0.0000000000000000e+00, -5.6901598492561980e+01, -7.2543358174182755e+00,  5.3159291145880317e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384335791083186e+02, -5.4048072787561659e-03,  2.6875953829095558e+01, -5.9160307109333003e-02,  1.0100928807241576e-01,  5.0802375492270790e-01,  3.8025811522180916e+01, -2.6961692124641679e-01, -1.5000000009507556e+04,  9.9996183507286602e+00,  2.3911112702644606e+00,  3.1027195946040486e-02,  3.3921782569296330e-02,  1.7465274993414621e+00,  3.5837263183353472e-02,  2.7758322632433713e-01, -1.1386535027075579e+00,  4.5823753039684945e-02,  1.2045311628574245e+00,  0.0000000000000000e+00, -4.5830784581783661e+01, -1.1268463176238205e+01, -6.0587401780094119e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384320240430293e+02, -6.2009685321204105e-03,  2.6877094305014644e+01, -6.5244678863231972e-02,  1.0036743052876683e-01,  5.0818162490359930e-01,  4.4363458706485694e+01, -3.1257717949271829e-01, -1.5000000014582120e+04,  9.9992103023083896e+00,  2.3912178488028486e+00,  3.6204706046636913e-02,  2.0259659685993976e-02,  1.7464229810915954e+00,  4.4847221108742882e-02,  2.7758322632433713e-01, -1.4779157246758872e+00, -1.0100108156829615e-01,  5.6299973169693707e-01,  0.0000000000000000e+00, -2.2089512256275810e+01, -1.8125868712279605e+01, -6.7847190738235426e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384305701700873e+02, -7.0038933146126803e-03,  2.6878180161845226e+01, -6.6685578368099130e-02,  9.9786748742517695e-02,  5.0820953959436677e-01,  5.0701109008702218e+01, -3.5497256506324032e-01, -1.5000000021144884e+04,  9.9987640140650917e+00,  2.3913174718541312e+00,  4.1381975444333814e-02,  4.3929968614863923e-03,  1.7445094957137239e+00,  4.7086009071404165e-02,  2.7758322632433713e-01, -1.4455784117327988e+00, -2.6064416450427352e-01,  2.7579440006860845e-01,  0.0000000000000000e+00,  2.8563442307482351e+01, -1.3834676491503041e+01,  1.0348683346244028e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3384292404096107e+02, -7.7773171573014251e-03,  2.6879247214410057e+01, -6.3679370916143341e-02,  9.9426109055804540e-02,  5.0811068826542227e-01,  5.7038762405132509e+01, -3.9680288371284750e-01, -1.5000000029066439e+04,  9.9983262629618270e+00,  2.3914118964776296e+00,  4.6557963332555206e-02, -8.6230258631128757e-03,  1.7412153054771244e+00,  5.0357598732491300e-02,  2.7758322632433713e-01, -1.1105792780708621e+00, -3.3027538981833193e-01,  1.2087906886907626e-01,  0.0000000000000000e+00,  3.8503384251637193e+01, -1.0549481637149996e-01, -4.1362732652390314e+01,  0.0000000000000000e+00
