#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568906e+02, -2.1574662143679650e-03,  2.6867721768434350e+01,  5.8172579870918980e-03,  1.2460289069571935e-01,  5.0449328067466559e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681108e+00, -2.4869723644862330e-17,  5.3708704059146212e-03,  1.7424682438704790e+00,  2.6790091075902200e-02,  2.7758322632433702e-01,  1.4846252821632602e+00,  5.9724768913330362e-01, -5.0540928641772054e-01,  0.0000000000000000e+00, -1.8873289541830967e+01, -8.6651860879172204e+00,  1.4462383855880991e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384379200401395e+02, -2.2119488558723622e-03,  2.6870390042067296e+01,  4.6871514326714174e-03,  1.2573207121912339e-01,  5.0457236913589065e-01,  6.3376248358861123e+00, -4.6346357047917119e-02, -1.5000000006569191e+04,  1.0000271057037175e+01,  2.3907220488271101e+00,  5.1853371703007708e-03,  2.0202291806146990e-02,  1.7484347542514311e+00,  2.1741047255545352e-02,  2.7758322632433702e-01,  1.3903531066296388e+00,  5.5396504134150926e-01, -4.9818531845773995e-01,  0.0000000000000000e+00, -1.8873289541830967e+01, -8.6651860879172204e+00,  1.4462383855880991e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384341821684234e+02, -2.3072768163317670e-03,  2.6873027619840972e+01,  1.0667794842460932e-03,  1.2611480892907367e-01,  5.0477226529534869e-01,  1.2675251545029406e+01, -9.2125546283990264e-02, -1.5000000026879594e+04,  1.0000518656610664e+01,  2.3910859863207001e+00,  1.0373295023002009e-02,  3.3150153255657656e-02,  1.7535364764647150e+00,  1.6836338459363939e-02,  2.7758322632433702e-01,  1.1817844596292737e+00,  4.5959964013636001e-01, -4.0573106782612117e-01,  0.0000000000000000e+00, -2.2882153587642193e+01, -1.0226767233353680e+01,  1.7063102590862005e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384301171553113e+02, -2.4648215155084101e-03,  2.6875582170785105e+01, -5.0205003682770380e-03,  1.2598054587750712e-01,  5.0506594733470778e-01,  1.9012879837202551e+01, -1.3733752387308445e-01, -1.5000000061763525e+04,  1.0000718074502220e+01,  2.3914503954084401e+00,  1.5563863988883268e-02,  4.3814368921616990e-02,  1.7576175642441656e+00,  1.3634532413864611e-02,  2.7758322632433702e-01,  7.7362794202111596e-01,  3.6377844491599109e-01, -1.6283142815382076e-01,  0.0000000000000000e+00, -5.8830781237510955e+01, -8.9566360497641693e+00,  3.1565405271532526e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384258051615609e+02, -2.6988823088660578e-03,  2.6878031678680614e+01, -1.2840153102071929e-02,  1.2556738040368445e-01,  5.0540162084914730e-01,  2.5350509420196886e+01, -1.8198224737254054e-01, -1.5000000111936919e+04,  1.0000847129514723e+01,  2.3918110705266566e+00,  2.0757068768262065e-02,  4.8607254994341292e-02,  1.7608047770624371e+00,  1.3582963271475412e-02,  2.7758322632433702e-01,  1.1397783279918602e-01,  3.6440821837002801e-01,  5.2919330824640265e-01,  0.0000000000000000e+00, -7.3231170628719397e+01,  9.0827166952623717e+00,  1.0697794695579218e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384213408990513e+02, -3.0094869722701524e-03,  2.6880356998714067e+01, -2.0740734528623482e-02,  1.2496994126903761e-01,  5.0571870541073050e-01,  3.1688140036196536e+01, -2.2605964182737176e-01, -1.5000000178056545e+04,  1.0000896375310212e+01,  2.3921655900515706e+00,  2.5952616465508140e-02,  4.6091648298224104e-02,  1.7648984477280822e+00,  2.4207825285920609e-02,  2.7758322632433702e-01, -4.5336929601257453e-01,  3.9636114856133342e-01,  9.8545642381336496e-01,  0.0000000000000000e+00, -4.0351724559395038e+01, -2.6857400709630603e+00, -1.5634071219286415e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384168196097835e+02, -3.3843591406438867e-03,  2.6882542405608994e+01, -2.7204093822579895e-02,  1.2423396994087454e-01,  5.0598765295565629e-01,  3.8025771474886980e+01, -2.6956958054484687e-01, -1.5000000260831310e+04,  1.0000873109286314e+01,  2.3925121360624120e+00,  3.1149837208726418e-02,  3.9548927401682463e-02,  1.7687240807299962e+00,  3.3272402308705477e-02,  2.7758322632433702e-01, -7.4607037689011901e-01,  2.9418919159288337e-01,  5.4641919021424534e-01,  0.0000000000000000e+00, -1.8247031832289387e+01, -1.7769085714120607e+01, -7.2261182947257240e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384123150214702e+02, -3.8047783009551609e-03,  2.6884592424853441e+01, -3.1521095822765195e-02,  1.2347057566777102e-01,  5.0620312443141713e-01,  4.4363403579094907e+01, -3.1251191219928753e-01, -1.5000000360890961e+04,  1.0000795758934855e+01,  2.3928501974163034e+00,  3.6348123238640249e-02,  3.1185147261458487e-02,  1.7707763536540140e+00,  3.5125291623867572e-02,  2.7758322632433702e-01, -8.5846635457878839e-01,  7.2516989918035638e-02,  4.1534850509440457e-01,  0.0000000000000000e+00, -4.2546429009821525e+00, -2.6609689061183900e+01,  4.6020831786265120e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384078787133046e+02, -4.2506930146710966e-03,  2.6886546795145925e+01, -3.3460127727795295e-02,  1.2291859182729867e-01,  5.0636583077741337e-01,  5.0701036234319041e+01, -3.5488647280891733e-01, -1.5000000478756319e+04,  1.0000687170279335e+01,  2.3931806273809966e+00,  4.1547088419494733e-02,  2.2396752485023350e-02,  1.7701729716374495e+00,  4.1571073739163113e-02,  2.7758322632433702e-01, -8.0162875705176240e-01, -9.6417111378255010e-02,  6.3966234264478805e-01,  0.0000000000000000e+00,  1.5633529925892921e+01, -7.2109180183334747e+00, -1.1132015086784450e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3384035298888875e+02, -4.7071093661652710e-03,  2.6888466327940744e+01, -3.3518040594010805e-02,  1.2279905119830155e-01,  5.0648744167264448e-01,  5.7038669371244623e+01, -3.9669314478111622e-01, -1.5000000614625371e+04,  1.0000569186815490e+01,  2.3935068329689928e+00,  4.6746849599195311e-02,  1.5168588679005699e-02,  1.7688499378422606e+00,  4.7905758010376817e-02,  2.7758322632433702e-01, -6.6582964784686938e-01, -1.7437032222466770e-01,  5.9782729559569747e-01,  0.0000000000000000e+00,  1.1553451736926565e+01, -8.3953147931183647e+00, -7.2621749105494082e+00,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3383992616322314e+02, -5.1619018106993150e-03,  2.6890411853972807e+01, -3.2230969120299574e-02,  1.2320844339069492e-01,  5.0656955607108933e-01,  6.3376302944505170e+01, -4.3793184734419349e-01, -1.5000000768511934e+04,  1.0000457686426802e+01,  2.3938338514761881e+00,  5.1947882769232206e-02,  9.0934628177532315e-03,  1.7666890491154781e+00,  5.3515675049766460e-02,  2.7758322632433702e-01, -6.0365962398932305e-01, -1.9572071807666686e-01,  5.6225407737586897e-01,  0.0000000000000000e+00,  8.9298703935418811e-01,  4.1209655435481327e+00,  1.4041662293974166e-01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3383950569619276e+02, -5.6056417070289152e-03,  2.6892444840330530e+01, -2.9895887308438358e-02,  1.2417496587230020e-01,  5.0661440071745112e-01,  6.9713936921118020e+01, -4.7860251150667921e-01, -1.5000000940347185e+04,  1.0000364382011540e+01,  2.3941674436831311e+00,  5.7150793116286576e-02,  3.1074573305676758e-03,  1.7649394339845850e+00,  5.9139605710194380e-02,  2.7758322632433702e-01, -5.3436234548897676e-01, -7.9668829352422296e-02,  5.9920958026729898e-01,  0.0000000000000000e+00,  1.2980328116415185e+01,  1.9112622579045663e+01,  7.2580750559244755e+00,  0.0000000000000000e+00
