#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568826e+02, -2.1574662143679650e-03,  2.6867721768434350e+01,  2.8852362032919895e-02,  1.6358747518959030e-01,  5.0518263933115959e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681099e+00, -2.4869723644862330e-17,  5.3708704059146194e-03,  1.7424682438704788e+00,  2.6790091075902203e-02,  2.7758322632433707e-01,  1.5589685057492733e+00,  1.2828147541164876e+00, -1.5522874998407099e+00,  0.0000000000000000e+00, -3.3519445010573030e+01, -2.2620771563333665e+01,  4.1200692667050349e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384365276986387e+02, -2.1904773093096874e-03,  2.6875728069143847e+01,  2.5312669382324796e-02,  1.6227898188936182e-01,  5.0527878988275798e-01,  6.3376253290364133e+00, -4.6347405008285797e-02, -1.5000000000730073e+04,  1.0000494043521494e+01,  2.3910928185687736e+00,  5.2577809438684852e-03,  2.0944981352460805e-02,  1.7552835760794347e+00,  1.1282723445125880e-02,  2.7758322632433707e-01,  1.3915387104916654e+00,  1.1698238871667690e+00, -1.5317077332737516e+00,  0.0000000000000000e+00, -3.3519445010573030e+01, -2.2620771563333665e+01,  4.1200692667050349e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384311621155848e+02, -2.2904943448003646e-03,  2.6883257304234569e+01,  1.7652719141803486e-02,  1.5972724519145462e-01,  5.0550441767161691e-01,  1.2675253371318540e+01, -9.2129633202600064e-02, -1.5000000004501984e+04,  1.0000931759574396e+01,  2.3918010864632100e+00,  1.0513634322409189e-02,  3.3173841644509337e-02,  1.7658413485091755e+00, -3.8134600384584693e-03,  2.7758322632433707e-01,  1.0655148346410863e+00,  1.0259270105634166e+00, -1.3431264586287470e+00,  0.0000000000000000e+00, -3.1750534934713006e+01, -6.1873831326575406e+00,  3.3633901917224954e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384252233662130e+02, -2.4794301031263212e-03,  2.6890226950106793e+01,  6.9173894523196370e-03,  1.5614429355887580e-01,  5.0581788614270418e-01,  1.9012883551964027e+01, -1.3734647735215427e-01, -1.5000000013412786e+04,  1.0001277239527177e+01,  2.3924783401911949e+00,  1.5766630868161706e-02,  4.2233989037597390e-02,  1.7757816182485340e+00, -1.5552970033969958e-02,  2.7758322632433707e-01,  7.4228157635205250e-01,  1.4801311426049772e+00, -8.8438980733004990e-01,  0.0000000000000000e+00, -3.2960763374751522e+01,  9.7119050367378009e+01,  5.8205175672774153e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384188508796979e+02, -2.7744823434041038e-03,  2.6896474838925869e+01, -5.9500342376769639e-03,  1.5120189403557591e-01,  5.0619729579664363e-01,  2.5350515236936246e+01, -1.8199768385558443e-01, -1.5000000029589610e+04,  1.0001504161284393e+01,  2.3931122881215732e+00,  2.1015421777734473e-02,  4.8004642370824073e-02,  1.7954143983114728e+00, -2.1483586059038887e-02,  2.7758322632433707e-01,  2.6602598229379654e-01,  2.0135015218295220e+00, -3.0761917981975911e-01,  0.0000000000000000e+00, -6.2385606555711291e+01,  9.6616995533759376e+00,  5.7264303954786037e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384122801725687e+02, -3.1810624973761634e-03,  2.6901730986523781e+01, -1.9359941647181342e-02,  1.4419126753371073e-01,  5.0660339832778400e-01,  3.1688147797975592e+01, -2.2608284923788566e-01, -1.5000000055788631e+04,  1.0001598116002240e+01,  2.3936855554168113e+00,  2.6257486640495469e-02,  4.7549193479031887e-02,  1.8160114188844885e+00, -2.1699207393006105e-02,  2.7758322632433707e-01, -2.1065059140669448e-01,  1.6825436773512137e+00,  2.6596390905265287e-02,  0.0000000000000000e+00, -3.3045043499126997e+01, -7.5919460017933446e+01,  9.6456533043638331e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384057969278160e+02, -3.6926484655620136e-03,  2.6905837154703352e+01, -3.1956848425846694e-02,  1.3537361539943987e-01,  5.0700351034205371e-01,  3.8025780703528227e+01, -2.6960147163566206e-01, -1.5000000094920277e+04,  1.0001561283936141e+01,  2.3941792278389098e+00,  3.1489573144992046e-02,  4.3795839345715293e-02,  1.8290316546022063e+00, -2.0952189637355265e-02,  2.7758322632433707e-01, -5.8137453200803157e-01,  9.0875843806076428e-01,  3.2015690089600213e-01,  0.0000000000000000e+00, -4.1173889409260710e+01, -7.8992344888014401e+01,  4.9125160795781674e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3383996576052130e+02, -4.2943548071882600e-03,  2.6908762513106499e+01, -4.2520851098322987e-02,  1.2556635545735206e-01,  5.0736481520386800e-01,  4.4363413580932615e+01, -3.1255313479059554e-01, -1.5000000149171761e+04,  1.0001407095239635e+01,  2.3945793552425476e+00,  3.6709041081954642e-02,  3.5933318713636649e-02,  1.8341684306339543e+00, -1.5302466116362705e-02,  2.7758322632433707e-01, -9.2872203187155156e-01,  1.0998250695858378e-01,  6.0275025377365743e-01,  0.0000000000000000e+00, -2.8365080063415999e+01, -8.0922596518642109e+01,  7.4500284503249068e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3383940479687021e+02, -4.9632356333003573e-03,  2.6910562293898007e+01, -5.0069886625628016e-02,  1.1556364290240791e-01,  5.0766097182006975e-01,  5.0701046232353271e+01, -3.5493757833414835e-01, -1.5000000219541687e+04,  1.0001161183152277e+01,  2.3948803726320458e+00,  4.1914400756373676e-02,  2.5239954593036937e-02,  1.8312291072886915e+00, -8.9092275239954742e-03,  2.7758322632433707e-01, -1.1561314272785930e+00, -4.6517417107292386e-01,  8.1591081135048493e-01,  0.0000000000000000e+00, -1.7162280897073590e+01, -3.4223770423265684e+01,  3.5224715176555890e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3383890822473381e+02, -5.6697720801840721e-03,  2.6911367579504489e+01, -5.3875629373207723e-02,  1.0614049126630451e-01,  5.0786643942424503e-01,  5.7038678607418781e+01, -3.9675468671976843e-01, -1.5000000305955953e+04,  1.0000857306807399e+01,  2.3950842182731544e+00,  4.7105215650979582e-02,  1.2833789697081356e-02,  1.8248742414017280e+00,  9.9944819633429063e-04,  2.7758322632433707e-01, -1.1409885323783229e+00, -9.1302275478084649e-01,  1.0900846128060124e+00,  0.0000000000000000e+00,  2.0193888456107487e+01, -5.5435516035060516e+01,  1.9664879874840860e+01,  0.0000000000000000e+00
