#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927569042e+02, -2.1574662143679650e-03,  2.6867721768434347e+01, -3.9604936349023970e-02,  1.9127164287154572e-01,  5.0516278628649658e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681121e+00, -2.4869723644862327e-17,  5.3708704059146229e-03,  1.7424682438704797e+00,  2.6790091075902189e-02,  2.7758322632433702e-01,  1.5539443873209806e+00,  1.9494159508244273e+00, -1.3683974579574798e+00,  0.0000000000000000e+00, -4.3978959107061755e+01, -9.9074633046356357e+00, -3.9245725902083599e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384417300904079e+02, -2.5095685015277596e-03,  2.6865511437200571e+01, -4.1593604228037248e-02,  1.9814031605730970e-01,  5.0525278599425605e-01,  6.3376258739552433e+00, -4.6335461549218061e-02, -1.5000000068584030e+04,  9.9998202430711434e+00,  2.3914063088190645e+00,  5.3130358743517193e-03,  2.0894790359171172e-02,  1.7619429286939006e+00,  1.3119786800602691e-02,  2.7758322632433702e-01,  1.3342692669060867e+00,  1.8999281221299436e+00, -1.5644300548709842e+00,  0.0000000000000000e+00, -4.3978959107061755e+01, -9.9074633046356357e+00, -3.9245725902083599e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384409377060524e+02, -2.9255685116995490e-03,  2.6863856345006660e+01, -4.7583474205507965e-02,  2.0267475269861790e-01,  5.0547270432100500e-01,  1.2675255437425596e+01, -9.2082091511778916e-02, -1.5000000274516509e+04,  9.9996005905829417e+00,  2.3925032232974455e+00,  1.0637666766183827e-02,  3.2029597017424846e-02,  1.7804288457112378e+00, -4.4672526777638291e-03,  2.7758322632433702e-01,  8.9161926604777986e-01,  1.8366235682476790e+00, -1.7792428842292916e+00,  0.0000000000000000e+00, -4.4639571064771310e+01, -2.7661083825937811e+00, -3.7598025354494724e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384390373701706e+02, -3.4239531991847117e-03,  2.6862466619628048e+01, -5.6158613173325343e-02,  2.0504615341992302e-01,  5.0577690409209142e-01,  1.9012887931279977e+01, -1.3723991514573972e-01, -1.5000000618453600e+04,  9.9993080496655686e+00,  2.3936332944820298e+00,  1.5971045158934313e-02,  3.8709361109376561e-02,  1.7986387042832648e+00, -2.2429521575606924e-02,  2.7758322632433702e-01,  3.8002912473881773e-01,  2.2074048456396542e+00, -1.5849133248117597e+00,  0.0000000000000000e+00, -5.7780775225282902e+01,  7.6996520116467309e+01,  4.2664580330839300e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384362599165286e+02, -4.0122472079219375e-03,  2.6861014463817693e+01, -6.5882087124089911e-02,  2.0508403662833954e-01,  5.0612340882882056e-01,  2.5350522530010895e+01, -1.8180876950376842e-01, -1.5000001101734919e+04,  9.9989234065535122e+00,  2.3947738641831164e+00,  2.1309828857066341e-02,  3.9622586522695930e-02,  1.8245328386311110e+00, -3.6133852574102683e-02,  2.7758322632433702e-01, -3.0034156329282291e-01,  2.5929854149545557e+00, -1.0430805287219336e+00,  0.0000000000000000e+00, -7.8429436518651542e+01,  1.9670986037603264e-01,  6.5810345446343803e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384329161961330e+02, -4.6821373413937530e-03,  2.6859097315898033e+01, -7.4545575139698977e-02,  2.0225171061453320e-01,  5.0645888201258193e-01,  3.1688158417877023e+01, -2.2578824353629279e-01, -1.5000001726715915e+04,  9.9984453795878210e+00,  2.3958990250386667e+00,  2.6649618139347978e-02,  3.2708530673955523e-02,  1.8504466046819572e+00, -4.3270291380240966e-02,  2.7758322632433702e-01, -9.6723672428716034e-01,  2.2254664795367103e+00, -6.4870643445355991e-01,  0.0000000000000000e+00, -5.5082974712414753e+01, -7.3774000731028863e+01,  1.3143348226184646e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384293480042766e+02, -5.4108171182635882e-03,  2.6856443666929561e+01, -8.0234643918329226e-02,  1.9692275656367372e-01,  5.0674045372724352e-01,  3.8025794869413701e+01, -2.6917775129988736e-01, -1.5000002496279425e+04,  9.9978942100823254e+00,  2.3969823281456537e+00,  3.1985368465595798e-02,  2.0297177446029394e-02,  1.8689977033571192e+00, -4.9095020095652329e-02,  2.7758322632433702e-01, -1.4546364532842613e+00,  1.5482756830382038e+00, -6.6646559148347384e-01,  0.0000000000000000e+00, -4.2494451032804960e+01, -6.1799596727972002e+01, -1.6698731463573452e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384258557274632e+02, -6.1648772943267774e-03,  2.6852902905592124e+01, -8.1443376883983148e-02,  1.8981724822917453e-01,  5.0693407796613177e-01,  4.4363431311509970e+01, -3.1197672741503268e-01, -1.5000003412845414e+04,  9.9973073244869770e+00,  2.3980029125240501e+00,  3.7312630283380027e-02,  3.6448652736705777e-03,  1.8813811837636396e+00, -5.6586287214076610e-02,  2.7758322632433702e-01, -1.7594190361690165e+00,  8.4167948490904965e-01, -6.1761603569959556e-01,  0.0000000000000000e+00, -1.8523022060723036e+01, -7.9660962137484645e+01,  2.6478412531505871e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384226730177124e+02, -6.9036425915704157e-03,  2.6848416668557039e+01, -7.7362774638765494e-02,  1.8172227988230094e-01,  5.0701176288049055e-01,  5.0701067326857611e+01, -3.5418468966110161e-01, -1.5000004478061479e+04,  9.9967338547206683e+00,  2.3989470460778652e+00,  4.2627867389278283e-02, -1.4856050049855057e-02,  1.8858144762823750e+00, -6.1435000828910985e-02,  2.7758322632433702e-01, -1.7344714086670887e+00,  2.1996158816821898e-01, -6.1968011140158819e-01,  0.0000000000000000e+00,  2.3517537086609238e+01, -4.4806960790029727e+01, -2.6891640487044739e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3384199543448926e+02, -7.5866353673111992e-03,  2.6843011396069290e+01, -6.8024072585297468e-02,  1.7337469451600501e-01,  5.0696600291647376e-01,  5.7038702645384127e+01, -3.9580130771403282e-01, -1.5000005692567911e+04,  9.9962273405201199e+00,  2.3998092057878355e+00,  4.7928807419701826e-02, -3.1009908126271236e-02,  1.8857760206900775e+00, -6.8967508221101342e-02,  2.7758322632433702e-01, -1.2434229445129898e+00, -2.0428900675838133e-01, -4.7121907906391214e-01,  0.0000000000000000e+00,  7.4790365437041132e+01, -4.0128008314275668e+01,  5.6613539161047356e+01,  0.0000000000000000e+00
