#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568837e+02, -2.1574662143679650e-03,  2.6867721768434350e+01,  3.4412800557069002e-02,  1.6627012309195127e-01,  5.0512286704363518e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681099e+00, -2.4869723644862330e-17,  5.3708704059146194e-03,  1.7424682438704788e+00,  2.6790091075902203e-02,  2.7758322632433707e-01,  1.5622753658874178e+00,  1.3352303434425261e+00, -1.5555131112116705e+00,  0.0000000000000000e+00, -3.3591570660243725e+01, -2.3709429904936496e+01,  4.1301546514303649e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384374000881712e+02, -2.1539138486726989e-03,  2.6876019231664426e+01,  3.0741097745267842e-02,  1.6490941244487409e-01,  5.0522105082164137e-01,  6.3376258229714271e+00, -4.6347390282877161e-02, -1.5000000000755592e+04,  1.0000549108286448e+01,  2.3911191001377055e+00,  5.2618159468036801e-03,  2.0978016918276436e-02,  1.7558072083404341e+00,  1.1250499555306095e-02,  2.7758322632433707e-01,  1.3944853026494370e+00,  1.2168016226386476e+00, -1.5348829680976326e+00,  0.0000000000000000e+00, -3.3591570660243725e+01, -2.3709429904936496e+01,  4.1301546514303649e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384329509046688e+02, -2.2096123796735297e-03,  2.6883822330561369e+01,  2.2943714829901169e-02,  1.6225621551124125e-01,  5.0545364303284623e-01,  1.2675255372527008e+01, -9.2129502446854875e-02, -1.5000000004656677e+04,  1.0001040539775447e+01,  2.3918528709055096e+00,  1.0521609618098615e-02,  3.3232714614694583e-02,  1.7667799646025197e+00, -3.8769012936808668e-03,  2.7758322632433707e-01,  1.0677542562380584e+00,  1.0568204773141940e+00, -1.3534947790198812e+00,  0.0000000000000000e+00, -3.1819984831314351e+01, -8.3187953890191135e+00,  3.2183760801935527e+01,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384279701162495e+02, -2.3481602210224488e-03,  2.6891045338823801e+01,  1.2068133720277882e-02,  1.5853396903268346e-01,  5.0577800072551860e-01,  1.9012888109398702e+01, -1.3734603248336469e-01, -1.5000000013868050e+04,  1.0001438343582704e+01,  2.3925544137175550e+00,  1.5778420624413907e-02,  4.2311768291664213e-02,  1.7769225025924660e+00, -1.5792353172363854e-02,  2.7758322632433707e-01,  7.4390297379393611e-01,  1.5159496412819240e+00, -8.7061938417233498e-01,  0.0000000000000000e+00, -3.3015041913998907e+01,  1.0023645401535867e+02,  6.4487893246543194e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384225924102338e+02, -2.5886219316668176e-03,  2.6897522617528885e+01, -9.4136689484600872e-04,  1.5341173237961755e-01,  5.0617010507571714e-01,  2.5350523430392069e+01, -1.8199664626379863e-01, -1.5000000030565676e+04,  1.0001716175512090e+01,  2.3932111489190748e+00,  2.1030883157594250e-02,  4.8095910894293707e-02,  1.7970686687240367e+00, -2.1271893984436810e-02,  2.7758322632433707e-01,  2.7059149883968847e-01,  2.0412876974122343e+00, -2.7461733117148840e-01,  0.0000000000000000e+00, -6.1741915371841444e+01,  4.9362248219294811e+00,  5.4831717764226262e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384170515927099e+02, -2.9407993133705999e-03,  2.6902983604111899e+01, -1.4496766179737696e-02,  1.4621139573892983e-01,  5.0658882918731296e-01,  3.1688160732492282e+01, -2.2608088300477222e-01, -1.5000000057576628e+04,  1.0001859639134043e+01,  2.3938052735983715e+00,  2.6276408032563349e-02,  4.7718191844904743e-02,  1.8177074715717314e+00, -2.1279212936029957e-02,  2.7758322632433707e-01, -2.0798786467003952e-01,  1.6802581570138821e+00,  9.3872193260264650e-02,  0.0000000000000000e+00, -3.4069673202806094e+01, -7.7214338809679703e+01,  1.8939885027010689e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384116236129353e+02, -3.4037138890926975e-03,  2.6907271085466014e+01, -2.7243829763070698e-02,  1.3720137509378902e-01,  5.0699845571066438e-01,  3.8025799503904793e+01, -2.6959824715387454e-01, -1.5000000097832442e+04,  1.0001870815134884e+01,  2.3943178771959288e+00,  3.1511729157427636e-02,  4.3940309202584626e-02,  1.8306402602727656e+00, -1.9396325687528426e-02,  2.7758322632433707e-01, -5.7831628192938755e-01,  9.2289823961117112e-01,  3.7778955650324786e-01,  0.0000000000000000e+00, -4.0070075932515408e+01, -7.4409116654342938e+01,  3.7900371094234579e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384065577491174e+02, -3.9645771560467878e-03,  2.6910351041161263e+01, -3.7947322105242098e-02,  1.2718292175648341e-01,  5.0736255694740828e-01,  4.4363439382989995e+01, -3.1254836970703098e-01, -1.5000000153560110e+04,  1.0001763181290636e+01,  2.3947349220890253e+00,  3.6734140395655132e-02,  3.6163420977184710e-02,  1.8361469968386879e+00, -1.3730970048852176e-02,  2.7758322632433707e-01, -8.8334221087694553e-01,  1.5455877351535666e-01,  6.2592309343407448e-01,  0.0000000000000000e+00, -2.0996115042785686e+01, -7.9412444458039076e+01,  1.1775962999316894e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384020348685237e+02, -4.6014591997598914e-03,  2.6912273871671839e+01, -4.5768694200268238e-02,  1.1693464004156197e-01,  5.0765994062013819e-01,  5.0701080174495182e+01, -3.5493105226848393e-01, -1.5000000225820668e+04,  1.0001561978276477e+01,  2.3950505958258566e+00,  4.1942061795780874e-02,  2.6291114180068229e-02,  1.8337283476556898e+00, -6.8903697747597029e-03,  2.7758322632433707e-01, -1.0628523736210262e+00, -4.6051650495804797e-01,  8.4691123182828698e-01,  0.0000000000000000e+00, -1.4941819538579118e+01, -4.3725626292336493e+01,  3.2465862307204382e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3383981636345607e+02, -5.2858233632091939e-03,  2.6913171481085055e+01, -5.0128305310168361e-02,  1.0725125592674434e-01,  5.0787109178038758e-01,  5.7038721825469544e+01, -3.9674624917357010e-01, -1.5000000314589814e+04,  1.0001298650877029e+01,  2.3952666581806148e+00,  4.7135043762814618e-02,  1.4927609316424955e-02,  1.8269458678684971e+00,  3.1903332843803240e-03,  2.7758322632433707e-01, -1.0514857993358726e+00, -9.2309100560212320e-01,  1.0721957674517886e+00,  0.0000000000000000e+00,  1.7217407710466713e+01, -4.8881788736607469e+01,  1.2636101724620781e+01,  0.0000000000000000e+00
