#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568906e+02, -2.1574662143679650e-03,  2.6867721768434350e+01, -3.1721260659260453e-02,  1.7900391823438536e-01,  5.0410291160153964e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681108e+00, -2.4869723644862330e-17,  5.3708704059146212e-03,  1.7424682438704790e+00,  2.6790091075902200e-02,  2.7758322632433702e-01,  9.2045405059601704e-01,  1.5964226926366913e+00, -1.3651059219688197e+00,  0.0000000000000000e+00, -2.2738748206607962e+01, -2.7814493262763012e+01,  1.0976087700266719e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384367999174572e+02, -2.3417976374304167e-03,  2.6877380990510549e+01, -3.0318967511338397e-02,  1.7739659802373409e-01,  5.0416940128307808e-01,  6.3376258142078257e+00, -4.6347378934483770e-02, -1.5000000000890328e+04,  9.9999105972282383e+00,  2.3912451972673696e+00,  5.2736754094559858e-03,  1.4566215566713992e-02,  1.7584165225181982e+00,  1.3152669278011894e-02,  2.7758322632433702e-01,  8.0687388972384944e-01,  1.4574891598556574e+00, -1.3596233606799750e+00,  0.0000000000000000e+00, -2.2738748206607962e+01, -2.7814493262763012e+01,  1.0976087700266719e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384317542489930e+02, -2.5481531180256379e-03,  2.6886459484717101e+01, -2.9035334135793796e-02,  1.7424355278371850e-01,  5.0432279274460268e-01,  1.2675255313620841e+01, -9.2129426066778333e-02, -1.5000000005514708e+04,  9.9998349597405962e+00,  2.3921014837040513e+00,  1.0544253582880454e-02,  2.1492226843953570e-02,  1.7715889064050576e+00, -3.7521083578561656e-04,  2.7758322632433702e-01,  6.6867603223533023e-01,  1.2687859651183058e+00, -1.3283278843670951e+00,  0.0000000000000000e+00, -4.9284628625935918e+00, -9.9638863236548314e+00,  5.1677455878119973e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384261938229793e+02, -2.7823863687783221e-03,  2.6894852246612736e+01, -2.8194786580590995e-02,  1.6980895795832546e-01,  5.0454270756524466e-01,  1.9012887927363845e+01, -1.3734580767553337e-01, -1.5000000016467500e+04,  9.9997710354140601e+00,  2.3929197540922038e+00,  1.5809972779564994e-02,  2.7926376050936372e-02,  1.7837668914516309e+00, -1.3387348391660331e-02,  2.7758322632433702e-01,  5.7384545524746866e-01,  1.6103838100501793e+00, -1.0208782342899116e+00,  0.0000000000000000e+00, -1.4056618650376272e+01,  7.8351774879015977e+01,  5.6383674357640082e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384202643160734e+02, -3.0557349442782091e-03,  2.6902390267982231e+01, -2.8611105804856318e-02,  1.6386901795565051e-01,  5.0482555834319220e-01,  2.5350523026938081e+01, -1.8199619223114433e-01, -1.5000000036265816e+04,  9.9997096307821920e+00,  2.3936857989683080e+00,  2.1068991709423730e-02,  3.2957670505241655e-02,  1.8037644071053609e+00, -2.0772378354065570e-02,  2.7758322632433702e-01,  2.4475711123364566e-01,  2.0608264356937660e+00, -4.4212882693409838e-01,  0.0000000000000000e+00, -5.1826867821191072e+01,  1.1826838774830120e+01,  5.9481956994993695e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384142032094041e+02, -3.3749680128795602e-03,  2.6908808721073953e+01, -2.9998706912228990e-02,  1.5582055141883547e-01,  5.0514221825736239e-01,  3.1688159994530221e+01, -2.2608014282279154e-01, -1.5000000067904466e+04,  9.9996384061181036e+00,  2.3943813709977531e+00,  2.6318616425333147e-02,  3.2816628023636586e-02,  1.8249422448121457e+00, -2.2221091187546414e-02,  2.7758322632433702e-01, -2.1593051426522486e-01,  1.7109357183299945e+00,  7.0694720204884272e-03,  0.0000000000000000e+00, -4.0402794803682802e+01, -8.1874960391057300e+01,  3.0447542455714590e+01,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384082892096444e+02, -3.7375668038471819e-03,  2.6913953375796869e+01, -3.1339976521530796e-02,  1.4597231535323843e-01,  5.0545914151472215e-01,  3.8025798305941606e+01, -2.6959714742004032e-01, -1.5000000114439074e+04,  9.9995525182479437e+00,  2.3949872918791622e+00,  3.1555597158510224e-02,  2.8643374515926474e-02,  1.8379489369421240e+00, -2.0631130161848019e-02,  2.7758322632433702e-01, -5.6943891655555323e-01,  9.3057637686912764e-01,  2.1406293976498258e-01,  0.0000000000000000e+00, -3.0369587334840979e+01, -7.4352979769408165e+01,  1.0992549786733155e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384027708954773e+02, -4.1335107527780196e-03,  2.6917789363724381e+01, -3.1748247904354578e-02,  1.3511426007550606e-01,  5.0574485305494832e-01,  4.4363437590353961e+01, -3.1254677709724588e-01, -1.5000000178163065e+04,  9.9994564162108102e+00,  2.3954895471012305e+00,  3.6777316961908564e-02,  2.1439227093455700e-02,  1.8435351794149255e+00, -1.7944109374060248e-02,  2.7758322632433702e-01, -7.3971689910424132e-01,  1.4086416677411212e-01,  5.0789334199068936e-01,  0.0000000000000000e+00, -3.7200647714063533e+00, -8.3747404691613909e+01,  4.7832296738853309e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3383978303169204e+02, -4.5477418390708572e-03,  2.6920375805207250e+01, -3.0596627938458677e-02,  1.2407526925828782e-01,  5.0597950428088068e-01,  5.0701077644966972e+01, -3.5492876621127706e-01, -1.5000000260174602e+04,  9.9993631610123686e+00,  2.3958824662252134e+00,  4.1982363782281040e-02,  1.3863816092265308e-02,  1.8407634058087397e+00, -1.0483411041154923e-02,  2.7758322632433702e-01, -6.9178741024343460e-01, -4.6560181152968200e-01,  9.2207963261648351e-01,  0.0000000000000000e+00,  1.3315548441339971e+01, -3.7667084164805630e+01,  3.5087798644430578e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3383935765203762e+02, -4.9655361962493124e-03,  2.6921844797917547e+01, -2.8014108483562884e-02,  1.1361093781883007e-01,  5.0615967236157866e-01,  5.7038718413932408e+01, -3.9674302878669299e-01, -1.5000000360441867e+04,  9.9992880170779674e+00,  2.3961682287475008e+00,  4.7170592077555834e-02,  7.6173008148656043e-03,  1.8342324459178290e+00,  4.7906010878656814e-04,  2.7758322632433702e-01, -4.4517805724694148e-01, -8.9309569531140698e-01,  1.2340111793248640e+00,  0.0000000000000000e+00,  3.6055644028557886e+01, -4.7917191368295825e+01,  2.7360897006587315e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3383900545464144e+02, -5.3792145690239644e-03,  2.6922336602082289e+01, -2.5093933532490842e-02,  1.0409132241997747e-01,  5.0629988773996415e-01,  6.3376359953372138e+01, -4.3798963920420675e-01, -1.5000000478091266e+04,  9.9992407079875303e+00,  2.3963547327182257e+00,  5.2342926790039497e-02,  4.9691496138049357e-03,  1.8229193359723479e+00,  1.4172156977323882e-02,  2.7758322632433702e-01, -2.8049344927629333e-01, -1.1663099680617448e+00,  1.0434407230428191e+00,  0.0000000000000000e+00, -3.0857855128341143e+00, -6.7803060363217780e+00, -6.5513102354252709e+01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3383872635747798e+02, -5.7847503860147228e-03,  2.6922018317788826e+01, -2.2447149034459886e-02,  9.5820461404171706e-02,  5.0640005880691830e-01,  6.9714002398710690e+01, -4.7866878815180963e-01, -1.5000000611720183e+04,  9.9992204203653969e+00,  2.3964533130601908e+00,  5.7501003794844241e-02,  2.0130360940605421e-03,  1.8109295494530588e+00,  2.1327026603148589e-02,  2.7758322632433702e-01, -3.9020989381120946e-01, -1.2675531743301569e+00,  8.4459414370777441e-01,  0.0000000000000000e+00, -1.8879446683056070e+01, -1.3488583858614181e+01,  2.5704017171376705e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3383851704470226e+02, -6.1741327301444290e-03,  2.6921058685114705e+01, -1.9534576278035971e-02,  8.8965560724689835e-02,  5.0644326455143962e-01,  7.6051645938168264e+01, -5.1878070586155434e-01, -1.5000000759606432e+04,  9.9992263402003143e+00,  2.3964772251620818e+00,  6.2646699136900935e-02, -2.8272518609445000e-03,  1.7975935982234936e+00,  3.1047164843613070e-02,  2.7758322632433702e-01, -4.6262130312186328e-01, -1.2754682701469831e+00,  9.6760950901690002e-01,  0.0000000000000000e+00,  4.3826825390631665e+00,  1.1903981676085609e+01, -1.0763410364897439e+00,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3383837116033305e+02, -6.5357449567069840e-03,  2.6919615793097432e+01, -1.5933963836606928e-02,  8.3509034228456666e-02,  5.0641794435055076e-01,  8.2389290795627943e+01, -5.5832563140980707e-01, -1.5000000919802837e+04,  9.9992641011748962e+00,  2.3964410132413061e+00,  6.7781932888147572e-02, -7.2301467854971610e-03,  1.7854456679316406e+00,  4.0659883926163563e-02,  2.7758322632433702e-01, -3.4094484145692522e-01, -1.1166510550785436e+00,  7.6404617534396480e-01,  0.0000000000000000e+00,  1.9976945086257295e+01,  1.9891224780615609e+01, -3.9677038364831581e+01,  0.0000000000000000e+00
