#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927569338e+02, -2.1574662143679650e-03,  2.6867721768434343e+01, -5.2880473358563732e-02,  1.8972981216132276e-01,  5.0383922754436750e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681157e+00, -2.4869723644862324e-17,  5.3708704059146281e-03,  1.7424682438704808e+00,  2.6790091075902172e-02,  2.7758322632433685e-01,  1.0335352059480574e+00,  2.0707643638515569e+00, -1.3833034952381140e+00,  0.0000000000000000e+00, -3.0458940793673271e+01, -1.7212293390646739e+01,  1.0039754387897988e+01,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384360536727388e+02, -2.4188615089763823e-03,  2.6879045547988465e+01, -5.3774884738272737e-02,  1.9753114841960770e-01,  5.0392245140695446e-01,  6.3376258013409688e+00, -4.6347354881238215e-02, -1.5000000001074095e+04,  9.9996911945808176e+00,  2.3913985442790255e+00,  5.2981647883282483e-03,  1.5695897438362753e-02,  1.7631552005523146e+00,  1.2970875339257677e-02,  2.7758322632433685e-01,  8.8139264454109789e-01,  1.9847888723897849e+00, -1.3331548719219402e+00,  0.0000000000000000e+00, -3.0458940793673271e+01, -1.7212293390646739e+01,  1.0039754387897988e+01,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384298095985991e+02, -2.7249205205388005e-03,  2.6890657590373387e+01, -5.7375051726974415e-02,  2.0263422789270083e-01,  5.0410524765668097e-01,  1.2675255213139815e+01, -9.2129243245538339e-02, -1.5000000006881261e+04,  9.9993603517980940e+00,  2.3924947358210966e+00,  1.0608849238499049e-02,  2.2981113054088412e-02,  1.7821243651969501e+00,  1.5363009844082914e-04,  2.7758322632433685e-01,  5.6650103664462148e-01,  1.8689563929002111e+00, -1.2455761671787393e+00,  0.0000000000000000e+00, -3.2582359107201327e+01, -5.9773690031660243e+00,  7.4935023016908735e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384226354430041e+02, -3.0890597823119981e-03,  2.6902324406208781e+01, -6.2626002315462850e-02,  2.0564371894863168e-01,  5.0435440816040977e-01,  1.9012887578391894e+01, -1.3734516583610684e-01, -1.5000000021125583e+04,  9.9989854712650743e+00,  2.3936297966834172e+00,  1.5928745892737829e-02,  2.7014599469224319e-02,  1.8004969866242468e+00, -1.1915761367610238e-02,  2.7758322632433685e-01,  2.2184635932273242e-01,  2.3757349141934254e+00, -1.2536325555005647e+00,  0.0000000000000000e+00, -3.6417507292640863e+01,  1.0743442896606764e+02, -9.1063912437203598e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384146929700205e+02, -3.5198928180399341e-03,  2.6913785618134124e+01, -6.8594494018304780e-02,  2.0666622228553000e-01,  5.0465270512751581e-01,  2.5350522166970929e+01, -1.8199456428047986e-01, -1.5000000047607493e+04,  9.9985543597606981e+00,  2.3947833695323415e+00,  2.1254917887192873e-02,  2.7413607745851297e-02,  1.8295915962497658e+00, -2.4893973408063961e-02,  2.7758322632433685e-01, -3.2832366820550635e-01,  2.8790905149976740e+00, -1.2906320865567451e+00,  0.0000000000000000e+00, -7.3726532218512517e+01, -6.6626376850569748e+00,  1.6990851262730144e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384062204928296e+02, -4.0135831797662577e-03,  2.6924727688315595e+01, -7.3550339331285408e-02,  2.0545476019070727e-01,  5.0495931132973826e-01,  3.1688158240057458e+01, -2.2607670650298917e-01, -1.5000000090837795e+04,  9.9980669351675910e+00,  2.3959341049141574e+00,  2.6583972248195170e-02,  2.0454686018564851e-02,  1.8580212726381864e+00, -3.7702616243868885e-02,  2.7758322632433685e-01, -9.0548498831478508e-01,  2.4161569607857669e+00, -1.2580379053130730e+00,  0.0000000000000000e+00, -4.1821164067365025e+01, -8.6016659868167039e+01,  4.8262699587102249e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3383974774529077e+02, -4.5492434386356622e-03,  2.6935005929768835e+01, -7.5803526925063217e-02,  2.0262718512649239e-01,  5.0522134210714997e-01,  3.8025795142311530e+01, -2.6959074787163262e-01, -1.5000000155401271e+04,  9.9975428821178678e+00,  2.3970630896441008e+00,  3.1912359435075324e-02,  9.3219995877137345e-03,  1.8778664606011297e+00, -5.0029595891841638e-02,  2.7758322632433685e-01, -1.2148286897174445e+00,  1.7437449545411501e+00, -9.9755694060207900e-01,  0.0000000000000000e+00, -2.0109444953447426e+01, -4.8600223782005131e+01,  4.7322019176430679e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3383886803004532e+02, -5.0988551455169685e-03,  2.6944601109307847e+01, -7.4364482465288137e-02,  1.9905694064037455e-01,  5.0540538181839989e-01,  4.4363432358609785e+01, -3.1253590835956502e-01, -1.5000000245102199e+04,  9.9970145795731646e+00,  2.3981588040500084e+00,  3.7237398734394848e-02, -3.8176154742911865e-03,  1.8928613316699776e+00, -5.7633823848306030e-02,  2.7758322632433685e-01, -1.2554168825589727e+00,  1.0732832947441950e+00, -4.4491656303296800e-01,  0.0000000000000000e+00,  1.1983688746573486e+01, -8.5626200509345210e+01,  6.3316584412905307e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3383799795325820e+02, -5.6351901215480659e-03,  2.6953574166055873e+01, -6.9176466232080694e-02,  1.9549965499245139e-01,  5.0550660121372681e-01,  5.0701069517521447e+01, -3.5491154863092422e-01, -1.5000000362759709e+04,  9.9965194669113551e+00,  2.3992179534722351e+00,  4.2557658129314661e-02, -1.5761254809068939e-02,  1.8993106822743404e+00, -5.8919037710682159e-02,  2.7758322632433685e-01, -1.0919308059691937e+00,  4.8915600636902140e-01,  1.6783014493591167e-02,  0.0000000000000000e+00,  2.0746223786700444e+01, -3.1316082623364643e+01,  2.9115671007911853e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3383714541932488e+02, -6.1336658212702809e-03,  2.6962062298597672e+01, -6.0774639593999626e-02,  1.9269885447368013e-01,  5.0552850059606724e-01,  5.7038706369202856e+01, -3.9671719086529517e-01, -1.5000000510285992e+04,  9.9960924707237897e+00,  2.4002445941618746e+00,  4.7872996258094713e-02, -2.5634414794354982e-02,  1.9026346784505774e+00, -5.7298498883399114e-02,  2.7758322632433685e-01, -7.6194648814654076e-01,  5.0427347294285996e-02,  3.6170788765814510e-01,  0.0000000000000000e+00,  4.5316636641394517e+01, -5.6517394923397340e+01,  3.9938288599631875e+01,  0.0000000000000000e+00
