#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3384412927568837e+02, -2.1574662143679650e-03,  2.6867721768434350e+01, -5.9477775545465551e-02,  1.6633896963680850e-01,  5.0500299033863283e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  9.9999999999999982e+00,  2.3903651108681099e+00, -2.4869723644862330e-17,  5.3708704059146194e-03,  1.7424682438704788e+00,  2.6790091075902203e-02,  2.7758322632433707e-01,  1.0672553208742503e+00,  1.3482726415845430e+00, -1.3417686918917671e+00,  0.0000000000000000e+00, -3.1497051583955162e+01, -2.4988934963871532e+01,  2.1799907453976290e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3384373966330156e+02, -2.5780060921649578e-03,  2.6876024823266825e+01, -6.0271585507694160e-02,  1.6496303241269938e-01,  5.0506984244920705e-01,  6.3376258224389730e+00, -4.6347411479061303e-02, -1.5000000000764008e+04,  9.9996242971770464e+00,  2.3911199600131479e+00,  5.2607171131261125e-03,  1.6032761723339697e-02,  1.7559375010291656e+00,  1.3385808439620814e-02,  2.7758322632433707e-01,  9.0992739088446417e-01,  1.2234527866201497e+00, -1.3308796272294412e+00,  0.0000000000000000e+00, -3.1497051583955162e+01, -2.4988934963871532e+01,  2.1799907453976290e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3384329444997388e+02, -3.0397449273494906e-03,  2.6883830834529324e+01, -6.3825079798184456e-02,  1.6229123235767376e-01,  5.0521095685085560e-01,  1.2675255369460661e+01, -9.2129632180535548e-02, -1.5000000004707765e+04,  9.9992265437980787e+00,  2.3918545569139487e+00,  1.0518897949687278e-02,  2.3551237856153664e-02,  1.7669128549917605e+00,  1.9908953285642555e-04,  2.7758322632433707e-01,  6.1126463663688324e-01,  1.0258629501186387e+00, -1.3134192354084258e+00,  0.0000000000000000e+00, -2.8295231816410581e+01, -1.4568550303731008e+01,  1.3155796971697054e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3384279614852278e+02, -3.5541939293811864e-03,  2.6891057035748702e+01, -6.9204884078822040e-02,  1.5856249751097448e-01,  5.0539434676154804e-01,  1.9012888101815115e+01, -1.3734642696037522e-01, -1.5000000014000736e+04,  9.9987838727675946e+00,  2.3925570619493803e+00,  1.5773036052186072e-02,  2.8245841376424274e-02,  1.7764342632692982e+00, -1.2856334125982093e-02,  2.7758322632433707e-01,  3.6025724756053146e-01,  1.5466613377261544e+00, -9.8110140507323562e-01,  0.0000000000000000e+00, -2.1956447476675027e+01,  1.1883238750275571e+02,  6.5214449935935306e+01,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3384225810873158e+02, -4.1290321027972147e-03,  2.6897537268883308e+01, -7.5705168942466983e-02,  1.5343502337045670e-01,  5.0559900948744330e-01,  2.5350523416275731e+01, -1.8199752302389699e-01, -1.5000000030822079e+04,  9.9982814865142231e+00,  2.3932150577469669e+00,  2.1021280996258569e-02,  3.0749184860360088e-02,  1.7978151794218535e+00, -1.9403336142932499e-02,  2.7758322632433707e-01, -6.2635019830526134e-02,  2.1445719156455954e+00, -4.9882205570324695e-01,  0.0000000000000000e+00, -6.2706584455014685e+01,  8.6931019671639209e-01,  3.1337875807936406e+01,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3384170387676534e+02, -4.7618525215240345e-03,  2.6902976988172473e+01, -8.1987246823600951e-02,  1.4610628204972875e-01,  5.0578665439811199e-01,  3.1688160704271141e+01, -2.2608248305434001e-01, -1.5000000058097075e+04,  9.9977136388794658e+00,  2.3938101576140407e+00,  2.6260451319582528e-02,  2.6994392428761414e-02,  1.8192828529924869e+00, -2.2822808765407609e-02,  2.7758322632433707e-01, -5.6553402235164207e-01,  1.7366786141252466e+00, -2.9604393684369462e-01,  0.0000000000000000e+00, -3.7973795849712644e+01, -8.2529549161090330e+01,  9.2583035877459938e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3384116157880624e+02, -5.4361096448197780e-03,  2.6907220131456015e+01, -8.6528589272304599e-02,  1.3691908195499936e-01,  5.0592622556618516e-01,  3.8025799448905069e+01, -2.6960077437578356e-01, -1.5000000098862609e+04,  9.9970905064297853e+00,  2.3943227221608545e+00,  3.1486701021282093e-02,  1.9449803794393216e-02,  1.8325140528309494e+00, -2.5318299916033290e-02,  2.7758322632433707e-01, -9.5790356809796451e-01,  9.8585468126841325e-01,  5.7118259426861703e-02,  0.0000000000000000e+00, -4.0578587208701130e+01, -6.7785402196847613e+01,  6.1444768105619353e+01,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3384065630523287e+02, -6.1278611538265245e-03,  2.6910225591785700e+01, -8.8087660619880839e-02,  1.2665698709270962e-01,  5.0600225007500343e-01,  4.4363439286619801e+01, -3.1255194040116802e-01, -1.5000000155391248e+04,  9.9964350807390012e+00,  2.3947383223841823e+00,  3.6696924966363141e-02,  7.8554599992316492e-03,  1.8389802492216261e+00, -2.1681584800834947e-02,  2.7758322632433707e-01, -1.2564735585308759e+00,  1.0672273650197898e-01,  5.7682251459534306e-01,  0.0000000000000000e+00, -1.9195124875967696e+01, -1.0821681314539251e+02,  4.2600023779110572e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3384020653028153e+02, -6.8104678394683045e-03,  2.6912056960137203e+01, -8.5891606192318226e-02,  1.1621987053807996e-01,  5.0602416925734961e-01,  5.0701080021612917e+01, -3.5493567969244971e-01, -1.5000000228764568e+04,  9.9957816412079090e+00,  2.3950508457246289e+00,  4.1889445472755665e-02, -5.6545630094204935e-03,  1.8346463752385813e+00, -1.3793374549492967e-02,  2.7758322632433707e-01, -1.4309055233657209e+00, -5.3439959577374729e-01,  6.3257213987389216e-01,  0.0000000000000000e+00, -1.5726154483968072e+01, -2.0135877776207824e+01, -3.1438948798345169e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3383982269208093e+02, -7.4544861156724566e-03,  2.6912858650553250e+01, -7.9348770901323973e-02,  1.0642622921122656e-01,  5.0598899725421453e-01,  5.7038721608281925e+01, -3.9675187433947295e-01, -1.5000000318829641e+04,  9.9951704967185044e+00,  2.3952628167187240e+00,  4.7064166914469782e-02, -2.0734060947136385e-02,  1.8283029346207520e+00, -9.0427808073505946e-03,  2.7758322632433707e-01, -1.3322116373067341e+00, -9.3931037029653552e-01,  2.6533484601849477e-01,  0.0000000000000000e+00,  3.5484670472976987e+01, -6.0927259283254472e+01, -4.2081957431505309e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3383950850184988e+02, -8.0332382900097365e-03,  2.6912769952234967e+01, -6.8828982255782545e-02,  9.7599471063488125e-02,  5.0590361037687603e-01,  6.3376364109037546e+01, -4.3800053126019856e-01, -1.5000000424569771e+04,  9.9946446166407554e+00,  2.3953826542754970e+00,  5.2222024626906755e-02, -3.2272178140424178e-02,  1.8158789352726166e+00, -8.4919790246479158e-03,  2.7758322632433707e-01, -9.0560117047311339e-01, -1.2628561399014933e+00,  5.2789769255041329e-02,  0.0000000000000000e+00,  4.9922744987113880e+01, -3.8466037916580276e+00, -4.6956693653806059e-01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3383926337505011e+02, -8.5307045572923998e-03,  2.6911975470011527e+01, -5.5739160943946327e-02,  9.0133055965126815e-02,  5.0578597182961471e-01,  6.9714007660309477e+01, -4.7868177265308387e-01, -1.5000000544435707e+04,  9.9942370645294947e+00,  2.3954222795331135e+00,  5.7364697514857177e-02, -3.8827990427118673e-02,  1.8030710437136293e+00, -7.9880401628942242e-03,  2.7758322632433707e-01, -4.5565949082748808e-01, -1.3065052635608119e+00,  5.9866727863922875e-01,  0.0000000000000000e+00,  4.0155579277940397e+01, -4.8919507649373797e+00,  1.0975424431525241e+02,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3383908338087315e+02, -8.9430152005641646e-03,  2.6910641770127331e+01, -4.1654858255369742e-02,  8.4110121374307484e-02,  5.0566478000437887e-01,  7.6051652450897706e+01, -5.1879583695185361e-01, -1.5000000676530142e+04,  9.9939655461955770e+00,  2.3953958272823557e+00,  6.2494489352827857e-02, -4.1376263871243116e-02,  1.7897749340026703e+00,  3.4694051639480561e-03,  2.7758322632433707e-01, -1.5623692569877703e-01, -1.3278832729599430e+00,  1.0788731832633014e+00,  0.0000000000000000e+00,  1.9788818260827579e+01,  6.1207328323129706e-01, -1.3617022209513021e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3383896225008561e+02, -9.2689136017596735e-03,  2.6908926499077392e+01, -2.7302712579758543e-02,  7.9511301380701421e-02,  5.0553732556334685e-01,  8.2389298698462582e+01, -5.5834302548917791e-01, -1.5000000818859800e+04,  9.9938358368478521e+00,  2.3953178452426007e+00,  6.7613951487124554e-02, -4.1949607324197134e-02,  1.7765399093887553e+00,  1.3567867594614284e-02,  2.7758322632433707e-01,  2.7174610138992236e-02, -1.1677398552564435e+00,  8.6017926458259353e-01,  0.0000000000000000e+00,  1.6930171213893811e+01,  3.1448638941008905e+01, -3.0165500310364415e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3383889251793084e+02, -9.5102519789080388e-03,  2.6906962694001528e+01, -1.3328725405233137e-02,  7.6218093262647918e-02,  5.0540881964707562e-01,  8.8726946627329596e+01, -5.9732363029977920e-01, -1.5000000969543877e+04,  9.9938473555240872e+00,  2.3952018090556497e+00,  7.2725415186401104e-02, -4.0833314617716797e-02,  1.7664434683631809e+00,  2.0655804056707180e-02,  2.7758322632433707e-01,  2.0812322291427529e-01, -9.8889781699350054e-01,  9.9844455140939337e-01,  0.0000000000000000e+00,  1.9295741063717823e+01,  4.3555371192322427e+00,  5.7846210733089755e+01,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3383886607215891e+02, -9.6713678796268923e-03,  2.6904843745543726e+01, -2.6033658476047074e-04,  7.3964355127357606e-02,  5.0528150471464939e-01,  9.5064596452409006e+01, -6.3573791607255770e-01, -1.5000001126928044e+04,  9.9939940315760207e+00,  2.3950593120847308e+00,  7.7830916170019179e-02, -3.7791301172063758e-02,  1.7567817112470270e+00,  3.3516809680716068e-02,  2.7758322632433707e-01,  4.2648633769401623e-01, -8.8637574153326648e-01,  1.1967219057638179e+00,  0.0000000000000000e+00,  2.4420554515186222e+01,  1.6169382387906904e+01, -1.8151084391334408e+01,  0.0000000000000000e+00
 1.5984015984015984e-01,  6.3383887502267726e+02, -9.7608900831365562e-03,  2.6902674688166190e+01,  1.1254023404673323e-02,  7.2683470897699359e-02,  5.0516155758788772e-01,  1.0140224837428684e+02, -6.7358613455129490e-01, -1.5000001289532398e+04,  9.9942635552421422e+00,  2.3949005143309940e+00,  8.2932277719493297e-02, -3.2312109069384809e-02,  1.7487336633375412e+00,  4.4566331644395836e-02,  2.7758322632433707e-01,  6.1000562691967342e-01, -7.6722982572537579e-01,  9.6632622796348755e-01,  0.0000000000000000e+00,  1.2320007187790369e+01,  7.6836299568328164e+00, -2.7974130304291727e+01,  0.0000000000000000e+00
 1.6983016983016982e-01,  6.3383891183967478e+02, -9.7899749657870579e-03,  2.6900535226765665e+01,  2.0677145044814060e-02,  7.2241117217735934e-02,  5.0504869456216650e-01,  1.0773990257351041e+02, -7.1086852247623178e-01, -1.5000001456066717e+04,  9.9946376160109782e+00,  2.3947340755280124e+00,  8.8031104437627572e-02, -2.5603376558284076e-02,  1.7414524439997667e+00,  5.2824027022643882e-02,  2.7758322632433707e-01,  6.8729195037525459e-01, -6.4945490744888001e-01,  8.0339273695427260e-01,  0.0000000000000000e+00,  3.1527147680169918e+00,  1.5894908682121651e+01, -4.6451545957531328e+00,  0.0000000000000000e+00
