#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514330e+02,  3.6094871257063031e-02,  1.3305895258468782e+01, -1.7596232579987994e+00,  2.4893866069513031e+01,  1.4484672213729114e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772639e+00,  0.0000000000000000e+00,  1.9547018030679403e-01, -5.9491959116213087e+00, -4.4693854268020167e-01,  3.7397186276810662e-01,  6.8438271270954143e-03,  1.5323281731678406e-01, -1.2481805871555007e+00,  9.9425634392247275e-09,  3.5089425616446901e-01,  5.7378615697700752e+00, -3.8547056536825108e+00,  3.0221219970982816e-06
 1.0000000000000000e-02,  1.0919225638046549e+02,  3.3973194152993526e-02,  1.3305890623481591e+01, -1.7554122996382462e+00,  2.4893663843461269e+01,  1.4484284799083047e+01,  1.0942511967259223e+00, -1.1230213441704233e-01, -4.5999999999770835e+03,  6.0000048803910197e+01,  3.5020197551124665e+00,  2.8854784212454959e-01,  1.9553861857806498e-01, -5.9476635834481408e+00, -4.5942034855175667e-01,  3.7397186286753226e-01,  8.5982984079177593e-03,  1.8192212516563444e-01, -1.2674541154239132e+00,  2.5053173424716135e-08,  3.5089425616446901e-01,  5.7378615697700752e+00, -3.8547056536825108e+00,  3.0221219970982816e-06
 2.0000000000000000e-02,  1.0919221593302993e+02,  3.1896477712328640e-02,  1.3305872570334452e+01, -1.7506419451762003e+00,  2.4893107265083088e+01,  1.4483073481802348e+01,  2.1890530499603154e+00, -2.1910264209974653e-01, -4.5999999998122039e+03,  6.0000130733454895e+01,  3.5010528589722560e+00,  5.7708688207234415e-01,  1.9564214627495238e-01, -5.9455574691179960e+00, -4.7228762498867993e-01,  3.7397186326917009e-01,  1.1507511208097567e-02,  2.3465276250691505e-01, -1.3701765320323496e+00,  3.9752667824188854e-08,  2.3094830387149221e-01,  4.8082658984860434e+00, -1.6689777668004730e+01, -8.2223117203739120e-08
 2.9999999999999999e-02,  1.0919215225781841e+02,  2.9881347864740816e-02,  1.3305837022709481e+01, -1.7455695127468156e+00,  2.4892262550973715e+01,  1.4481027817730579e+01,  3.2843779157633288e+00, -3.2039866497332026e-01, -4.5999999993599231e+03,  6.0000249992155659e+01,  3.5000953599888152e+00,  8.6561003166379269e-01,  1.9576876880222693e-01, -5.9429705281980025e+00, -4.8682387919240366e-01,  3.7397186366258561e-01,  1.3327430942125518e-02,  2.7754042579477556e-01, -1.4855542834652846e+00, -5.9953209063934310e-09,  1.3303564293409842e-01,  3.7692667590860651e+00, -6.3857726185823083e+00, -9.0673746289127166e-06
 4.0000000000000001e-02,  1.0919206936364938e+02,  2.7945541635779975e-02,  1.3305781304567063e+01, -1.7403682852128657e+00,  2.4891201568095674e+01,  1.4478089050856697e+01,  4.3801981379095967e+00, -4.1618748848920578e-01, -4.5999999984598517e+03,  6.0000409047127505e+01,  3.4991532339616023e+00,  1.1541106446549427e+00,  1.9590869489379489e-01, -5.9400066606021005e+00, -5.0199871065798563e-01,  3.7397186314926367e-01,  1.4257343426751775e-02,  3.0968826935713339e-01, -1.4943853263161220e+00, -1.6553885207049032e-07,  5.2946853991153710e-02,  2.6603019533855119e+00,  4.6195640484147908e+00, -2.2841331603906657e-05
 5.0000000000000003e-02,  1.0919197162532086e+02,  2.6105890306124806e-02,  1.3305703825006370e+01, -1.7351971197052105e+00,  2.4889985148719482e+01,  1.4474264085532640e+01,  5.4764860475282777e+00, -5.0646654603326824e-01, -4.5999999969395330e+03,  6.0000608970474573e+01,  3.4982330635512473e+00,  1.4425826224711058e+00,  1.9605391567076197e-01, -5.9367767628108599e+00, -5.1671158571872611e-01,  3.7397186035180857e-01,  1.4468311543769376e-02,  3.3060991202860107e-01, -1.4154183556347513e+00, -4.8057853530014693e-07, -1.0753230587634558e-02,  1.5240265809080005e+00,  1.1173830087859441e+01, -4.0166605042024641e-05
 5.9999999999999998e-02,  1.0919186364212882e+02,  2.4377410632197258e-02,  1.3305603722947620e+01, -1.7301961770991110e+00,  2.4888657915665789e+01,  1.4469611292024856e+01,  6.5732139627215247e+00, -5.9123342400503520e-01, -4.5999999946222561e+03,  6.0000849554411964e+01,  3.4973414491046944e+00,  1.7310205880416656e+00,  1.9619806112467028e-01, -5.9333944623615285e+00, -5.3030707777068065e-01,  3.7397185353769297e-01,  1.4111233288535693e-02,  3.4024084114956382e-01, -1.3066816717138494e+00, -9.8078666577183761e-07, -6.0662420459101057e-02,  4.0215924328457203e-01,  1.0573506696320839e+01, -5.9875021052313544e-05
 7.0000000000000007e-02,  1.0919175009965768e+02,  2.2773572564608269e-02,  1.3305480551134039e+01, -1.7254664031581823e+00,  2.4887248467567318e+01,  1.4464187575056748e+01,  7.6703541885696724e+00, -6.7048586419600509e-01, -4.5999999913313550e+03,  6.0001129535780521e+01,  3.4964846854001435e+00,  2.0194198788739399e+00,  1.9633614033653268e-01, -5.9299719459878686e+00, -5.4284521915300310e-01,  3.7397184073607526e-01,  1.3304556485158046e-02,  3.3891712106819399e-01, -1.1655541572463899e+00, -1.6848371364730492e-06, -1.0067294021642854e-01, -6.6690325955853746e-01,  1.7651996197171052e+01, -8.0935073087928759e-05
 8.0000000000000002e-02,  1.0919163564334046e+02,  2.1306552787777142e-02,  1.3305333826178568e+01, -1.7210805042027022e+00,  2.4885762167309018e+01,  1.4458052616374514e+01,  8.7678790175195171e+00, -7.4422176302008147e-01, -4.5999999868901741e+03,  6.0001446919762742e+01,  3.4956687625832954e+00,  2.3077763230928410e+00,  1.9646415225437344e-01, -5.9266161199401646e+00, -5.5361816091560845e-01,  3.7397181984095024e-01,  1.2144474493690221e-02,  3.2735102430385704e-01, -9.7123348709070623e-01, -2.6011980319706764e-06, -1.3134345807713790e-01, -1.6463160933088989e+00,  2.1212137833965826e+01, -1.0233710601159640e-04
 8.9999999999999997e-02,  1.0919152478046833e+02,  1.9985853942327755e-02,  1.3305162308481982e+01, -1.7171084403096870e+00,  2.4884169477627367e+01,  1.4451320954426517e+01,  9.8657607296778274e+00, -8.1243917249931807e-01, -4.5999999811287125e+03,  6.0001799033955031e+01,  3.4948988856269954e+00,  2.5960861480332298e+00,  1.9657902982640649e-01, -5.9234249255017914e+00, -5.6226988889481722e-01,  3.7397178871211462e-01,  1.0718600814663136e-02,  3.0660071516628301e-01, -7.8323841535214977e-01, -3.7296392557673022e-06, -1.5383127772827790e-01, -2.5037457342058631e+00,  1.6386876513745367e+01, -1.2335113874772924e-04
 1.0000000000000001e-01,  1.0919142179009150e+02,  1.8819043443009560e-02,  1.3304963736318681e+01, -1.7135835984058922e+00,  2.4882422508839127e+01,  1.4444084768891098e+01,  1.0963971593379117e+01, -8.7513630040671275e-01, -4.5999999738878278e+03,  6.0002182651646351e+01,  3.4941791535594997e+00,  2.8843458207883583e+00,  1.9667852427066670e-01, -5.9204841056368389e+00, -5.6928292922265145e-01,  3.7397174524816512e-01,  9.0920203135988458e-03,  2.7800243466984392e-01, -6.2025633430728411e-01, -5.0659054395829620e-06, -1.7148482248457989e-01, -3.2159103650819518e+00,  1.6209539695227750e+01, -1.4390209801540260e-04
 1.1000000000000000e-01,  1.0919133064165717e+02,  1.7812466083116575e-02,  1.3304734865417698e+01, -1.7105134793333709e+00,  2.4880469010825724e+01,  1.4436414062156414e+01,  1.2062483866281797e+01, -9.3231150897963744e-01, -4.5999999650159034e+03,  6.0002594291968002e+01,  3.4935127780817776e+00,  3.1725517773558982e+00,  1.9676087023267846e-01, -5.9178648768083946e+00, -5.7467501558096290e-01,  3.7397168739400583e-01,  7.3081391450846613e-03,  2.4308150485774516e-01, -4.3410751801132319e-01, -6.6079592936363374e-06, -1.8529141121825818e-01, -3.7682755973378375e+00,  2.1020223563964514e+01, -1.6450867279527176e-04
