#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514330e+02,  3.6094871257063031e-02,  1.3305895258468782e+01, -1.7596232579987994e+00,  2.4529252345278447e+01,  1.4372480276404112e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772639e+00,  0.0000000000000000e+00,  1.9547018030679403e-01, -5.9491959116213087e+00, -4.4693854268020167e-01,  3.7397186276810662e-01, -5.1509735311414118e-02,  5.6204615492365662e-01,  1.7174913206572495e+00,  3.9339193014242824e-07,  1.8622325095696279e+00,  7.4598105972549789e+01, -1.3384038217409909e+02,  1.7567871851698058e-03
 1.0000000000000000e-02,  1.0919180399752209e+02,  3.6024256528616731e-02,  1.3299195969973962e+01, -1.7548041491221711e+00,  2.4541990382115259e+01,  1.4376448088443997e+01,  1.0942510361080682e+00, -1.1230332651610686e-01, -4.5999999995094395e+03,  6.0000144318974705e+01,  3.5011569573962880e+00,  2.8492686694687602e-01,  1.9495508295367989e-01, -5.9435754500720721e+00, -4.2976362947362917e-01,  3.7397186670202592e-01, -4.2198572763565978e-02,  9.3503668478640556e-01,  1.0482894097867539e+00,  9.1773278559914573e-06,  1.8622325095696279e+00,  7.4598105972549789e+01, -1.3384038217409909e+02,  1.7567871851698058e-03
 2.0000000000000000e-02,  1.0918912802338987e+02,  3.5675741957394126e-02,  1.3292540865276116e+01, -1.7492993759520019e+00,  2.4546875997208193e+01,  1.4390271743931329e+01,  2.1890510345485268e+00, -2.1910906223100710e-01, -4.5999999979984277e+03,  6.0000901192682392e+01,  3.4992306383537426e+00,  5.7005061989877648e-01,  1.9462620885152271e-01, -5.9304951779255806e+00, -4.2597275448446659e-01,  3.7397204631466374e-01, -2.3218150035583810e-02,  1.7180391791203677e+00, -5.2185029056583965e-01,  4.7899107635807077e-05,  1.9338520360268070e+00,  8.2002392894242632e+01, -1.8018755789641966e+02,  5.9875687707933185e-03
 2.9999999999999999e-02,  1.0918489471380292e+02,  3.4861668491607996e-02,  1.3285649587357025e+01, -1.7424010960769016e+00,  2.4536162382054293e+01,  1.4414385427516201e+01,  3.2843689677826728e+00, -3.2041610797814818e-01, -4.5999999958639719e+03,  6.0002163350301259e+01,  3.4970709441524774e+00,  8.5531055918501797e-01,  1.9449071995296821e-01, -5.9092146664896648e+00, -4.4020063528494596e-01,  3.7397282468417864e-01, -8.2422329861622790e-03,  2.4362197833536214e+00, -2.0370270247314912e+00,  1.3545935571568357e-04,  1.0613313738574992e+00,  6.1633727952408179e+01, -1.2284778893671077e+02,  1.1524480845181984e-02
 4.0000000000000001e-02,  1.0917975551699864e+02,  3.3432547043393962e-02,  1.3278143270658909e+01, -1.7333949385116387e+00,  2.4503319371616353e+01,  1.4447368304977445e+01,  4.3801725992923659e+00, -4.1622263268928394e-01, -4.5999999938143583e+03,  6.0003815920495747e+01,  3.4945067365841505e+00,  1.1405770134374822e+00,  1.9446136419179946e-01, -5.8817707822585081e+00, -4.6671329497909642e-01,  3.7397475550177806e-01,  3.6692418032710497e-03,  3.0447448888016644e+00, -3.0601143071412338e+00,  2.7992800571141613e-04,  1.3209635840291660e+00,  6.0071293137200470e+01, -8.1769667545237809e+01,  1.7369249153964532e-02
 5.0000000000000003e-02,  1.0917431423273970e+02,  3.1289596754955434e-02,  1.3269581580855164e+01, -1.7220871103098332e+00,  2.4443326767557640e+01,  1.4486731849383274e+01,  5.4764290582272777e+00, -5.0652641397883513e-01, -4.5999999924816211e+03,  6.0005745128316754e+01,  3.4913582179386582e+00,  1.4256616399391184e+00,  1.9456410478903363e-01, -5.8483197687136315e+00, -5.0140292142777065e-01,  3.7397842324429287e-01,  1.0209181262606228e-02,  3.5617924355692225e+00, -3.6849134413397273e+00,  4.8067230388471055e-04, -1.2975692162131574e-02,  4.3338216216310968e+01, -4.3190159294460585e+01,  2.2779610480694330e-02
 5.9999999999999998e-02,  1.0916910058196028e+02,  2.8389181504173938e-02,  1.3259475918543767e+01, -1.7082556190906741e+00,  2.4352504414705969e+01,  1.4529519923825260e+01,  6.5731053132973116e+00, -5.9132509748918505e-01, -4.5999999921723575e+03,  6.0007841285308515e+01,  3.4874480648579587e+00,  1.7103223876429394e+00,  1.9466554781705159e-01, -5.8105349335471237e+00, -5.4041156380589095e-01,  3.7398436894785575e-01,  1.8289403648551191e-02,  3.8699964580254145e+00, -3.9026661328063921e+00,  7.3055248440423426e-04,  1.6290201693511246e+00,  1.8302588274927693e+01, -3.6037899887264563e-01,  2.7196425623210438e-02
 7.0000000000000007e-02,  1.0916455323523662e+02,  2.4740607745300208e-02,  1.3247332476850689e+01, -1.6921404045573643e+00,  2.4229172262420597e+01,  1.4572750753950622e+01,  7.6701685624114306e+00, -6.7061661145187657e-01, -4.5999999926140899e+03,  6.0010004882669520e+01,  3.4826121990958865e+00,  1.9942795041254886e+00,  1.9492989286200466e-01, -5.7709198395531232e+00, -5.7945624408389851e-01,  3.7399303429398095e-01,  5.4545281514922758e-02,  3.6212622191793100e+00, -3.6808975808518767e+00,  1.0174395616208141e-03,  5.6221554039231876e+00, -6.8049436044148564e+01,  4.4714089389775701e+01,  3.0180989820105517e-02
 8.0000000000000002e-02,  1.0916100787793826e+02,  2.0411614642116896e-02,  1.3232782006032998e+01, -1.6756180722290526e+00,  2.4078121898347348e+01,  1.4613003970931306e+01,  8.7675865716860351e+00, -7.4439978693354980e-01, -4.5999999925906959e+03,  6.0012141449032164e+01,  3.4767185738301625e+00,  2.2772465541168012e+00,  1.9575645344735004e-01, -5.7381096891635375e+00, -6.1402951542292850e-01,  3.7400471773908817e-01,  1.0977422628776357e-01,  3.0820131411361209e+00, -2.9181471473399014e+00,  1.3251414317488892e-03,  5.4236335506449631e+00, -3.9800379564489717e+01,  1.0783599731261984e+02,  3.1359384205509357e-02
 8.9999999999999997e-02,  1.0915868482097056e+02,  1.5527991563740127e-02,  1.3215639529357652e+01, -1.6613492069837921e+00,  2.3907085273907274e+01,  1.4646778571882878e+01,  9.8653279966769656e+00, -8.1267525588615486e-01, -4.5999999893773238e+03,  6.0014153172402814e+01,  3.4697021893651248e+00,  2.5589839329523110e+00,  1.9712537738775993e-01, -5.7092795767304008e+00, -6.3781918703069651e-01,  3.7401953712261593e-01,  1.5351039153483345e-01,  2.8427923547388541e+00, -1.7289682269326807e+00,  1.6356018416735505e-03,  3.3235994987690352e+00, -8.0437777149633369e+00,  1.2999978676882401e+02,  3.0732697779423099e-02
