#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514330e+02,  3.6094871257063031e-02,  1.3305895258468782e+01, -1.3353840097267484e+00,  2.4893866069513031e+01,  1.4372480276404112e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772639e+00,  0.0000000000000000e+00,  1.9547018030679403e-01, -5.9491959116213087e+00, -4.4693854268020167e-01,  3.7397186276810662e-01, -1.6451430988361493e-01,  1.7547681591931763e-01,  5.4457578425939346e-01, -2.8373137173076657e-09,  5.0108527372205725e+00, -2.8496968732305561e-01, -9.1589113003870395e+00, -8.4032919511756177e-06
 1.0000000000000000e-02,  1.0919227086485364e+02,  3.7032280442969065e-02,  1.3305716679859557e+01, -1.4051736021470420e+00,  2.4893910546802790e+01,  1.4370359371269744e+01,  1.0942512236473283e+00, -1.1230207718269358e-01, -4.5999999998818339e+03,  6.0003877164763502e+01,  3.5029917385880602e+00,  2.8798565046090058e-01,  1.9382503720795788e-01, -5.9474411434621155e+00, -4.4149278483760773e-01,  3.7397186273973348e-01, -1.3946004619751207e-01,  1.7405196748270235e-01,  4.9878122775745826e-01, -4.4853773473185754e-08,  5.0108527372205725e+00, -2.8496968732305561e-01, -9.1589113003870395e+00, -8.4032919511756177e-06
 2.0000000000000000e-02,  1.0919227394227738e+02,  3.7859935573013384e-02,  1.3305266146830993e+01, -1.4584820539249266e+00,  2.4892166035037516e+01,  1.4368547994588683e+01,  2.1890531121489367e+00, -2.1910242720313583e-01, -4.5999999993223955e+03,  6.0007142492722338e+01,  3.5029888505668212e+00,  5.7596055852247519e-01,  1.9268097938284379e-01, -5.9457148722716546e+00, -4.3696291812505250e-01,  3.7397186187103115e-01, -9.6325037985252340e-02,  1.6850566359418731e-01,  4.0721953483836565e-01, -2.9780493349118592e-07,  3.6161489052313769e+00, -8.2429109037995862e-01, -9.1534272834314958e+00, -4.2186940052424418e-05
 2.9999999999999999e-02,  1.0919228001391161e+02,  3.8601001042701331e-02,  1.3304630919619937e+01, -1.4996869317987593e+00,  2.4889460184171032e+01,  1.4367036157296248e+01,  3.2843780219385521e+00, -3.2039840158453370e-01, -4.5999999979453469e+03,  6.0009937266095633e+01,  3.5029771447652513e+00,  8.6391787641202222e-01,  1.9189853644825283e-01, -5.9440710301902318e+00, -4.3334839414084042e-01,  3.7397185678363482e-01, -6.5230255218280686e-02,  1.5919254230372104e-01,  3.1602353634896940e-01, -9.9096403305409808e-07,  2.6028076481629525e+00, -1.0383331677132901e+00, -9.0857724144477459e+00, -9.6444879860158039e-05
 4.0000000000000001e-02,  1.0919228936582667e+02,  3.9272114813169404e-02,  1.3303868667273255e+01, -1.5319556353798551e+00,  2.4886292676321595e+01,  1.4365794544932559e+01,  4.3801982920047280e+00, -4.1618765693336890e-01, -4.5999999953269180e+03,  6.0012365539519344e+01,  3.5029538798742630e+00,  1.1518538182428861e+00,  1.9137637427847817e-01, -5.9425310214255802e+00, -4.3064244739807311e-01,  3.7397184205175049e-01, -4.2881947322410956e-02,  1.4861421021601370e-01,  2.3316133830340308e-01, -2.3010837013615055e-06,  1.8668539310109913e+00, -1.0773332498281714e+00, -7.4866671946655048e+00, -1.6557905380132346e-04
 5.0000000000000003e-02,  1.0919230204478198e+02,  3.9885280823475255e-02,  1.3303018977072647e+01, -1.5575912054255148e+00,  2.4882962035738664e+01,  1.4364794202784797e+01,  5.4764862492691684e+00, -5.0646809746172439e-01, -4.5999999910240422e+03,  6.0014504371560996e+01,  3.5029176586133217e+00,  1.4397665833729127e+00,  1.9104089750180461e-01, -5.9410987459859115e+00, -4.2868516737477236e-01,  3.7397181076196079e-01, -2.6883109451965318e-02,  1.3809065259384748e-01,  1.6541406205401457e-01, -4.3565755891705757e-06,  1.3329136430781379e+00, -1.0273782746050846e+00, -6.0627880552122111e+00, -2.4551932376049035e-04
 5.9999999999999998e-02,  1.0919231796618934e+02,  4.0449256384955175e-02,  1.3302110117807242e+01, -1.5782712688445506e+00,  2.4879642687660450e+01,  1.4364005690463973e+01,  6.5732142119823473e+00, -5.9123783708687894e-01, -4.5999999845915627e+03,  6.0016411162740852e+01,  3.5028677858531463e+00,  1.7276556565491312e+00,  1.9083871208943887e-01, -5.9397692083737033e+00, -4.2733416615699282e-01,  3.7397175492023871e-01, -1.5488731723879708e-02,  1.2826424451080062e-01,  1.1269945613694429e-01, -7.2503018144764991e-06,  9.4596190253898271e-01, -9.3790334200427550e-01, -4.4801331282018335e+00, -3.3322592130069479e-04
 7.0000000000000007e-02,  1.0919233698486769e+02,  4.0970485923005277e-02,  1.3301163065078089e+01, -1.5952222248748671e+00,  2.4876432864439284e+01,  1.4363403081717125e+01,  7.6703544919726916e+00, -6.7049517341517495e-01, -4.5999999755921626e+03,  6.0018128966086600e+01,  3.5028039151195918e+00,  2.0155213277839272e+00,  1.9073112286732702e-01, -5.9385334610956955e+00, -4.2643117825203347e-01,  3.7397166575592450e-01, -7.4288690772889004e-03,  1.1939211581730722e-01,  7.3821518383587734e-02, -1.1048305081917674e-05,  6.6601062677917844e-01, -8.3652239669440542e-01, -3.2954544224694780e+00, -4.2637473218753975e-04
 8.0000000000000002e-02,  1.0919235894065095e+02,  4.1453758558464067e-02,  1.3300193922162533e+01, -1.6093430586974617e+00,  2.4873383987815743e+01,  1.4362964048871310e+01,  8.7678793961790333e+00, -7.4423856960828405e-01, -4.5999999636023977e+03,  6.0019690325826424e+01,  3.5027258388829083e+00,  2.3033643787662381e+00,  1.9069013470789309e-01, -5.9373813660573571e+00, -4.2585773578932107e-01,  3.7397153395413707e-01, -1.7793877434627023e-03,  1.1151960682393997e-01,  4.5266111701994259e-02, -1.5795930713435886e-05,  4.6388563998606186e-01, -7.3797940197906164e-01, -2.4156269138492252e+00, -5.2315039411610141e-04
 8.9999999999999997e-02,  1.0919238368726991e+02,  4.1902697806731164e-02,  1.3299215388767234e+01, -1.6212944766453277e+00,  2.4870518729841873e+01,  1.4362668949187364e+01,  9.8657612277484716e+00, -8.1246664124524948e-01, -4.5999999482160802e+03,  6.0021120068555987e+01,  3.5026333813193831e+00,  2.5911858683841320e+00,  1.9069553511245776e-01, -5.9363030689592167e+00, -4.2552585601799359e-01,  3.7397134983731023e-01,  2.1316125458831210e-03,  1.0458258264418595e-01,  2.4361663427097110e-02, -2.1522248150329656e-05,  3.1831441788310305e-01, -6.4942543397172836e-01, -1.7652627411302015e+00, -6.2211309326265474e-04
 1.0000000000000001e-01,  1.0919241110966590e+02,  4.2320113706358999e-02,  1.3298237667668889e+01, -1.6315636335878467e+00,  2.4867842322483369e+01,  1.4362500304714061e+01,  1.0963972286855169e+01, -8.7517814656784820e-01, -4.5999999290460419e+03,  6.0022437335444096e+01,  3.5025263504676953e+00,  2.8789869861992368e+00,  1.9073276695881075e-01, -5.9352897144044734e+00, -4.2537050252077913e-01,  3.7397110350917406e-01,  4.7921828642966116e-03,  9.8467366266685716e-02,  9.1066284968938076e-03, -2.8243363858759800e-05,  2.1379964579959487e-01, -5.7361784152831752e-01, -1.2857442449104577e+00, -7.2211004842337413e-04
 1.1000000000000000e-01,  1.0919244113324739e+02,  4.2708252575390092e-02,  1.3297269038642323e+01, -1.6405111680691846e+00,  2.4865349711254570e+01,  1.4362442489874065e+01,  1.2062484871334835e+01, -9.3237197911243996e-01, -4.5999999057248715e+03,  6.0023657063218991e+01,  3.5024045231052203e+00,  3.1667689540516850e+00,  1.9079137876974370e-01, -5.9343337216338830e+00, -4.2534372344805571e-01,  3.7397078497003305e-01,  6.5564805116810655e-03,  9.3044956879495586e-02, -1.9850473110039077e-03, -3.5964992811665673e-05,  1.3905988367729508e-01, -5.1086403590971996e-01, -9.3259091666908589e-01, -8.2221574215779556e-04
 1.2000000000000000e-01,  1.0919247372754921e+02,  4.3068971402954320e-02,  1.3296316235610764e+01, -1.6484053968377363e+00,  2.4863030112365664e+01,  1.4362481524199643e+01,  1.3161271277196473e+01, -9.8404716208735565e-01, -4.5999998779051521e+03,  6.0024791064608934e+01,  3.5022676469374803e+00,  3.4545329619766516e+00,  1.9086389656904437e-01, -5.9334288152668835e+00, -4.2541020346699920e-01,  3.7397038420931783e-01,  7.6812214388530236e-03,  8.8189664447657620e-02, -1.0010776608154746e-02, -4.4684520181248459e-05,  8.5888301757097676e-02, -4.6019445045786234e-01, -6.7255494276108296e-01, -9.2168973175876757e-04
 1.3000000000000000e-01,  1.0919250890603429e+02,  4.3403857508947166e-02,  1.3295384707515165e+01, -1.6554471825872870e+00,  2.4860869923221077e+01,  1.4362604915774416e+01,  1.4260303799052734e+01, -1.0302028440730537e+00, -4.5999998452591399e+03,  6.0025848817610679e+01,  3.5021154512077324e+00,  3.7422801286439005e+00,  1.9094500319852076e-01, -5.9325699283449298e+00, -4.2554393898021881e-01,  3.7396989127962943e-01,  8.3522562259338781e-03,  8.3788391730665809e-02, -1.5778615435979568e-02, -5.4392696330340892e-05,  4.8318655659074138e-02, -4.2006009294048774e-01, -4.8101282280388258e-01, -1.0199454980597247e-03
 1.4000000000000001e-01,  1.0919254672330831e+02,  4.3714309080402157e-02,  1.3294478810327606e+01, -1.6617880239233396e+00,  2.4858854573150388e+01,  1.4362801528168577e+01,  1.5359554730497573e+01, -1.0708382957567861e+00, -4.5999998074783634e+03,  6.0026838043030246e+01,  3.5019476606267417e+00,  4.0300114792885715e+00,  1.9103094169356305e-01, -5.9317530474322702e+00, -4.2572577577571880e-01,  3.7396929635539122e-01,  8.7039319324494543e-03,  7.9744408430348954e-02, -1.9882812899207913e-02, -6.5075056662755620e-05,  2.2016485644038599e-02, -3.8873656712290522e-01, -3.3982666984178100e-01, -1.1165265684232051e-03
 1.4999999999999999e-01,  1.0919258727067738e+02,  4.4001588239357056e-02,  1.3293601957858051e+01, -1.6675432185947390e+00,  2.4856969682553057e+01,  1.4363061458534554e+01,  1.6458996364451753e+01, -1.1059529074973395e+00, -4.5999997642729677e+03,  6.0027765128014792e+01,  3.5017640097473448e+00,  4.3177279360205540e+00,  1.9111908183716975e-01, -5.9309750401763228e+00, -4.2594159523820296e-01,  3.7396858977849617e-01,  8.8331898690105545e-03,  7.5977988251585457e-02, -2.2760321758710799e-02, -7.6713126107019787e-05,  3.8351016681814659e-03, -3.6454746862979487e-01, -2.3567510205879685e-01, -1.2110873204296282e-03
 1.6000000000000000e-01,  1.0919263067073230e+02,  4.4266855214419629e-02,  1.3292756747203663e+01, -1.6728014450568724e+00,  2.4855201765201283e+01,  1.4363375922242376e+01,  1.7558600993491162e+01, -1.1355461875684743e+00, -4.5999997153709273e+03,  6.0028635437515469e+01,  3.5015642562219846e+00,  4.6054303167584187e+00,  1.9120760549094326e-01, -5.9302334876672385e+00, -4.2618098221089301e-01,  3.7396776209286908e-01,  8.8098251796592166e-03,  7.2425362368111409e-02, -2.4732637342561571e-02, -8.9285445983855379e-05, -8.5080395384462392e-03, -3.4597770806499223e-01, -1.5878801471136378e-01, -1.3033766549375135e-03
