#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514334e+02,  3.6094871257063031e-02,  1.3305895258468782e+01, -1.3877467625788968e+00,  2.4027110881919473e+01,  1.4511169073087917e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772630e+00,  0.0000000000000000e+00,  1.9547018030679411e-01, -5.9491959116213087e+00, -4.4693854268020183e-01,  3.7397186276810679e-01, -1.8223167926812445e-01, -2.2584138044070556e-01,  4.2706305563167399e+00,  1.8792075129336894e-05,  8.5276035889234052e+00,  1.1238228374992332e+02, -1.3378811618328101e+02,  4.9372764138189140e-03
 1.0000000000000000e-02,  1.0919265929053280e+02,  3.4110430265628600e-02,  1.3290050495518223e+01, -1.4390193441465433e+00,  2.4066008580502796e+01,  1.4518186650530250e+01,  1.0942496716539452e+00, -1.1230494778205799e-01, -4.5999999983183343e+03,  6.0003331561603531e+01,  3.4975107287692375e+00,  2.8136047576954931e-01,  1.9364786351411287e-01, -5.9514543254257157e+00, -4.0423223711703443e-01,  3.7397205068885808e-01, -1.3959366132350742e-01,  3.3607003830891102e-01,  3.6016899754003351e+00,  4.3478457198431464e-05,  8.5276035889234052e+00,  1.1238228374992332e+02, -1.3378811618328101e+02,  4.9372764138189140e-03
 2.0000000000000000e-02,  1.0919076327046737e+02,  3.1618088217328331e-02,  1.3274932983110340e+01, -1.4766510128023722e+00,  2.4104637143050681e+01,  1.4533401689671624e+01,  2.1890454989284467e+00, -2.1911869440155318e-01, -4.5999999911325658e+03,  6.0006761451723797e+01,  3.4921018702226210e+00,  5.6316704446351984e-01,  1.9267830708032396e-01, -5.9424745108551305e+00, -3.7490474317219513e-01,  3.7397273233725076e-01, -6.3093796126396942e-02,  1.4054354436233043e+00,  2.3714939303594282e+00,  1.0988883787088623e-04,  6.7723694504986964e+00,  1.0149079731295534e+02, -1.1225109282490047e+02,  8.3447997206720394e-03
 2.9999999999999999e-02,  1.0918720598343792e+02,  2.8502636975592775e-02,  1.3260466859428918e+01, -1.5044986504632161e+00,  2.4132944535853930e+01,  1.4557951185566658e+01,  3.2843565561648753e+00, -3.2044448186879698e-01, -4.5999999760220317e+03,  6.0010296609357361e+01,  3.4866594489733052e+00,  8.4542387674950126e-01,  1.9238598759158493e-01, -5.9233456165532496e+00, -3.5680235850984587e-01,  3.7397424846561550e-01, -8.3598544521987228e-03,  2.2836538415075491e+00,  1.2115033182729411e+00,  2.1646949597831089e-04,  4.1744188843409464e+00,  7.4152882263893716e+01, -1.1974702959239691e+02,  1.2971331900812899e-02
 4.0000000000000001e-02,  1.0918261445247981e+02,  2.4645385054028687e-02,  1.3246407223222910e+01, -1.5249401080431708e+00,  2.4143572259486902e+01,  1.4591476245500445e+01,  4.3801507937309170e+00, -4.1628440741309969e-01, -4.5999999513242792e+03,  6.0013897558803194e+01,  3.4810343434689517e+00,  1.1280548707640390e+00,  1.9251110999127999e-01, -5.8968014340249795e+00, -3.5067467680673631e-01,  3.7397706172717032e-01,  1.8287623159754515e-02,  2.9871530930613228e+00,  2.1619884615938495e-01,  3.7050335745247848e-04,  1.1550766380497008e+00,  6.6546968046861082e+01, -7.9313864830314287e+01,  1.7835440394020623e-02
 5.0000000000000003e-02,  1.0917757368345949e+02,  1.9949618263418917e-02,  1.3232388710961043e+01, -1.5390163168511779e+00,  2.4130662189789735e+01,  1.4632423643609496e+01,  5.4763955957668466e+00, -5.0663972461717111e-01, -4.5999999157549028e+03,  6.0017503858842069e+01,  3.4750554672787222e+00,  1.4109182003577128e+00,  1.9275174005478002e-01, -5.8636025546920232e+00, -3.5247838158665817e-01,  3.7398165853276455e-01,  2.8167619822566662e-02,  3.5062341260473144e+00, -5.1611079774281099e-01,  5.7064466005563041e-04,  8.2092269451272715e-01,  3.7269238550337050e+01, -6.7148063950124879e+01,  2.2192820126609732e-02
 5.9999999999999998e-02,  1.0917259802025677e+02,  1.4357857561928096e-02,  1.3217981110379258e+01, -1.5471070264885733e+00,  2.4090615244422075e+01,  1.4678431430623084e+01,  6.5730582442120413e+00, -5.9151112697216801e-01, -4.5999998680955496e+03,  6.0021052367700563e+01,  3.4685459147548472e+00,  1.6938170250724649e+00,  1.9307446238773132e-01, -5.8266767515040332e+00, -3.6099689276159252e-01,  3.7398847462037144e-01,  4.1435173313103528e-02,  3.5808535002803223e+00, -1.0667550142109377e+00,  8.0888000937862070e-04,  1.8325880035946476e+00, -2.2345363703735178e+01, -4.2980779343500508e+01,  2.5454249737988367e-02
 7.0000000000000007e-02,  1.0916811029106493e+02,  7.8672932772775300e-03,  1.3202799501760609e+01, -1.5500647583459686e+00,  2.4024780335365950e+01,  1.4726335790090003e+01,  7.6701063123009003e+00, -6.7089928303795698e-01, -4.5999998067704682e+03,  6.0024484551025999e+01,  3.4613461070538265e+00,  1.9765266044260927e+00,  1.9358044352104209e-01, -5.7919854846864167e+00, -3.7381348187087693e-01,  3.7399783613295212e-01,  6.9067944447315219e-02,  3.4632534570824705e+00, -1.5559080905521852e+00,  1.0719934296660181e-03,  3.6939662232476893e+00, -1.1746449358351891e+00, -5.4849835924748987e+01,  2.7168434319491105e-02
 8.0000000000000002e-02,  1.0916442925955715e+02,  5.3408044835058272e-04,  1.3186534051234274e+01, -1.5492471674177488e+00,  2.3935886089387548e+01,  1.4772748237180110e+01,  8.7675080070458655e+00, -7.4480546993567776e-01, -4.5999997293763154e+03,  6.0027746453669373e+01,  3.4533411307945778e+00,  2.2588294530847994e+00,  1.9445582127667763e-01, -5.7574116823623838e+00, -3.9211505457263623e-01,  3.7400991448896476e-01,  1.0814125014825404e-01,  3.4486492987340540e+00, -2.0941855245197214e+00,  1.3438041900543103e-03,  4.1206949169400637e+00, -1.7461867338486332e+00, -5.2805650868758043e+01,  2.7193717758167174e-02
 8.9999999999999997e-02,  1.0916177636079985e+02, -7.5386575251663998e-03,  1.3168905001369771e+01, -1.5465368419852861e+00,  2.3826121312869354e+01,  1.4814656307891022e+01,  9.8652323773286721e+00, -8.1323157940767965e-01, -4.5999996327174094e+03,  6.0030784928808806e+01,  3.4444540406138962e+00,  2.5405099222150369e+00,  1.9574326852400717e-01, -5.7230124987117357e+00, -4.1569719236127134e-01,  3.7402471221675321e-01,  1.5363198480084075e-01,  3.4038485237096512e+00, -2.5700650357796642e+00,  1.6072214689549778e-03,  4.9774520135772971e+00, -7.2139682710314865e+00, -4.2370251383230787e+01,  2.5489738021966513e-02
