#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514400e+02,  3.6094871257062996e-02,  1.3305895258468775e+01,  6.2281059883235768e-01,  2.3568743778763299e+01,  1.4463930440148795e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772382e+00,  0.0000000000000000e+00,  1.9547018030679592e-01, -5.9491959116213211e+00, -4.4693854268020483e-01,  3.7397186276811062e-01, -7.6146371272947377e-01, -2.2346256283594101e-01,  5.7899058310099782e+00, -1.2995757558975640e-05,  2.6703001203655372e+01,  1.1570993464613544e+02, -1.0913474529486876e+02, -4.8607934755029447e-03
 1.0000000000000000e-02,  1.0920048299913580e+02,  3.9485156008535111e-02,  1.3228918582514272e+01,  2.3514287807874659e-01,  2.3232795203802386e+01,  1.4459037906235977e+01,  1.0942734357967090e+00, -1.1209011320538685e-01, -4.6000001231958777e+03,  6.0021319990323896e+01,  3.4946736052763043e+00,  2.7545825837645160e-01,  1.8785554317950118e-01, -5.9514305372496805e+00, -3.8903948437010505e-01,  3.7397173281053503e-01, -6.2794870671119685e-01,  3.5508711039473617e-01,  5.2442321045356346e+00, -3.7299724936490364e-05,  2.6703001203655372e+01,  1.1570993464613544e+02, -1.0913474529486876e+02, -4.8607934755029447e-03
 2.0000000000000000e-02,  1.0920676669192731e+02,  4.1888031505629232e-02,  1.3150829667757204e+01, -6.8031941109114397e-02,  2.2942630750247886e+01,  1.4464742525905294e+01,  2.1891364921390069e+00, -2.1828684650808677e-01, -4.6000004732181878e+03,  6.0039542472903243e+01,  3.4846728672520753e+00,  5.4825896540108643e-01,  1.8291120617257198e-01, -5.9420941694134264e+00, -3.4205390058949214e-01,  3.7397111677361189e-01, -4.0329554989987643e-01,  1.4643432689764426e+00,  4.3161665855684408e+00, -9.4065783010077744e-05,  1.8227630158608740e+01,  1.0614129707020585e+02, -7.6478358498570131e+01, -6.4924181392145312e-03
 2.9999999999999999e-02,  1.0921162733497904e+02,  4.3265694284665979e-02,  1.3072478006975953e+01, -3.0826378019046630e-01,  2.2686582486863021e+01,  1.4482511739389425e+01,  3.2845527675392723e+00, -3.1863540529451390e-01, -4.6000010214789645e+03,  6.0055309125851963e+01,  3.4731053269493382e+00,  8.1881084155064876e-01,  1.7978963218150365e-01, -5.9221436718701517e+00, -3.0271615265873625e-01,  3.7396985149487483e-01, -2.4783858767545575e-01,  2.3125421254406753e+00,  3.4906948466998209e+00, -1.5985862578671295e-04,  1.2863762286275392e+01,  6.3498474222640766e+01, -8.8615989275153680e+01, -6.6661504161125151e-03
 4.0000000000000001e-02,  1.0921558042665006e+02,  4.3539066625221987e-02,  1.2994455743215607e+01, -5.0068950997415318e-01,  2.2455883362213129e+01,  1.4512312013449506e+01,  4.3804855451955982e+00, -4.1318025766103811e-01, -4.6000017403704169e+03,  6.0069065708244629e+01,  3.4600270095957448e+00,  1.0874282632479990e+00,  1.7795443441906286e-01, -5.8958433269046129e+00, -2.7224000365549572e-01,  3.7396791960109615e-01, -1.3846088586794283e-01,  2.8239033308474766e+00,  2.6050102905925598e+00, -2.2469220337384405e-04,  9.0117780752271788e+00,  3.8773766858719569e+01, -8.8520921946298415e+01, -6.3005651013137128e-03
 5.0000000000000003e-02,  1.0921910125056733e+02,  4.2623708159801335e-02,  1.2917197981571308e+01, -6.5616308395156753e-01,  2.2244788869962324e+01,  1.4552808410341845e+01,  5.4768983089981829e+00, -5.0196517517756778e-01, -4.6000026029378232e+03,  6.0081125891756130e+01,  3.4454651133989018e+00,  1.3543586931233527e+00,  1.7702041446414479e-01, -5.8656656052532021e+00, -2.5061594684688504e-01,  3.7396535765080735e-01, -6.3319450282689496e-02,  3.2381089127976108e+00,  1.8529106118777161e+00, -2.8661623489023574e-04,  6.0165090418234941e+00,  4.4067349531307102e+01, -6.1899013796670197e+01, -6.0842412019646045e-03
 5.9999999999999998e-02,  1.0922259720314705e+02,  4.0456399301898663e-02,  1.2841008865667975e+01, -7.8257420273435141e-01,  2.2048883027865070e+01,  1.4601672306123152e+01,  6.5737551852359468e+00, -5.8503306367335839e-01, -4.6000035827439606e+03,  6.0091714953809706e+01,  3.4294373876418041e+00,  1.6197947488412374e+00,  1.7668804541340907e-01, -5.8310811486486607e+00, -2.3518179141794140e-01,  3.7396218727639835e-01, -6.8034545613673818e-03,  3.7718199484688233e+00,  1.1709065212573240e+00, -3.4934697715760516e-04,  5.2866901024409252e+00,  6.2674857602935646e+01, -7.4501804327407854e+01, -6.4619072515092997e-03
 7.0000000000000007e-02,  1.0922639930619930e+02,  3.7006977874364660e-02,  1.2766013681767364e+01, -8.8585523449000425e-01,  2.1861532205623984e+01,  1.4656172722158647e+01,  7.6710212735117365e+00, -6.6242560702655140e-01, -4.6000046539285750e+03,  6.0100999492047293e+01,  3.4119559537543886e+00,  1.8838687522242685e+00,  1.7688434537291745e-01, -5.7902292062838256e+00, -2.2719781642173856e-01,  3.7395837071126420e-01,  5.7097323036345279e-02,  3.8571168860411111e+00,  5.6113521077200268e-01, -4.2024761401360234e-04,  7.4934654171016044e+00, -4.5615470088478084e+01, -4.7452457769656377e+01, -7.7182201196901411e-03
 8.0000000000000002e-02,  1.0923075813757367e+02,  3.2288646819132474e-02,  1.2692284305818763e+01, -9.7152185334698771e-01,  2.1681196904109282e+01,  1.4713126957506487e+01,  8.7686628801870050e+00, -7.3418303404354535e-01, -4.6000057912420089e+03,  6.0109102049799795e+01,  3.3930300431011671e+00,  2.1466502783441492e+00,  1.7782999187413598e-01, -5.7539388109278384e+00, -2.2395908720250135e-01,  3.7395378232411808e-01,  1.2079612912812709e-01,  3.4394808082275592e+00,  1.1813481954468247e-01, -5.0997415157461056e-04,  5.2462958012547469e+00, -3.7911745474232859e+01, -4.1147620475807713e+01, -1.0227087392511446e-02
 8.9999999999999997e-02,  1.0923582491473033e+02,  2.6363297146777539e-02,  1.2620014042294578e+01, -1.0443974822679787e+00,  2.1512006266122171e+01,  1.4769242653606860e+01,  9.8666477711988829e+00, -8.0034509196481129e-01, -4.6000069693797159e+03,  6.0116109750485720e+01,  3.3727118632322663e+00,  2.4082166303436754e+00,  1.7930026795547999e-01, -5.7214395901192745e+00, -2.2483512003084491e-01,  3.7394817122823271e-01,  1.7256817915044517e-01,  3.0435394005201117e+00, -1.0343573396194293e-01, -6.3113462793473729e-04,  5.1081142032088884e+00, -4.1276536067256210e+01, -3.1664902255174030e+00, -1.4005007879513968e-02
