#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514334e+02,  3.6094871257063031e-02,  1.3305895258468780e+01, -1.3172826437281704e+00,  2.3995919722766008e+01,  1.4505686106708517e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772626e+00,  0.0000000000000000e+00,  1.9547018030679411e-01, -5.9491959116213087e+00, -4.4693854268020183e-01,  3.7397186276810684e-01, -2.0873462784243013e-01, -2.0050471739967435e-01,  4.1192445484017073e+00, -3.3048974501515005e-06,  8.4923389157751110e+00,  1.0387605710157288e+02, -1.2387058605179968e+02,  3.2716410858224521e-04
 1.0000000000000000e-02,  1.0919302892938029e+02,  3.4367844855920301e-02,  1.3289534403381950e+01, -1.3802472555797143e+00,  2.4036386663201085e+01,  1.4512358843660234e+01,  1.0942511314087704e+00, -1.1230518162609132e-01, -4.5999999982508889e+03,  6.0003955984525298e+01,  3.4974067206094293e+00,  2.8106840035440039e-01,  1.9338283402836981e-01, -5.9512009587953054e+00, -4.0574609719618476e-01,  3.7397182971913234e-01, -1.6627293326355458e-01,  3.1887556810819007e-01,  3.4998916181427084e+00, -1.6690769072402745e-06,  8.4923389157751110e+00,  1.0387605710157288e+02, -1.2387058605179968e+02,  3.2716410858224521e-04
 2.0000000000000000e-02,  1.0919152974852688e+02,  3.2114318065095820e-02,  1.3273962503972788e+01, -1.4266786853161699e+00,  2.4076791807900687e+01,  1.4527209102977782e+01,  2.1890515054157897e+00, -2.1911972174919392e-01, -4.5999999907646916e+03,  6.0007906812750718e+01,  3.4919031071540703e+00,  5.6259431828865814e-01,  1.9214472164152302e-01, -5.9428184002591449e+00, -3.7694071031734766e-01,  3.7397182938656870e-01, -9.2347651324328775e-02,  1.3195142594494949e+00,  2.2942429384386291e+00,  1.7631791868200079e-05,  6.2927174720700556e+00,  9.6251681166688059e+01, -1.1725914988901636e+02,  3.5330096465058260e-03
 2.9999999999999999e-02,  1.0918839065029714e+02,  2.9226035995790677e-02,  1.3259125640232320e+01, -1.4608564027528561e+00,  2.4107882759052689e+01,  1.4551380332511517e+01,  3.2843704446026636e+00, -3.2044708071232020e-01, -4.5999999749384624e+03,  6.0011886582964877e+01,  3.4863793785874506e+00,  8.4458800009339785e-01,  1.9153588100188323e-01, -5.9248106736063155e+00, -3.5986123842741219e-01,  3.7397218235496971e-01, -4.1643698669421858e-02,  2.2092904437295058e+00,  1.1857135505646266e+00,  7.5783577499488608e-05,  3.8480730589113277e+00,  8.1703555689314200e+01, -1.0444672768578411e+02,  8.0973474797518818e-03
 4.0000000000000001e-02,  1.0918423229937098e+02,  2.5590915743192569e-02,  1.3244787574097845e+01, -1.4853949862513391e+00,  2.4122059118832546e+01,  1.4584508940790242e+01,  4.3801761408415336e+00, -4.1628955890351660e-01, -4.5999999489419270e+03,  6.0015880206425877e+01,  3.4806913518355533e+00,  1.1269809269105955e+00,  1.9131184766813458e-01, -5.8986325913845548e+00, -3.5322643930605513e-01,  3.7397334505811869e-01, -9.2958206337478960e-03,  2.8953121896168272e+00,  1.8058876699021117e-01,  1.8161359653379169e-04,  2.6215025482234631e+00,  5.5500793488150151e+01, -9.6578229029098921e+01,  1.3068656327108736e-02
 5.0000000000000003e-02,  1.0917963319239941e+02,  2.1120051326021093e-02,  1.3230589830781515e+01, -1.5019436371805424e+00,  2.4113489101794819e+01,  1.4624969883670541e+01,  5.4764362005528655e+00, -5.0664853612062410e-01, -4.5999999113618214e+03,  6.0019847945414320e+01,  3.4746717985031363e+00,  1.4096364290638523e+00,  1.9134996458920828e-01, -5.8669044298139790e+00, -3.5624946308760796e-01,  3.7397581462690038e-01,  1.4389387799754185e-02,  3.3551846544853885e+00, -7.8116590577401457e-01,  3.3548285490458968e-04,  2.1155391384769526e+00,  3.6473699485561909e+01, -9.5772705523746211e+01,  1.7705195347050846e-02
 5.9999999999999998e-02,  1.0917509883725944e+02,  1.5763490241850999e-02,  1.3216128460078528e+01, -1.5116252177849316e+00,  2.4079250980958665e+01,  1.4670345663254512e+01,  6.5731180999947769e+00, -5.9152485094249052e-01, -4.5999998608169008e+03,  6.0023740096041749e+01,  3.4681514392924693e+00,  1.6923673961501826e+00,  1.9159963542412967e-01, -5.8315288982948470e+00, -3.6884975742153542e-01,  3.7398005471521678e-01,  3.9595047354273875e-02,  3.5381449007517043e+00, -1.6696411656759944e+00,  5.3129583264532865e-04,  2.9255927724269868e+00,  1.1834976770153099e-01, -8.1922346456649834e+01,  2.1457400201096977e-02
 7.0000000000000007e-02,  1.0917104468784102e+02,  9.5178882524828874e-03,  1.3201005381524679e+01, -1.5157481980622129e+00,  2.4019197076868299e+01,  1.4717779404166842e+01,  7.6701895603424184e+00, -6.7091922335855070e-01, -4.5999997956281104e+03,  6.0027505060534388e+01,  3.4609756371162868e+00,  1.9749562333928519e+00,  1.9214186553629375e-01, -5.7961415317989449e+00, -3.8964228640112786e-01,  3.7398644054355329e-01,  7.3619686219154865e-02,  3.4625797212393108e+00, -2.4163146158728410e+00,  7.5812608969771922e-04,  3.8793350005492093e+00, -1.5231385670180224e+01, -6.7412343582719501e+01,  2.3908651209381116e-02
 8.0000000000000002e-02,  1.0916778504453416e+02,  2.4304368947670484e-03,  1.3184897065912290e+01, -1.5158927412013958e+00,  2.3936006314042444e+01,  1.4764220038027439e+01,  8.7676188675740132e+00, -7.4483280903679783e-01, -4.5999997134385985e+03,  6.0031092474383875e+01,  3.4530246163323741e+00,  2.2571846899890380e+00,  1.9307202914851276e-01, -5.7622773038700608e+00, -4.1717604973899225e-01,  3.7399521723701074e-01,  1.1950943533629999e-01,  3.1592159222439093e+00, -2.9038128102902117e+00,  1.0018200093137035e-03,  5.2986148228798049e+00, -4.5441374128900641e+01, -3.0087295300754189e+01,  2.4830132713815647e-02
 8.9999999999999997e-02,  1.0916553316222331e+02, -5.4041804977838252e-03,  1.3167576811067427e+01, -1.5142196447067313e+00,  2.3834567302162835e+01,  1.4806536275262495e+01,  9.8653751150781268e+00, -8.1326751845096346e-01, -4.5999996110231659e+03,  6.0034451129483728e+01,  3.4442230368681024e+00,  2.5388490634641752e+00,  1.9453205424301975e-01, -5.7329572133540667e+00, -4.4771854260693206e-01,  3.7400647694373956e-01,  1.6725736411209999e-01,  2.7849109581097760e+00, -3.0838804904838777e+00,  1.2466118339188312e-03,  4.2509709322802163e+00, -2.9419618697925628e+01, -5.9262407379795352e+00,  2.4128232207210044e-02
