#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514336e+02,  3.6094871257063031e-02,  1.3305895258468780e+01, -1.3792643442177208e+00,  2.3876951870157502e+01,  1.4515928307451631e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772626e+00,  0.0000000000000000e+00,  1.9547018030679414e-01, -5.9491959116213096e+00, -4.4693854268020189e-01,  3.7397186276810690e-01, -2.1787940634574454e-01, -2.7603907619253576e-01,  4.8723591122411039e+00, -4.0919669153094418e-06,  6.8965265233511541e+00,  1.1464483929287894e+02, -1.1953323504006185e+02,  4.0052748340180244e-05
 1.0000000000000000e-02,  1.0919329755703939e+02,  3.4099785540754761e-02,  1.3287426570609902e+01, -1.3822344947265730e+00,  2.3922707740354806e+01,  1.4522822007849031e+01,  1.0942511444994620e+00, -1.1230558616535170e-01, -4.5999999980290868e+03,  6.0003598270907645e+01,  3.4967359521766510e+00,  2.8010917661367835e-01,  1.9329138624333669e-01, -5.9519563023832349e+00, -3.9821495155779085e-01,  3.7397182184843775e-01, -1.8339677372898877e-01,  2.9718512027185895e-01,  4.2746929370407942e+00, -3.8917031736085406e-06,  6.8965265233511541e+00,  1.1464483929287894e+02, -1.1953323504006185e+02,  4.0052748340180244e-05
 2.0000000000000000e-02,  1.0919205253315332e+02,  3.1682941401920066e-02,  1.3269951653791955e+01, -1.3905978758406150e+00,  2.3969106551804298e+01,  1.4537845916895632e+01,  2.1890515860938344e+00, -2.1912195620108993e-01, -4.5999999895339652e+03,  6.0007673779976486e+01,  3.4905894070112060e+00,  5.6072518396681892e-01,  1.9180224483221436e-01, -5.9432522092158724e+00, -3.6144468393938600e-01,  3.7397178493404343e-01, -1.1716046272727128e-01,  1.3596981725131132e+00,  3.1038563363328779e+00,  1.1697643148567140e-05,  6.3507356769923495e+00,  9.7857771155371893e+01, -1.1463408510152155e+02,  3.0778165160949568e-03
 2.9999999999999999e-02,  1.0918915436978067e+02,  2.8696948438059991e-02,  1.3253395585697032e+01, -1.4013916502527000e+00,  2.4006122310117302e+01,  1.4561984591255371e+01,  3.2843707062403853e+00, -3.2045331491306800e-01, -4.5999999714508840e+03,  6.0012080640605085e+01,  3.4844511201915203e+00,  8.4185932362474558e-01,  1.9094817698879127e-01, -5.9247623389329727e+00, -3.3613782483113330e-01,  3.7397205580130072e-01, -6.7712449906924543e-02,  2.2605157191012637e+00,  1.8723193689687250e+00,  6.4589533929626519e-05,  3.5388668870769968e+00,  8.2305738162258280e+01, -1.3167330837130896e+02,  7.5005616401169206e-03
 4.0000000000000001e-02,  1.0918522548037051e+02,  2.5006894488867022e-02,  1.3237502006920241e+01, -1.4123046679576683e+00,  2.4025876603127649e+01,  1.4594762730880436e+01,  4.3801767595419747e+00, -4.1630257491231248e-01, -4.5999999415241928e+03,  6.0016682327908320e+01,  3.4781767046831256e+00,  1.1234403197013012e+00,  1.9044799583407587e-01, -5.8980418948338471e+00, -3.2399829656001150e-01,  3.7397307672472202e-01, -3.7271103219616013e-02,  2.9339186350996189e+00,  6.9209956284882179e-01,  1.6382749592480647e-04,  2.5494024503847066e+00,  5.2374845037412832e+01, -1.0437065285267161e+02,  1.2347030758919070e-02
 5.0000000000000003e-02,  1.0918084588174497e+02,  2.0511589858766024e-02,  1.3221897584399892e+01, -1.4213958012485157e+00,  2.4022622817130099e+01,  1.4634541652521371e+01,  5.4764374185898408e+00, -5.0667164997224068e-01, -4.5999998979430829e+03,  6.0021360562290063e+01,  3.4715987910907593e+00,  1.4053277315269239e+00,  1.9020275492439895e-01, -5.8660839662309803e+00, -3.2229583357415686e-01,  3.7397533235121921e-01, -7.1010429589277177e-03,  3.3138472444557370e+00, -2.7368075777851336e-01,  3.0985838478936328e-04,  3.4846096017529540e+00,  2.3610876833810586e+01, -8.8785411272795415e+01,  1.6859147013992277e-02
 5.9999999999999998e-02,  1.0917652097312256e+02,  1.5155701769707073e-02,  1.3206180154150521e+01, -1.4278469176496240e+00,  2.3994120105792597e+01,  1.4678876626668872e+01,  6.5731202339315518e+00, -5.9156190477488968e-01, -4.5999998389376724e+03,  6.0026014849472418e+01,  3.4645494957382095e+00,  1.6873338518583654e+00,  1.9030597497489732e-01, -5.8317649499447324e+00, -3.2947191171558177e-01,  3.7397927389241781e-01,  3.0537604115422883e-02,  3.4392467973317400e+00, -1.0835832660655906e+00,  4.9642148809980735e-04,  4.0431198131171664e+00,  1.4690337413902903e+00, -7.3195090384620102e+01,  2.0453473648096566e-02
 7.0000000000000007e-02,  1.0917266187606410e+02,  8.9374051541753971e-03,  1.3189985489476401e+01, -1.4320109394942360e+00,  2.3941333800380857e+01,  1.4724766807375211e+01,  7.6701930251790573e+00, -6.7097469476615756e-01, -4.5999997623598292e+03,  6.0030557770111002e+01,  3.4568836123628275e+00,  1.9692516074020872e+00,  1.9081350700670741e-01, -5.7972990302843455e+00, -3.4396749889546868e-01,  3.7398526078098121e-01,  6.8183324097707818e-02,  3.4601216622110345e+00, -1.7461886851357962e+00,  7.1259445451332659e-04,  3.4860241833398180e+00,  2.7059392344686004e+00, -5.9325993429420990e+01,  2.2781119634607262e-02
 8.0000000000000002e-02,  1.0916958122780727e+02,  1.9044074943560866e-03,  1.3172965036225458e+01, -1.4342236594246420e+00,  2.3865077567002068e+01,  1.4769255335715634e+01,  8.7676241734175129e+00, -7.4491164804683407e-01, -4.5999996654912557e+03,  6.0034912875629651e+01,  3.4484868052805924e+00,  2.2508660794159270e+00,  1.9166964145685148e-01, -5.7625625167005117e+00, -3.6439568541829770e-01,  3.7399352578150807e-01,  1.1449365700756114e-01,  3.2789844937501496e+00, -2.2617805900576475e+00,  9.4468102826150745e-04,  5.7760423986308380e+00, -3.8933372926646157e+01, -4.3792387554949009e+01,  2.3636195115028815e-02
 8.9999999999999997e-02,  1.0916749477289419e+02, -5.8459295057824026e-03,  1.3154853392425050e+01, -1.4357911441463842e+00,  2.3769303382542798e+01,  1.4809342185312454e+01,  9.8653828487149031e+00, -8.1337490739199569e-01, -4.5999995449117141e+03,  6.0039013326462808e+01,  3.4392801548731651e+00,  2.5319642743951172e+00,  1.9310338014685863e-01, -5.7317193404093425e+00, -3.8920311069662161e-01,  3.7400415440154644e-01,  1.6980679005934304e-01,  3.0228936294203641e+00, -2.7085846081212139e+00,  1.1772859429687308e-03,  5.2865842117255619e+00, -1.2284799939310526e+01, -4.5568416057764608e+01,  2.2884787826415998e-02
