#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514385e+02,  3.6094871257063003e-02,  1.3305895258468777e+01, -2.0997968924828228e+00,  2.3668763460903801e+01,  1.4471723744759160e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772435e+00,  0.0000000000000000e+00,  1.9547018030679550e-01, -5.9491959116213184e+00, -4.4693854268020416e-01,  3.7397186276810979e-01, -1.1170171943758467e-02, -2.7324598452347360e-01,  5.0048767168732633e+00, -5.2749081547176502e-06,  1.2960051177032805e+00,  1.2447682168338581e+02, -1.1922324673807161e+02, -3.0709344456258947e-04
 1.0000000000000000e-02,  1.0919365447749763e+02,  3.3205608703031020e-02,  1.3285183499515384e+01, -2.0332314208271343e+00,  2.3876656667044514e+01,  1.4486145631063350e+01,  1.0942511561910460e+00, -1.1230624211211797e-01, -4.5999999979702652e+03,  5.9996650121281483e+01,  3.4964917539558593e+00,  2.7880169531998766e-01,  1.9535847858735791e-01, -5.9519283714665532e+00, -3.9688977551147153e-01,  3.7397181001902824e-01, -4.6901463552420641e-03,  3.4913812389345544e-01,  4.4087604831829053e+00, -6.8103753775305975e-06,  1.2960051177032805e+00,  1.2447682168338581e+02, -1.1922324673807161e+02, -3.0709344456258947e-04
 2.0000000000000000e-02,  1.0919252194583584e+02,  2.9849735276571386e-02,  1.3268430387612421e+01, -1.9782712244518534e+00,  2.4070415584904698e+01,  1.4507887156449925e+01,  2.1890517008494217e+00, -2.1912483228095320e-01, -4.5999999897839380e+03,  5.9994498842566550e+01,  3.4908763126838580e+00,  5.5947074038660249e-01,  1.9537637737969066e-01, -5.9422131491434493e+00, -3.5876333301654606e-01,  3.7397172656060224e-01,  1.7451130305116972e-02,  1.5499596981263688e+00,  2.9007042031431594e+00,  5.0842240056914187e-06,  3.1322502143685274e+00,  1.1568749316319686e+02, -1.8238800926987770e+02,  2.6860133212069934e-03
 2.9999999999999999e-02,  1.0918949594566702e+02,  2.5909601752353694e-02,  1.3255108076429766e+01, -1.9322798686823148e+00,  2.4237494979238850e+01,  1.4537916044441685e+01,  3.2843711389926802e+00, -3.2045935218384142e-01, -4.5999999736311674e+03,  5.9993336508046852e+01,  3.4859576390995457e+00,  8.4188196612397326e-01,  1.9570750119346025e-01, -5.9209291775040258e+00, -3.3887569144860835e-01,  3.7397191170350835e-01,  4.0290211457416625e-02,  2.5795583188752413e+00,  1.2383744288544551e+00,  5.4779707484020612e-05,  1.4355660160914052e+00,  9.0232230986577733e+01, -1.5007794558786313e+02,  7.2530833744588463e-03
 4.0000000000000001e-02,  1.0918520038468986e+02,  2.1271125843713386e-02,  1.3244478071724746e+01, -1.8929276205153542e+00,  2.4368009102655407e+01,  1.4575754005773852e+01,  4.3801778427306477e+00, -4.1631085080992664e-01, -4.5999999491319886e+03,  5.9992963489617495e+01,  3.4814945529837673e+00,  1.1258051375703879e+00,  1.9618218160883899e-01, -5.8906219827659445e+00, -3.3399584443945696e-01,  3.7397282215475192e-01,  5.3251148404201414e-02,  3.3399126138432762e+00, -1.2459948461772116e-01,  1.5330094824961280e-04,  1.1566213732655535e+00,  6.1838628007029300e+01, -1.2251683710657207e+02,  1.2451164778659591e-02
 5.0000000000000003e-02,  1.0918021443902352e+02,  1.5845121178331201e-02,  1.3235703687750476e+01, -1.8580763148798107e+00,  2.4455940723947030e+01,  1.4619825624212611e+01,  5.4764395358220543e+00, -5.0667842293677312e-01, -4.5999999168170043e+03,  5.9993199351125725e+01,  3.4772193217225316e+00,  1.4109316669381973e+00,  1.9677252416154428e-01, -5.8541309252271603e+00, -3.4136768114096278e-01,  3.7397497772247335e-01,  6.3669322952937549e-02,  3.8143897638726725e+00, -1.3918555550370888e+00,  3.0327513001193745e-04,  9.2701353648166929e-01,  3.3056801998849764e+01, -1.3093437697730141e+02,  1.7543671573805326e-02
 5.9999999999999998e-02,  1.0917504527427262e+02,  9.5855118915151999e-03,  1.3227923063771000e+01, -1.8260446747093464e+00,  2.4498617406125842e+01,  1.4667676757953807e+01,  6.5731236997048326e+00, -5.9155986234116287e-01, -4.5999998776014718e+03,  5.9993886525013728e+01,  3.4728625783887792e+00,  1.6969004233149212e+00,  1.9745556806789774e-01, -5.8143341874884911e+00, -3.6183295554019873e-01,  3.7397888765735215e-01,  7.3197465210031440e-02,  4.1336608353437656e+00, -2.6321312336703921e+00,  5.0085202712990540e-04,  9.7861491493711439e-01,  3.0797412295369128e+01, -1.1712075874935940e+02,  2.1971707849788292e-02
 7.0000000000000007e-02,  1.0917011175319372e+02,  2.4975875760782714e-03,  1.3220304733690035e+01, -1.7957628550025746e+00,  2.4495834307115445e+01,  1.4716411441386777e+01,  7.6701979143865762e+00, -6.7095233578382907e-01, -4.5999998322994352e+03,  5.9994891572557840e+01,  3.4681754101258395e+00,  1.9833252095783291e+00,  1.9823647346574491e-01, -5.7714577085202849e+00, -3.9401030581437063e-01,  3.7398499476301594e-01,  9.5060977287830792e-02,  4.2199098186385333e+00, -3.6490284362883116e+00,  7.3757871284496612e-04,  3.3940875006227542e+00, -1.3547615636415594e+01, -8.6258681774224428e+01,  2.5373629293223832e-02
 8.0000000000000002e-02,  1.0916574118794640e+02, -5.3619847685363910e-03,  1.3212084453286483e+01, -1.7668701631881394e+00,  2.4449711012606247e+01,  1.4763043936644168e+01,  8.7676301228944737e+00, -7.4485285864768302e-01, -4.5999997813182263e+03,  5.9996101652394884e+01,  3.4629396408729418e+00,  2.2698096272432018e+00,  1.9935678761365436e-01, -5.7299359911157204e+00, -4.3481352426596498e-01,  3.7399363923160905e-01,  1.3170634004593540e-01,  4.1893604138127944e+00, -4.4473216580737098e+00,  1.0019319693355126e-03,  3.9349850509981561e+00,  7.4377346712673011e+00, -7.3399962582854712e+01,  2.7497022004885380e-02
 8.9999999999999997e-02,  1.0916216811612327e+02, -1.3891177919876955e-02,  1.3202584550040834e+01, -1.7401543865072533e+00,  2.4363362055057319e+01,  1.4804813627162098e+01,  9.8653888469945219e+00, -8.1325886641702683e-01, -4.5999997243346716e+03,  5.9997417573537426e+01,  3.4569787795907274e+00,  2.5559673846148985e+00,  2.0087060026666362e-01, -5.6876705002440291e+00, -4.8295673897584479e-01,  3.7400503340240265e-01,  1.7915516567074405e-01,  3.8009425301096291e+00, -5.1517718749801586e+00,  1.2805797926340732e-03,  5.5547800739635917e+00, -8.5121311411899782e+01, -6.7490080798435741e+01,  2.8232542654826873e-02
