#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0919227009514334e+02,  3.6094871257063031e-02,  1.3305895258468780e+01, -1.4364275423910955e+00,  2.3841093775114128e+01,  1.4516820579551203e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  5.9999999999999993e+01,  3.5029909381772626e+00,  0.0000000000000000e+00,  1.9547018030679414e-01, -5.9491959116213096e+00, -4.4693854268020189e-01,  3.7397186276810684e-01, -1.8958132996254040e-01, -2.5838085359080054e-01,  5.0658964428308746e+00, -4.3548607497889691e-06,  6.6240989040028397e+00,  1.1656641471185836e+02, -1.0339556579589181e+02, -7.3975172654172638e-05
 1.0000000000000000e-02,  1.0919339448889481e+02,  3.3868285994656876e-02,  1.3286787733731064e+01, -1.4789702698036369e+00,  2.3887893099413397e+01,  1.4525517930961785e+01,  1.0942511481746737e+00, -1.1230571102691358e-01, -4.5999999979926961e+03,  6.0002787872521942e+01,  3.4965518475487589e+00,  2.7980846725867803e-01,  1.9357436700716874e-01, -5.9517797201572176e+00, -3.9627957825189314e-01,  3.7397181921949935e-01, -1.5646083544252620e-01,  3.2445121996849124e-01,  4.5489186138514155e+00, -4.7247366130598323e-06,  6.6240989040028397e+00,  1.1656641471185836e+02, -1.0339556579589181e+02, -7.3975172654172638e-05
 2.0000000000000000e-02,  1.0919226940715369e+02,  3.1096014551036315e-02,  1.3268731037184960e+01, -1.5089615451076077e+00,  2.3935237505277545e+01,  1.4542676650027692e+01,  2.1890516289769866e+00, -2.1912266151985771e-01, -4.5999999893820777e+03,  6.0005746698238404e+01,  3.4902232396456321e+00,  5.6013741564097819e-01,  1.9234096359794361e-01, -5.9427068872219397e+00, -3.5596017040317357e-01,  3.7397176827337458e-01, -9.7441066507637800e-02,  1.4677318284883170e+00,  3.3649088117513468e+00,  9.2143698560143167e-06,  5.1798548829748459e+00,  1.1208970699210678e+02, -1.3340639462412213e+02,  2.8617964664690030e-03
 2.9999999999999999e-02,  1.0918950880768479e+02,  2.7670497665084354e-02,  1.3251632136782275e+01, -1.5294598415310308e+00,  2.3972234571105712e+01,  1.4569135529458068e+01,  3.2843708769949371e+00, -3.2045531496781304e-01, -4.5999999711405289e+03,  6.0008878596882610e+01,  3.4838987785976712e+00,  8.4099761979917365e-01,  1.9162554567701598e-01, -5.9224250835874512e+00, -3.2898140201686621e-01,  3.7397200350689647e-01, -5.4695225654875779e-02,  2.4795262212534031e+00,  2.1404374419106640e+00,  5.9496591822694178e-05,  3.3693132875775578e+00,  9.0269171560910522e+01, -1.1148787934401437e+02,  7.1946479268669705e-03
 4.0000000000000001e-02,  1.0918573348035244e+02,  2.3485462284816412e-02,  1.3235191322227216e+01, -1.5422510850236497e+00,  2.3989914660440643e+01,  1.4604251566256123e+01,  4.3801772162116341e+00, -4.1630666685147699e-01, -4.5999999411426979e+03,  6.0012146104574519e+01,  3.4774240037429616e+00,  1.1223055517666514e+00,  1.9124705908484610e-01, -5.8931163627968717e+00, -3.1315142156496029e-01,  3.7397295820521104e-01, -3.0173226447331718e-02,  3.2702777938843570e+00,  1.0807825534233511e+00,  1.5533301634396143e-04,  1.5350865539312524e+00,  6.7881142965280333e+01, -1.0044309835344818e+02,  1.1972636977386481e-02
 5.0000000000000003e-02,  1.0918152491643329e+02,  1.8459433240984594e-02,  1.3218978518688502e+01, -1.5482698250031546e+00,  2.3981609933921352e+01,  1.4646263773698292e+01,  5.4764383905848968e+00, -5.0667858749407957e-01, -4.5999998977643800e+03,  6.0015492464311123e+01,  3.4706190841190354e+00,  1.4038995898181770e+00,  1.9102208114806934e-01, -5.8570195277097641e+00, -3.0736575094839919e-01,  3.7397511016722335e-01, -6.8777141861292588e-03,  3.7902965005629068e+00,  1.3790911338438241e-01,  2.9744648795682066e-04,  3.1240158983092416e+00,  3.6122598370429429e+01, -8.8131589654345561e+01,  1.6450057345185350e-02
 5.9999999999999998e-02,  1.0917739422949927e+02,  1.2551681956775251e-02,  1.3202513856719227e+01, -1.5484681951983612e+00,  2.3944074864669062e+01,  1.4692645561400507e+01,  6.5731220131827932e+00, -5.9157225980089179e-01, -4.5999998394842096e+03,  6.0018856354436345e+01,  3.4632994683248715e+00,  1.6855599809460289e+00,  1.9110950480112351e-01, -5.8173104327856135e+00, -3.1039323929727264e-01,  3.7397890713497017e-01,  3.1266323591608296e-02,  4.0003626505090919e+00, -6.2822029426362880e-01,  4.7996504631830905e-04,  4.5047916572382700e+00,  5.8906316188078707e+00, -6.5094291875256701e+01,  2.0053654327112359e-02
 7.0000000000000007e-02,  1.0917376306552633e+02,  5.7710103726236004e-03,  1.3185328616159603e+01, -1.5445546059916055e+00,  2.3877010857225674e+01,  1.4740298121867058e+01,  7.6701959455795903e+00, -6.7098872316796065e-01, -4.5999997644711430e+03,  6.0022172397672627e+01,  3.4552971910613883e+00,  1.9670351519919820e+00,  1.9164740761990151e-01, -5.7770122746995822e+00, -3.1993015683367176e-01,  3.7398470946814971e-01,  7.5702673302871490e-02,  4.0933833513931086e+00, -1.2804002058173778e+00,  6.9209156410843231e-04,  4.3824782850143666e+00,  1.2713508557995462e+01, -6.5341690435493064e+01,  2.2371649230912272e-02
 8.0000000000000002e-02,  1.0917095377728218e+02, -1.8224391733071210e-03,  1.3167003514675232e+01, -1.5383620346723168e+00,  2.3781702128044738e+01,  1.4785981644205430e+01,  8.7676286160793584e+00, -7.4492939246388101e-01, -4.5999996702317603e+03,  6.0025371454057009e+01,  3.4464790449796276e+00,  2.2480666576249360e+00,  1.9262355826718094e-01, -5.7354427657577514e+00, -3.3600124341362020e-01,  3.7399274896625234e-01,  1.3178293458285117e-01,  4.0605852375497093e+00, -1.7471106035200921e+00,  9.2015802559408709e-04,  6.8335739709815613e+00, -1.9273131326675873e+01, -2.8000389105049567e+01,  2.3241643066218589e-02
 8.9999999999999997e-02,  1.0916919472684299e+02, -1.0121440489397608e-02,  1.3147139824082508e+01, -1.5320331364693003e+00,  2.3659682636078887e+01,  1.4826623949321945e+01,  9.8653892271140293e+00, -8.1339613791336496e-01, -4.5999995535804055e+03,  6.0028381575746145e+01,  3.4367427938511335e+00,  2.5283857727708123e+00,  1.9428306631155853e-01, -5.6958005699485881e+00, -3.5487236890407359e-01,  3.7400311262866159e-01,  1.9812960468492122e-01,  3.8293799758870142e+00, -2.0811930878954605e+00,  1.1489465458813795e-03,  6.4357600494324680e+00, -2.6967921005862639e+01, -3.8816107770024402e+01,  2.2516060991240028e-02
 1.0000000000000001e-01,  1.0916862057432493e+02, -1.8974774123891962e-02,  1.3125451164215793e+01, -1.5283836990953219e+00,  2.3515565893584515e+01,  1.4859438520455418e+01,  1.0963447948650817e+01, -8.7639176373157335e-01, -4.5999994103779591e+03,  6.0031123579551839e+01,  3.4260299483687371e+00,  2.8077386003329896e+00,  1.9658615036087937e-01, -5.6588551662400111e+00, -3.7762510517152942e-01,  3.7401572789716997e-01,  2.3976760806549002e-01,  3.3523862153054469e+00, -2.5673435007780125e+00,  1.3624273002527108e-03,  1.8918406266812950e+00, -6.8430831110450868e+01, -5.8413974806485996e+01,  2.0180089883026209e-02
 1.1000000000000000e-01,  1.0916927852863070e+02, -2.8218601657161845e-02,  1.3101778234880877e+01, -1.5285847260206957e+00,  2.3355826382101458e+01,  1.4883068014933544e+01,  1.2061776040725800e+01, -9.3392041395081316e-01, -4.5999992354817223e+03,  6.0033517330500722e+01,  3.4143249239809963e+00,  3.0859091261250899e+00,  1.9907841847286833e-01, -5.6287528456424791e+00, -4.0621923891963385e-01,  3.7403036117466665e-01,  2.4470999293319123e-01,  2.5534539812922321e+00, -3.1576813645875932e+00,  1.5448677684076770e-03, -9.0336365314108802e-01, -9.1355615692192515e+01, -5.9653597955429746e+01,  1.6308003747966832e-02
 1.2000000000000000e-01,  1.0917113698956656e+02, -3.7689014776332193e-02,  1.3076131200619727e+01, -1.5322043106264598e+00,  2.3189195188325925e+01,  1.4897270048016317e+01,  1.3160345921531869e+01, -9.8598797291273321e-01, -4.5999990227163698e+03,  6.0035500939797046e+01,  3.4016549119970447e+00,  3.3627450199420936e+00,  2.0148035021954319e-01, -5.6077860866141664e+00, -4.4077873246328125e-01,  3.7404662525253812e-01,  2.2319538303283837e-01,  1.6400591264482676e+00, -3.5285960783453496e+00,  1.6814105959134236e-03, -3.3995583269294514e+00, -9.1323355276600140e+01, -1.4529344796121995e+01,  1.1000561753182753e-02
 1.3000000000000000e-01,  1.0917409484108076e+02, -4.7234436597715583e-02,  1.3048722008266060e+01, -1.5381524954181482e+00,  2.3025991503482835e+01,  1.4902704651507991e+01,  1.4259131227234461e+01, -1.0326024251570018e+00, -4.5999987648128408e+03,  6.0037041626630817e+01,  3.3880935753973960e+00,  3.6381850030145770e+00,  2.0354232613352510e-01, -5.5959516631135138e+00, -4.7679116048654085e-01,  3.7406398938658492e-01,  1.8413530890026547e-01,  6.6126892019728822e-01, -3.8362102445142954e+00,  1.7591794041787996e-03, -4.4124564995850966e+00, -1.0443468597359544e+02, -4.6993488437667622e+01,  4.5531998998926595e-03
