#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359458403885958e+02,  0.0000000000000000e+00,  3.2220455793799715e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01, -2.3355487799509572e+01,  2.7704858246000022e+01,  3.3333333333333329e+01,  0.0000000000000000e+00,  3.4362299974780859e+02, -7.1115746908644758e+02,  1.6683333333333337e+03,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3359466235138177e+02,  2.2459656738484782e-04,  3.2217443950040696e+01,  3.5281417119651950e-02, -1.9635833355964926e-02, -7.7135129987160236e-04,  6.3377950923976352e+00,  5.3771695601780563e-07, -1.5000000008005889e+04,  1.1862235165669204e-04,  2.9111086410167100e+00, -3.7684630175572498e-06, -2.3332155643865704e-01, -1.3655808004936567e+00,  3.3300033300033294e-01,  2.7328816364904313e-01, -2.1639089199370666e+01,  2.4152623135678105e+01,  4.1666666666666664e+01,  0.0000000000000000e+00,  3.4362299974780859e+02, -7.1115746908644758e+02,  1.6683333333333337e+03,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3359498154076357e+02,  9.8011862810987909e-04,  3.2207306709104031e+01,  1.3318263314797507e-01, -6.8396156239227388e-02, -1.7351208342984443e-03,  1.2675588820427500e+01,  2.5074814400024989e-06, -1.5000000055436083e+04,  9.1198602272024468e-04,  2.9106906175093274e+00, -1.6045728485662530e-05, -4.3234943455286046e-01, -1.1597827183222662e+00,  8.3250083250083240e-01,  2.7328816364904313e-01, -1.8436164668122377e+01,  1.8465432875795624e+01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.9760249140809964e+02, -4.2741802094202495e+02, -1.1124445808974319e-12,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3359566450963234e+02,  2.6399921289713400e-03,  3.2187929206405805e+01,  2.8278725899764323e-01, -1.4022569599993417e-01, -3.0970590700566515e-03,  1.9013380048179783e+01,  6.5884806412504923e-06, -1.5000000171136888e+04,  2.9494271407718058e-03,  2.9096655335889650e+00, -3.9854593330511399e-05, -6.0167649486268049e-01, -9.9664108269554241e-01,  1.3320013320013318e+00,  2.7328816364904313e-01, -1.5665359914801225e+01,  1.4438178990050343e+01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.5711262020679436e+02, -3.7883820698417867e+02,  3.3373337426922947e-12,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3359681044808440e+02,  5.5277934439491531e-03,  3.2157742706577523e+01,  4.7481848058945153e-01, -2.2982484487732704e-01, -4.9450337860046595e-03,  2.5351167820179736e+01,  1.3631256941958499e-05, -1.5000000376879221e+04,  6.6997043523586873e-03,  2.9078299496353961e+00, -7.9820846787504013e-05, -7.4534363864479303e-01, -8.7130761362595566e-01,  1.8315018315018314e+00,  2.7328816364904313e-01, -1.3238073190034608e+01,  1.0795915981422025e+01,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.2883018209148162e+02, -3.5034284734320994e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3359849517937982e+02,  9.9073170410669126e-03,  3.2115683710764053e+01,  7.0121238846014222e-01, -3.3241566755532098e-01, -7.2328548607354512e-03,  3.1688951400107904e+01,  2.4544011861067061e-05, -1.5000000687896927e+04,  1.2545273770122305e-02,  2.9050305523311346e+00, -1.4088117391262831e-04, -8.6617346169653886e-01, -7.8093846568411329e-01,  2.3310023310023311e+00,  2.7328816364904313e-01, -1.1054748873134423e+01,  7.3766272890096669e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.0827134615193631e+02, -3.3419874887774483e+02, -6.6746674853845910e-12,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3360077159848072e+02,  1.5972820945447663e-02,  3.2061169537451903e+01,  9.5479084609726150e-01, -4.4352878201650370e-01, -9.7819550605543672e-03,  3.8026730297838746e+01,  4.0171361638544691e-05, -1.5000001113264490e+04,  2.0792720338943367e-02,  2.9011600888852094e+00, -2.2699244959244134e-04, -9.6621774200412214e-01, -7.2392245300638192e-01,  2.8305028305028301e+00,  2.7328816364904313e-01, -9.0655506064468003e+00,  4.1191044869981814e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.8996614683892514e+02, -3.1795731608495407e+02,  8.8995566471794488e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3360366987502186e+02,  2.3838726685029316e-02,  3.1994075083061777e+01,  1.2290970343436591e+00, -5.5892708273586356e-01, -1.2285817649755844e-02,  4.4364504288475331e+01,  6.1167988751246601e-05, -1.5000001656138906e+04,  3.1680709241518570e-02,  2.8961548024620405e+00, -3.3984718738022153e-04, -1.0473033439432282e+00, -6.9863867573409966e-01,  3.3300033300033300e+00,  2.7328816364904313e-01, -7.2617278891333878e+00,  1.0657035685743457e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.7115916116721999e+02, -2.9333354778349775e+02, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3360719799863523e+02,  3.3531572463701337e-02,  3.1914693766527137e+01,  1.5183622870695201e+00, -6.7467111051660822e-01, -1.4326166175107170e-02,  5.0702273418238349e+01,  8.7877630043768729e-05, -1.5000002314034364e+04,  4.5387016081723242e-02,  2.8899918722218003e+00, -4.7767109471104417e-04, -1.1113072103184756e+00, -7.0262967441348789e-01,  3.8295038295038291e+00,  2.7328816364904313e-01, -5.6472062648067478e+00, -1.6992409410542275e+00,  4.5424078395016366e+01,  0.0000000000000000e+00,  1.5206806802297430e+02, -2.6020834304414262e+02, -9.1609950531771915e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3361134305964276e+02,  4.4996661797906082e-02,  3.1823684911778301e+01,  1.8175073924222396e+00, -7.8721452597307096e-01, -1.5465752225471746e-02,  5.7040037993468431e+01,  1.2025496685923184e-04, -1.5000003079235299e+04,  6.2035454866284610e-02,  2.8826859083288676e+00, -6.3438924292161128e-04, -1.1601346379453610e+00, -7.3258954368723106e-01,  4.2375773239097505e+00,  2.7328816364904313e-01, -4.2198863897970460e+00, -4.1077719098171448e+00,  2.8899057498870480e+01,  0.0000000000000000e+00,  1.3368137095396742e+02, -2.2197955690219388e+02, -2.3922096780906818e+03,  0.0000000000000000e+00
