#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -6.9295273463773569e+01, -9.6790387938529037e+00,  4.8482069482934082e+02, -6.5445768249183800e-07,  1.0955103736420124e+03,  1.6306550579478974e+02, -8.1645426279300355e+03, -3.4368304979714992e-04
 1.0000000000000000e-02,  6.3373754618550731e+02,  4.2577532742558793e-04,  2.9275025878100266e+01,  1.0522471771067472e-01,  5.4097463299868313e-03, -1.6092048520147798e-03,  6.3441332888060771e+00,  6.4792143608831982e-07, -1.4999999997744268e+04,  3.5534324682825390e-04,  2.6447961736681909e+00, -5.7769343203304086e-06, -6.9295273463773566e-01, -5.8178311865781193e-02,  4.8482069482934085e+00,  2.7323873246432129e-01, -6.3817721595563505e+01, -8.8637112648789547e+00,  4.4399798168969068e+02, -2.3728729314775876e-06,  1.0955103736420124e+03,  1.6306550579478974e+02, -8.1645426279300355e+03, -3.4368304979714992e-04
 2.0000000000000000e-02,  6.3373751406533972e+02,  2.3259276889654049e-03,  2.9277857758258385e+01,  3.9663555494375879e-01,  1.8471379199795534e-02, -4.7306637438527680e-03,  1.2688267289970524e+01,  4.1301293846001317e-06, -1.4999999983986700e+04,  2.7216778623986868e-03,  2.6449109087797229e+00, -3.7094397544416021e-05, -1.2763544319112701e+00, -1.3866214922483125e-01,  8.8799596337938134e+00,  2.7323869155143948e-01, -5.3552862608142433e+01, -7.3370680410594176e+00,  3.7048429886547825e+02, -6.9290496784724107e-06,  9.5746142384220229e+02,  1.4226313896911776e+02, -6.5381939369124648e+03, -5.6755229960181474e-04
 2.9999999999999999e-02,  6.3373741827904848e+02,  6.4480696803713650e-03,  2.9282839530499249e+01,  8.4226079663016873e-01,  3.5537287823688563e-02, -7.6832527157362253e-03,  1.9032402472513418e+01,  1.1052738443008373e-05, -1.4999999952038015e+04,  8.7964015385759604e-03,  2.6451787953498758e+00, -9.9803701700202236e-05, -1.7640099868005843e+00, -2.0491967268696953e-01,  1.2257892925602972e+01,  2.7323859388332772e-01, -4.4586582626187941e+01, -6.0107295719997689e+00,  3.1127957611192318e+02, -1.3224542202983081e-05,  8.3579457254869590e+02,  1.2300455484281186e+02, -5.3027506137985365e+03, -6.9154620530031963e-04
 4.0000000000000001e-02,  6.3373724242612968e+02,  1.3353379645111636e-02,  2.9289950004952487e+01,  1.4144996034934785e+00,  5.4117043662308843e-02, -9.5872361653168772e-03,  2.5376539101970685e+01,  2.0720913534199332e-05, -1.4999999899022725e+04,  1.9980864355275296e-02,  2.6456266166665872e+00, -1.8723585683600875e-04, -2.1680860844350289e+00, -2.5887674066482663e-01,  1.5105551156032277e+01,  2.7323842706059542e-01, -3.6763786934321431e+01, -4.8678090127536393e+00,  2.6299889042209873e+02, -2.0403780673361457e-05,  7.2876456582460412e+02,  1.0557955700641381e+02, -4.3533865241663407e+03, -7.4430148877535597e-04
 5.0000000000000003e-02,  6.3373698113944727e+02,  2.3466589405228847e-02,  2.9299040083551368e+01,  2.0890574428474267e+00,  7.2551503859159039e-02, -1.0041284314349171e-02,  3.1720677298196009e+01,  3.1952605035495116e-05, -1.4999999824695886e+04,  3.7417841320620981e-02,  2.6462606447505213e+00, -2.8646305349920841e-04, -2.4992857254870131e+00, -3.0227585294204234e-01,  1.7517870734044948e+01,  2.7323818580771425e-01, -2.9946636154925283e+01, -3.8893608929136825e+00,  2.2315326360261065e+02, -2.7868361199279160e-05,  6.3466559005462852e+02,  9.0110066961577900e+01, -3.6157388397312943e+03, -7.4861461640818327e-04
 5.9999999999999998e-02,  6.3373663666513426e+02,  3.7107655136407736e-02,  2.9309882057439438e+01,  2.8444023028587231e+00,  8.9772469026537932e-02, -8.9217736836202360e-03,  3.8064817081501900e+01,  4.3580659064001751e-05, -1.4999999730592319e+04,  6.2021422954506890e-02,  2.6470736784529709e+00, -3.8199712815817138e-04, -2.7670188075335345e+00, -3.3666395852310027e-01,  1.9568616428084489e+01,  2.7323786969337144e-01, -2.4013597903713375e+01, -3.0559105870114673e+00,  1.8989311540291013e+02, -3.5221044003552742e-05,  5.5194206018775094e+02,  7.6579994218864925e+01, -3.0362908002087947e+03, -7.2192194444653491e-04
 7.0000000000000007e-02,  6.3373621625807527e+02,  5.4512650333880100e-02,  2.9322204301455177e+01,  3.6614512976399145e+00,  1.0512964046982537e-01, -6.2593746683156917e-03,  4.4408958408041073e+01,  5.4757558736937615e-05, -1.4999999619415934e+04,  9.4502855406416272e-02,  2.6480500281276793e+00, -4.5790690786563239e-04, -2.9795576835612807e+00, -3.6339406468227170e-01,  2.1315733042103151e+01,  2.7323748138683418e-01, -1.8857813777409735e+01, -2.3486057899148975e+00,  1.6183150504722988e+02, -4.2216257228888658e-05,  4.7921476507297700e+02,  6.4880965200448912e+01, -2.5760312709272516e+03, -6.7712070062064778e-04
 8.0000000000000002e-02,  6.3373573023634037e+02,  7.5848234767300862e-02,  2.9335715604708540e+01,  4.5233529083279223e+00,  1.1826701774397180e-01, -2.1641696506451515e-03,  5.0753101196046948e+01,  6.5135293588370729e-05, -1.4999999494600459e+04,  1.3539384195425125e-01,  2.6491690300918616e+00, -4.9897036793334281e-04, -3.1441750830817292e+00, -3.8363607432139823e-01,  2.2805246529029088e+01,  2.7323702536822686e-01, -1.4385374028018212e+01, -1.7499395879619359e+00,  1.3792028372747012e+02, -4.8719196610314013e-05,  4.1527318480532972e+02,  5.4852275190143743e+01, -2.2062129930247233e+03, -6.2346717566441677e-04
 8.9999999999999997e-02,  6.3373519055516056e+02,  1.0122223599863590e-01,  2.9350122090993594e+01,  5.4153063123387870e+00,  1.2903460736693048e-01,  3.2188986295529926e-03,  5.7097245344726012e+01,  7.4966290357579221e-05, -1.4999999359992536e+04,  1.8506790912791679e-01,  2.6504075127012863e+00, -4.9124587715165086e-04, -3.2672651641216448e+00, -3.9839285644151040e-01,  2.4074138716652552e+01,  2.7323650700290197e-01, -1.0513722797302092e+01, -1.2441273981382337e+00,  1.1736190158988984e+02, -5.4673543961603053e-05,  3.5905706133789278e+02,  4.6310162774596520e+01, -1.9054634344913159e+03, -5.6740229459339964e-04
