#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134193540e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345356545e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072823069e-02,  0.0000000000000000e+00,  2.7323873900890927e-01, -4.4590902591854858e-01, -3.2785652719663494e-02,  2.3982905963950561e+01, -1.4213741295066029e-09, -4.4982466079535392e+01, -5.8187203862330312e+00,  2.4367797931627711e+03, -1.8109319599446394e-06
 1.0000000000000000e-02,  6.3373754650180524e+02, -7.2657498534600889e-06,  2.9274168860894672e+01,  4.9248833048155002e-04,  1.1141998454671332e-05,  2.1750348238251688e-05,  6.3441331538088903e+00, -2.4668175897139968e-08, -1.4999999999995538e+04,  1.6662787459411353e-06,  2.6447774726385354e+00,  7.3541504624126339e-08, -4.4590902591854862e-03,  3.8284219545626434e-02,  2.3982905963950563e-01,  2.7323873899469553e-01, -6.7082135631622553e-01, -6.1879254650828650e-02,  3.6166804929764417e+01, -1.0476033929229800e-08, -4.4982466079535392e+01, -5.8187203862330312e+00,  2.4367797931627711e+03, -1.8109319599446394e-06
 2.0000000000000000e-02,  6.3373754665750971e+02, -4.3587706868385576e-05,  2.9274182984285044e+01,  3.0934878596166285e-03,  8.9551529973689185e-05,  1.3116042605071067e-04,  1.2688266311401600e+01, -2.5137243393289392e-07, -1.4999999999943879e+04,  1.7495802381165563e-05,  2.6447779113610332e+00,  7.4534128221418765e-07, -1.3416427126324511e-02,  3.7374490979806496e-02,  7.2333609859528836e-01,  2.7323873879938859e-01, -8.3357667917607747e-01, -8.5607125140939683e-02,  4.4722910750053352e+01, -5.1315068860802178e-08,  1.2431401507565068e+01,  1.0731462882108276e+00, -7.2555862910498558e+02, -6.3568750263698374e-06
 2.9999999999999999e-02,  6.3373754698086441e+02, -1.1262589188039065e-04,  2.9274216406945193e+01,  8.0312869426439944e-03,  2.2836385191226090e-04,  3.4363500637285256e-04,  1.9032399482307852e+01, -1.0239074477803569e-06, -1.4999999999761636e+04,  7.1440013865172269e-05,  2.6447794636298529e+00,  3.0428229215090396e-06, -2.1130623842707030e-02,  3.6572077042807641e-02,  1.1342872746405726e+00,  2.7323873796839415e-01, -1.0299674985524097e+00, -1.4079951239535335e-01,  4.5547558802264220e+01, -1.4555832650309242e-07, -5.1709565382831549e+01, -1.2111623739093565e+01,  8.9048823954716022e+02, -1.2491776502088214e-05
 4.0000000000000001e-02,  6.3373754758392056e+02, -2.0982297365635790e-04,  2.9274281357720213e+01,  1.5861274794110123e-02,  4.6708735224946200e-04,  6.4632597019380854e-04,  2.5376532679447763e+01, -2.6643105929893086e-06, -1.4999999999370089e+04,  1.8811583905185481e-04,  2.6447828174001549e+00,  7.9212859555330775e-06, -3.4015777097372704e-02,  3.4558500731899429e-02,  1.6342872746405728e+00,  2.7323873588822206e-01, -1.2559486581377441e+00, -2.0239763753098178e-01,  4.9999999999999993e+01, -3.2197823018886846e-07,  6.5133334657645872e+00, -2.0800128803212517e-01, -4.4408920985006245e-12, -2.2792204235066994e-05
 5.0000000000000003e-02,  6.3373754844464145e+02, -3.3195992532620211e-04,  2.9274392656009844e+01,  2.6989054441822740e-02,  8.1999069917264842e-04,  1.0504122138406233e-03,  3.1720665924544768e+01, -5.5043429800446679e-06, -1.4999999998629721e+04,  4.0023861194309849e-04,  2.6447891848628751e+00,  1.6322415238832753e-05, -4.6249597005461919e-02,  3.2524124292188004e-02,  2.1342872746405726e+00,  2.7323873152882955e-01, -1.3895462570276340e+00, -2.5496331249510124e-01,  5.0000000000000000e+01, -6.1456394417902526e-07, -3.3232853243742461e+01, -1.0305133704791793e+01,  2.2204460492503139e-12, -3.5724938562964339e-05
 5.9999999999999998e-02,  6.3373754943869130e+02, -4.6932695739438279e-04,  2.9274572321153656e+01,  4.2086823912664974e-02,  1.3523963183472328e-03,  1.5449040654364446e-03,  3.8064799244983561e+01, -9.8826143319416724e-06, -1.4999999997392988e+04,  7.4266864507995878e-04,  2.6447998760670948e+00,  2.9240726903178310e-05, -6.1806702237925379e-02,  2.9459234481997405e-02,  2.6342872746405726e+00,  2.7323872359694318e-01, -1.5067738980309677e+00, -3.0046738015586982e-01,  5.0000000000000014e+01, -1.0556360618974023e-06,  9.7873250430755654e+00,  1.2043201726379815e+00,  4.4408920985006245e-12, -5.2489484980711127e-05
 7.0000000000000007e-02,  6.3373755005871180e+02, -6.1097002253418379e-04,  2.9274838055363151e+01,  6.1068435817750698e-02,  2.0447224235122297e-03,  2.1370053128254912e-03,  4.4408932676362539e+01, -1.6110626272577946e-05, -1.4999999995449509e+04,  1.2563257468208356e-03,  2.6448167632793553e+00,  4.7580604846818547e-05, -7.6385074966081282e-02,  2.6514776689070606e-02,  3.1342872746405730e+00,  2.7323871041610831e-01, -1.6055257472013706e+00, -3.4411593676966790e-01,  4.9999999999999993e+01, -1.6714572864673367e-06, -2.9537694877156117e+01, -9.9340314953976243e+00, -8.8817841970012491e-12, -7.0674759933275739e-05
 8.0000000000000002e-02,  6.3373754993448176e+02, -7.4497570906645284e-04,  2.9275215005171571e+01,  8.4484241863653026e-02,  2.9542053602337423e-03,  2.8229605007293918e-03,  5.0753066257506411e+01, -2.4499532543984853e-05, -1.4999999992615481e+04,  1.9813421814833094e-03,  2.6448415583076970e+00,  7.2329876573488957e-05, -9.3917217181952797e-02,  2.2576915746604045e-02,  3.6342872746405726e+00,  2.7323869016779745e-01, -1.6414008514682570e+00, -3.6492235039282689e-01,  4.9999999999999979e+01, -2.4857557262558684e-06,  2.2362674023779110e+01,  5.7727487707658822e+00,  0.0000000000000000e+00, -9.2184928024430330e-05
 8.9999999999999997e-02,  6.3373754836194109e+02, -8.5896613133330021e-04,  2.9275722519476375e+01,  1.1216219301412381e-01,  4.0483402573890191e-03,  3.6134883955771103e-03,  5.7097200034473943e+01, -3.5338047985063208e-05, -1.4999999988657157e+04,  2.9628007195747750e-03,  2.6448764576949375e+00,  1.0445226163038479e-04, -1.0921309199544640e-01,  1.9216329681214072e-02,  4.1342872746405721e+00,  2.7323866070099379e-01, -1.7242922918774539e+00, -4.0012730707084293e-01,  5.0000000000000014e+01, -3.5161848044307212e-06, -3.8940962105618716e+01, -1.2813740106369128e+01,  1.3322676295501872e-11, -1.1390088761054068e-04
