#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00, -6.0947778579219261e+00, -1.1074405105540717e+00,  2.4767250187603626e+01,  2.7323873900889811e-01,  3.5001297542322618e+00,  2.5672091454908008e+00,  6.4222663211013753e+01, -6.6702258989526086e-04,  1.8199076107281442e+01, -3.5934654695757295e+00, -1.4459162964200800e+02,  9.9370323813907646e-03
 1.0000000000000000e-02,  6.3373704479919809e+02, -6.5090435334138057e-05,  2.9288039210219139e+01,  1.8923629766598928e+00,  7.7179123674990552e-02,  3.0450517626765750e-02,  6.3441338695972629e+00, -1.6231702883063287e-05, -1.4999999951539787e+04,  9.5099859592286153e-03,  2.6451685172895956e+00,  1.5275322143785112e-04, -6.0597765603796034e+00, -1.0817684190991637e+00,  2.5409476819713763e+01,  2.7323206878299916e-01,  3.5911251347686690e+00,  2.5492418181429222e+00,  6.3499705062803713e+01, -6.1733742798830704e-04,  1.8199076107281442e+01, -3.5934654695757295e+00, -1.4459162964200800e+02,  9.9370323813907646e-03
 2.0000000000000000e-02,  6.3373618249915478e+02,  6.1934028637983000e-03,  2.9309245981751904e+01,  3.7355823686432217e+00,  1.4832224283906842e-01,  6.0535753963544083e-02,  1.2688269023626363e+01, -6.4316456587318869e-05, -1.4999999811885034e+04,  3.7711546344433827e-02,  2.6463007076748513e+00,  6.0894049120327042e-04, -6.0229553552265527e+00, -1.0564556741912132e+00,  2.6037244288859700e+01,  2.7322639226033835e-01,  3.7703893380867108e+00,  2.4466560617880111e+00,  6.2234014399300015e+01, -5.1599781522304611e-04,  1.7653764556326841e+01, -1.6923685801406581e+01, -1.0854650305873297e+02,  1.0330890171661448e-02
 2.9999999999999999e-02,  6.3373498897090110e+02,  1.8677131403322115e-02,  2.9337116281897465e+01,  5.5300888375991146e+00,  2.1381123041114034e-01,  9.0257243261288714e-02,  1.9032405246313147e+01, -1.4264222353042291e-04, -1.4999999589770399e+04,  8.4115270103161735e-02,  2.6481151343764693e+00,  1.3659422661415545e-03, -5.9843687736178692e+00, -1.0328352978634034e+00,  2.6654157107699763e+01,  2.7322174882669470e-01,  3.9379606264444256e+00,  2.2890169837321950e+00,  6.1099357789319164e+01, -4.1085478336699843e-04,  1.5860493115216201e+01, -1.4604129809756561e+01, -1.1838481893743591e+02,  1.0697716199548069e-02
 4.0000000000000001e-02,  6.3373349160383543e+02,  3.7293278300282132e-02,  2.9371016981159098e+01,  7.2763421219200577e+00,  2.7400500178915271e-01,  1.1961671784991973e-01,  2.5376542314890962e+01, -2.4867518723196996e-04, -1.4999999294100591e+04,  1.4823623507410438e-01,  2.6505563538401580e+00,  2.4216877641388009e-03, -5.9441961426976642e+00, -1.0106753345165693e+00,  2.7259231444646083e+01,  2.7321817516467101e-01,  4.0882199183626780e+00,  2.1536483603835475e+00,  5.9877897278692046e+01, -3.0215629189811461e-04,  1.4191365268434446e+01, -1.2469594859971783e+01, -1.2590728318798477e+02,  1.1041982094228681e-02
 5.0000000000000003e-02,  6.3373171595782446e+02,  6.1953533129629174e-02,  2.9410350708755089e+01,  8.9748291671124836e+00,  3.2924086002527309e-01,  1.4861609230715786e-01,  3.1720680000115838e+01, -3.7896955798571579e-04, -1.4999998933919538e+04,  2.2959428292816200e-01,  2.6535721421349683e+00,  3.7745417766871145e-03, -5.9026043752506157e+00, -9.8976233065573249e-01,  2.7851715053273605e+01,  2.7321570570085674e-01,  4.2223958578511587e+00,  2.0387273326931581e+00,  5.8591722245624396e+01, -1.9011323571516139e-04,  1.2643822629261342e+01, -1.0514610678105111e+01, -1.3132772342554949e+02,  1.1366629142361976e-02
 5.9999999999999998e-02,  6.3372968590883579e+02,  9.2573179173613768e-02,  2.9454553718090807e+01,  1.0626062316219382e+01,  3.7983576875122305e-01,  1.7725744984309327e-01,  3.8064818066695572e+01, -5.2917818156207011e-04, -1.4999998518380307e+04,  3.2771427649007662e-01,  2.6571132991046209e+00,  5.4232055316268783e-03, -5.8597482255406410e+00, -9.6990078786270617e-01,  2.8431065889558571e+01,  2.7321437289995670e-01,  4.3416813348356333e+00,  1.9424955533690831e+00,  5.7260715625039879e+01, -7.4913086234307244e-05,  1.1213272767633947e+01, -8.7317451867097127e+00, -1.3487360069134974e+02,  1.1673400753808844e-02
 7.0000000000000007e-02,  6.3372742378135422e+02,  1.2907028423859049e-01,  2.9503093887896643e+01,  1.2230577560551749e+01,  4.2608755118911779e-01,  2.0554302907656186e-01,  4.4408956273660557e+01, -6.9406393745589435e-04, -1.4999998056715729e+04,  4.4212633994876732e-01,  2.6611334642548723e+00,  7.3666301647747987e-03, -5.8157707485539030e+00, -9.5091241958835082e-01,  2.8996929365774402e+01,  2.7321420743913205e-01,  4.4472160296685095e+00,  1.8632760901057361e+00,  5.5902473060758403e+01,  4.3269539939938533e-05,  9.8936661989412702e+00, -7.1121474659596693e+00, -1.3677491216494525e+02,  1.1963124481040305e-02
 8.0000000000000002e-02,  6.3372495046879044e+02,  1.7136498653225030e-01,  2.9555468851557265e+01,  1.3788932850720283e+01,  4.6827601956896392e-01,  2.3347521132272292e-01,  5.0753094374697859e+01, -8.6751190827583059e-04, -1.4999997558209692e+04,  5.7236608247883258e-01,  2.6655889438224261e+00,  9.6039414925820944e-03, -5.7708039049472708e+00, -9.3263526606059144e-01,  2.9549115350773739e+01,  2.7321523829075550e-01,  4.5400743962674044e+00,  1.7994851725298364e+00,  5.4532319440119743e+01,  1.6426493268661976e-04,  8.6780071208370035e+00, -5.6460360492205437e+00, -1.3725581196279549e+02,  1.2235954068295930e-02
 8.9999999999999997e-02,  6.3372228554296225e+02,  2.1937886762409220e-01,  2.9611204247405308e+01,  1.5301706467605044e+01,  5.0666403899218160e-01,  2.6105650847676237e-01,  5.7097232118464902e+01, -1.0425422984572550e-03, -1.4999997032169082e+04,  7.1797480580443107e-01,  2.6704385484736095e+00,  1.2134374900288852e-02, -5.7249692606285549e+00, -9.1492271613775411e-01,  3.0087575754576797e+01,  2.7321749273778578e-01,  4.6212583457027270e+00,  1.7496394104342501e+00,  5.3163396937910427e+01,  2.8790256016431032e-04,  7.5587827662282301e+00, -4.3231163698964608e+00, -1.3652868847906058e+02,  1.2491571427242215e-02
