#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00, -9.0878558413859754e+00, -1.6057458739135373e+00,  2.6956439892730110e+01,  2.7323873900889811e-01,  5.8743264673411844e+00,  3.9450664544067093e+00,  7.9123446865861169e+01,  7.4472310782058848e-04,  3.1187951005744452e+01, -6.1587777547744693e+00, -4.5529986395820288e+01,  1.3719857083205333e-02
 1.0000000000000000e-02,  6.3373642731401333e+02,  3.2049050371126957e-04,  2.9295022104146668e+01,  2.8427738995024852e+00,  1.1573195115674444e-01,  4.5681709774841997e-02,  6.3441324074418013e+00, -2.2312993512810117e-05, -1.4999999926981844e+04,  1.4286246872783459e-02,  2.6453638644172464e+00,  2.2918531259611186e-04, -9.0291125767125635e+00, -1.5662952093694702e+00,  2.7747674361388722e+01,  2.7324618623997632e-01,  6.0302662223699066e+00,  3.9142725656328370e+00,  7.8895796933882067e+01,  8.1332239323661515e-04,  3.1187951005744452e+01, -6.1587777547744693e+00, -4.5529986395820288e+01,  1.3719857083205333e-02
 2.0000000000000000e-02,  6.3373477030446838e+02,  1.0149487973799394e-02,  2.9326874243999551e+01,  5.6116870005733199e+00,  2.2241216729381608e-01,  9.0813773247419100e-02,  1.2688263117532809e+01, -8.8379051014887290e-05, -1.4999999716513868e+04,  5.6651452113861744e-02,  2.6470614675938391e+00,  9.1389885660502173e-04, -8.9672505169385772e+00, -1.5274604226008806e+00,  2.8534355831407751e+01,  2.7325500545676285e-01,  6.3288682902130420e+00,  3.7484739946313299e+00,  7.8419746986570985e+01,  9.5369879713758110e-04,  2.8532462562882454e+01, -2.7000936445527046e+01, -4.9680003066399102e+01,  1.4355423696987840e-02
 2.9999999999999999e-02,  6.3373261908974007e+02,  2.9347831730588046e-02,  2.9368709808463077e+01,  8.3073773996954579e+00,  3.2061346845473726e-01,  1.3539853830432047e-01,  1.9032391839158493e+01, -1.9588670016187524e-04, -1.4999999381708201e+04,  1.2636005319559337e-01,  2.6497816270876537e+00,  2.0509688045677894e-03, -8.9025352109083027e+00, -1.4913257294768436e+00,  2.9316069301120141e+01,  2.7326526021591907e-01,  6.5979170644858698e+00,  3.4975854191468425e+00,  7.7823684724871526e+01,  1.1000709901454186e-03,  2.5277292291683295e+01, -2.3176778651370356e+01, -6.9532449273488339e+01,  1.4919014904579697e-02
 4.0000000000000001e-02,  6.3373001435901153e+02,  5.7789193603285868e-02,  2.9419567793946278e+01,  1.0930527197696298e+01,  4.1087425275957862e-01,  1.7943865757905547e-01,  2.5376518270327743e+01, -3.4118721230216257e-04, -1.4999998935949703e+04,  2.2268317001004165e-01,  2.6534406579957364e+00,  3.6384464644115761e-03, -8.8352921756488598e+00, -1.4575087142179437e+00,  3.0090829525905182e+01,  2.7327700687656575e-01,  6.8354984243396357e+00,  3.2836340497130685e+00,  7.7045441276896099e+01,  1.2517978096066027e-03,  2.2238979679070059e+01, -1.9613495235384349e+01, -8.6116240321594219e+01,  1.5426348987657150e-02
 5.0000000000000003e-02,  6.3372699412200700e+02,  9.5357641182041514e-02,  2.9478536784270883e+01,  1.3481859711185342e+01,  4.9370051372880713e-01,  2.2293706752931150e-01,  3.1720642099490004e+01, -5.1929644844407488e-04, -1.4999998392846914e+04,  3.4489901645295956e-01,  2.6579595042113091e+00,  5.6753487457342740e-03, -8.7658252424215100e+00, -1.4256530484825822e+00,  3.0856978126658063e+01,  2.7329029617211120e-01,  7.0438139237535511e+00,  3.1039973185872043e+00,  7.6116947910912117e+01,  1.4083751792126622e-03,  1.9424120203712654e+01, -1.6313850989788666e+01, -9.9582432875209335e+01,  1.5889124933554662e-02
 5.9999999999999998e-02,  6.3372359394084242e+02,  1.4194544835417869e-01,  2.9544751996276986e+01,  1.5962136765562102e+01,  5.6956774408092525e-01,  2.6589696794065287e-01,  3.8064763006545995e+01, -7.2389860016477416e-04, -1.4999997766183298e+04,  4.9229328627078289e-01,  2.6632634525221608e+00,  8.1614320053931249e-03, -8.6944158971737888e+00, -1.3954287678461996e+00,  3.1613168484123424e+01,  2.7330517438015001e-01,  7.2250977552255495e+00,  2.9560498084258975e+00,  7.5068312850423510e+01,  1.5693989385029414e-03,  1.6832646090687568e+01, -1.3275651042472520e+01, -1.1014457922250637e+02,  1.6315626924501274e-02
 7.0000000000000007e-02,  6.3371984713878624e+02,  1.9745113457833385e-01,  2.9617392517128611e+01,  1.8372156070704335e+01,  6.3892272930553340e-01,  3.0832180137223297e-01,  4.4408880663628949e+01, -9.4735185235192952e-04, -1.4999997069868725e+04,  6.6415951376298099e-01,  2.6692818636697813e+00,  1.1096994067471192e-02, -8.6213232873169989e+00, -1.3665320523140643e+00,  3.2358344383666534e+01,  2.7332168415088126e-01,  7.3815565386240660e+00,  2.8372085819052368e+00,  7.3927305100814223e+01,  1.7345336780910654e-03,  1.4459110589015715e+01, -1.0492594261659599e+01, -1.1805697069934945e+02,  1.6711320993123550e-02
 8.0000000000000002e-02,  6.3371578498834640e+02,  2.6177771537841626e-01,  2.9695678725243319e+01,  2.0712748680133039e+01,  7.0218523757927487e-01,  3.5021523291217510e-01,  5.0752994735720542e+01, -1.1806959796316161e-03, -1.4999996317891146e+04,  8.5979940997646531e-01,  2.6759479198612324e+00,  1.4482701510494642e-02, -8.5467847664013075e+00, -1.3386845962080949e+00,  3.3091714586139709e+01,  2.7333986505371183e-01,  7.5153220715559890e+00,  2.7449697410823939e+00,  7.2719040528029709e+01,  1.9034873861512045e-03,  1.2293995997367814e+01, -7.9551739029093484e+00, -1.2359594385756635e+02,  1.7079420618904013e-02
 8.9999999999999997e-02,  6.3371143688072380e+02,  3.3483114760121457e-01,  2.9778869886527310e+01,  2.2984776533985720e+01,  7.5974961210928826e-01,  3.9158113053920024e-01,  5.7097104881153840e+01, -1.4136618765956635e-03, -1.4999995524268470e+04,  1.0785231750633322e+00,  2.6831983881548407e+00,  1.8319439588756394e-02, -8.4710168458858792e+00, -1.3116326574924164e+00,  3.3812725194227127e+01,  2.7335975389860429e-01,  7.6284167374042848e+00,  2.6769361488312433e+00,  7.1465837010610386e+01,  2.0759914736129255e-03,  1.0324937172292431e+01, -5.6515445473204169e+00, -1.2704475962628686e+02,  1.7421396873440458e-02
