#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -2.6131253460617495e+02, -3.1408424088768648e+01,  7.4205052512697523e+02, -1.7529083407019641e-06,  4.1408620611561537e+03,  5.2633064380100052e+02, -1.2547474655471848e+04, -6.8011979048598903e-04
 1.0000000000000000e-02,  6.3373751456095226e+02,  2.1728375039611102e-03,  2.9277015014832848e+01,  3.9799594581788927e-01,  1.7978863786909726e-02, -7.6745057735266818e-03,  6.3441335196693069e+00,  4.1873434841460017e-06, -1.4999999992548494e+04,  1.3429906822070329e-03,  2.6448394023962938e+00, -2.7603530135172336e-05, -2.6131253460617496e+00, -2.7547216481493864e-01,  7.4205052512697520e+00,  2.7323872147981471e-01, -2.4060822430039420e+02, -2.8776770869763645e+01,  6.7931315184961591e+02, -5.1535072931319093e-06,  4.1408620611561537e+03,  5.2633064380100052e+02, -1.2547474655471848e+04, -6.8011979048598903e-04
 2.0000000000000000e-02,  6.3373722419694025e+02,  1.0878115833091933e-02,  2.9286614849039506e+01,  1.5049537427381794e+00,  6.2516475195356497e-02, -2.2373416482465245e-02,  1.2688268464995339e+01,  2.7826245197781337e-05, -1.4999999946272697e+04,  1.0307907081527576e-02,  2.6452250204672869e+00, -1.7617158494233080e-04, -4.8121644860078838e+00, -5.3692334132252506e-01,  1.3586263036992319e+01,  2.7323863593875225e-01, -2.0175961597392046e+02, -2.3843503665624169e+01,  5.6730077474657810e+02, -1.1271905478449364e-05,  3.6288596041386049e+03,  4.6032279702689544e+02, -9.8550007651357446e+03, -5.4355984657750178e-04
 2.9999999999999999e-02,  6.3373648787724176e+02,  2.8708452548397833e-02,  2.9303808208763499e+01,  3.2089266669190715e+00,  1.2209520877966899e-01, -3.6138296186233182e-02,  1.9032404562543423e+01,  7.8172966592939338e-05, -1.4999999836838804e+04,  3.3406614572616254e-02,  2.6461395421152529e+00, -4.7156579186336347e-04, -6.6483176655401577e+00, -7.5234223812742196e-01,  1.8766520746201312e+01,  2.7323849604170514e-01, -1.6774341299595397e+02, -1.9543568902718032e+01,  4.7884570932532858e+02, -1.3398835779776519e-05,  3.1743809914546791e+03,  3.9966415555433122e+02, -7.8360123191141356e+03,  1.1817378631207021e-04
 4.0000000000000001e-02,  6.3373522209175360e+02,  5.7625074709510962e-02,  2.9328699133120043e+01,  5.4129871320627201e+00,  1.8833546615575478e-01, -4.5030120132752031e-02,  2.5376540437160212e+01,  1.5500696498017564e-04, -1.4999999652187164e+04,  7.6116784299139512e-02,  2.6476892774854197e+00, -8.8138330268996675e-04, -8.1670327459269636e+00, -9.2779471937688573e-01,  2.3163177223498892e+01,  2.7323836796203665e-01, -1.3801182446446430e+02, -1.5821488556283427e+01,  4.0811150919354884e+02, -7.6805395710088914e-06,  2.7719367148432539e+03,  3.4475191373258923e+02, -6.3108277072418032e+03,  1.0254854554414545e-03
 5.0000000000000003e-02,  6.3373341121316037e+02,  9.9157792250410076e-02,  2.9360890099515103e+01,  8.0295291454232203e+00,  2.5538698645944286e-01, -4.7399824302243938e-02,  3.1720674189112763e+01,  2.5479519498101277e-04, -1.4999999389215780e+04,  1.4299735254588253e-01,  2.6499099592465583e+00, -1.3455533486648754e-03, -9.4085541548294440e+00, -1.0687720092530906e+00,  2.6928750930072290e+01,  2.7323834243091372e-01, -1.1207253628034481e+02, -1.2618175200543954e+01,  3.5081056326349892e+02,  7.4658109694425443e-06,  2.4159209219806507e+03,  2.9591075741530648e+02, -5.1493614787682081e+03,  2.0037846526488332e-03
 5.9999999999999998e-02,  6.3373108153837086e+02,  1.5451097448588258e-01,  2.9399651872168107e+01,  1.0978417219795826e+01,  3.1932328183154440e-01, -4.2851967882412065e-02,  3.8064803755876362e+01,  3.7323393382442273e-04, -1.4999999051180483e+04,  2.3776976403881053e-01,  2.6527887992360655e+00, -1.7935078655052091e-03, -1.0408483471533859e+01, -1.1801582233877648e+00,  3.0179388488768868e+01,  2.7323851727825604e-01, -8.9487004889391812e+01, -9.8727776490963297e+00,  3.0377758181994841e+02,  3.2238236941095615e-05,  2.1011853562099413e+03,  2.5316875287421757e+02, -4.2572348099418614e+03,  2.9507005416817820e-03
 7.0000000000000007e-02,  6.3372828367775003e+02,  2.2462205583196351e-01,  2.9444045383738381e+01,  1.4186556716902457e+01,  3.7763952868906409e-01, -3.1636059217470196e-02,  4.4408927125459620e+01,  5.0677966006339008e-04, -1.4999998645724871e+04,  3.6338948867061838e-01,  2.6562809300588039e+00, -2.1534490042801678e-03, -1.1198294252617281e+01, -1.2662275622350172e+00,  3.3004302566471260e+01,  2.7323898719565254e-01, -6.9865269186349266e+01, -7.5255830381628073e+00,  2.6466389136000373e+02,  6.6044820160038306e-05,  1.8231617843985673e+03,  2.1627016931248679e+02, -3.5655032820470806e+03,  3.8106161021067547e-03
 8.0000000000000002e-02,  6.3372508095606292e+02,  3.1019625832692616e-01,  2.9493008982675491e+01,  1.7587843700193961e+01,  4.2886389990020152e-01, -1.4296497018156154e-02,  5.0753042453407858e+01,  6.5355489715170523e-04, -1.4999998183407386e+04,  5.2211587223824463e-01,  2.6603213897780331e+00, -2.3570514017686624e-03, -1.1805788855260845e+01, -1.3306698841510209e+00,  3.5472666315968944e+01,  2.7323983817465924e-01, -5.2860384723607041e+01, -5.5204339044516075e+00,  2.3171923835550257e+02,  1.0788331479272278e-04,  1.5778151081498863e+03,  1.8475965742975404e+02, -3.0234273188531834e+03,  4.5570828244301297e-03
 8.9999999999999997e-02,  6.3372154191796153e+02,  4.1172957969908386e-01,  2.9545420727355520e+01,  2.1123105266351558e+01,  4.7226551177272341e-01,  8.5228081816869986e-03,  5.7097148119558497e+01,  8.1386883692878857e-04, -1.4999997676604047e+04,  7.1558172800991970e-01,  2.6648337323606177e+00, -2.3415828404006714e-03, -1.2255501947089421e+01, -1.3766362403240493e+00,  3.7638687333581309e+01,  2.7324114486194839e-01, -3.8163515034010224e+01, -3.8062822795480447e+00,  2.0363496438914265e+02,  1.5657520865963723e-04,  1.3615588297694708e+03,  1.5807066755095792e+02, -2.5934274744187733e+03,  5.1812959489527773e-03
