#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.9999999999999986e+01,  2.2816535200804573e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.0278122290387248e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373755179103046e+02,  8.3759128990361820e-04,  2.9274889733676037e+01,  1.1810360216102826e-01,  5.9104072144481748e-03, -3.2179195905372320e-03,  6.3377953600140016e+00,  1.7398820630852807e-06, -1.4999999999934620e+04,  3.9354438291966447e-04,  2.6447783389067321e+00, -1.0967695372221734e-05, -7.9920079920079912e-01,  6.1405817532093065e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -7.9999999999999986e+01,  2.7950462418780222e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.0278122290387248e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373752444006504e+02,  4.6550379861928686e-03,  2.9275647727139525e+01,  4.6876961230178504e-01,  8.0415738614924050e-03, -1.3062582805564597e-02,  1.2675591004942316e+01,  1.3912580449586042e-05, -1.4999999994275251e+04,  3.1301093994272979e-03,  2.6448271284279476e+00, -8.7336394001467742e-05, -1.5984015984015982e+00,  9.4457155830550477e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -8.0000000000000014e+01,  8.8871035861228120e-01,  5.0000000000000007e+01,  0.0000000000000000e+00, -3.3373337426922955e-12, -4.8442966673367397e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373748310115968e+02,  1.3383480680955975e-02,  2.9276444887618240e+01,  1.0466318431926558e+00,  1.0201057009082613e-02, -2.9523321828625226e-02,  1.9013386567132585e+01,  4.7254129538276975e-05, -1.4999999988461768e+04,  1.0503006330139080e-02,  2.6448818498997180e+00, -2.9598029160028417e-04, -2.3976023976023977e+00,  7.9162268253617163e-02,  1.4985014985014984e+00,  2.7323873900889811e-01, -7.8068206490743947e+01, -2.6580195286782637e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  3.8674506055306603e+02,  2.5329630197535630e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373741174405279e+02,  2.8953827221145784e-02,  2.9277164983414661e+01,  1.8464770054158011e+00,  9.4762429288995070e-03, -5.2814359830963567e-02,  2.5351182064105153e+01,  1.1263937892937398e-04, -1.4999999980042963e+04,  2.4752681327998544e-02,  2.6449648488596136e+00, -7.0276583341146749e-04, -3.1582059238909879e+00,  8.9146427501522976e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -3.2639230495246842e+01,  1.2906891240122869e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  8.7081359337454505e+03,  5.8313211616042402e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373733335597569e+02,  5.2409924395585242e-02,  2.9277854272001079e+01,  2.7529161551043435e+00,  9.7962197123719705e-03, -7.9625803732074160e-02,  3.1688977077591158e+01,  2.1971642061987840e-04, -1.4999999974171469e+04,  4.7643405758273430e-02,  2.6450361684267643e+00, -1.3645225143287072e-03, -3.0497348750299071e+00,  1.0495026273937715e-01,  2.4975024975024973e+00,  2.7323873900889811e-01,  3.8953761210598188e+01, -7.3087426197479863e-02,  5.0000000000000007e+01,  0.0000000000000000e+00,  5.6247810057647221e+03, -3.3134127696803785e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373725647961976e+02,  8.2422703540334361e-02,  2.9278538429756296e+01,  3.4942467179371661e+00,  1.0555753357678926e-02, -1.0222812825799982e-01,  3.8026771572712001e+01,  3.6930512550782023e-04, -1.4999999969949020e+04,  7.8956259680217356e-02,  2.6451034371172710e+00, -2.2801968757199561e-03, -2.3799089966063089e+00,  8.7686139265809093e-02,  2.9970029970029968e+00,  2.7323873900889811e-01,  6.4503675502156895e+01, -3.3918292255063970e-01,  5.0000000000000007e+01,  0.0000000000000000e+00, -5.0968816459466478e+02,  2.7806895859813505e+02,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373717848172305e+02,  1.1710324447473132e-01,  2.9279145174963173e+01,  4.0208486103334700e+00,  9.4792540815840636e-03, -1.1924186733108749e-01,  4.4364565737132367e+01,  5.5372451823451543e-04, -1.4999999964845449e+04,  1.1659855613969149e-01,  2.6451861190944852e+00, -3.3932563020954197e-03, -1.7609501497120870e+00,  9.8173381169933793e-02,  3.4965034965034967e+00,  2.7323873900889811e-01,  5.3962396672936897e+01,  2.1983449641362374e-01,  4.9999999999999986e+01,  0.0000000000000000e+00, -1.6006758570151767e+03, -1.6615367132148953e+02, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373711774943558e+02,  1.5504138108035903e-01,  2.9279721541494101e+01,  4.3751395347199757e+00,  9.7818509212863908e-03, -1.3143284447953796e-01,  5.0702359465874579e+01,  7.6635738711271911e-04, -1.4999999962475045e+04,  1.5859826913202224e-01,  2.6452537295238221e+00, -4.6528288373663103e-03, -1.3017392329112658e+00,  9.2078436896450927e-02,  3.9960039960039957e+00,  2.7323873900889811e-01,  3.8778025206985340e+01,  2.5599033470231108e-01,  5.0000000000000021e+01,  0.0000000000000000e+00, -1.4392353104683316e+03,  1.7339207014688492e+02,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373706211085107e+02,  1.9527319136741778e-01,  2.9280226612086608e+01,  4.6075018953008415e+00,  9.3031862688976504e-03, -1.4032300194969607e-01,  5.7040152998293969e+01,  1.0023577388293431e-03, -1.4999999960131239e+04,  2.0348741885250901e-01,  2.6453276017555085e+00, -6.0165515586107143e-03, -9.8616443129080178e-01,  1.0328807317197797e-01,  4.4955044955044956e+00,  2.7323873900889811e-01,  2.6260667130174316e+01, -4.7107550905334439e-01,  5.0000000000000028e+01,  0.0000000000000000e+00, -1.0667397765092308e+03, -3.1895065206676685e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
