#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.9999999999999986e+01,  9.5013173356342157e-02,  4.9999999999999993e+01,  1.0805682093550928e-08,  2.7096402679193363e+02, -3.7845711408414733e+00,  0.0000000000000000e+00,  1.4928530149362906e-05
 9.9900099900099900e-03,  6.3373754594452612e+02,  8.4609671202689389e-04,  2.9274151822775547e+01,  1.1810602210261115e-01, -1.9513619905178023e-05, -3.2940066290925527e-03,  6.3377953546512371e+00,  1.7405720348605744e-06, -1.5000000000048749e+04,  3.9354409438929273e-04,  2.6447773671540671e+00, -1.0974657165675393e-05, -7.9920079920079912e-01,  3.9561258623760247e-02,  4.9950049950049946e-01,  2.7323873911684698e-01, -7.8646533332707619e+01,  7.6109221603887237e-02,  4.9999999999999993e+01,  8.5373764757701304e-08,  2.7096402679193363e+02, -3.7845711408414733e+00,  0.0000000000000000e+00,  1.4928530149362906e-05
 1.9980019980019980e-02,  6.3373754126052745e+02,  4.6732049160874266e-03,  2.9274103952561802e+01,  4.6789902061216193e-01, -7.4789850252301337e-05, -1.3180029678335908e-02,  1.2675590672683064e+01,  1.3975426825185224e-05, -1.5000000000384131e+04,  3.1293168540278277e-03,  2.6447769215274497e+00, -8.7919764124101433e-05, -1.5713593073468055e+00,  4.0132739841057273e-02,  9.9900099900099892e-01,  2.7323874071466764e-01, -6.6832734888566321e+01,  3.3716525915858143e-02,  5.0000000000000007e+01,  4.2184519465082731e-07,  2.0941584217251566e+03, -4.7024465359019549e+00,  0.0000000000000000e+00,  5.2433050115240927e-05
 2.9970029970029968e-02,  6.3373752879171514e+02,  1.3134371467779394e-02,  2.9274023900803357e+01,  1.0083442458938152e+00, -1.6223260218152700e-04, -2.8677153233612713e-02,  1.9013385878413263e+01,  4.6756253251190585e-05, -1.5000000001263437e+04,  1.0364381217438387e-02,  2.6447757860231089e+00, -2.9332008670197705e-04, -2.1345201775937324e+00,  4.0234915485215954e-02,  1.4985014985014984e+00,  2.7323874754532240e-01, -4.5728512306004546e+01, -1.6110540055857391e-02,  4.9999999999999993e+01,  1.2325626793430188e-06,  2.1309069393037084e+03, -5.2729320716354948e+00,  0.0000000000000000e+00,  1.0987259032013585e-04
 3.9960039960039960e-02,  6.3373750703189637e+02,  2.7273560697028961e-02,  2.9273914041821644e+01,  1.6702895314643600e+00, -2.7629091483917300e-04, -4.7954926581229691e-02,  2.5351180872539089e+01,  1.0784352745112441e-04, -1.5000000002870604e+04,  2.3652099043198628e-02,  2.6447737233650406e+00, -6.7407747916665821e-04, -2.4850158968773659e+00,  3.9810850928852330e-02,  1.9980019980019978e+00,  2.7323876534129460e-01, -2.5574223360974294e+01, -6.8230502720120531e-02,  4.9999999999999986e+01,  2.6806887294561485e-06,  1.9039817074913469e+03, -5.1614844537499849e+00,  0.0000000000000000e+00,  1.8004224491251268e-04
 4.9950049950049952e-02,  6.3373747626098827e+02,  4.7631354329290318e-02,  2.9273776241754032e+01,  2.3915140176865344e+00, -4.0158822053916173e-04, -6.9323973996700886e-02,  3.1688975554010838e+01,  2.0244334689134482e-04, -1.5000000005297141e+04,  4.3887375700201438e-02,  2.6447706826906896e+00, -1.2594064242687315e-03, -2.6454936713194925e+00,  3.8871668677621138e-02,  2.4975024975024973e+00,  2.7323880110553678e-01, -8.0031832129277696e+00, -1.1506247632402643e-01,  5.0000000000000007e+01,  4.8588408326444293e-06,  1.6137405301475676e+03, -4.2142766617519705e+00,  0.0000000000000000e+00,  2.5602380614578096e-04
 5.9940059940059937e-02,  6.3373743812563384e+02,  7.4314371514828725e-02,  2.9273611082927093e+01,  3.1188863897780323e+00, -5.2065775365648542e-04, -9.1304007387873892e-02,  3.8026769837467079e+01,  3.3354209892565276e-04, -1.5000000008542145e+04,  7.1388287080125915e-02,  2.6447668718676582e+00, -2.0626267551112809e-03, -2.6449196573754232e+00,  3.7511900352947707e-02,  2.9970029970029968e+00,  2.7323886242103151e-01,  6.4982977228177168e+00, -1.4957910240363959e-01,  5.0000000000000007e+01,  7.7960513614278006e-06,  1.2894559531886789e+03, -2.6959518793865938e+00,  4.4497783235897244e-12,  3.3200574171665041e-04
 6.9930069930069935e-02,  6.3373739521111156e+02,  1.0707495984757059e-01,  2.9273416944567316e+01,  3.8095611729015522e+00, -6.2171263829618301e-04, -1.1266629995062172e-01,  4.4364563665721604e+01,  5.0229745174486544e-04, -1.5000000012526518e+04,  1.0599348781604390e-01,  2.6447627277313961e+00, -3.0834865700194655e-03, -2.5156575529814762e+00,  3.5883075223002964e-02,  3.4965034965034967e+00,  2.7323895687079874e-01,  1.7716607968930106e+01, -1.6858152549274880e-01,  4.9999999999999986e+01,  1.1469122751231463e-05,  9.5644975808302092e+02, -1.1083332230530667e+00, -8.8995566471794488e-12,  4.0334315052204233e-04
 7.9920079920079920e-02,  6.3373735064755306e+02,  1.4539511778397454e-01,  2.9273189528400817e+01,  4.4313542646340718e+00, -7.0242247676088670e-04, -1.3245354834405285e-01,  5.0702357017112895e+01,  7.0845512358307312e-04, -1.5000000017117431e+04,  1.4716734475099358e-01,  2.6447588080587390e+00, -4.3107945347093954e-03, -2.2909414761780185e+00,  3.4143638105340338e-02,  3.9960039960039957e+00,  2.7323909157433324e-01,  2.5668188889524945e+01, -1.7368634269368738e-01,  5.0000000000000021e+01,  1.5814433804708936e-05,  6.3545674222006278e+02,  8.6348819425185283e-02,  8.8995566471794601e-12,  4.6658812238414604e-04
 8.9910089910089905e-02,  6.3373730776285674e+02,  1.8856900977455504e-01,  2.9272922240095770e+01,  4.9624412175611079e+00, -7.6853901577834905e-04, -1.4998017003665742e-01,  5.7040149908218723e+01,  9.5076266584524305e-04, -1.5000000022155247e+04,  1.9410531097354602e-01,  2.6447556611883289e+00, -5.7251503721819043e-03, -2.0028066261178412e+00,  3.2412818625726494e-02,  4.4955044955044956e+00,  2.7323927284350213e-01,  3.0552461184504399e+01, -1.6989350583175966e-01,  5.0000000000000028e+01,  2.0739681227563420e-05,  3.4237457123482812e+02,  6.7297712033275392e-01,  0.0000000000000000e+00,  5.1944641167132411e-04
