#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.9999999999999986e+01,  2.1608578618443205e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.6112456007240399e+02, -1.1836518736914503e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754597127891e+02,  8.4619049893189171e-04,  2.9274139282452442e+01,  1.1810604207161936e-01, -9.7069082745875610e-05, -3.2946893641089678e-03,  6.3377953526842123e+00,  1.7407718832208019e-06, -1.5000000000082537e+04,  3.9354405923678053e-04,  2.6447770907686725e+00, -1.0976623652329358e-05, -7.9920079920079912e-01,  4.0770775235429477e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -7.8695681518119855e+01,  1.5696231597007390e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.6112456007240399e+02, -1.1836518736914503e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373754184556287e+02,  4.6747433792552881e-03,  2.9274052125626763e+01,  4.6801975314832645e-01, -3.2826301370198001e-04, -1.3187540618466706e-02,  1.2675590659176461e+01,  1.3979479526880390e-05, -1.5000000000615189e+04,  3.1296358798919444e-03,  2.6447750250457358e+00, -8.7952329792466354e-05, -1.5723412890733237e+00,  4.1748186281940124e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -6.6926874898171093e+01,  3.0705768820946760e-02,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.0949905252413405e+03, -1.3440042002340759e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373753084287648e+02,  1.3141834757464728e-02,  2.9273914107160010e+01,  1.0088917079067112e+00, -5.8431502317089897e-04, -2.8702171236879424e-02,  1.9013385840475596e+01,  4.6782470144165929e-05, -1.5000000001908678e+04,  1.0367816615655539e-02,  2.6447704675081916e+00, -2.9350921246989770e-04, -2.1364010968665550e+00,  4.1384277109973867e-02,  1.4985014985014984e+00,  2.7323873900889811e-01, -4.5803183363903713e+01, -8.5771591878314207e-02,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.1339725199189879e+03, -9.8787256096512905e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373751130744859e+02,  2.7292771236153396e-02,  2.9273743564211653e+01,  1.6714731240331586e+00, -7.7764341241554058e-04, -4.8001951871200148e-02,  2.5351180800950861e+01,  1.0792298793360118e-04, -1.5000000004078605e+04,  2.3664029859264045e-02,  2.6447637043619121e+00, -6.7462694841050584e-04, -2.4874898078326386e+00,  4.0034468162493286e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -2.5619075188737266e+01, -1.5485358193023566e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.9068859367493328e+03, -3.9514887987433864e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373748301803028e+02,  4.7668367296756151e-02,  2.9273556191706728e+01,  2.3934501278912204e+00, -8.7394000003513663e-04, -6.9391899600375312e-02,  3.1688975446952753e+01,  2.0261163929836344e-04, -1.5000000007084129e+04,  4.3914801841323764e-02,  2.6447557266427091e+00, -1.2605355760747137e-03, -2.6482707310071598e+00,  3.8290299449030098e-02,  2.4975024975024973e+00,  2.7323873900889811e-01, -8.0207064506869656e+00, -1.6932540088646653e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.6163074846083387e+03,  1.0542306437059767e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373744709979201e+02,  7.4375031586367046e-02,  2.9273357309598001e+01,  3.1216081119559931e+00, -8.9802887141414531e-04, -9.1389712443557342e-02,  3.8026769699578928e+01,  3.3383380744887958e-04, -1.5000000010809021e+04,  7.1438946372063217e-02,  2.6447476495673294e+00, -2.0645302881531617e-03, -2.6477436829712393e+00,  3.6651343269656793e-02,  2.9970029970029968e+00,  2.7323873900889811e-01,  6.5041386466660081e+00, -1.4891584993742843e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.2915665038817265e+03,  3.0317614562914366e+00,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373740587561713e+02,  1.0716500687194203e-01,  2.9273140193519971e+01,  3.8130320923225010e+00, -9.0724263307723793e-04, -1.1276855311039805e-01,  4.4364563503874976e+01,  5.0274561250027367e-04, -1.5000000015132233e+04,  1.0607509013673772e-01,  2.6447402267559155e+00, -3.0863345087178196e-03, -2.5183179108939528e+00,  3.5314957791938620e-02,  3.4965034965034967e+00,  2.7323873900889811e-01,  1.7740940923328751e+01, -1.2417821550255467e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  9.5804131190615374e+02,  1.9207129575702904e+00, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373736255891413e+02,  1.4552038478620719e-01,  2.9272890270999110e+01,  4.4354844681539749e+00, -9.5299204320442414e-04, -1.3257444547720659e-01,  5.0702356835780982e+01,  7.0909436946659237e-04, -1.5000000019958497e+04,  1.4728695509619363e-01,  2.6447336903127887e+00, -4.3147614562529827e-03, -2.2932793288587767e+00,  3.4170260042832523e-02,  3.9960039960039957e+00,  2.7323873900889811e-01,  2.5705773044914427e+01, -1.1802845590346325e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  6.3651807883529614e+02, -6.8953108583217337e-01,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373732079069600e+02,  1.8873526878960681e-01,  2.9272592046269466e+01,  4.9671038893495876e+00, -1.0535428967844986e-03, -1.5012325074601821e-01,  5.7040149706985552e+01,  9.5163231997501989e-04, -1.5000000025207495e+04,  1.9426889672083666e-01,  2.6447279230020282e+00, -5.7304428888182452e-03, -2.0047160518547038e+00,  3.2956746884776518e-02,  4.4955044955044956e+00,  2.7323873900889811e-01,  3.0598156317759653e+01, -1.3526492138740151e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  3.4293705238832177e+02, -2.7612093040522803e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3373728412123728e+02,  2.3599196137646550e-01,  2.9272234871558904e+01,  5.3955776285611767e+00, -1.1904545405223893e-03, -1.6498327472036056e-01,  6.3377942166898116e+01,  1.2285007187356686e-03, -1.5000000030783003e+04,  2.4604568224001735e-01,  2.6447227857066506e+00, -7.3084501323223338e-03, -1.6819275542781642e+00,  3.1467664210916409e-02,  4.9950049950049955e+00,  2.7323873900889811e-01,  3.2752994801341728e+01, -1.6409344414854243e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  8.8461612024809881e+01, -3.0102609527281343e+00, -8.8995566471794488e-12,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3373725557290436e+02,  2.8642835214095874e-01,  2.9271815085844800e+01,  5.7169386304498921e+00, -1.3259427898751547e-03, -1.7694877575021040e-01,  6.9715734300843010e+01,  1.5375697231329267e-03, -1.5000000036549633e+04,  3.0156201412371658e-01,  2.6447183741676401e+00, -9.0206910924220153e-03, -1.3503105613184054e+00,  2.9678156592098347e-02,  5.4945054945054945e+00,  2.7323873900889811e-01,  3.2594468362374670e+01, -1.8643188559869361e-01,  5.0000000000000021e+01,  0.0000000000000000e+00, -1.2019860510602000e+02, -1.4618950255921042e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3373723738396779e+02,  3.3919466893764161e-01,  2.9271334425901369e+01,  5.9341292743820073e+00, -1.4276785196311935e-03, -1.8600780599791930e-01,  7.6053526224323832e+01,  1.8767260080628377e-03, -1.5000000042334344e+04,  3.5975877227342323e-01,  2.6447150639128143e+00, -1.0838011778844355e-02, -1.0306894251597896e+00,  2.7742751411741713e-02,  5.9940059940059944e+00,  2.7323873900889811e-01,  3.0594080315395935e+01, -1.8967195938284476e-01,  5.0000000000000021e+01,  0.0000000000000000e+00, -2.8027908189912216e+02,  8.1323225400504440e-01, -8.8995566471794601e-12,  0.0000000000000000e+00
