#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134193540e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345356545e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072823069e-02,  0.0000000000000000e+00,  2.7323873900890927e-01,  1.1159511289608611e+01,  1.9874988983346057e+01,  4.3645425727229068e+01, -1.1158937078512010e-01, -5.4503768439606027e+01, -4.6259385365248602e+02, -9.3729353280224905e+02,  1.6207271880730456e-01
 1.0000000000000000e-02,  6.3373743256132548e+02, -1.3619615674603848e-04,  2.9272195043976158e+01, -1.6688559924548343e-02, -1.2350812694710889e-02,  4.6233884806333062e-04,  6.3441324660500538e+00, -3.0860248344083925e-07, -1.5000000005101112e+04, -5.5879042528606245e-05,  2.6447355012188423e+00,  1.6129691442926579e-06,  1.1159511289608612e-01,  2.3736196590628367e-01,  4.3645425727229070e-01,  2.7212284530105807e-01,  1.0886992447410581e+01,  1.7562019715083629e+01,  3.8958958063217821e+01, -1.1077900719108358e-01, -5.4503768439606027e+01, -4.6259385365248602e+02, -9.3729353280224905e+02,  1.6207271880730456e-01
 2.0000000000000000e-02,  6.3373716874780689e+02, -6.7034625978626753e-04,  2.9265153980519557e+01, -6.5097855451466680e-02, -4.5426097583132270e-02,  1.5668146529761791e-03,  1.2688260933792989e+01, -2.2595544369075528e-06, -1.5000000038266568e+04, -4.3886311257390110e-04,  2.6444616947200843e+00,  1.1363068208306724e-05,  2.1773984894821163e-01,  3.8985247037449566e-01,  7.7917916126435649e-01,  2.7102315886508760e-01,  1.0391803600734873e+01,  1.3359166895406130e+01,  3.0443266088281334e+01, -1.0916634325549569e-01, -4.4534000895536124e+01, -3.7797671028301465e+02, -7.6584486218505026e+02,  1.6046006831027532e-01
 2.9999999999999999e-02,  6.3373685376442427e+02, -1.7829135546185808e-03,  2.9251720471883750e+01, -1.4303065558195172e-01, -9.4095930395279748e-02,  3.0850813202928490e-03,  1.9032381757709047e+01, -7.0758495261170409e-06, -1.5000000120918976e+04, -1.4546396020217970e-03,  2.6437752914324149e+00,  3.4357219096572180e-05,  3.1943118491078354e-01,  5.0454530381440621e-01,  1.0453195790379173e+00,  2.6993951843594816e-01,  9.9871941366066856e+00,  9.9250951496565989e+00,  2.3485254837038109e+01, -1.0756972559417266e-01, -3.6387891930100835e+01, -3.0883763886689115e+02, -6.2575738806359357e+02,  1.5886346395432849e-01
 4.0000000000000001e-02,  6.3373656460869915e+02, -3.6523432628476947e-03,  2.9230978260625548e+01, -2.4861172868528733e-01, -1.5417619691298448e-01,  4.9590704850104184e-03,  2.5376491657040507e+01, -1.5790486508013288e-05, -1.5000000268283322e+04, -3.3886511553929896e-03,  2.6425419837780906e+00,  7.4373209496129402e-05,  4.1748373168034536e-01,  5.8835437336762764e-01,  1.2488842580051187e+00,  2.6887176435320415e-01,  9.6565953770403059e+00,  7.1191799151897088e+00,  1.7799995117109322e+01, -1.0598899454401788e-01, -2.9731859983174722e+01, -2.5234540802648630e+02, -5.1129455592216357e+02,  1.5728274607662565e-01
 5.0000000000000003e-02,  6.3373635942189969e+02, -6.4605489809996149e-03,  2.9202341104405011e+01, -3.8022813422821389e-01, -2.2225946256836998e-01,  7.2223761256398787e-03,  3.1720587685668477e+01, -2.9430244226428585e-05, -1.5000000490356268e+04, -6.5089463929793962e-03,  2.6406652943674236e+00,  1.3515592546770882e-04,  5.1256309245158971e-01,  6.4692890211820042e-01,  1.4013194813801038e+00,  2.6781973854506780e-01,  9.3864693678468960e+00,  4.8265195149641675e+00,  1.3154676661024657e+01, -1.0442399203060838e-01, -2.4293341855508029e+01, -2.0618667201862235e+02, -4.1776913529477002e+02,  1.5571775660527815e-01
 5.9999999999999998e-02,  6.3373628021801437e+02, -1.0395037064451381e-02,  2.9165489558774794e+01, -5.3648139617967128e-01, -2.9557473729645278e-01,  9.9523147676939590e-03,  3.8064667198251009e+01, -4.9120491668393069e-05, -1.5000000792712844e+04, -1.1068524208363267e-02,  2.6380795335690044e+00,  2.2109144815723222e-04,  6.0521311903728325e-01,  6.8488476366691098e-01,  1.5119777912256118e+00,  2.6678328451259198e-01,  9.1657545020728524e+00,  2.9532299564643645e+00,  9.3590745915538491e+00, -1.0287456155238793e-01, -1.9849631299300164e+01, -1.6847123968133806e+02, -3.4135127859939092e+02,  1.5416833903880703e-01
 7.0000000000000007e-02,  6.3373635538376345e+02, -1.5649116520466671e-02,  2.9120319268278816e+01, -7.1614900203761678e-01, -3.7187181804171759e-01,  1.3241555626603025e-02,  4.4408727816236976e+01, -7.6141443751486513e-05, -1.5000001177179085e+04, -1.7307265772988845e-02,  2.6347440333858536e+00,  3.3750463538552542e-04,  6.9587818249304678e-01,  7.0599350124748772e-01,  1.5885009732111808e+00,  2.6576224731402004e-01,  8.9854125493704231e+00,  1.4226004006700652e+00,  6.2577597503935865e+00, -1.0134054816501868e-01, -1.6218759241185534e+01, -1.3765467147752167e+02, -2.7891168963266142e+02,  1.5263433843504254e-01
 8.0000000000000002e-02,  6.3373660190848409e+02, -2.2421095059754616e-02,  2.9066898707031207e+01, -9.1815328557805209e-01, -4.4932622516891496e-01,  1.7182085334962863e-02,  5.0752767395718962e+01, -1.1195528050951286e-04, -1.5000001642394460e+04, -2.5453530164117361e-02,  2.6306384322219958e+00,  4.9073624336504337e-04,  7.8492137002469176e-01,  7.1333677168031229e-01,  1.6371329862334836e+00,  2.6475647354929160e-01,  8.8380585422424254e+00,  1.7195186828446460e-01,  3.7237339047016333e+00, -9.9821798465882294e-02, -1.3252042184415128e+01, -1.1247503499959855e+02, -2.2789347950572991e+02,  1.5111560139224894e-01
 8.9999999999999997e-02,  6.3373702733651794e+02, -3.0913010353767048e-02,  2.9005434665814672e+01, -1.1415361972012437e+00, -5.2646123538996870e-01,  2.1856822440864586e-02,  5.7096783998074748e+01, -1.5821638516250782e-04, -1.5000002184283881e+04, -3.5725475116246713e-02,  2.6257588225511070e+00,  6.8809743515351374e-04,  8.7263935333789522e-01,  7.0943253861317701e-01,  1.6629756513052134e+00,  2.6376581134470239e-01,  8.7176583630755466e+00, -8.4992945214161220e-01,  1.6532291944373332e+00, -9.8318160578747524e-02, -1.0827993648959694e+01, -9.1901229085616890e+01, -1.8620746254712986e+02,  1.4961197603469140e-01
