#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3366782970830411e+02,  0.0000000000000000e+00,  3.0746321531257053e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.7778811713402609e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -8.0099105707874896e-01,  0.0000000000000000e+00,  2.7285574868037682e-01, -6.3142978817820083e-01, -5.8602851869316019e-03,  4.4845752829526848e+00, -3.3162361745553426e-10, -6.2243724334891667e+01,  2.2054308854158045e-01,  4.4789024287636840e+02, -1.7128354290463221e-07
 1.0000000000000000e-02,  6.3366782970120846e+02, -2.5554916861427687e-06,  3.0746322092819273e+01,  7.5503185052606448e-04,  4.1349513901198021e-06,  2.4228964844567752e-05,  6.3441331535814731e+00, -1.0139698076177804e-08, -1.4999999999998603e+04,  2.5232566870644399e-06,  2.7778811855214127e+00,  8.1619429332225677e-08, -6.3142978817820085e-03, -8.0104965993061827e-01,  4.4845752829526853e-02,  2.7285574867706058e-01, -9.4264840985265919e-01, -4.7575697442236997e-03,  6.7240264973345276e+00, -1.1880413319786953e-09, -6.2243724334891667e+01,  2.2054308854158045e-01,  4.4789024287636840e+02, -1.7128354290463221e-07
 2.0000000000000000e-02,  6.3366782966073208e+02, -1.4704901996771304e-05,  3.0746323922897254e+01,  4.4002463310021736e-03,  1.4660899133892195e-05,  1.5124330977102579e-04,  1.2688266307521349e+01, -1.0635838822833465e-07, -1.4999999999990514e+04,  2.5342682948690739e-05,  2.7778812756585585e+00,  8.5487616154208858e-07, -1.8852968197053184e-02, -8.0108620847363343e-01,  1.3448052994669055e-01,  2.7285574865661599e-01, -1.2832539612490594e+00, -2.6834646711937364e-03,  8.8060124098633086e+00, -3.3294672574513133e-09, -5.8773859443883252e+00,  1.9427792606441238e-01, -3.1493060370612348e+01, -2.5700164218989141e-07
 2.9999999999999999e-02,  6.3366782956789291e+02, -3.2523389707079554e-05,  3.0746327004154267e+01,  1.1752219724733658e-02,  2.7951444760998623e-05,  3.9700593719700492e-04,  1.9032399462001621e+01, -4.3484877416786118e-07, -1.4999999999974230e+04,  1.0316014687233387e-04,  2.7778814879316660e+00,  3.5060951782839486e-06, -3.1979377106763192e-02, -8.0110332922404215e-01,  2.2096600102679301e-01,  2.7285574861047124e-01, -1.6582547379605472e+00, -1.0263252655517974e-03,  1.1195862059631951e+01, -5.8336530051050772e-09, -6.9122769397909266e+01,  1.3714995506397543e-01,  5.0946299032434109e+02, -2.4383550734086157e-07
 4.0000000000000001e-02,  6.3366782942674251e+02, -5.1550399928312024e-05,  3.0746330789533175e+01,  2.3789715432730743e-02,  3.9669202004088731e-05,  7.9172174091102579e-04,  2.5376532616998997e+01, -1.1465255298313581e-06, -1.4999999999953579e+04,  2.7647692316534137e-04,  2.7778818295156102e+00,  9.3024938200789141e-06, -5.2018062956264127e-02, -8.0110673497894447e-01,  3.5839777113932958e-01,  2.7285574853994293e-01, -2.0361693682761799e+00,  2.3275790439480911e-05,  1.3742657933908568e+01, -7.6240430635365880e-09, -6.4601566652173315e+00,  7.2770256134280203e-02, -1.0381546901777612e-01, -1.1424250434544087e-07
 5.0000000000000003e-02,  6.3366782926673648e+02, -6.4260704271678991e-05,  3.0746334177663336e+01,  4.1396682251486218e-02,  4.5097463111356859e-05,  1.3601498258584330e-03,  3.1720665772246548e+01, -2.4393023345694965e-06, -1.4999999999939440e+04,  5.9846143701608782e-04,  2.7778822598288202e+00,  1.9938477609528239e-05, -7.2702764472286796e-02, -8.0110286370823336e-01,  4.9581915970496437e-01,  2.7285574845799038e-01, -2.2768992838892625e+00, -2.1555095763847735e-05,  1.5349595510589916e+01, -7.5953687783680851e-09, -4.1685826457399116e+01, -8.1736433374945988e-02,  3.2149133080528702e+02,  1.1997736137914222e-07
 5.9999999999999998e-02,  6.3366782914644705e+02, -6.3125136800697468e-05,  3.0746335506852244e+01,  6.5434974628798145e-02,  3.8995765092797644e-05,  2.1383578492846877e-03,  3.8064798927256717e+01, -4.5206402461079959e-06, -1.4999999999948739e+04,  1.1278304159743741e-03,  2.7778826915998556e+00,  3.7263565729689954e-05, -9.7556048634049375e-02, -8.0110716608085974e-01,  6.6538968135112786e-01,  2.7285574838803556e-01, -2.4432309098778280e+00, -1.2478928454184854e-03,  1.6592817193817563e+01, -4.7621823151544609e-09,  8.4195012596859033e+00, -1.6353111655598154e-01, -7.2846994159756449e+01,  4.4665993126358195e-07
 7.0000000000000007e-02,  6.3366782914424766e+02, -3.5329177584479281e-05,  3.0746332883471243e+01,  9.5963906363305665e-02,  1.7943852776697898e-05,  3.1277098269094179e-03,  4.4408932081344666e+01, -7.6276629146013220e-06, -1.5000000000004844e+04,  1.9310548038206582e-03,  2.7778829881422911e+00,  6.3460037985635259e-05, -1.2156738266984336e-01, -8.0112782156514173e-01,  8.2767550358131570e-01,  2.7285574836274673e-01, -2.5348855465234155e+00, -3.9660984381684186e-03,  1.7464870962811275e+01,  1.5215328996731612e-09, -2.6750428588803430e+01, -3.8011000199400496e-01,  2.4725774795849910e+02,  8.1008311170194215e-07
 8.0000000000000002e-02,  6.3366782936379263e+02,  2.7987671856557288e-05,  3.0746324035086261e+01,  1.3338009465761186e-01, -2.1859892514636794e-05,  4.3577407667023766e-03,  5.0753065233743889e+01, -1.1982750031835299e-05, -1.5000000000134118e+04,  3.0737534929787470e-03,  2.7778829835986416e+00,  1.0072000655485942e-04, -1.4825375956451770e-01, -8.0118648804962311e-01,  1.0146871006073535e+00,  2.7285574841846622e-01, -2.5095892134648183e+00, -7.8400487247887209e-03,  1.7573652092665757e+01,  1.1462367166537040e-08,  3.1809695200523297e+01, -3.9468005533005485e-01, -2.2550152198760577e+02,  1.1780837416708336e-06
 8.9999999999999997e-02,  6.3366782991608920e+02,  1.3915601639798809e-04,  3.0746306857296243e+01,  1.7732916890581735e-01, -8.0717298216702682e-05,  5.8243467527984887e-03,  5.7097198383671852e+01, -1.7823985630976746e-05, -1.5000000000366299e+04,  4.6248319474047322e-03,  2.7778824814042244e+00,  1.5150614883670992e-04, -1.7175916693913970e-01, -8.0128462253963750e-01,  1.1791485454346307e+00,  2.7285574859199407e-01, -2.4941063658966058e+00, -1.3208735521674784e-02,  1.7932114838690513e+01,  2.4643465046381149e-08, -2.8713125686881099e+01, -6.7905730404715892e-01,  2.9719407119255902e+02,  1.4581358342979905e-06
 1.0000000000000001e-01,  6.3366783091417255e+02,  3.0678371261013836e-04,  3.0746279442848213e+01,  2.2757326812199333e-01, -1.5839406456309414e-04,  7.5383499599892675e-03,  6.3441331530524735e+01, -2.5352934787471954e-05, -1.5000000000728474e+04,  6.6470657860741803e-03,  2.7778812960864783e+00,  2.1817001259682713e-04, -1.9813588688244982e-01, -8.0145066276005661e-01,  1.3733293973811638e+00,  2.7285574891133552e-01, -2.4955597652663819e+00, -1.9614242198701112e-02,  1.8534837137071200e+01,  4.0100534004494641e-08,  2.8422445812925897e+01, -6.0204403135810636e-01, -1.7664961151642169e+02,  1.6332779573247072e-06
 1.1000000000000000e-01,  6.3366783247316800e+02,  5.3805815907552262e-04,  3.0746240021227177e+01,  2.8385600736173583e-01, -2.5321709266639883e-04,  9.5070073421444634e-03,  6.9785464673912358e+01, -3.4776076083998992e-05, -1.5000000001247427e+04,  9.2038906593946649e-03,  2.7778792371197398e+00,  3.0329911008342185e-04, -2.2167036224446734e-01, -8.0167690738361153e-01,  1.5498452881760547e+00,  2.7285574939400475e-01, -2.4040929137514611e+00, -2.6553857583572218e-02,  1.8398151920796266e+01,  5.6416482596688437e-08, -1.0129075509941476e+01, -7.8587904561611210e-01,  1.4931256826143283e+02,  1.6299117611140463e-06
 1.2000000000000000e-01,  6.3366783470348582e+02,  8.3632663891687110e-04,  3.0746187072942949e+01,  3.4603537497486986e-01, -3.6419562498189425e-04,  1.1749222896114410e-02,  7.6129597813816162e+01, -4.6269821291509261e-05, -1.5000000001944965e+04,  1.2353657980706955e-02,  2.7778761427365168e+00,  4.0946996723708056e-04, -2.4621774515747902e-01, -8.0198173991172805e-01,  1.7412924357970889e+00,  2.7285575003966517e-01, -2.3009664259836686e+00, -3.3753002189818020e-02,  1.8160205696631458e+01,  7.1761888098542657e-08,  3.0754373063499582e+01, -6.5394987563305274e-01, -1.9690181309439217e+02,  1.4391693392568066e-06
 1.3000000000000000e-01,  6.3366783769102369e+02,  1.2067501037504075e-03,  3.0746119850141167e+01,  4.1340770845617386e-01, -4.8566461635824837e-04,  1.4252711498233402e-02,  8.2473730950607433e+01, -6.0000587810378979e-05, -1.5000000002839834e+04,  1.6153433808947966e-02,  2.7778718653057419e+00,  5.3942934380497506e-04, -2.6768969076414073e-01, -8.0235196742740789e-01,  1.9130494021086839e+00,  2.7285575082924252e-01, -2.1934072384295407e+00, -4.0934189713842627e-02,  1.7824492939131304e+01,  8.3945442264088320e-08, -9.2425355526742745e+00, -7.8228762917187245e-01,  1.2975926159436412e+02,  9.9754149385233668e-07
 1.4000000000000001e-01,  6.3366784151010609e+02,  1.6486362024295809e-03,  3.0746037764462486e+01,  4.8579749159988073e-01, -6.1575101406131038e-04,  1.7032444672604532e-02,  8.8817864085186898e+01, -7.6084082745787366e-05, -1.5000000003942050e+04,  2.0652924211626771e-02,  2.7778663143666833e+00,  6.9580183937926370e-04, -2.9008588992606987e-01, -8.0280042370600491e-01,  2.0977822945797153e+00,  2.7285575171857401e-01, -2.0478107912526586e+00, -4.7391117310607876e-02,  1.7066904854701036e+01,  9.0671642416495541e-08,  3.8361824988051339e+01, -5.0909789018116547e-01, -2.8127687848042342e+02,  3.4769853662908227e-07
