#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359458403885958e+02,  0.0000000000000000e+00,  3.2220455793799715e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01, -7.9999999999999986e+01, -5.9012275378241048e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.5867062700861658e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3359456730460818e+02,  6.9927658097729078e-04,  3.2221041125454718e+01,  1.1803136534182407e-01,  3.9401764969427657e-03, -2.4681809986069176e-03,  6.3377954035195110e+00,  1.2876837596345499e-06, -1.4999999998507586e+04,  3.9338264935133389e-04,  2.9111923991142743e+00, -8.2451527711216400e-06, -7.9920079920079912e-01, -1.7013059331991924e+00,  4.9950049950049946e-01,  2.7328816364904313e-01, -7.9999999999999986e+01, -5.1086669633554909e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.5867062700861658e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3359449021096850e+02,  4.0330558014575208e-03,  3.2223155730631490e+01,  4.6847828295048000e-01,  1.4413610332974443e-02, -9.8074598542059067e-03,  1.2675591035142492e+01,  1.0298265429231964e-05, -1.4999999988879317e+04,  3.1288450678632527e-03,  2.9112796140815047e+00, -6.5603191855422474e-05, -1.5984015984015982e+00, -1.7444238791421183e+00,  9.9900099900099892e-01,  2.7328816364904313e-01, -8.0000000000000014e+01, -3.3903604358495096e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -3.3373337426922955e-12,  1.8533433979808106e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3359432281575391e+02,  1.1843816713058560e-02,  3.2227115771115152e+01,  1.0459835395577948e+00,  2.9080964478935562e-02, -2.1985182858492377e-02,  1.9013387000780494e+01,  3.4820164424802274e-05, -1.4999999965341112e+04,  1.0498874618080785e-02,  2.9114944596611494e+00, -2.2054131479483797e-04, -2.3976023976023977e+00, -1.7690454024469349e+00,  1.4985014985014984e+00,  2.7328816364904313e-01, -8.0000000000000014e+01, -1.5185579051668794e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.2248891617948630e-12,  1.8940052684458141e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3359404965407145e+02,  2.5968288242284560e-02,  3.2232944201596226e+01,  1.8453381615298274e+00,  4.5434889860865808e-02, -3.9060971118183421e-02,  2.5351183266854250e+01,  8.2907864140479656e-05, -1.4999999925028753e+04,  2.4743178230682724e-02,  2.9118663897409740e+00, -5.2161495259567356e-04, -3.1968031968031969e+00, -1.7747646964281698e+00,  1.9980019980019978e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  3.0233162897808452e-01,  4.9999999999999986e+01,  0.0000000000000000e+00, -4.4497783235897244e-12,  1.7514155789124030e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3359366893009712e+02,  4.8247666515196214e-02,  3.2240398168531435e+01,  2.8614771931808516e+00,  6.1066099098871139e-02, -6.1180359328368891e-02,  3.1688979661665012e+01,  1.6309451683409545e-04, -1.4999999868023850e+04,  4.8050097017117405e-02,  2.9124001956303522e+00, -1.0183471633574991e-03, -3.9960039960039966e+00, -1.7630048104593607e+00,  2.4975024975024973e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  1.9131471850647688e+00,  5.0000000000000007e+01,  0.0000000000000000e+00,  8.8995566471794553e-12,  1.4734371643731376e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3359319051739135e+02,  8.0534839319280377e-02,  3.2249014478885890e+01,  4.0894751763958412e+00,  7.3867606350035184e-02, -8.8556059668854090e-02,  3.8026775882858878e+01,  2.8458957479573035e-04, -1.4999999797096876e+04,  8.2557982657617129e-02,  2.9130781273164366e+00, -1.7619997993460069e-03, -4.7952047952047954e+00, -1.7365399774458568e+00,  2.9970029970029968e+00,  2.7328816364904313e-01, -7.8859530852602802e+01,  3.1994726266066000e+00,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.2832192330890717e+02,  1.1017863695936100e+02,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3359263322259312e+02,  1.2469788970412765e-01,  3.2258166261881073e+01,  5.5245415201897163e+00,  8.2178410178907035e-02, -1.2144129128391713e-01,  4.4364571509282136e+01,  4.5745097588291157e-04, -1.4999999717231292e+04,  1.3035653837774458e-01,  2.9138637679760895e+00, -2.8061459041635868e-03, -5.5716189980540030e+00, -1.6990792834542339e+00,  3.4965034965034967e+00,  2.7328816364904313e-01, -5.8101769451799456e+01,  4.0761645895144154e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  3.9273819091319228e+03,  6.5335094014783678e+01, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3359202627479419e+02,  1.8220907433272204e-01,  3.2267129924309195e+01,  7.1074779231212117e+00,  8.4868078041067052e-02, -1.5835019716079640e-01,  5.0702366030394856e+01,  6.9193175350040173e-04, -1.4999999634987751e+04,  1.9331661168516265e-01,  2.9147070555804402e+00, -4.2014958268789798e-03, -5.9560793097262632e+00, -1.6550981275055088e+00,  3.9960039960039957e+00,  2.7328816364904313e-01, -1.3132278998493966e+01,  4.4524942490638972e+00,  5.0000000000000021e+01,  0.0000000000000000e+00,  5.0755100796198431e+03,  1.0006103827021862e+01,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3359141173480009e+02,  2.5313822222400467e-01,  3.2275165731006872e+01,  8.6902754128135005e+00,  8.1448297689728250e-02, -1.9483897807977663e-01,  5.7040158953028275e+01,  9.9435765454772675e-04, -1.4999999557718427e+04,  2.7219543766421161e-01,  2.9155500119438584e+00, -5.9667534586305927e-03, -5.8340021948271090e+00, -1.6101183593970132e+00,  4.4955044955044956e+00,  2.7328816364904313e-01,  3.2233586286478243e+01,  4.2496418922442132e+00,  5.0000000000000028e+01,  0.0000000000000000e+00,  4.0067361504315954e+03, -5.0617145662321818e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
