#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359458403885958e+02,  0.0000000000000000e+00,  3.2220455793799715e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01, -7.9999999999999986e+01, -1.1247436464073347e+01,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.8501512911438033e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3359455229384798e+02,  6.9517781486274570e-04,  3.2221578557530080e+01,  1.1803048781383615e-01,  7.4928523212811817e-03, -2.4363204613871568e-03,  6.3377954456809702e+00,  1.2795601241846091e-06, -1.4999999997134219e+04,  3.9338473625984464e-04,  2.9112044664541772e+00, -8.1595881263994532e-06, -7.9920079920079912e-01, -1.7547146137811029e+00,  4.9950049950049946e-01,  2.7328816364904313e-01, -7.9999999999999986e+01, -9.8237844704950241e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.8501512911438033e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3359440782167280e+02,  3.9974384264041783e-03,  3.2225637646866012e+01,  4.6847212853392151e-01,  2.7469048129504629e-02, -9.5910715148572953e-03,  1.2675591344442681e+01,  1.0178901659509869e-05, -1.4999999978582626e+04,  3.1288712892785621e-03,  2.9113703501863615e+00, -6.4446937429532626e-05, -1.5984015984015982e+00, -1.8386320211429081e+00,  9.9900099900099892e-01,  2.7328816364904313e-01, -8.0000000000000014e+01, -6.9377058083427441e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -3.3373337426922955e-12,  2.9277781904850639e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3359409471991853e+02,  1.1716331688095575e-02,  3.2233330200906813e+01,  1.0459654215343324e+00,  5.6038830834868492e-02, -2.1339203625423055e-02,  1.9013387959360436e+01,  3.4260504722626128e-05, -1.4999999932834766e+04,  1.0498993682421883e-02,  2.9117819537541454e+00, -2.1527874354722865e-04, -2.3976023976023977e+00, -1.8933301144472916e+00,  1.4985014985014984e+00,  2.7328816364904313e-01, -8.0000000000000014e+01, -4.0909449789446573e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.2248891617948630e-12,  2.7714369899699045e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3359357997291966e+02,  2.5653891612673386e-02,  3.2244929902861919e+01,  1.8453008902325818e+00,  8.9405037952255406e-02, -3.7693499775742767e-02,  2.5351185358295098e+01,  8.1268734781057934e-05, -1.4999999853040243e+04,  2.4743528236708275e-02,  2.9125060222653603e+00, -5.0642804581548114e-04, -3.1968031968031969e+00, -1.9203691835593848e+00,  1.9980019980019978e+00,  2.7328816364904313e-01, -8.0000000000000014e+01, -1.4894629184545276e+00,  4.9999999999999986e+01,  0.0000000000000000e+00, -4.4497783235897244e-12,  2.4367300951313331e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3359285063559628e+02,  4.7618388298435156e-02,  3.2260344338789395e+01,  2.8614143151265070e+00,  1.2412864084850769e-01, -5.8786503151202860e-02,  3.1688983431207433e+01,  1.5938461434265698e-04, -1.4999999736771673e+04,  4.8050904061340882e-02,  2.9135730540358638e+00, -9.8426440520848904e-04, -3.9960039960039966e+00, -1.9230896133175119e+00,  2.4975024975024973e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  7.1771394713703041e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  8.8995566471794553e-12,  1.9820379897829659e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3359191003215540e+02,  7.9433926651261991e-02,  3.2279187660782945e+01,  4.0893817257458549e+00,  1.5731806405903864e-01, -8.4840721019689563e-02,  3.8026781908870689e+01,  2.7745264616881938e-04, -1.4999999585494179e+04,  8.2559575821482656e-02,  2.9149819530649217e+00, -1.6967704844136546e-03, -4.7952047952047954e+00, -1.9060292445556479e+00,  2.9970029970029968e+00,  2.7328816364904313e-01, -7.9999999999999986e+01,  2.4388601274693764e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -8.8995566471794488e-12,  1.4636966632423920e+02,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3359077354553585e+02,  1.2294539686496694e-01,  3.2300860002146827e+01,  5.5244143763108999e+00,  1.8674253620038841e-01, -1.1613277662809575e-01,  4.4364580382014978e+01,  4.4517100597384030e-04, -1.4999999403834136e+04,  1.3035936156979641e-01,  2.9167062117623392e+00, -2.6942602179139200e-03, -5.5944055944055950e+00, -1.8743611392421997e+00,  3.4965034965034967e+00,  2.7328816364904313e-01, -7.9999999999999943e+01,  3.6356224337017951e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.7799113294358898e-11,  9.3222147383490963e+01, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3358946441425371e+02,  1.8001890421892536e-01,  3.2324626158841276e+01,  7.1618538966796272e+00,  2.1087528372864800e-01, -1.5295670241695053e-01,  5.0702378320969579e+01,  6.7324148814898357e-04, -1.4999999198737216e+04,  1.9349274823304502e-01,  2.9187008918755124e+00, -4.0297675301478250e-03, -6.3936063936063929e+00, -1.8333894356904772e+00,  3.9960039960039957e+00,  2.7328816364904313e-01, -7.9999999999999957e+01,  4.3158838937871300e+00,  5.0000000000000021e+01,  0.0000000000000000e+00, -8.8995566471794601e-12,  4.2966196925592534e+01,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3358800980931574e+02,  2.5253829547276918e-01,  3.2349687477289365e+01,  8.9971677645673029e+00,  2.2887649113914132e-01, -1.9559065603163822e-01,  5.7040175096002258e+01,  9.7347998247479615e-04, -1.4999998978596781e+04,  2.7395616705425341e-01,  2.9209097506703325e+00, -5.7591124902637994e-03, -7.1928071928071917e+00, -1.7881296928128865e+00,  4.4955044955044956e+00,  2.7328816364904313e-01, -7.9999999999999986e+01,  4.5245433431338951e+00,  5.0000000000000028e+01,  0.0000000000000000e+00, -8.8995566471794488e-12, -1.1925751663695521e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
