#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01,  7.9999999999999986e+01, -5.5604337264960240e+00,  4.9537436405563867e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.3738428810385972e+02, -7.7548966625163609e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754605437693e+02, -9.0813164211504078e-04,  2.9274731348349000e+01, -1.1819371484105964e-01,  3.4368197260920283e-03,  3.5144069790098947e-03,  6.3377954460281645e+00, -1.9180108020542187e-06, -1.4999999998503341e+04, -3.9378395810797683e-04,  2.6447893461055743e+00,  1.1691867199978836e-05,  7.9920079920079912e-01, -1.6936712403735923e-02,  4.9487948457106756e-01,  2.7323873900889811e-01,  7.9999999999999986e+01, -4.3746980216815397e+00,  4.5663861649062184e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.3738428810385972e+02, -7.7548966625163609e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373752606331925e+02, -4.9672745924359742e-03,  2.9276627503163517e+01, -4.6920590022409253e-01,  1.1993658521239842e-02,  1.4138791441672948e-02,  1.2675591370450034e+01, -1.5436592094049506e-05, -1.4999999989188796e+04, -3.1324300283497516e-03,  2.6448635238159466e+00,  9.4017391451358746e-05,  1.5984015984015982e+00, -4.8794477807003217e-02,  9.1236486811313056e-01,  2.7323873900889811e-01,  8.0000000000000014e+01, -1.7789403968821289e+00,  3.6395863912580651e+01,  0.0000000000000000e+00,  3.3373337426922955e-12,  2.8228638838098254e+02, -1.0799634805919686e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373746798177956e+02, -1.4155125933496311e-02,  2.9279843349869473e+01, -1.0477592901148141e+00,  2.2463368070246199e-02,  3.1876458530237024e-02,  1.9013388101786592e+01, -5.2333176410875195e-05, -1.4999999967607819e+04, -1.0512067852064405e-02,  2.6450355177215510e+00,  3.1819300419723965e-04,  2.3976023976023977e+00, -5.2479977076705528e-02,  1.2220695727345170e+00,  2.7323873900889811e-01,  8.0000000000000014e+01,  9.2065907747137099e-01,  2.5783368983794578e+01,  0.0000000000000000e+00, -2.2248891617948630e-12,  2.5817342638458825e+02, -1.0446580041510019e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373736818522696e+02, -3.0416179725090593e-02,  2.9283990418925860e+01, -1.8486694094524234e+00,  3.1562070957651664e-02,  5.6630788377207898e-02,  2.5351185763288768e+01, -1.2452355191248720e-04, -1.4999999933465362e+04, -2.4776605160146434e-02,  2.6453078543311106e+00,  7.5487966739915696e-04,  3.1968031968031969e+00, -3.0399691044338463e-02,  1.4275170955615737e+00,  2.7323873900889811e-01,  7.8704106623291821e+01,  3.1168711141819769e+00,  1.5502744787158832e+01,  0.0000000000000000e+00, -2.5943785401697431e+02,  1.8150822336487522e+02, -1.0135229600154736e+03,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373723689474230e+02, -5.5664861796267902e-02,  2.9288427332578397e+01, -2.8668342157395834e+00,  3.6654237702652873e-02,  8.8280712784069876e-02,  3.1688984275422015e+01, -2.4409908224454213e-04, -1.4999999890213643e+04, -4.8118627530021503e-02,  2.6456531260471938e+00,  1.4735622644635557e-03,  3.9701120204453915e+00,  9.7951700597975217e-03,  1.5318147233271011e+00,  2.7323873900889811e-01,  5.5754840671680370e+01,  4.4039312649967384e+00,  5.5814074328896730e+00,  0.0000000000000000e+00, -4.3350051894956450e+03,  7.6161218828239853e+01, -9.7272877830921288e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373709210344896e+02, -9.1354136067807415e-02,  2.9292414344879493e+01, -4.0363926013961207e+00,  3.6245016495652239e-02,  1.2500640085588971e-01,  3.8026783392191234e+01, -4.2256890720235004e-04, -1.4999999843890377e+04, -8.2488757803579685e-02,  2.6460232055948820e+00,  2.5372192429658018e-03,  4.3107860274062011e+00,  5.7590943620931034e-02,  1.5390337275873414e+00,  2.7323873900889811e-01,  6.1698263487483160e+00,  4.6012569940837373e+00, -3.5730237675867520e+00,  0.0000000000000000e+00, -5.5919146779553494e+03, -3.6656607865022394e+01, -8.5998834802616727e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373695309475841e+02, -1.3747660252859617e-01,  2.9295277833718860e+01, -5.1942549326960537e+00,  3.0203161255198428e-02,  1.6221233063661347e-01,  4.4364582736044397e+01, -6.6637956097374449e-04, -1.4999999801590275e+04, -1.2860430435879391e-01,  2.6463620392009282e+00,  3.9742512559176229e-03,  4.0933852741666366e+00,  1.0172837673479729e-01,  1.4604256370616315e+00,  2.7323873900889811e-01, -4.3481353946947735e+01,  3.7518723574216120e+00, -1.1185560703063299e+01,  0.0000000000000000e+00, -4.3482516172429932e+03, -1.3339019639473514e+02, -6.6404154645623703e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373683957516891e+02, -1.9275981934752329e-01,  2.9296559923020471e+01, -6.1928377463281192e+00,  1.9664636270583326e-02,  1.9568991605084898e-01,  5.0702381879643916e+01, -9.7515856276077738e-04, -1.4999999769820897e+04, -1.8557977994259778e-01,  2.6466189421602064e+00,  5.7676736499245014e-03,  3.4420277067878646e+00,  1.3255342828469951e-01,  1.3155460012524103e+00,  2.7323873900889811e-01, -7.2600446247307559e+01,  2.1219747575361652e+00, -1.6625671408810828e+01,  0.0000000000000000e+00, -1.4813906612890332e+03, -1.9291530310233176e+02, -4.2506861683441616e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373676871779298e+02, -2.5519038971796748e-01,  2.9296107487108880e+01, -6.9457024734966621e+00,  6.6890814234143517e-03,  2.2290668173314854e-01,  5.7040180457944714e+01, -1.3433787867231299e-03, -1.4999999753088925e+04, -2.5132341391852875e-01,  2.6467595492378009e+00,  7.8658056198223671e-03,  2.6428269075870658e+00,  1.4412547478746790e-01,  1.1282443901323445e+00,  2.7323873900889811e-01, -8.0000000000000000e+01,  1.4276524519157008e-01, -1.9744882720488317e+01,  0.0000000000000000e+00, -1.3349334970769172e-11, -2.0332244126905607e+02, -1.9939748776342103e+02,  0.0000000000000000e+00
