#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3362269741478246e+02,  0.0000000000000000e+00,  3.1662785975822437e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.8607501496366918e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1472575914174565e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  1.8816456746027587e-16, -5.0009996144240176e-13,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.7112634802799061e-14,  7.7871120662820211e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3362269741478246e+02,  1.7343961120877542e-19,  3.1662785975822452e+01, -1.7625657640484399e-19, -2.6250332148412782e-15, -3.0542649827201819e-18,  6.3377953581541204e+00, -2.2284518709259043e-24, -1.5000000000000000e+04, -1.2783904303181991e-21,  2.8607501496366918e+00, -1.5800756525388820e-20,  1.8797659086940647e-18,  1.1472575914174066e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.2359231372800348e-16, -4.6120329777465936e-13,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.7112634802799061e-14,  7.7871120662820211e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3362269741478246e+02,  6.4324650919996666e-19,  3.1662785975822466e+01, -1.2558403602397841e-18, -4.7004716611265732e-15, -5.5067106702454475e-18,  1.2675590716308241e+01, -3.0955248341497188e-23, -1.5000000000000000e+04, -9.6067929974131561e-21,  2.8607501496366918e+00, -5.9105270823441102e-20,  6.4653808936664029e-18,  1.1472575914173644e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  5.2291267784875123e-16, -3.8896663667742364e-13,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.2791302094174630e-14,  6.6746674853845910e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3362269741478246e+02,  1.3368570319376597e-18,  3.1662785975822480e+01, -3.7465060615769040e-18, -6.3066994592045219e-15, -7.4224466889322033e-18,  1.9013386074462360e+01, -1.4347582054308191e-22, -1.5000000000000000e+04, -3.6586990253229160e-20,  2.8607501496366918e+00, -1.2417745952962250e-19,  1.2327571659917864e-17,  1.1472575914173289e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  5.9262723853364063e-16, -3.2575955821734227e-13,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1655529549402393e-15,  5.9793896223236941e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3362269741478246e+02,  2.1895168622273449e-18,  3.1662785975822494e+01, -7.7986915594839320e-18, -7.5157349726239551e-15, -8.8688188722029634e-18,  2.5351181432616482e+01, -4.1550474648628901e-22, -1.5000000000000000e+04, -9.7081491316876573e-20,  2.8607501496366918e+00, -2.0601049267249783e-19,  1.8306084960272609e-17,  1.1472575914172993e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  5.6065236743064652e-16, -2.7088747911463424e-13,  0.0000000000000000e+00,  0.0000000000000000e+00, -7.5669221497596324e-15,  5.0060006140384398e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3362269741478246e+02,  3.1451498620017024e-18,  3.1662785975822509e+01, -1.3287629088899376e-17, -8.3963230130955661e-15, -9.9188493468343688e-18,  3.1688976790770603e+01, -9.2752065932620409e-22, -1.5000000000000000e+04, -2.0604326118953263e-19,  2.8607501496366918e+00, -3.0027826978514657e-19,  2.3529417163027686e-17,  1.1472575914172747e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  4.5585014824154274e-16, -2.2365581608951860e-13,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.3414482131898984e-14,  4.4497783235897276e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3362269741478246e+02,  4.1570947028362620e-18,  3.1662785975822519e+01, -1.9897300289309175e-17, -9.0008405882480327e-15, -1.0633714957075053e-17,  3.8026772148924721e+01, -1.7546453146867762e-21, -1.5000000000000000e+04, -3.7619050732165537e-19,  2.8607501496366918e+00, -4.0331748723878273e-19,  2.7413980030033700e-17,  1.1472575914172546e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.0617938878610324e-16, -1.8267540258243284e-13,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6549603911079969e-14,  3.7545004605288299e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3362269741478246e+02,  5.1885705203733328e-18,  3.1662785975822530e+01, -2.7198937130882396e-17, -9.3827558975445357e-15, -1.1080620638247611e-17,  4.4364567507078846e+01, -2.9598734253396802e-21, -1.5000000000000000e+04, -6.1649041596465263e-19,  2.8607501496366918e+00, -5.1212332763175870e-19,  2.9646887468444336e-17,  1.1472575914172382e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  1.3639077976315575e-16, -1.4794623859337716e-13,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.7442075615314114e-14,  3.1982781700801144e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3362269741478246e+02,  6.2114098689189497e-18,  3.1662785975822541e+01, -3.4720617496723485e-17, -9.5708035605614711e-15, -1.1300764359736428e-17,  5.0702362865232963e+01, -4.5904121405392840e-21, -1.5000000000000000e+04, -9.3138882764128748e-19,  2.8607501496366918e+00, -6.2422252926642028e-19,  3.0139070534792057e-17,  1.1472575914172251e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -3.3092690367684248e-17, -1.1877374084257048e-13,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6488515104880061e-14,  2.6420558796314022e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3362269741478246e+02,  7.2055893973517821e-18,  3.1662785975822551e+01, -4.2001180380373643e-17, -9.6089948206377411e-15, -1.1353840273827677e-17,  5.7040158223387081e+01, -6.6765130672202784e-21, -1.5000000000000000e+04, -1.3206522249482159e-18,  2.8607501496366918e+00, -7.3764301963078940e-19,  2.8985694853705390e-17,  1.1472575914172145e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -1.8589775659012651e-16, -9.3768742770450318e-14,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.4103059152852871e-14,  2.3639447344070409e-12,  0.0000000000000000e+00,  0.0000000000000000e+00
