#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3362269741478246e+02,  0.0000000000000000e+00,  3.1662785975822437e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.8607501496366918e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1472575914174565e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -7.9073116974094106e+01, -1.5253336053524641e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.5142292357086155e+03,  2.5005314062557189e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9800399201596807e-03,  6.3362269689072275e+02,  7.9371631850574389e-04,  3.1662794559490916e+01,  1.0681365160433409e-01,  1.2191373519586942e-04, -3.1197164025734440e-03,  6.3314702135190535e+00,  1.6020910363866472e-06, -1.4999999999985605e+04,  3.5542842939940869e-04,  2.8607505632744159e+00, -1.0386819644979301e-05, -7.8915286401291518e-01,  1.1320347011444779e-01,  4.9900199600798401e-01,  2.7817232786892876e-01, -7.1517082863771662e+01, -1.4005565890722388e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.5142292357086155e+03,  2.5005314062557189e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9960079840319361e-02,  6.3362269162823407e+02,  4.2828893508088644e-03,  3.1662831975577749e+01,  4.0512388286805651e-01,  4.3966271794032140e-04, -1.1946794077682385e-02,  1.2662940413261381e+01,  1.2590278598866561e-05, -1.4999999999906329e+04,  2.7689741581436015e-03,  2.8607532348056757e+00, -8.1479219599340066e-05, -1.4274866839076181e+00,  1.1193023700786893e-01,  9.9800399201596801e-01,  2.7817232786892876e-01, -5.3252931332112773e+01, -1.1863517027409475e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.1459067312358279e+03,  1.7921345158233575e+00, -1.1146683576157558e-12,  0.0000000000000000e+00
 2.9940119760479042e-02,  6.3362267782692413e+02,  1.1706308239974955e-02,  3.1662911626946723e+01,  8.3878575360280838e-01,  8.8102141410304759e-04, -2.5000105771744340e-02,  1.8994410549419428e+01,  4.0753730964005857e-05, -1.4999999999738389e+04,  8.8794689412232848e-03,  2.8607597678294883e+00, -2.6323378147249975e-04, -1.8520856251329305e+00,  1.1083550264390697e-01,  1.4970059880239519e+00,  2.7817232786892876e-01, -3.2329376106605118e+01, -1.0328818381405691e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.0471737359559061e+03,  1.2834015707682234e+00,  2.2293367152315115e-12,  0.0000000000000000e+00
 3.9920159680638723e-02,  6.3362265411719716e+02,  2.3791856639759777e-02,  3.1663039865369324e+01,  1.3489968056643151e+00,  1.3829745449890532e-03, -4.0680572737847191e-02,  2.5325880552414390e+01,  9.1566049383830776e-05, -1.4999999999481519e+04,  1.9739437139000077e-02,  2.8607711189670715e+00, -5.8983484164391723e-04, -2.0727836121831693e+00,  1.0986859661237877e-01,  1.9960079840319360e+00,  2.7817232786892876e-01, -1.2988993045074812e+01, -9.2181110154932494e-02,  4.9885282633430862e+01,  0.0000000000000000e+00,  1.8286390295747667e+03,  9.4245599052031093e-01, -2.2989360260457243e+01,  0.0000000000000000e+00
 4.9900199600798403e-02,  6.3362262126391465e+02,  4.0808070918847611e-02,  3.1663216125908185e+01,  1.8824600810912273e+00,  1.8933922027762288e-03, -5.7505365739397740e-02,  3.1657350353532014e+01,  1.6828282203622757e-04, -1.4999999999147547e+04,  3.5840232645821181e-02,  2.8607877168808891e+00, -1.0799914541362637e-03, -2.1113469633579767e+00,  1.0899556032544525e-01,  2.4927202122441288e+00,  2.7817232786892876e-01,  3.7538787120153922e+00, -8.3806384071178242e-02,  4.6923988880264062e+01,  0.0000000000000000e+00,  1.5266324705461104e+03,  7.3583911666404000e-01, -5.7045390787416886e+02,  0.0000000000000000e+00
 5.9880239520958084e-02,  6.3362258189295983e+02,  6.2630025330065425e-02,  3.1663435012565227e+01,  2.3939607144632911e+00,  2.3778297764829926e-03, -7.4182514377075306e-02,  3.7988819902773024e+01,  2.7221695792888252e-04, -1.4999999998751984e+04,  5.7180615026905947e-02,  2.8608095916485570e+00, -1.7385006540284230e-03, -1.9978558933804669e+00,  1.0819581449518959e-01,  2.9326145485082646e+00,  2.7817232786892876e-01,  1.7242303758806244e+01, -7.6937806520892799e-02,  4.0054497645296863e+01,  0.0000000000000000e+00,  1.1764479088307767e+03,  6.4062382441316368e-01, -8.0619213561325842e+02,  0.0000000000000000e+00
 6.9860279441117765e-02,  6.3362253984865811e+02,  8.8819403607583003e-02,  3.1663690833911851e+01,  2.8479340986733099e+00,  2.8306077261562746e-03, -8.9658500513091988e-02,  4.4320289184817433e+01,  4.0310606396529527e-04, -1.4999999998293884e+04,  8.3355925976058273e-02,  2.8608366110049199e+00, -2.5584038592902270e-03, -1.7671892037011654e+00,  1.0745987556454918e-01,  3.2922111832081380e+00,  2.7817232786892876e-01,  2.7156043178166115e+01, -7.0583595112735653e-02,  3.2743467227396309e+01,  0.0000000000000000e+00,  8.1026547080894125e+02,  6.3276014178152895e-01, -6.5893836013401324e+02,  0.0000000000000000e+00
 7.9840319361277445e-02,  6.3362249878623902e+02,  1.1870870515588661e-01,  3.1663978771905892e+01,  3.2191210487573847e+00,  3.2592274296784685e-03, -1.0315189691966180e-01,  5.0651758224346686e+01,  5.5951350802192464e-04, -1.4999999997741661e+04,  1.1365825331916921e-01,  2.8608686729137118e+00, -3.5235576145234856e-03, -1.4558191033971113e+00,  1.0678696030132261e-01,  3.5861767686159753e+00,  2.7817232786892876e-01,  3.3472761317940936e+01, -6.4025913688879915e-02,  2.6767828462164960e+01,  0.0000000000000000e+00,  4.5560484440193324e+02,  6.8139921555915994e-01, -5.3857964841834826e+02,  0.0000000000000000e+00
 8.9820359281437126e-02,  6.3362246157216941e+02,  1.5148740431698243e-01,  3.1664295662502575e+01,  3.4924177422355842e+00,  3.6763702255384477e-03, -1.1415798400497335e-01,  5.6983227080665863e+01,  7.3922405588142874e-04, -1.4999999997036166e+04,  1.4717900482282875e-01,  2.8609057597400080e+00, -4.6113978950358542e-03, -1.0990702153191108e+00,  1.0618191321546974e-01,  3.8264991764649237e+00,  2.7817232786892876e-01,  3.6416236841540311e+01, -5.6841688450279503e-02,  2.1883652472785037e+01,  0.0000000000000000e+00,  1.3426765052738210e+02,  7.5831952225636401e-01, -4.4020921985338856e+02,  0.0000000000000000e+00
