#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3362269741478246e+02,  0.0000000000000000e+00,  3.1662785975822437e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.8607501496366918e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1472575914174565e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -7.9999999999999986e+01, -2.4097157709386913e+01,  9.9999999999999986e+01,  0.0000000000000000e+00,  1.0944630022694419e+02,  5.8013385416242977e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3362269759286676e+02,  7.5637940940485252e-04,  3.1665043359346544e+01,  1.0697141769504648e-01,  1.3645359627638217e-02, -2.9370626724429636e-03,  6.3377957450080205e+00,  1.5131768029551475e-06, -1.4999999994077074e+04,  3.5633191947307015e-04,  2.8607965062495935e+00, -9.9448888195414722e-06, -7.9920079920079912e-01, -1.2600508710587585e-01,  9.9900099900099892e-01,  2.7817232786892876e-01, -7.9453315183681596e+01, -2.1199386210074078e+01,  9.9999999999999986e+01,  0.0000000000000000e+00,  1.0944630022694419e+02,  5.8013385416242977e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3362258656185884e+02,  4.1340801717272471e-03,  3.1673010162723156e+01,  4.2495035543421533e-01,  5.0077366190971022e-02, -1.1096293566322909e-02,  1.2675593548033648e+01,  1.1714727112288183e-05, -1.4999999955643229e+04,  2.8361069796241016e-03,  2.8610985059142879e+00, -7.6099114326273496e-05, -1.5874788248487830e+00, -3.0883840089969444e-01,  1.9980019980019978e+00,  2.7817232786892876e-01, -7.1201302276641314e+01, -1.5656876251396334e+01,  1.0000000000000001e+02,  0.0000000000000000e+00,  1.5426066837625217e+03,  5.2947663956485553e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3362223251426963e+02,  1.1610326956208120e-02,  3.1687986187912546e+01,  9.2916201080627181e-01,  1.0297240199219083e-01, -2.3234447467677319e-02,  1.9013394801835108e+01,  3.8178288553530421e-05, -1.4999999860304726e+04,  9.4578546846506364e-03,  2.8618517347512427e+00, -2.4513581138650611e-04, -2.2218042412915344e+00, -4.3882978743347484e-01,  2.9970029970029968e+00,  2.7817232786892876e-01, -5.3480488182776462e+01, -1.0623742941985727e+01,  9.9999999999999986e+01,  0.0000000000000000e+00,  2.0051002978292199e+03,  4.7815664897914746e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3362154780855758e+02,  2.4174917210952281e-02,  3.1710673988567695e+01,  1.5654638511707781e+00,  1.6659750732558357e-01, -3.7625862164517354e-02,  2.5351200309989466e+01,  8.6359713000627931e-05, -1.4999999691912884e+04,  2.1816658873952070e-02,  2.8631915625975228e+00, -5.4793071120933965e-04, -2.6560200472818791e+00, -5.2110099714316549e-01,  3.9960039960039957e+00,  2.7817232786892876e-01, -3.4018360203730531e+01, -6.1113190351660700e+00,  9.9999999999999972e+01,  0.0000000000000000e+00,  1.8912177235757733e+03,  4.2523061716614723e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3362048266439672e+02,  4.2374631032717935e-02,  3.1741250643610915e+01,  2.2791896464239576e+00,  2.3584271816031604e-01, -5.2819480613576310e-02,  3.1689010421259596e+01,  1.5945859082356300e-04, -1.4999999441838600e+04,  4.0954867191851881e-02,  2.8651992284650949e+00, -9.9900080395211744e-04, -2.9014917578495871e+00, -5.6093406386036937e-01,  4.9950049950049946e+00,  2.7817232786892876e-01, -1.8465884157675880e+01,  8.8939765978341985e+00,  1.6666666666666682e+01,  0.0000000000000000e+00,  1.2223879808443692e+03,  2.5788295685605071e+03, -1.6683333333333336e+04,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3361903021818853e+02,  6.6754245048025823e-02,  3.1777982890391485e+01,  3.0258458270416595e+00,  2.9695907344073424e-01, -6.9871004424393965e-02,  3.8026824980884861e+01,  2.5969523421282340e-04, -1.4999999111248790e+04,  6.7407023957359577e-02,  2.8678844838925444e+00, -1.6055447605665101e-03, -3.0249687817009776e+00, -3.4339916701660811e-01,  4.3290043290043290e+00,  2.7817232786892876e-01, -5.1390798500501651e+00,  2.3375872958389667e+01, -8.3333333333333314e+01,  0.0000000000000000e+00,  1.4456382415422984e+03,  3.2044608282269922e+02, -3.3366666666666770e+03,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3361729687443108e+02,  9.8241821113902922e-02,  3.1815998079300332e+01,  3.7710690611131703e+00,  3.3021693754887188e-01, -9.1501997573568805e-02,  4.4364642381468911e+01,  3.9369230159864489e-04, -1.4999998729637420e+04,  1.0133501491430284e-01,  2.8710410668283046e+00, -2.4053050998125345e-03, -3.0041706759325075e+00, -9.3883655101335020e-02,  3.3300033300033296e+00,  2.7817232786892876e-01,  8.6479022808834376e+00,  2.3190270417151631e+01, -9.9999999999999972e+01,  0.0000000000000000e+00,  1.3145155810706081e+03, -3.5760371157855320e+02,  8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3361542044819737e+02,  1.3674854758604107e-01,  3.1852769914527865e+01,  4.4763026923787859e+00,  3.3884986852619747e-01, -1.1496577730985258e-01,  5.0702460542875457e+01,  5.6761050950027516e-04, -1.4999998334174223e+04,  1.4252565685751070e-01,  2.8744043369922920e+00, -3.4302298851277505e-03, -2.8521835213436662e+00,  1.1994289926014784e-01,  2.3310023310023311e+00,  2.7817232786892876e-01,  1.9987468621564954e+01,  2.0650071294563464e+01, -1.0000000000000001e+02,  0.0000000000000000e+00,  9.5566560033382927e+02, -1.5094415276360050e+02, -4.4497783235897301e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3361352163236359e+02,  1.8179131718011424e-01,  3.1886060573221460e+01,  5.1125709562511812e+00,  3.2531499874007053e-01, -1.3809755649363178e-01,  5.7040277529725891e+01,  7.8455585123188461e-04, -1.4999997957605205e+04,  1.9042551475463312e-01,  2.8777432679710238e+00, -4.6872429813128707e-03, -2.6048206535236176e+00,  3.1870518195287983e-01,  1.3320013320013324e+00,  2.7817232786892876e-01,  2.8256983410164707e+01,  1.9050511318208734e+01, -1.0000000000000001e+02,  0.0000000000000000e+00,  6.9989126034384537e+02, -1.6928775450261398e+02, -1.3349334970769172e-11,  0.0000000000000000e+00
