#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -3.7481227723522025e+01, -8.9707540714203038e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  5.8572916324771256e+02,  1.5578740617590927e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754438872515e+02,  3.1670549720605261e-04,  2.9275033843623468e+01,  5.6742256175735625e-02,  5.4610420420913930e-03, -1.2099266620159766e-03,  6.3377954871337501e+00,  5.9601609963080423e-07, -1.4999999997758307e+04,  1.9149546832135134e-04,  2.6447959310276610e+00, -4.1996089237951410e-06, -3.7443783939582442e-01, -5.1005846718663796e-02,  1.4985014985014986e+00,  2.7323873900889811e-01, -3.4555507627379605e+01, -8.1925951994127661e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  5.8572916324771256e+02,  1.5578740617590927e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373750019292902e+02,  1.6633330002683508e-03,  2.9278170011951900e+01,  2.1358368229402044e-01,  2.0303846473753610e-02, -4.0744681027201383e-03,  1.2675591681559734e+01,  4.2410277606747681e-06, -1.4999999983049434e+04,  1.4651978649155210e-03,  2.6449177312235075e+00, -2.9678468547235976e-05, -6.9041973281477731e-01, -1.2507613969973500e-01,  2.9970029970029972e+00,  2.7323873900889811e-01, -2.8912488280472239e+01, -6.7102429408323792e+00,  1.5000000000000003e+02,  0.0000000000000000e+00,  5.4400331000314327e+02,  1.4097951599188454e+02, -2.2248891617948638e-12,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373736768345736e+02,  4.5000388599561025e-03,  2.9284206731411018e+01,  4.5178945021634992e-01,  4.2358433053020943e-02, -7.6196562096262259e-03,  1.9013389121730814e+01,  1.2670858649336768e-05, -1.4999999946061953e+04,  4.7255039258025308e-03,  2.6452255682808041e+00, -8.7913278649895458e-05, -9.5210993291175317e-01, -1.8507663474728273e-01,  4.4955044955044956e+00,  2.7323873900889811e-01, -2.3672974048457405e+01, -5.5963959394311704e+00,  1.4999999999999997e+02,  0.0000000000000000e+00,  5.0494743924622543e+02,  8.2012653688637130e+01, -4.4497783235897260e-12,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373711357454238e+02,  9.1319633091145672e-03,  2.9293562325212182e+01,  7.5439426079025207e-01,  6.9636539643787423e-02, -1.1083855112311421e-02,  2.5351188192397917e+01,  2.6486030591829258e-05, -1.4999999879730836e+04,  1.0698918755409858e-02,  2.6457814137015672e+00, -1.8169247464901376e-04, -1.1634062272894508e+00, -2.3689224238567247e-01,  5.9940059940059935e+00,  2.7323873900889811e-01, -1.8793967643867642e+01, -5.6060616348524128e+00,  1.4999999999999997e+02,  0.0000000000000000e+00,  4.7182964295264469e+02, -8.3947725911969954e+01,  8.8995566471794488e-12,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373671388390642e+02,  1.5679635244045406e-02,  2.9306791979495756e+01,  1.1057172971389404e+00,  1.0232443611213533e-01, -1.3547870401937756e-02,  3.1688989203616952e+01,  4.5289321486834813e-05, -1.4999999778630054e+04,  1.9949776136002649e-02,  2.6466358735760056e+00, -3.0582660951789355e-04, -1.3276137819400777e+00, -2.9708585822085742e-01,  7.4925074925074924e+00,  2.7323873900889811e-01, -1.4417691447418592e+01, -5.3380795832501802e+00,  1.5000000000000006e+02,  0.0000000000000000e+00,  4.0430085157645595e+02,  1.3759773264273738e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373614421574666e+02,  2.4127669980439762e-02,  2.9324306854563240e+01,  1.4921817049522996e+00,  1.3939533467918380e-01, -1.4344237498655800e-02,  3.8026792483076825e+01,  6.7627699042158829e-05, -1.4999999637510446e+04,  3.2895538860935138e-02,  2.6478404907764208e+00, -4.4629992489678914e-04, -1.4514719904746374e+00, -3.4354717911394778e-01,  8.9910089910089912e+00,  2.7323873900889811e-01, -1.0586007907408954e+01, -4.0375173725561666e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  3.6280219313347300e+02,  1.2277482193820383e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373538942852872e+02,  3.4387586348973952e-02,  2.9346213074449910e+01,  1.9020406023007885e+00,  1.7893854237113702e-01, -1.3122561662088071e-02,  4.4364598266075035e+01,  9.1523087666779636e-05, -1.4999999453597600e+04,  4.9828217879212496e-02,  2.6494293361004351e+00, -5.8427909940243403e-04, -1.5391224314387582e+00, -3.7775553599420741e-01,  1.0489510489510490e+01,  2.7323873900889811e-01, -7.1635523219528183e+00, -2.8792349239805581e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  3.2237341507484507e+02,  1.0911332426663286e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373444455674030e+02,  4.6307511664095621e-02,  2.9372440592873932e+01,  2.3250025295783971e+00,  2.1924704156711669e-01, -9.6865397942210059e-03,  5.0702406701066771e+01,  1.1475093394315607e-04, -1.4999999226684698e+04,  7.0929942329543375e-02,  2.6514184018724385e+00, -6.9812490014116880e-04, -1.5945999089951732e+00, -4.0107435042225065e-01,  1.1988011988011989e+01,  2.7323873900889811e-01, -4.1378095350557933e+00, -1.8529677549838590e+00,  1.5000000000000011e+02,  0.0000000000000000e+00,  2.8338029086194007e+02,  9.6345362966506684e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373331345356632e+02,  5.9691486715000623e-02,  2.9402765387858267e+01,  2.7521464495577095e+00,  2.5880717866005998e-01, -3.9694431006950153e-03,  5.7040217868991370e+01,  1.3504181018602257e-04, -1.4999998958892824e+04,  9.6287013314019149e-02,  2.6538075729567527e+00, -7.6481903099797374e-04, -1.6217959486226901e+00, -4.1477786876111766e-01,  1.3486513486513488e+01,  2.7323873900889811e-01, -1.4929891991397759e+00, -9.5074494292652667e-01,  1.5000000000000000e+02,  0.0000000000000000e+00,  2.4611274038844635e+02,  8.4279644007371076e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
