#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359458403885958e+02,  0.0000000000000000e+00,  3.2220455793799715e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01, -7.9999999999999986e+01,  1.6162694289459916e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -3.0119169741423772e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3359458786914797e+02,  7.0501166155646495e-04,  3.2220288409005555e+01,  1.1803259197123546e-01, -1.0332571506631067e-03, -2.5127314355993064e-03,  6.3377953431176737e+00,  1.2990825251198204e-06, -1.5000000000434518e+04,  3.9337972284567575e-04,  2.9111754655791211e+00, -8.3652133177315077e-06, -7.9920079920079912e-01, -1.6262060634012894e+00,  4.9950049950049946e-01,  2.7328816364904313e-01, -7.9999999999999986e+01,  1.4658240256421766e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -3.0119169741423772e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3359460266759947e+02,  4.0830017509493003e-03,  3.2219674514413910e+01,  4.6848690305018781e-01, -3.8938774548555439e-03, -1.0110689515942959e-02,  1.2675590584163192e+01,  1.0465880094438811e-05, -1.5000000003329211e+04,  3.1288082473802156e-03,  2.9111522446778317e+00, -6.7226794926923260e-05, -1.5984015984015982e+00, -1.6130654178234836e+00,  9.9900099900099892e-01,  2.7328816364904313e-01, -8.0000000000000014e+01,  1.1875715956699437e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -3.3373337426922955e-12, -2.5586966739017285e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3359463207666431e+02,  1.2020410042301956e-02,  3.2218469669740848e+01,  1.0460084651506141e+00, -8.2673672967104803e-03, -2.2875802203826571e-02,  1.9013385588323210e+01,  3.5599944934394101e-05, -1.5000000010752259e+04,  1.0498708532410986e-02,  2.9110926681302693e+00, -2.2787529750860623e-04, -2.3976023976023977e+00, -1.6024783591920997e+00,  1.4985014985014984e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  9.5342955364865012e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.2248891617948630e-12, -2.1288270073645673e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3359467819436907e+02,  2.6392731532736441e-02,  3.2216554126492092e+01,  1.8453874759258637e+00, -1.3894695966637238e-02, -4.0881478808735480e-02,  2.5351180183959752e+01,  8.5148992966141906e-05, -1.5000000024388502e+04,  2.4742698177072409e-02,  2.9109830209799092e+00, -5.4239093886132290e-04, -3.1968031968031969e+00, -1.5940158762920420e+00,  1.9980019980019978e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  7.6111243789846694e-01,  4.9999999999999986e+01,  0.0000000000000000e+00, -4.4497783235897244e-12, -1.7213616499540954e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3359474178976950e+02,  4.9064281297747980e-02,  3.2213825300024915e+01,  2.8615552510352740e+00, -2.0568244568311848e-02, -6.4194708790456620e-02,  3.1688974161392650e+01,  1.6801361795720055e-04, -1.5000000045583356e+04,  4.8049020306334116e-02,  2.9108120121460392e+00, -1.0635825088015196e-03, -3.9960039960039966e+00, -1.5872713174758466e+00,  2.4975024975024973e+00,  2.7328816364904313e-01, -8.0000000000000014e+01,  6.0844384591686618e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  8.8995566471794553e-12, -1.3350635615175577e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3359482247981293e+02,  8.1888109746401122e-02,  3.2210190055975986e+01,  4.0895807456977593e+00, -2.8127853601226025e-02, -9.2877960609428059e-02,  3.8026767271657711e+01,  2.9365170467375394e-04, -1.5000000075380965e+04,  8.2555938318871439e-02,  2.9105703525318822e+00, -1.8449486037510645e-03, -4.7952047952047954e+00, -1.5818591560939028e+00,  2.9970029970029968e+00,  2.7328816364904313e-01, -7.9999999999999986e+01,  4.9338843737928323e-01,  5.0000000000000007e+01,  0.0000000000000000e+00, -8.8995566471794488e-12, -9.6834571740484812e+00,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3359491886716671e+02,  1.2670604963169663e-01,  3.2205556826397647e+01,  5.5246671436722661e+00, -3.6457016092041952e-02, -1.2699086826007469e-01,  4.4364559225288893e+01,  4.7218225000312207e-04, -1.5000000114556049e+04,  1.3035309531128467e-01,  2.9102503920754499e+00, -2.9406581947590237e-03, -5.5944055944055950e+00, -1.5774134066390977e+00,  3.4965034965034967e+00,  2.7328816364904313e-01, -7.9999999999999943e+01,  4.1408758902351178e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.7799113294358898e-11, -6.1925726667769618e+00, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3359502863889020e+02,  1.8534886881704743e-01,  3.2199827563367208e+01,  7.1621485123213047e+00, -4.5479267810836450e-02, -1.6659170000184473e-01,  5.0702349691165836e+01,  7.1448833299328301e-04, -1.5000000163638824e+04,  1.9348283896219326e-01,  2.9098458138367258e+00, -4.4055479269847781e-03, -6.3936063936063929e+00, -1.5735856777917347e+00,  3.9960039960039957e+00,  2.7328816364904313e-01, -7.8927145377491726e+01,  3.6853682753015327e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  2.1478549542613783e+02, -2.9266897841934649e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3359514871629449e+02,  2.5963010862267860e-01,  3.2192889617812739e+01,  8.9965578312728187e+00, -5.5154830572093888e-02, -2.1170888222662301e-01,  5.7040138295678560e+01,  1.0323084952727692e-03, -1.5000000222932400e+04,  2.7393922900543738e-01,  2.9093513817772112e+00, -6.2950611684571226e-03, -7.1713715360138206e+00, -1.5700500334616720e+00,  4.4955044955044956e+00,  2.7328816364904313e-01, -7.0796013248688126e+01,  3.4608016891358484e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  1.4130671567603326e+03, -1.5691332708434895e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
