#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -4.6635335710403339e+01,  2.9318878976329649e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  6.8362976767044449e+02, -3.8548557047226858e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754627070377e+02,  4.9677229310282633e-04,  2.9274128880237789e+01,  7.0597323769306525e-02, -1.9118529893023990e-04, -1.9328072054606365e-03,  6.3377953515223044e+00,  1.0201146361371163e-06, -1.5000000000108432e+04,  2.3797140641521061e-04,  2.6447767478924673e+00, -6.5183451901986628e-06, -4.6588746963439898e-01,  4.1541035011442108e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -4.3220601606155363e+01,  1.0063855476216334e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  6.8362976767044449e+02, -3.8548557047226858e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373754517933185e+02,  2.6433584735074071e-03,  2.9274035190287929e+01,  2.6646790767955725e-01, -4.8302401447403729e-04, -7.3527093242381431e-03,  1.2675590665370123e+01,  7.8762535227427658e-06, -1.5000000000690872e+04,  1.8245920689375710e-03,  2.6447733023255453e+00, -5.0267797877067209e-05, -8.6354848363946779e-01,  4.0622836407656196e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -3.6716080817712196e+01, -2.6268813448468281e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  6.1857529417587921e+02, -3.4189446139991745e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373754144462600e+02,  7.3005729905735988e-03,  2.9273948083642637e+01,  5.6561564752335813e-01, -4.7943167388652731e-04, -1.5721201000689404e-02,  1.9013385912749946e+01,  2.5654918924716101e-05, -1.5000000001733308e+04,  5.8979432091575907e-03,  2.6447681191866539e+00, -1.6339669797215997e-04, -1.1994754979603168e+00,  3.6292520835923971e-02,  1.4985014985014984e+00,  2.7323873900889811e-01, -3.0848480354495774e+01, -5.6529469588650638e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  5.5611831856004699e+02, -2.6392387452653349e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373753190037678e+02,  1.5177779228696869e-02,  2.9273959122897715e+01,  9.4843144007857483e-01,  1.4074183712139174e-04, -2.6539715958261198e-02,  2.5351181076388286e+01,  5.8737704912419584e-05, -1.5000000002755976e+04,  1.3388642787811666e-02,  2.6447658506938834e+00, -3.7286529569870012e-04, -1.4799017374755472e+00,  2.9328237089244480e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -2.5592080602463930e+01, -7.8562301302987725e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  4.9621291179672738e+02, -1.7717341639449511e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373751230531582e+02,  2.6848612724317218e-02,  2.9274175936238294e+01,  1.3975603619927690e+00,  1.5991925610831974e-03, -3.9352503600893866e-02,  3.1688976149133325e+01,  1.1091716920789681e-04, -1.5000000002930989e+04,  2.5043003805065613e-02,  2.6447738951890285e+00, -7.0085661866228213e-04, -1.7108057797278280e+00,  2.0595757338823524e-02,  2.4975024975024973e+00,  2.7323873900889811e-01, -2.0918103493708980e+01, -9.2411048141954122e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  4.3951730537601503e+02, -1.0007849532161162e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373747776362222e+02,  4.2766366998101601e-02,  2.9274711097950117e+01,  1.8977622290677616e+00,  4.0210180001538001e-03, -5.3748894498017584e-02,  3.8026771130871815e+01,  1.8550590230687015e-04, -1.5000000001213923e+04,  4.1444849176445919e-02,  2.6448014107412305e+00, -1.1652130582725773e-03, -1.8978458632239783e+00,  1.0864491206736167e-02,  2.9970029970029968e+00,  2.7323873900889811e-01, -1.6791145009460998e+01, -9.9398230274400745e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  3.8669978317042978e+02, -3.9804890969970352e+00,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373742312029742e+02,  6.3278637255275882e-02,  2.9275674262324515e+01,  2.4357555718251858e+00,  7.4525824500235507e-03, -6.9363664915973608e-02,  4.4364566025435508e+01,  2.8543807441942890e-04, -1.4999999996462193e+04,  6.3035850625245374e-02,  2.6448584414766243e+00, -1.7798852484544687e-03, -2.0462931925042716e+00,  7.3597107021198312e-04,  3.4965034965034967e+00,  2.7323873900889811e-01, -1.3170618975493696e+01, -1.0119103927791240e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  3.3812952882982393e+02,  3.9128547196670066e-01, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373734326874001e+02,  8.8640937350626406e-02,  2.9277167096511693e+01,  3.0000505272527831e+00,  1.1882757919779833e-02, -8.5875607802698151e-02,  5.0702360838248850e+01,  4.1336201162597559e-04, -1.4999999987528736e+04,  9.0134246475361113e-02,  2.6449552440260811e+00, -2.5553747367261723e-03, -2.1609950935035727e+00, -9.3534986589806010e-03,  3.9960039960039957e+00,  2.7323873900889811e-01, -1.0013713211879594e+01, -9.9285422688244584e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  2.9388300504572084e+02,  3.4237589405484221e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373723336135242e+02,  1.1902916264703552e-01,  2.9279280247957452e+01,  3.5807799257288231e+00,  1.7261510893359252e-02, -1.0300493232139955e-01,  5.7040155574816914e+01,  5.7172286717493026e-04, -1.4999999973330638e+04,  1.2295187477565211e-01,  2.6451018129241328e+00, -3.4991561945985580e-03, -2.2463673825518158e+00, -1.9101276220146565e-02,  4.4955044955044956e+00,  2.7323873900889811e-01, -7.2778012189003620e+00, -9.4844273896639153e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  2.5384657594872027e+02,  5.4674209402455052e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3373708893915932e+02,  1.5455087828850703e-01,  2.9282091702554354e+01,  4.1695356199200022e+00,  2.3514135443607007e-02, -1.2051007192628120e-01,  6.3377950239875858e+01,  7.6283520446003550e-04, -1.4999999952896967e+04,  1.6160954192641908e-01,  2.6453075674378201e+00, -4.6160710200264816e-03, -2.3064057072678157e+00, -2.8303403533433982e-02,  4.9950049950049955e+00,  2.7323873900889811e-01, -4.9218933618829812e+00, -8.8710094574597298e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  2.1780617702615928e+02,  6.8132060624822861e+00, -8.8995566471794488e-12,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3373690600207590e+02,  1.9525546976390434e-01,  2.9285666075717881e+01,  4.7592140009867734e+00,  3.0551440759830368e-02, -1.3818428996528029e-01,  6.9715744836978971e+01,  9.8894585907591736e-04, -1.4999999925400854e+04,  2.0615080134866989e-01,  2.6455811571993744e+00, -5.9086888661429035e-03, -2.3447069102617655e+00, -3.6825570840445729e-02,  5.4945054945054945e+00,  2.7323873900889811e-01, -2.9073610545167679e+00, -8.1472279871540343e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  1.8550319090855723e+02,  7.6768989730378614e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3373668103880607e+02,  2.4114321977268005e-01,  2.9290054524973584e+01,  5.3438724392577353e+00,  3.8276780363170566e-02, -1.5585230742250164e-01,  7.6053539368330505e+01,  1.2522877516956388e-03, -1.4999999890180092e+04,  2.5655424411525424e-01,  2.6459303509136411e+00, -7.3776364902898173e-03, -2.3644948392261926e+00, -4.4581581329945531e-02,  5.9940059940059944e+00,  2.7323873900889811e-01, -1.1982306979734536e+00, -7.3536536771103711e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  1.5666470647141441e+02,  8.2104587140362835e+00, -8.8995566471794601e-12,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3373641103065188e+02,  2.9217338663129599e-01,  2.9295295072537805e+01,  5.9185971271608473e+00,  4.6590795668703798e-02, -1.7336707104531493e-01,  8.2391333834735917e+01,  1.5551254535778795e-03, -1.4999999846749497e+04,  3.1274441378726880e-01,  2.6463619815362267e+00, -9.0218948606079000e-03, -2.3686475835479484e+00, -5.1518185579926982e-02,  6.4935064935064934e+00,  2.7323873900889811e-01,  2.3874984445699340e-01, -6.5180495454776388e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.3101879812316093e+02,  8.5183360012508196e+00,  1.7799113294358872e-11,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3373609343922237e+02,  3.4827136266716757e-01,  2.9301413192696522e+01,  6.4793821600618218e+00,  5.5394563274428155e-02, -1.9060671862194253e-01,  8.8729128235586245e+01,  1.8997933352331406e-03, -1.4999999794807347e+04,  3.7460145883806006e-01,  2.6468819291784920e+00, -1.0839066211229900e-02, -2.3597246125637152e+00, -5.7604657344885880e-02,  6.9930069930069942e+00,  2.7323873900889811e-01,  1.4341581037948037e+00, -5.6594111846753814e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.0830193539626846e+02,  8.6716039820103568e+00, -1.7799113294358872e-11,  0.0000000000000000e+00
 1.4985014985014986e-01,  6.3373572618474816e+02,  4.0933499023343684e-01,  2.9308422563179466e+01,  7.0230193875342621e+00,  6.4591645570769907e-02, -2.0747176440421802e-01,  9.5066922568829455e+01,  2.2887271045846230e-03, -1.4999999734237530e+04,  4.4196963267079131e-01,  2.6474951288841559e+00, -1.2825613056107727e-02, -2.3399930759796206e+00, -6.2825700434423259e-02,  7.4925074925074933e+00,  2.7323873900889811e-01,  2.4159982220165985e+00, -4.7907742967445571e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  8.8262456271734280e+01,  8.7185065143648952e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 1.5984015984015984e-01,  6.3373530761938605e+02,  4.7524011014333589e-01,  2.9316325909982712e+01,  7.5469984366390630e+00,  7.4089393095191219e-02, -2.2388250957437764e-01,  1.0140471683090608e+02,  2.7244894916506148e-03, -1.4999999665108528e+04,  5.1466474580500976e-01,  2.6482055945730392e+00, -1.4977071261778330e-02, -2.3114529198161309e+00, -6.7176633961758117e-02,  7.9920079920079932e+00,  2.7323873900889811e-01,  3.2098272192963728e+00, -3.9211259156776473e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  7.0662108983676660e+01,  8.6918540745946373e+00, -8.8995566471794601e-12,  0.0000000000000000e+00
 1.6983016983016982e-01,  6.3373483649831405e+02,  5.4584541348459314e-01,  2.9325115896117328e+01,  8.0494162618694869e+00,  8.3799737683749514e-02, -2.3977667312178469e-01,  1.0774251101664071e+02,  3.2097907772732307e-03, -1.4999999587670050e+04,  5.9248066854688397e-01,  2.6490164532904483e+00, -1.7288239253322610e-02, -2.2758606640056671e+00, -7.0660117848364609e-02,  8.4915084915084922e+00,  2.7323873900889811e-01,  3.8388919183077661e+00, -3.0566945868246759e-01,  4.9999999999999979e+01,  0.0000000000000000e+00,  5.5276643758404262e+01,  8.6140611290418683e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.7982017982017981e-01,  6.3373431195036028e+02,  6.2099666346485516e-01,  2.9334776019637005e+01,  8.5288955696502473e+00,  9.3639639597260099e-02, -2.5510723358928944e-01,  1.1408030511909072e+02,  3.7475048014246476e-03, -1.4999999502347888e+04,  6.7519497595742317e-01,  2.6499299858227876e+00, -1.9753345344874371e-02, -2.2347517825872045e+00, -7.3283915853515708e-02,  8.9910089910089912e+00,  2.7323873900889811e-01,  4.3242693862425829e+00, -2.2018197875501824e-01,  5.0000000000000085e+01,  0.0000000000000000e+00,  4.1895925322147278e+01,  8.5005323524334120e+00,  3.5598226588717743e-11,  0.0000000000000000e+00
