#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -1.5536174928824481e+01, -1.9951396598717058e-01,  2.5517112900644446e+02, -9.0438656563662789e-09,  2.3193677806496225e+02, -5.5238832462508810e+01, -3.2142242308451596e+03, -1.9115968252769733e-05
 1.0000000000000000e-02,  6.3373754814529013e+02,  2.5668639076255883e-05,  2.9274151107891718e+01,  2.3430669229213913e-02, -8.6779700121141458e-05, -1.8282638116383899e-04,  6.3441331553769658e+00, -7.0968439044820293e-08, -1.5000000000041931e+04,  7.9119399316324905e-05,  2.6447771588343341e+00, -6.3052243123727806e-07, -1.5536174928824481e-01,  3.6616936412876132e-02,  2.5517112900644445e+00,  2.7323873891845946e-01, -1.4376491038499669e+01, -4.7570812829971465e-01,  2.3910000785221865e+02, -1.0462370692021494e-07,  2.3193677806496225e+02, -5.5238832462508810e+01, -3.2142242308451596e+03, -1.9115968252769733e-05
 2.0000000000000000e-02,  6.3373755915889637e+02,  2.6586139164800081e-04,  2.9274090469307410e+01,  8.8464736810890662e-02, -3.5099537787007437e-04, -6.2267692530326116e-04,  1.2688266350334182e+01, -6.0716563117451879e-07, -1.5000000000343067e+04,  6.0679750112045813e-04,  2.6447751306918401e+00, -4.5085045697120837e-06, -2.8752982076999339e-01,  2.9097913506753545e-02,  4.7820001570443731e+00,  2.7323873691642397e-01, -1.2169373916086728e+01, -8.8313032837722760e-01,  2.0312809304966078e+02, -5.4059890453039838e-07,  2.0948664641762656e+02, -2.6245607552993775e+01, -3.9801587296664225e+03, -6.8079071269266960e-05
 2.9999999999999999e-02,  6.3373758542671237e+02,  9.3484534143330905e-04,  2.9273967982436854e+01,  1.8788897522416242e-01, -7.8813819192918291e-04, -1.1760897448280473e-03,  1.9032399686650685e+01, -2.1219158559083450e-06, -1.5000000001150478e+04,  1.9621925944822084e-03,  2.6447695877575561e+00, -1.3468954992970072e-05, -3.9874922760997933e-01,  1.8954329845331581e-02,  6.6142731510576596e+00,  2.7323872810648137e-01, -1.0194005038622327e+01, -1.0536608948082278e+00,  1.6646194430847694e+02, -1.5424137828068396e-06,  1.8558712907525310e+02, -7.8605057332063044e+00, -3.3530710185703415e+03, -1.3228390438602133e-04
 4.0000000000000001e-02,  6.3373762935558318e+02,  2.2025259025395165e-03,  2.9273767677464914e+01,  3.1532330376266093e-01, -1.3887144498407914e-03, -1.7230274641992841e-03,  2.5376533298616906e+01, -5.0948708182768857e-06, -1.5000000002687068e+04,  4.4566199122819698e-03,  2.6447588436756133e+00, -2.8029279906332181e-05, -4.9140992154243995e-01,  8.0246956105889892e-03,  8.1112390432139119e+00,  2.7323870606814832e-01, -8.4502744912174279e+00, -1.0888552400483524e+00,  1.3677679852787782e+02, -3.2005349592800765e-06,  1.6315898040572645e+02,  8.2163668518129385e-01, -2.5839581375494790e+03, -1.9934033090862605e-04
 5.0000000000000003e-02,  6.3373769160865447e+02,  4.1964838944123523e-03,  2.9273475169768584e+01,  4.6514705573052090e-01, -2.1395183397368792e-03, -2.1640984569835549e-03,  3.1720667327632263e+01, -9.9509554537567564e-06, -1.5000000005146721e+04,  8.3415000066522169e-03,  2.6447413289890189e+00, -4.7611397708470095e-05, -5.6775471743432793e-01, -2.8227749556354728e-03,  9.3498091216152162e+00,  2.7323866409578218e-01, -6.9198342487639382e+00, -1.0614362128768986e+00,  1.1390715533407986e+02, -5.5176506669196721e-06,  1.4292906808497213e+02,  4.6621687491095658e+00, -1.9899705012101172e+03, -2.6408281061929284e-04
 5.9999999999999998e-02,  6.3373777215865630e+02,  7.0076190648743668e-03,  2.9273077933815387e+01,  6.3242951360849220e-01, -3.0243581598536360e-03, -2.4183187807099568e-03,  3.8064801911545842e+01, -1.7058819914136539e-05, -1.5000000008690866e+04,  1.3815593596221722e-02,  2.6447156221381873e+00, -7.0737219344832984e-05, -6.2980660651771869e-01, -1.3204028646948978e-02,  1.0389382149895509e+01,  2.7323859571513498e-01, -5.5809835866582933e+00, -1.0064578168155505e+00,  9.6121318884862617e+01, -8.4624092622220798e-06,  1.2484106433615632e+02,  6.3335104631599748e+00, -1.5671967886333241e+03, -3.2486890844118916e-04
 7.0000000000000007e-02,  6.3373787071827542e+02,  1.0695902922563614e-02,  2.9272565473095263e+01,  8.1286520760186298e-01, -4.0249565833964038e-03, -2.4210770154980883e-03,  4.4408937181206007e+01, -2.6726429445102026e-05, -1.5000000013445813e+04,  2.1031565991506778e-02,  2.6446804740676049e+00, -9.5202679854789097e-05, -6.7937438916749382e-01, -2.2951931291946486e-02,  1.1272235499312469e+01,  2.7323849484759694e-01, -4.4133196159889083e+00, -9.3971601512554659e-01,  8.1954968448711782e+01, -1.1993755982819819e-05,  1.0869172979772074e+02,  7.0148498748407730e+00, -1.2660732985968432e+03, -3.8140043567835830e-04
 8.0000000000000002e-02,  6.3373798689250600e+02,  1.5295432760149150e-02,  2.9271929401850493e+01,  1.0027138170292382e+00, -5.1217753559773711e-03, -2.1222435612579553e-03,  5.0753073259767085e+01, -3.9192465075316996e-05, -1.5000000019501089e+04,  3.0101928259302531e-02,  2.6446348243686151e+00, -1.1823219827597758e-04, -7.1807299883749687e-01, -3.1998348949459916e-02,  1.2028481518869745e+01,  2.7323835584001532e-01, -3.3984699261306388e+00, -8.6853278210448071e-01,  7.0391658513951711e+01, -1.6069894909209743e-05,  9.4278208173933606e+01,  7.2217967293725511e+00, -1.0465886883551800e+03, -4.3382734959962520e-04
 8.9999999999999997e-02,  6.3373812022505990e+02,  2.0818778494079926e-02,  2.9271163458771621e+01,  1.1987444639246398e+00, -6.2947080948769158e-03, -1.4844276671659969e-03,  5.7097210262920186e+01, -5.4615701571115890e-05, -1.5000000026908696e+04,  4.1104400293508994e-02,  2.6445778096753374e+00, -1.3661493604682213e-04, -7.4734378769010656e-01, -4.0322586934036092e-02,  1.2680068669591503e+01,  2.7323817344969875e-01, -2.5199724891391324e+00, -7.9647577035732664e-01,  6.0748434722500811e+01, -2.0651085455569703e-05,  8.1421279224367339e+01,  7.1896056200581420e+00, -8.8205606993499293e+02, -4.8241075967236902e-04
