#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -4.6620467075830774e+01,  7.2339701258114841e-02,  9.9999999999999986e+01,  0.0000000000000000e+00,  6.9177207701135706e+02, -7.6015744377979289e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754603350676e+02,  4.6786481712082431e-04,  2.9274139908859706e+01,  7.0557403623219023e-02, -1.1891033408129800e-04, -1.8375999560012850e-03,  6.3377953522773529e+00,  9.3589852315820707e-07, -1.5000000000084487e+04,  2.3785833327454896e-04,  2.6447769427504979e+00, -6.2026505625755419e-06, -4.6573893182648124e-01,  3.9334750410990743e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -4.3165062095754067e+01, -3.0735932160891455e-01,  9.9999999999999986e+01,  0.0000000000000000e+00,  6.9177207701135706e+02, -7.6015744377979289e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373754283616222e+02,  2.5100090836087888e-03,  2.9274132246693103e+01,  2.6621175766984950e-01,  5.6537994094667970e-05, -6.9525060784585120e-03,  1.2675590676298000e+01,  7.1930768452388679e-06, -1.5000000000347804e+04,  1.8233255352156765e-03,  2.6447761003585342e+00, -4.7669099817422970e-05, -8.6243880311196930e-01,  3.2471030685956338e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -3.6562503415424786e+01, -9.7005467494735764e-01,  1.0000000000000001e+02,  0.0000000000000000e+00,  6.3006017079056585e+02, -5.6655865360376971e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373753215640625e+02,  6.9518163540432734e-03,  2.9274296460736505e+01,  5.6474452471225589e-01,  1.1790460497520929e-03, -1.4745920651296526e-02,  1.9013385965724563e+01,  2.3291018082039268e-05, -1.5000000000120577e+04,  5.8917683940902642e-03,  2.6447813038981103e+00, -1.5417626995470077e-04, -1.1962584805862171e+00,  1.9953038623830754e-02,  2.9970029970029968e+00,  2.7323873900889811e-01, -3.0587934830254966e+01, -1.4246564728280036e+00,  9.9999999999999986e+01,  0.0000000000000000e+00,  5.6604845996043082e+02, -3.4355414575328368e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373750733187717e+02,  1.4455322605223723e-02,  2.9274809069651418e+01,  9.4634263707476196e-01,  3.6411580755639056e-03, -2.4637664449116400e-02,  2.5351181233884468e+01,  5.2949934016073818e-05, -1.4999999998077608e+04,  1.3368882896568084e-02,  2.6448042143916410e+00, -3.4958072927085496e-04, -1.4735863521680126e+00,  4.0063658941880331e-03,  3.9960039960039957e+00,  2.7323873900889811e-01, -2.5249359748455628e+01, -1.6805470973762391e+00,  9.9999999999999972e+01,  0.0000000000000000e+00,  5.0273427141579555e+02, -1.6873888459228457e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373746092992724e+02,  2.5536734158557874e-02,  2.9275844504138561e+01,  1.3935536321891051e+00,  7.5966140122413761e-03, -3.6088864639835551e-02,  3.1688976505412533e+01,  9.9193270341375503e-05, -1.4999999992567984e+04,  2.4994555696779271e-02,  2.6448591969121655e+00, -6.5212092054193983e-04, -1.7007411928430729e+00, -1.3624325959111096e-02,  4.9950049950049946e+00,  2.7323873900889811e-01, -2.0526294306809028e+01, -1.7915961568855683e+00,  1.0000000000000001e+02,  0.0000000000000000e+00,  4.4282343000185529e+02, -5.3581332545391014e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373738571821980e+02,  4.0584028641174649e-02,  2.9277561047336444e+01,  1.8911542483802042e+00,  1.3031973841540364e-02, -4.8613265789423050e-02,  3.8026771809853003e+01,  1.6446211394016946e-04, -1.4999999981880976e+04,  4.1345830920802018e-02,  2.6449612886545184e+00, -1.0748890400054632e-03, -1.8837021225338273e+00, -3.1789761116512626e-02,  5.9940059940059935e+00,  2.7323873900889811e-01, -1.6378588377043290e+01, -1.8099501161366236e+00,  1.0000000000000001e+02,  0.0000000000000000e+00,  3.8754729713724447e+02,  1.6836706124777145e+00,  8.8995566471794488e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373727528041013e+02,  5.9873403379102685e-02,  2.9280094009661106e+01,  2.4259675602345419e+00,  1.9831739348000515e-02, -6.1779625370843728e-02,  4.4364567178732194e+01,  2.5072882834850478e-04, -1.4999999964424263e+04,  6.2858267186223296e-02,  2.6451248747967289e+00, -1.6263670954623757e-03, -2.0279857158609209e+00, -4.9787165442360323e-02,  6.9930069930069934e+00,  2.7323873900889811e-01, -1.2758501887297884e+01, -1.7722386801899619e+00,  9.9999999999999972e+01,  0.0000000000000000e+00,  3.3719401810978582e+02,  5.8661588640439524e+00, -1.7799113294358898e-11,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373712433833862e+02,  8.3584230902255779e-02,  2.9283552612691526e+01,  2.9866663345328588e+00,  2.7822969424010646e-02, -7.5209571053033719e-02,  5.0702362645141598e+01,  3.5960247761584525e-04, -1.4999999938833431e+04,  8.9845375201091662e-02,  2.6453629109049652e+00, -2.3109618553519280e-03, -2.1386172451571617e+00, -6.7199125356072309e-02,  7.9920079920079914e+00,  2.7323873900889811e-01, -9.6174448652851563e+00, -1.7013954004164713e+00,  1.0000000000000004e+02,  0.0000000000000000e+00,  2.9164559769716391e+02,  8.3166657466090772e+00,  1.7799113294358920e-11,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373692888519633e+02,  1.1181250676547469e-01,  2.9288018843637477e+01,  3.5635816410790957e+00,  3.6802911078879258e-02, -8.8573624232646628e-02,  5.7040158244617437e+01,  4.9242320252791162e-04, -1.4999999904036031e+04,  1.2251610863177201e-01,  2.6456864978615067e+00, -3.1295092550154067e-03, -2.2201424564260588e+00, -8.3781079536595499e-02,  8.9910089910089912e+00,  2.7323873900889811e-01, -6.9087247906497726e+00, -1.6112604417645662e+00,  1.0000000000000006e+02,  0.0000000000000000e+00,  2.5064016124483868e+02,  9.7283529755021263e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
