#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359361901936757e+02,  1.1072595549860857e+00,  3.2220406719251628e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01,  0.0000000000000000e+00,  3.5448721816377924e-06, -1.6666666666666668e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -2.3716236723622776e-03,  6.6733333333333321e+03,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3359362069079475e+02,  1.1063854378058298e+00,  3.2220401520827927e+01, -8.4005464588506364e-03, -5.0114190767002775e-05,  6.7441631178531544e-03,  6.3377857088808778e+00,  1.1059000744374681e-02, -1.5000000000002823e+04, -4.0495705890603658e-05,  2.9111789742666967e+00,  3.5854813867470046e-05,  0.0000000000000000e+00, -1.6423525757296991e+00, -1.6650016650016652e-01,  2.7328816364904313e-01,  0.0000000000000000e+00, -8.3013999080838723e-06,  1.6666666666666661e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -2.3716236723622776e-03,  6.6733333333333321e+03,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3359362352708933e+02,  1.1046139992323187e+00,  3.2220403865487519e+01, -1.6655203638647496e-02,  6.2273481133289978e-06,  1.4331129644509678e-02,  1.2675571424423975e+01,  2.2113461669947793e-02, -1.5000000000066133e+04, -1.6041003144652281e-04,  2.9111785145369580e+00,  1.3914565407509912e-04,  0.0000000000000000e+00, -1.6423527770051436e+00,  3.3300033300033288e-01,  2.7328816364904313e-01,  0.0000000000000000e+00,  9.6699504246289282e-06,  8.3333333333333357e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  5.9694880089713812e-03, -8.3416666666666679e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3359362695985510e+02,  1.1017589425646885e+00,  3.2220432791734225e+01, -2.4753147628172923e-02,  1.4768661769226979e-04,  2.2755407143658615e-02,  1.9013357150708636e+01,  3.3161266440006498e-02, -1.4999999999985352e+04, -3.5808233779299693e-04,  2.9111795256998443e+00,  3.2676975677276070e-04,  0.0000000000000000e+00, -1.6423523825238964e+00,  0.0000000000000000e+00,  2.7328816364904313e-01,  0.0000000000000000e+00,  5.6913826846549666e-05, -4.1666666666666664e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.4887360506971523e-03, -1.6683333333333353e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3359363269167818e+02,  1.0983879409279196e+00,  3.2220432371590150e+01, -3.2413040568039404e-02, -2.7024963387852423e-06,  2.8613875097816054e-02,  2.5351142884625510e+01,  4.4203998835750671e-02, -1.4999999999917676e+04, -6.3082988124756446e-04,  2.9111805219003415e+00,  5.8582894411351267e-04,  0.0000000000000000e+00, -1.6423516398657461e+00, -4.9950049950049957e-01,  2.7328816364904313e-01,  0.0000000000000000e+00,  2.2454762545809356e-05, -2.5000000000000000e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.0387440723705357e-02,  5.0049999999999991e+03,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3359364212209516e+02,  1.0946803289334222e+00,  3.2220373622433293e+01, -3.9720040289506334e-02, -3.8527715344073712e-04,  3.2756366290352952e-02,  3.1688928621432225e+01,  5.5244824204433295e-02, -1.5000000000198386e+04, -9.7564299216264998e-04,  2.9111783138252210e+00,  8.9066615194689325e-04,  0.0000000000000000e+00, -1.6423519338772921e+00, -4.9950049950049957e-01,  2.7328816364904313e-01,  0.0000000000000000e+00, -1.1131838811153651e-04,  2.4999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6393944037895285e-02,  5.0049999999999991e+03,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3359365287857770e+02,  1.0901701176244740e+00,  3.2220312849691275e+01, -4.6958376723835286e-02, -5.2944228186854790e-04,  3.8569450923136836e-02,  3.8026714362071985e+01,  6.6283209425598552e-02, -1.5000000000762322e+04, -1.3905923104995919e-03,  2.9111734813922245e+00,  1.2453007006080364e-03,  0.0000000000000000e+00, -1.6423538640093647e+00, -2.9817700138720470e-16,  2.7328816364904313e-01,  0.0000000000000000e+00, -2.3733546670696710e-04,  5.0000000000000007e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -8.8346750969099351e-03,  7.2308897758333016e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3359366391458479e+02,  1.0845200961909567e+00,  3.2220285466692744e+01, -5.4188254569443289e-02, -3.8001339469234273e-04,  4.6899342650765168e-02,  4.4364500110530486e+01,  7.7316508994721908e-02, -1.5000000001319748e+04, -1.8742299855924933e-03,  2.9111687328853155e+00,  1.6706729345385069e-03,  0.0000000000000000e+00, -1.6423566758446588e+00,  4.9950049950049968e-01,  2.7328816364904313e-01,  0.0000000000000000e+00, -2.5713792573592851e-04,  5.0000000000000007e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.8702227993118680e-03, -7.4375148592595283e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3359367483814754e+02,  1.0774521393365517e+00,  3.2220313043062532e+01, -6.1393854129247034e-02, -1.0689585618725663e-06,  5.7742395317187181e-02,  5.0702285874224643e+01,  8.8341544798713340e-02, -1.5000000001595265e+04, -2.4251168110898808e-03,  2.9111666849789177e+00,  2.1919417679494902e-03,  0.0000000000000000e+00, -1.6423590016302585e+00,  9.9900099900099892e-01,  2.7328816364904313e-01,  0.0000000000000000e+00, -1.2883152412169758e-04,  4.1666666666666664e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.0816718803857201e-02, -1.6683333333333342e+03,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3359368560630276e+02,  1.0686889337405132e+00,  3.2220409671557256e+01, -6.8556896672393647e-02,  5.4185053014645199e-04,  7.1092747517996685e-02,  5.7040071663134540e+01,  9.9355136092782084e-02, -1.5000000001388209e+04, -3.0416455885182844e-03,  2.9111693081281445e+00,  2.8342185563524935e-03,  0.0000000000000000e+00, -1.6423592499010848e+00,  1.3320013320013318e+00,  2.7328816364904313e-01,  0.0000000000000000e+00,  1.5143795143826019e-04, -2.2226664952995630e-14,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.5293230203246345e-02, -6.6733333333333321e+03,  0.0000000000000000e+00
