#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -8.0000000000000000e+01, -1.3765550953328869e+00,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.6436633992952630e+02,  2.5639803370631768e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9800399201596807e-03,  6.3373754570528956e+02,  8.4298703261404873e-04,  2.9274295840585470e+01,  1.1787107532611177e-01,  8.8190022460381105e-04, -3.2793129746334607e-03,  6.3314702312822684e+00,  1.7331587891133553e-06, -1.4999999999675589e+04,  3.9236969183344578e-04,  2.6447804186539865e+00, -1.0920122153555419e-05, -7.9840319361277445e-01,  2.4874001269026412e-02,  4.9900199600798401e-01,  2.7323873900889811e-01, -7.9179808682986391e+01, -1.2486119647409117e+00,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.6436633992952630e+02,  2.5639803370631768e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9960079840319361e-02,  6.3373753438914218e+02,  4.6563583795449339e-03,  2.9274769877017789e+01,  4.6784431896019696e-01,  3.2882890614629569e-03, -1.3122493613541722e-02,  1.2662940547304732e+01,  1.3904257288357734e-05, -1.4999999997558189e+04,  3.1207775964439896e-03,  2.6448001049912251e+00, -8.7381424118841063e-05, -1.5804353030536207e+00,  1.3689681566941215e-02,  9.9800399201596801e-01,  2.7323873900889811e-01, -6.9183900983156079e+01, -1.0059139855719974e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  1.8388135631164694e+03,  2.2996871654818648e+01, -1.1146683576157558e-12,  0.0000000000000000e+00
 2.9940119760479042e-02,  6.3373750123281161e+02,  1.3141461871831558e-02,  2.9275695552460665e+01,  1.0153769469168230e+00,  6.8741562057001064e-03, -2.8710028955972033e-02,  1.8994410969044761e+01,  4.6652532260275337e-05, -1.4999999992256857e+04,  1.0375004745344904e-02,  2.6448499937456211e+00, -2.9226398926244102e-04, -2.1793193809013189e+00,  4.7958778045154860e-03,  1.4970059880239519e+00,  2.7323873900889811e-01, -4.9855514593612483e+01, -7.8991361089351475e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.0345950693480677e+03,  2.0289603430749260e+01,  2.2293367152315115e-12,  0.0000000000000000e+00
 3.9920159680638723e-02,  6.3373743864035521e+02,  2.7436006377358747e-02,  2.9277146457809994e+01,  1.6962592109234658e+00,  1.1321722846218912e-02, -4.8345934166925404e-02,  2.5325881466044223e+01,  1.0809649201340520e-04, -1.4999999982762494e+04,  2.3803316302457363e-02,  2.6449403074063449e+00, -6.7448157482626568e-04, -2.5755553548223329e+00, -2.0770571734483028e-03,  1.9960079840319360e+00,  2.7323873900889811e-01, -3.0376059427826803e+01, -5.9945778909832859e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  1.8690877458753826e+03,  1.7877743257006067e+01,  2.2293367152315115e-12,  0.0000000000000000e+00
 4.9900199600798403e-02,  6.3373734236948167e+02,  4.8189821662377869e-02,  2.9279164702994944e+01,  2.4500948758962511e+00,  1.6352148225213851e-02, -7.0399813291849911e-02,  3.1657351978904781e+01,  2.0396012779047318e-04, -1.4999999968399745e+04,  4.4428497887456418e-02,  2.6450783709757291e+00, -1.2661887584361365e-03, -2.7856279523150276e+00, -7.1693475267884778e-03,  2.4950099800399204e+00,  2.7323873900889811e-01, -1.2888355457612509e+01, -4.3144059755350833e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.6354481297555621e+03,  1.5792901928575912e+01, -4.4586734304630231e-12,  0.0000000000000000e+00
 5.9880239520958084e-02,  6.3373721101127092e+02,  7.5621864574901804e-02,  2.9281764382890572e+01,  3.2237745702887897e+00,  2.1723625468353228e-02, -9.3408374537548064e-02,  3.7988822438775401e+01,  3.3782055104507769e-04, -1.4999999948788758e+04,  7.2706133762706862e-02,  2.6452690103398395e+00, -2.0840164047151483e-03, -2.8328079587666943e+00, -1.0688645946971423e-02,  2.9940119760479043e+00,  2.7323873900889811e-01,  2.0518386644295159e+00, -2.8275073803849599e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.3585667723016597e+03,  1.4004545918232562e+01,  4.4586734304630231e-12,  0.0000000000000000e+00
 6.9860279441117765e-02,  6.3373704543802614e+02,  1.0958734413649644e-01,  2.9284935477943268e+01,  3.9729171075041529e+00,  2.7228568953447441e-02, -1.1612123123750998e-01,  4.4320292782994855e+01,  5.1143719694012523e-04, -1.4999999923812851e+04,  1.0860506464136646e-01,  2.6455149029021907e+00, -3.1309859390354416e-03, -2.7446730887535602e+00, -1.2813074832946083e-02,  3.4930139720558886e+00,  2.7323873900889811e-01,  1.4125525674583706e+01, -1.5074666039340570e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.0610001045332403e+03,  1.2449071241843537e+01, -8.9173468609260461e-12,  0.0000000000000000e+00
 7.9840319361277445e-02,  6.3373684824749546e+02,  1.4965153832000402e-01,  2.9288648036501417e+01,  4.6625901464129660e+00,  3.2690588973295125e-02, -1.3752731474269358e-01,  5.0651762966438945e+01,  7.2511586119727324e-04, -1.4999999893591325e+04,  1.5169854646990055e-01,  2.6458168784226155e+00, -4.3987867731154623e-03, -2.5508613385155225e+00, -1.3697561324085309e-02,  3.9920159680638720e+00,  2.7323873900889811e-01,  2.3223459658779529e+01, -3.3496952035650174e-02,  4.9999999999999986e+01,  0.0000000000000000e+00,  7.6222586589960258e+02,  1.1047770313050671e+01,  8.9173468609260461e-12,  0.0000000000000000e+00
 8.9820359281437126e-02,  6.3373662323639508e+02,  1.9516523837605598e-01,  2.9292856439409789e+01,  5.2674059886070088e+00,  3.7961507012685025e-02, -1.5686405923684435e-01,  5.6983232968486035e+01,  9.7808234790088900e-04, -1.4999999858456253e+04,  2.0125938920190165e-01,  2.6461741758114998e+00, -5.8702327815119840e-03, -2.2811309797958850e+00, -1.3481676669985008e-02,  4.4910179640718564e+00,  2.7323873900889811e-01,  2.9413190768032884e+01,  7.0140079988045306e-02,  5.0000000000000028e+01,  0.0000000000000000e+00,  4.7819624839477018e+02,  9.7210909044979026e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9800399201596807e-02,  6.3373637492667115e+02,  2.4533760003456617e-01,  2.9297503508135161e+01,  5.7711023018916823e+00,  4.2918606540821504e-02, -1.7361199080816700e-01,  6.3314702795894654e+01,  1.2688445542871527e-03, -1.4999999818931632e+04,  2.5635338636524962e-01,  2.6465846661155630e+00, -7.5217374455499040e-03, -1.9637717024270418e+00, -1.2297559727517539e-02,  4.9900199600798407e+00,  2.7323873900889811e-01,  3.2902599298361011e+01,  1.6100219858090800e-01,  3.0096874787515713e+01,  0.0000000000000000e+00,  2.2108122108298662e+02,  8.4876776615117837e+00, -3.9885862925818574e+03,  0.0000000000000000e+00
 1.0978043912175649e-01,  6.3373610822278636e+02,  2.9931863458800922e-01,  2.9302534108210672e+01,  6.1656760639024251e+00,  4.7526189606319831e-02, -1.8753648201621365e-01,  6.9646172483949485e+01,  1.5955674680773273e-03, -1.4999999775689796e+04,  3.1592632076167193e-01,  2.6470452465925391e+00, -9.3258522871194904e-03, -1.6243924708465634e+00, -1.0268059931843132e-02,  5.0917539877747648e+00,  2.7323873900889811e-01,  3.4000156530951415e+01,  2.4348923193486269e-01, -1.9903125212484273e+01,  0.0000000000000000e+00, -1.1307516718696442e+00,  8.0427238226207329e+00, -6.0314137074181408e+03,  0.0000000000000000e+00
 1.1976047904191617e-01,  6.3373582594843924e+02,  3.5632775454773619e-01,  2.9307944849147670e+01,  6.4501861734583921e+00,  5.2051165923034881e-02, -1.9888505555660932e-01,  7.5977642101474743e+01,  1.9567659235055542e-03, -1.4999999729307774e+04,  3.7888025479192478e-01,  2.6475538634495064e+00, -1.1255137397188609e-02, -1.2851258634858957e+00, -7.4374952178396410e-03,  4.5927519917667814e+00,  2.7323873900889811e-01,  3.3080125967669154e+01,  3.2525022267548664e-01, -4.9999999999999979e+01,  0.0000000000000000e+00, -1.8324337320990242e+02,  8.3421787218002805e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.2974051896207583e-01,  6.3373552673291147e+02,  4.1559409743082854e-01,  2.9313719211654210e+01,  6.6299449964619317e+00,  5.6469533126649381e-02, -2.0784609726036532e-01,  8.2309111726426394e+01,  2.3517393617170828e-03, -1.4999999680193410e+04,  4.4413973852919908e-01,  2.6481101151044926e+00, -1.3284859139545937e-02, -9.6411051540406578e-01, -3.7760395191587712e-03,  4.0937499957587979e+00,  2.7323873900889811e-01,  3.0558923811606356e+01,  4.0628064722268659e-01, -5.0000000000000028e+01,  0.0000000000000000e+00, -3.2200553886507771e+02,  7.8963183574586475e+00, -1.7834693721852092e-11,  0.0000000000000000e+00
 1.3972055888223553e-01,  6.3373520908042019e+02,  4.7639556603188526e-01,  2.9319815072166445e+01,  6.7149416915175708e+00,  6.0632112774223174e-02, -2.1462801904634901e-01,  8.8640581407277210e+01,  2.7801813683266023e-03, -1.4999999628945767e+04,  5.1070703380300042e-01,  2.6487122906705070e+00, -1.5392005244914270e-02, -6.7516730437199646e-01,  6.7189893830180895e-04,  3.5947479997508127e+00,  2.7323873900889811e-01,  2.6866256755337091e+01,  4.7894179600825509e-01, -5.0000000000000028e+01,  0.0000000000000000e+00, -4.1800493921127406e+02,  6.6649758591693820e+00,  8.9173468609260203e-12,  0.0000000000000000e+00
 1.4970059880239522e-01,  6.3373487229056957e+02,  5.3810873168949880e-01,  2.9326178370766822e+01,  6.7183611115629267e+00,  6.4399476577532228e-02, -2.1953282840364063e-01,  9.4972051159137095e+01,  3.2422578425889310e-03, -1.4999999576381708e+04,  5.7770103521910732e-01,  2.6493571486973306e+00, -1.7556169475459370e-02, -4.2785788555701737e-01,  5.7836769680319616e-03,  3.0957460037428279e+00,  2.7323873900889811e-01,  2.2414767278185064e+01,  5.3609465524749245e-01, -5.0000000000000007e+01,  0.0000000000000000e+00, -4.7407355200999876e+02,  4.7884571323736340e+00,  1.3376020291389069e-11,  0.0000000000000000e+00
 1.5968063872255489e-01,  6.3373451660809394e+02,  6.0022530246847039e-01,  2.9332745285146352e+01,  6.6552916913424029e+00,  6.7650527984267364e-02, -2.2292154072542200e-01,  1.0130352096593664e+02,  3.7386900166544740e-03, -1.4999999523514076e+04,  6.4438258486480460e-01,  2.6500400774325659e+00, -1.9760318223693635e-02, -2.2776675989724474e-01,  1.1372391059010240e-02,  2.5967440077348445e+00,  2.7323873900889811e-01,  1.7580894791825116e+01,  5.7217339128167866e-01, -5.0000000000000014e+01,  0.0000000000000000e+00, -4.9463449425654011e+02,  2.4417215688771430e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.6966067864271456e-01,  6.3373414325823956e+02,  6.6235937411272061e-01,  2.9339444839572636e+01,  6.5415726406912951e+00,  7.0289157260986709e-02, -2.2518330003012510e-01,  1.0763499078517660e+02,  4.2707912819981830e-03, -1.4999999471518204e+04,  7.1016756593620767e-01,  2.6507553363048486e+00, -2.1991226162540966e-02, -7.6941821847933661e-02,  1.7204303540520542e-02,  2.0977420117268610e+00,  2.7323873900889811e-01,  1.2691637965655399e+01,  5.8344035083923995e-01, -5.0000000000000000e+01,  0.0000000000000000e+00, -4.8517257370786848e+02, -1.8382287354169485e-01, -1.3376020291389069e-11,  0.0000000000000000e+00
