#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3386642857294714e+02,  0.0000000000000000e+00,  2.6336389712955057e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.3792024610672868e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.7125579400102788e+00,  0.0000000000000000e+00,  2.7643094090305798e-01, -7.9999999999999986e+01,  1.7407096508658777e+00, -4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.9450849598536159e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3386642555233846e+02,  6.9742938326171268e-04,  2.6336213757904574e+01,  1.1809610518431486e-01, -9.5488908119449839e-04, -2.0660876925063252e-03,  6.3377953221237568e+00,  1.4639804131136213e-06, -1.5000000000475811e+04,  3.9373038231296618e-04,  2.3791992013057275e+00, -6.8872543670224102e-06, -7.9920079920079912e-01,  1.7299476468121358e+00, -4.9950049950049946e-01,  2.7643094090305798e-01, -7.9999999999999986e+01,  1.4937024101139487e+00, -4.9999999999999993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.9450849598536159e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3386642744942196e+02,  3.8172337073594151e-03,  2.6335614281876353e+01,  4.6873955408216511e-01, -3.4439526202675614e-03, -8.2615311027114582e-03,  1.2675590468254054e+01,  1.1746938677686226e-05, -1.5000000003545625e+04,  3.1316227766843398e-03,  2.3791782894042326e+00, -5.5076066928195793e-05, -1.5984015984015982e+00,  1.7424021440085595e+00, -9.9900099900099892e-01,  2.7643094090305798e-01, -8.0000000000000014e+01,  1.0229430489686602e+00, -5.0000000000000007e+01,  0.0000000000000000e+00, -3.3373337426922955e-12, -4.4795174502750669e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3386644867103007e+02,  1.0893330950933299e-02,  2.6334521450288360e+01,  1.0465758265160328e+00, -6.9542567900598940e-03, -1.8598275265523413e-02,  1.9013385370220639e+01,  3.9812516087190796e-05, -1.5000000011122780e+04,  1.0508241623687442e-02,  2.3791270217571108e+00, -1.8590151219543099e-04, -2.3976023976023977e+00,  1.7503860693689521e+00, -1.4985014985014984e+00,  2.7643094090305798e-01, -8.0000000000000014e+01,  5.9748856311469922e-01, -4.9999999999999993e+01,  0.0000000000000000e+00,  2.2248891617948630e-12, -4.0380813565212286e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3386650114950373e+02,  2.3451608134851948e-02,  2.6332910168440861e+01,  1.8463975798971057e+00, -1.1031229829757317e-02, -3.3107704545947164e-02,  2.5351180072810568e+01,  9.4912265216179641e-05, -1.5000000024440886e+04,  2.4765388699205713e-02,  2.3790375647958442e+00, -4.4092860210948504e-04, -3.1968031968031969e+00,  1.7543399774374246e+00, -1.9980019980019978e+00,  2.7643094090305798e-01, -8.0000000000000014e+01,  2.1558271030364237e-01, -4.9999999999999986e+01,  0.0000000000000000e+00, -4.4497783235897244e-12, -3.6076738167561274e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3386659455489576e+02,  4.3011852087488006e-02,  2.6330791428322357e+01,  2.8631408380059109e+00, -1.5279958447804493e-02, -5.1838070686016834e-02,  3.1688974728673436e+01,  1.8672289463164918e-04, -1.5000000044121853e+04,  4.8093546669637360e-02,  2.3789064061676628e+00, -8.6214097772785642e-04, -3.9960039960039966e+00,  1.7546934162281658e+00, -2.4975024975024973e+00,  2.7643094090305798e-01, -7.0592719565368640e+01, -1.2488920961720405e-01, -5.0000000000000007e+01,  0.0000000000000000e+00,  1.8833375430132107e+03, -3.2085740200592177e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3386673536123351e+02,  7.0975794518252061e-02,  2.6328204088107885e+01,  4.0743661622857648e+00, -1.9373106565909081e-02, -7.4407365807154999e-02,  3.8026769590275464e+01,  3.2527445647473834e-04, -1.5000000070243141e+04,  8.2589226190773135e-02,  2.3787337925217740e+00, -1.4909894406125352e-03, -4.6072471441632095e+00,  1.7518446885339840e+00, -2.9970029970029968e+00,  2.7643094090305798e-01, -3.8623608398371154e+01, -4.2864727200079022e-01, -5.0000000000000007e+01,  0.0000000000000000e+00,  4.5168785126196817e+03, -2.8726623888601793e+01, -4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3386692128098264e+02,  1.0790480560544624e-01,  2.6325208583748978e+01,  5.3714732874499687e+00, -2.3078249748217063e-02, -9.8227491606696415e-02,  4.4364564964062943e+01,  5.1856412131416033e-04, -1.5000000102377458e+04,  1.2971921037006437e-01,  2.3785229460423922e+00, -2.3547573989755144e-03, -4.7677044635039199e+00,  1.7461290351692089e+00, -3.4965034965034967e+00,  2.7643094090305798e-01,  3.2349015801217207e+00, -6.9835713678887446e-01, -4.9999999999999986e+01,  0.0000000000000000e+00,  3.8631951850745904e+03, -2.5269291041972647e+01,  8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3386714364313002e+02,  1.5333951004452392e-01,  2.6321876596167527e+01,  6.6271402213681672e+00, -2.6218304270631643e-02, -1.2015529237831558e-01,  5.0702361137965283e+01,  7.6958385046258567e-04, -1.5000000139627060e+04,  1.8968494835756386e-01,  2.3782792226123348e+00, -3.4498800269980403e-03, -4.5426137459589793e+00,  1.7378914989877527e+00, -3.9960039960039957e+00,  2.7643094090305798e-01,  3.7043547097285909e+01, -9.3170956633381818e-01, -5.0000000000000021e+01,  0.0000000000000000e+00,  2.9052956474616781e+03, -2.1447865352924982e+01, -8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3386739121876167e+02,  2.0610100975974566e-01,  2.6318287750048633e+01,  7.7425563201818637e+00, -2.8645786615530498e-02, -1.3769062608947180e-01,  5.7040158345837902e+01,  1.0767864941494247e-03, -1.5000000180703444e+04,  2.6155500257533443e-01,  2.3780096182880262e+00, -4.7444532327835659e-03, -4.0275736523693366e+00,  1.7275134594182835e+00, -4.4955044955044956e+00,  2.7643094090305798e-01,  6.0965002799014940e+01, -1.1256176924701080e+00, -5.0000000000000028e+01,  0.0000000000000000e+00,  1.8837797840244773e+03, -1.7372541499560391e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
