#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3359458403885958e+02,  0.0000000000000000e+00,  3.2220455793799715e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.9111789519216487e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.6423526111430076e+00,  0.0000000000000000e+00,  2.7328816364904313e-01, -8.0000000000000000e+01, -1.7778716235166718e+00,  5.0000000000000000e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.2796150900812677e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9800399201596807e-03,  6.3359457871073698e+02,  7.0071539424092894e-04,  3.2220626495391329e+01,  1.1779747720661247e-01,  1.2029413886638556e-03, -2.4876733864076499e-03,  6.3314702252767212e+00,  1.2901008154867583e-06, -1.4999999999571846e+04,  3.9220672834815602e-04,  2.9111830459853523e+00, -8.2865265362332812e-06, -7.9840319361277445e-01, -1.6600958409186231e+00,  4.9900199600798401e-01,  2.7328816364904313e-01, -8.0000000000000000e+01, -1.5643179763070278e+00,  5.0000000000000000e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.2796150900812677e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9960079840319361e-02,  6.3359455228411866e+02,  4.0496975216014561e-03,  3.2221251110077638e+01,  4.6755555432114676e-01,  4.4186055308502560e-03, -9.9525777683706681e-03,  1.2662940500044918e+01,  1.0358776408333909e-05, -1.4999999996809895e+04,  3.1195027478032058e-03,  2.9112097056359807e+00, -6.6292409751007208e-05, -1.5968063872255489e+00, -1.6735765228457427e+00,  9.9800399201596801e-01,  2.7328816364904313e-01, -8.0000000000000014e+01, -1.0964299427572612e+00,  4.9999999999999993e+01,  0.0000000000000000e+00, -2.2293367152315115e-12,  5.0968611022560552e+01, -1.1146683576157558e-12,  0.0000000000000000e+00
 2.9940119760479042e-02,  6.3359449197632580e+02,  1.1906595713918529e-02,  3.2222433960852428e+01,  1.0439340923669256e+00,  8.9681951572160856e-03, -2.2416897808087647e-02,  1.8994410807794992e+01,  3.5135880363840416e-05, -1.4999999990060753e+04,  1.0467563811359616e-02,  2.9112757262596802e+00, -2.2383719721462899e-04, -2.3952095808383236e+00, -1.6819806701153748e+00,  1.4970059880239519e+00,  2.7328816364904313e-01, -7.4300958577991963e+01, -5.7281150605059261e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.1420879009704151e+03,  5.3964523693455838e+01,  2.2293367152315115e-12,  0.0000000000000000e+00
 3.9920159680638723e-02,  6.3359438949156754e+02,  2.6053113293437333e-02,  3.2224191386817523e+01,  1.8319178467095620e+00,  1.4107145422927765e-02, -3.9617287176466995e-02,  2.5325881057699313e+01,  8.3738456721208301e-05, -1.4999999978511403e+04,  2.4645900736827885e-02,  2.9113907960843397e+00, -5.3033691025862874e-04, -3.0798594526545302e+00, -1.6850098862399661e+00,  1.9960079840319360e+00,  2.7328816364904313e-01, -5.1363804429039021e+01, -4.9684989551462923e-02,  5.0000000000000021e+01,  0.0000000000000000e+00,  3.4545177904797542e+03,  5.0870030212969766e+01,  2.2293367152315115e-12,  0.0000000000000000e+00
 4.9900199600798403e-02,  6.3359424403011121e+02,  4.7621595780722670e-02,  3.2226458103238926e+01,  2.7536279658821843e+00,  1.9082218632971593e-02, -5.9284010318476181e-02,  3.1657351100950940e+01,  1.6296171574159364e-04, -1.4999999962198444e+04,  4.7435921961446380e-02,  2.9115571518208183e+00, -1.0236866430399119e-03, -3.4204352181444917e+00, -1.6829723864736874e+00,  2.4950099800399204e+00,  2.7328816364904313e-01, -1.8174076562758732e+01,  4.0997673987729311e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  3.1967036739228161e+03,  4.1246180364552949e+01, -4.4586734304630231e-12,  0.0000000000000000e+00
 5.9880239520958084e-02,  6.3359406248646019e+02,  7.6753966141291860e-02,  3.2229098801976825e+01,  3.7060782765958349e+00,  2.3229563626830159e-02, -7.8278446584225406e-02,  3.7988820776233375e+01,  2.7578578292211496e-04, -1.4999999941911039e+04,  7.9646899279228620e-02,  2.9117699640698338e+00, -1.7125051875884849e-03, -3.4426154718712714e+00, -1.6768267177793414e+00,  2.9940119760479043e+00,  2.7328816364904313e-01,  1.0787419330352099e+01,  7.5339371233886265e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.6071801030565948e+03,  2.7574580916745592e+01,  4.4586734304630231e-12,  0.0000000000000000e+00
 6.9860279441117765e-02,  6.3359385694860180e+02,  1.1280350876803316e-01,  3.2231929769789510e+01,  4.6032300511836501e+00,  2.6057174830000897e-02, -9.3917900419069819e-02,  4.4320289945295926e+01,  4.2141506818017046e-04, -1.4999999919035437e+04,  1.2114139343560357e-01,  2.9120186522986313e+00, -2.5761616652008722e-03, -3.2051174670396594e+00, -1.6679345878242091e+00,  3.4930139720558886e+00,  2.7328816364904313e-01,  3.3332777537227756e+01,  9.5459584919037721e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.9109096816012877e+03,  1.2746327308297943e+01, -8.9173468609260461e-12,  0.0000000000000000e+00
 7.9840319361277445e-02,  6.3359364263619466e+02,  1.5451644996055020e-01,  3.2234745638454974e+01,  5.3799806745516259e+00,  2.7276975240730528e-02, -1.0410907689488767e-01,  5.0651758517477077e+01,  5.9604122713598066e-04, -1.4999999895352890e+04,  1.7102675746610405e-01,  2.9122887084537554e+00, -3.5700997119173204e-03, -2.7772905709286015e+00, -1.6577729084142641e+00,  3.9920159680638720e+00,  2.7328816364904313e-01,  4.8788597304760025e+01,  1.0134739217162771e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.1864365998121782e+03, -9.4716157410759805e-01,  8.9173468609260461e-12,  0.0000000000000000e+00
 8.9820359281437126e-02,  6.3359343582996166e+02,  2.0022879828035481e-01,  3.2237344163141557e+01,  5.9936364768870707e+00,  2.6800248469909457e-02, -1.0740594259467423e-01,  5.6983226464291988e+01,  7.9370686549442150e-04, -1.4999999872825050e+04,  2.2787303844137230e-01,  2.9125636304989628e+00, -4.6320962541629273e-03, -2.2312931695394593e+00, -1.6477055674306706e+00,  4.4910179640718564e+00,  2.7328816364904313e-01,  5.7202836873202422e+01,  9.4855154361962846e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  4.9977700970367880e+02, -1.2063282996460792e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9800399201596807e-02,  6.3359325204567313e+02,  2.4805976526910195e-01,  3.2239545830095174e+01,  6.4232483687354787e+00,  2.4707005652890444e-02, -1.0300320943210022e-01,  6.3314693823564909e+01,  1.0071801742799480e-03, -1.4999999853399017e+04,  2.8993456434618392e-01,  2.9128266790040351e+00, -5.6887598523131470e-03, -1.6355173798467169e+00, -1.6388397438709581e+00,  4.9900199600798407e+00,  2.7328816364904313e-01,  5.9204268739041915e+01,  7.8863052726295235e-01,  5.0000000000000028e+01,  0.0000000000000000e+00, -9.8690063789441794e+01, -1.9984888681417118e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.0978043912175649e-01,  6.3359310461316727e+02,  2.9608647324167708e-01,  3.2241206735187582e+01,  6.6672647838627030e+00,  2.1201394336204368e-02, -9.0678454190322638e-02,  6.9646160694139965e+01,  1.2287661690761698e-03, -1.4999999838851438e+04,  3.5535611794958061e-01,  2.9130622829246948e+00, -6.6616845656131060e-03, -1.0495712386204590e+00, -1.6319644391419890e+00,  5.4890219560878251e+00,  2.7328816364904313e-01,  5.5840237949805008e+01,  5.6557722417705980e-01,  4.9999999999999986e+01,  0.0000000000000000e+00, -5.7546170637363252e+02, -2.4714993256995736e+01, -8.9173468609260461e-12,  0.0000000000000000e+00
 1.1976047904191617e-01,  6.3359300373637234e+02,  3.4248900325910742e-01,  3.2242224634420701e+01,  6.7400093156720304e+00,  1.6563709226888858e-02, -7.0697273978938324e-02,  7.5977627223291464e+01,  1.4509997279877438e-03, -1.4999999830679517e+04,  4.2234943597512631e-01,  2.9132570237125632e+00, -7.4728173395345650e-03, -5.2094177206617764e-01, -1.6275507773205178e+00,  5.9880239520958085e+00,  2.7328816364904313e-01,  4.8410155526110351e+01,  3.0942240308942021e-01,  4.9462499841827068e+01,  0.0000000000000000e+00, -9.1352681133478723e+02, -2.6618432888967320e+01, -1.0771503169785133e+02,  0.0000000000000000e+00
 1.2974051896207583e-01,  6.3359295604243107e+02,  3.8565927998384070e-01,  3.2242539078805912e+01,  6.6674935565474529e+00,  1.1106246283759115e-02, -4.3696080159170883e-02,  8.2309093589561442e+01,  1.6671856814505172e-03, -1.4999999830038323e+04,  4.8933088186213652e-01,  2.9134002023688375e+00, -8.0487458779170424e-03, -8.3300669237019467e-02, -1.6257883432719407e+00,  6.4762974020324764e+00,  2.7328816364904313e-01,  3.8309338296970232e+01,  4.6314148830597299e-02,  4.3679302322552978e+01,  0.0000000000000000e+00, -1.1106769613848885e+03, -2.6108461264500793e+01, -1.0512377511646696e+03,  0.0000000000000000e+00
