#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -4.6635018990274695e+01,  3.0603843912083883e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  6.8339751009241854e+02, -1.3488012093981345e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754624952517e+02,  4.9674752879059385e-04,  2.9274132124598346e+01,  7.0596848982111562e-02, -1.7311829346612211e-04, -1.9326697604725119e-03,  6.3377953521938828e+00,  1.0200317652124303e-06, -1.5000000000096948e+04,  2.3796819564141157e-04,  2.6447768420526927e+00, -6.5175828462303564e-06, -4.6588430559714977e-01,  4.1669403136892082e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -4.3221445013789086e+01,  2.3866575133871423e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  6.8339751009241854e+02, -1.3488012093981345e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373754509853154e+02,  2.6437805715183991e-03,  2.9274016841874101e+01,  2.6646884241035518e-01, -6.1317241183233596e-04, -7.3557145031074135e-03,  1.2675590663832327e+01,  7.8770692997993967e-06, -1.5000000000717560e+04,  1.8245840409560599e-03,  2.6447730863663201e+00, -5.0274821779420446e-05, -8.6356533494084087e-01,  4.3380622553041828e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -3.6718594038534214e+01,  1.0636722925888141e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  6.1847325515360808e+02, -1.2998152026401193e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373754241493066e+02,  7.3044209749884188e-03,  2.9273815915156238e+01,  5.6562733859266423e-01, -1.1994859429399396e-03, -1.5743215678737980e-02,  1.9013385884205153e+01,  2.5668038826074719e-05, -1.5000000002222565e+04,  5.8979835534166388e-03,  2.6447641127410648e+00, -1.6350882480732989e-04, -1.1995225481253058e+00,  4.3794622502703898e-02,  1.4985014985014984e+00,  2.7323873900889811e-01, -3.0846632232291022e+01, -1.1490064143390098e-02,  4.9999999999999993e+01,  0.0000000000000000e+00,  5.5709349845627810e+02, -1.0596878112733563e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373753751835034e+02,  1.5193125426541778e-02,  2.9273534204282576e+01,  9.4845277857417687e-01, -1.8263188628818484e-03, -2.6615862828408079e-02,  2.5351180956622592e+01,  5.8804530802872896e-05, -1.5000000004801945e+04,  1.3388840140505618e-02,  2.6447490307551584e+00, -3.7343257249850388e-04, -1.4798816632583438e+00,  4.3151050841885183e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -2.5572355961534200e+01, -2.1321078791572126e-01,  4.1666666666666671e+01,  0.0000000000000000e+00,  4.9881661094923675e+02, -2.9787610786487132e+01, -1.6683333333333296e+03,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373752967733401e+02,  2.6891087742787416e-02,  2.9273180600946013e+01,  1.3975388110589746e+00, -2.4262310356430354e-03, -3.9540216025721893e-02,  3.1688975821772491e+01,  1.1113446124009135e-04, -1.5000000008508243e+04,  2.5043216599557099e-02,  2.6447278617833008e+00, -7.0269609652132115e-04, -1.7104587311729422e+00,  3.9534666700191984e-02,  2.3310023310023311e+00,  2.7323873900889811e-01, -2.0925406608577866e+01, -5.6569170209839970e-01,  1.6666666666666682e+01,  0.0000000000000000e+00,  4.3150264951262295e+02, -4.0779068232885074e+01, -3.3366666666666702e+03,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373751968106717e+02,  4.2897411291229023e-02,  2.9272872141523511e+01,  1.8976901320555111e+00, -2.3584440629206122e-03, -5.4227229795084465e-02,  3.8026770452071283e+01,  1.8620402011794841e-04, -1.5000000012927607e+04,  4.1443997208205727e-02,  2.6447042672994696e+00, -1.1703153792298772e-03, -1.8979717053877716e+00,  3.1848519331427648e-02,  2.3310023310023311e+00,  2.7323873900889811e-01, -1.6908075229966922e+01, -6.8918369328353746e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.7276709248528647e+02,  1.6055971597620406e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373750522143382e+02,  6.3605357173469781e-02,  2.9272715233390922e+01,  2.4358703789287861e+00, -1.4169397428233923e-03, -7.0399190487293095e-02,  4.4364564866086724e+01,  2.8745595748431931e-04, -1.5000000017130500e+04,  6.3034099135946556e-02,  2.6446860514334873e+00, -1.7925002145558694e-03, -2.0482824120913623e+00,  2.5764762738482942e-02,  2.3310023310023311e+00,  2.7323873900889811e-01, -1.3385668267388073e+01, -4.1816855712572437e-01,  1.6666666666666632e+01,  0.0000000000000000e+00,  3.3241878142299890e+02,  3.8201258661173725e+01,  3.3366666666666592e+03,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373748114310854e+02,  8.9290499298010861e-02,  2.9272732151893134e+01,  3.0008374447072077e+00,  1.9450390785886715e-05, -8.7720477373916722e-02,  5.0702359078703111e+01,  4.1809865511075730e-04, -1.5000000020292979e+04,  9.0135822385113640e-02,  2.6446801441953314e+00, -2.5823995815152942e-03, -2.1654176248161048e+00,  2.3493503205039547e-02,  2.6640026640026635e+00,  2.7323873900889811e-01, -1.0276385551508262e+01, -3.4005151473137873e-01,  1.6666666666666643e+01,  0.0000000000000000e+00,  2.9005961829614080e+02, -2.2562226773825714e+01, -3.3366666666666638e+03,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373744509507890e+02,  1.2016473744171922e-01,  2.9272949658352598e+01,  3.5828362625861145e+00,  1.8301660250668983e-03, -1.0594676525921938e-01,  5.7040153085883581e+01,  5.8110017239393764e-04, -1.5000000021861635e+04,  1.2296558129188921e-01,  2.6446912769204376e+00, -3.5502032328645493e-03, -2.2536048007328859e+00,  1.8970526679913939e-02,  2.6640026640026635e+00,  2.7323873900889811e-01, -7.6076468401434836e+00, -3.9830429959848007e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.4422187171908695e+02,  1.0900019243431947e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
