#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -1.8714519375400492e+01,  1.2816532594462510e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.7178716558077485e+02,  1.0678129171485476e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9502487562189053e-03,  6.3373754644588951e+02,  1.8030516183758369e-04,  2.9274153131339617e+01,  2.8088212415763397e-02, -7.0122654639655137e-05, -7.1297151632804820e-04,  6.3125702998267919e+00,  3.5453561233535560e-07, -1.5000000000037593e+04,  9.4301507176505753e-05,  2.6447772068434552e+00, -2.3966572891518089e-06, -1.8621412313831334e-01,  3.9887352947818734e-02,  4.9751243781094528e-01,  2.7323873900889811e-01, -1.7362344422262307e+01,  1.2869657615216168e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.7178716558077485e+02,  1.0678129171485476e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9900497512437811e-02,  6.3373754640528330e+02,  9.7357595728130063e-04,  2.9274097650584167e+01,  1.0605940021620240e-01, -3.0413471473827785e-04, -2.7043679986468467e-03,  1.2625140583884868e+01,  2.7250882078202515e-06, -1.5000000000311038e+04,  7.2321769927549077e-04,  2.6447754959172487e+00, -1.8440387618234859e-05, -3.4551929198531955e-01,  4.1173201966323195e-02,  9.9502487562189057e-01,  2.7323873900889811e-01, -1.4814097927461894e+01,  1.3106271788963758e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.4041037987410846e+02,  3.6881319751780156e-01,  5.6067650522351187e-13,  0.0000000000000000e+00
 2.9850746268656716e-02,  6.3373754683226252e+02,  2.7118737104626757e-03,  2.9273977360326114e+01,  2.2535209679215371e-01, -7.3883760371080466e-04, -5.7729865259658879e-03,  1.8937710829968214e+01,  8.8413290788731980e-06, -1.5000000001085005e+04,  2.3390288378962857e-03,  2.6447704900684559e+00, -5.9842070086626980e-05, -4.8102204209277888e-01,  4.2495566239154806e-02,  1.4925373134328359e+00,  2.7323873900889811e-01, -1.2560522403425002e+01,  1.3578035162172494e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.1255830045730659e+02,  5.7943118263175675e-01, -1.1213530104470237e-12,  0.0000000000000000e+00
 3.9800995024875621e-02,  6.3373754858461075e+02,  5.6716140735389815e-03,  2.9273764716727630e+01,  3.7846227049310682e-01, -1.4121411307205199e-03, -9.7418639221408202e-03,  2.5250281010838805e+01,  2.0177688991465833e-05, -1.5000000002656298e+04,  5.3142817559942495e-03,  2.6447600073942672e+00, -1.3643188053146679e-04, -5.9547993682959821e-01,  4.3875298516009263e-02,  1.9900497512437811e+00,  2.7323873900889811e-01, -1.0568604337834184e+01,  1.4236899814696169e-01,  5.0000000000000014e+01,  0.0000000000000000e+00,  1.8781723072644832e+02,  7.4488676894082473e-01,  2.2427060208940483e-12,  0.0000000000000000e+00
 4.9751243781094523e-02,  6.3373755288341761e+02,  1.0080332339651089e-02,  2.9273427962090448e+01,  5.5882156162505303e-01, -2.3623340290151867e-03, -1.4455560460214777e-02,  3.1562851096146467e+01,  3.8008263469173784e-05, -1.5000000005353299e+04,  9.9516825431798881e-03,  2.6447414901694510e+00, -2.5638737620406894e-04, -6.9134252642778748e-01,  4.5328780132626680e-02,  2.4875621890547266e+00,  2.7323873900889811e-01, -8.8091956219372296e+00,  1.5040806125945422e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.6582392116883926e+02,  8.7096491667017517e-01, -2.2427060208940475e-12,  0.0000000000000000e+00
 5.9701492537313432e-02,  6.3373756128226728e+02,  1.6122677081542854e-02,  2.9272931184670824e+01,  7.6068990879414999e-01, -3.6274616648081575e-03, -1.9777734993326447e-02,  3.7875421054087553e+01,  6.3454193026626739e-05, -1.5000000009534153e+04,  1.6492851993556455e-02,  2.6447120059572824e+00, -4.2643619932224586e-04, -7.7078731239053810e-01,  4.6868493764953625e-02,  2.9850746268656718e+00,  2.7323873900889811e-01, -7.2565424385703778e+00,  1.5953264883090912e-01,  4.9999999999999979e+01,  0.0000000000000000e+00,  1.4625936868789734e+02,  9.6307718519227414e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9651741293532340e-02,  6.3373757563784238e+02,  2.3945720236470073e-02,  2.9272234434907308e+01,  9.7906079427777748e-01, -5.2448050966576228e-03, -2.5588978457389184e-02,  4.4187990852839803e+01,  9.7524395716578615e-05, -1.5000000015583852e+04,  2.5126077861927915e-02,  2.6446682541972719e+00, -6.5203613440219515e-04, -8.3575133117545675e-01,  4.8503559213838802e-02,  3.4825870646766171e+00,  2.7323873900889811e-01, -5.8878721073924476e+00,  1.6942999805586451e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.2884336787886718e+02,  1.0262900090237461e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 7.9601990049751242e-02,  6.3373759808191517e+02,  3.3663661310442586e-02,  2.9271293890931339e+01,  1.2095775607747745e+00, -7.2504553139018371e-03, -3.1784876940823700e-02,  5.0500560461805236e+01,  1.4115042759301784e-04, -1.5000000023910365e+04,  3.5993181506522288e-02,  2.6446065771798533e+00, -9.3753493667666512e-04, -8.8795889661725347e-01,  5.0240235019796700e-02,  3.9800995024875623e+00,  2.7323873900889811e-01, -4.6830308470499071e+00,  1.7983600265655217e-01,  5.0000000000000036e+01,  0.0000000000000000e+00,  1.1332972544998381e+02,  1.0653169157144626e+00,  4.4854120417880982e-12,  0.0000000000000000e+00
 8.9552238805970144e-02,  6.3373763099471353e+02,  4.5361994239830311e-02,  2.9270062065102945e+01,  1.4484594463369251e+00, -9.6789759205699599e-03, -3.8274279192917190e-02,  5.6813129852688000e+01,  1.9521615735887583e-04, -1.5000000034939954e+04,  4.9195602098858232e-02,  2.6445229744461871e+00, -1.2863120723466820e-03, -9.2894597489784292e-01,  5.2082385137352277e-02,  4.4776119402985080e+00,  2.7323873900889811e-01, -3.6241662476536773e+00,  1.9053159235634615e-01,  5.0000000000000036e+01,  0.0000000000000000e+00,  9.9502059028658408e+01,  1.0844966139441281e+00, -4.4854120417880982e-12,  0.0000000000000000e+00
