#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  1.0000000000000001e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01,  2.7468855745192435e+00, -1.4123846794956985e-05, -2.2102690919529594e-01,  0.0000000000000000e+00, -7.5353964629241744e+01, -7.1081073823327850e-03, -1.3186931893963913e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373754648372278e+02,  4.7968002080509518e-04,  2.9274167304267110e+01,  9.3487403464832794e-02, -1.6552032999565332e-06,  1.0583127723912368e-04,  6.3377953581522233e+00, -4.2230085201333669e-08, -1.4999999999999194e+04,  9.7313220072893015e-04,  2.6447774288417727e+00,  3.3787850394982895e-07,  2.7441414330861572e-02,  3.8611934975377259e-02, -2.2080610309220374e-03,  2.7323873900889811e-01,  2.3704921448027512e+00, -4.9628878674741128e-05, -8.7971481598670020e-01,  0.0000000000000000e+00, -7.5353964629241744e+01, -7.1081073823327850e-03, -1.3186931893963913e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373754647126634e+02,  8.5732880746163583e-04,  2.9274167528255241e+01,  8.0134651834491213e-02, -5.9727950620681937e-06,  4.1043793237566061e-04,  1.2675590716299109e+01, -3.6610893614622149e-07, -1.4999999999993932e+04,  1.8451550875267031e-03,  2.6447773924877152e+00,  2.7835704053441868e-06,  4.7362480415639382e-02,  3.8611084486760330e-02, -1.7576719600133871e-02,  2.7323873900889811e-01,  1.6056151615615657e+00, -1.3916634243303571e-04, -2.6241189261988267e+00,  0.0000000000000000e+00, -7.7774407415643637e+01, -1.0817292862077790e-02, -2.1736038392482860e+02,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373754646517841e+02,  1.0976357322538316e-03,  2.9274167446040732e+01,  6.2371030858807366e-02, -1.2037076945364444e-05,  8.4284816216687345e-04,  1.9013386074397332e+01, -1.1850359829140099e-06, -1.4999999999980835e+04,  2.5599287106990308e-03,  2.6447773034043602e+00,  8.9748024352139949e-06,  5.9521637339084658e-02,  3.8609154429074900e-02, -5.4638009606323167e-02,  2.7323873900889811e-01,  8.5153441727268520e-01, -2.5159280971400952e-04, -4.9413666464369950e+00,  0.0000000000000000e+00, -7.3192557590990219e+01, -1.1690485887573175e-02, -2.4655260966685279e+02,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373754647155386e+02,  1.1857927044605762e-03,  2.9274166764336012e+01,  4.2535178762033554e-02, -1.9183466446616096e-05,  1.3306305052325194e-03,  2.5351181432328509e+01, -2.5950439710646871e-06, -1.4999999999957830e+04,  3.0852668283112201e-03,  2.6447771476831234e+00,  1.9825590183338636e-05,  6.4376155086422304e-02,  3.8606057657395415e-02, -1.1630532392454936e-01,  2.7323873900889811e-01,  1.6962929986594755e-01, -3.6684180690523601e-04, -7.3166164910917564e+00,  0.0000000000000000e+00, -6.3324846913838634e+01, -1.1382363350110378e-02, -2.2897240923303065e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373754650349360e+02,  1.1250470680958888e-03,  2.9274165191882410e+01,  2.2695272230924907e-02, -2.7295948021796901e-05,  1.8070615585872507e-03,  3.1688976789926645e+01, -4.5788066612892563e-06, -1.4999999999924483e+04,  3.4110886183696867e-03,  2.6447769155715619e+00,  3.5548947916893239e-05,  6.2910834139603092e-02,  3.8601824922443427e-02, -2.0082415328448017e-01,  2.7323873900889811e-01, -3.9646352408398589e-01, -4.8316715343267602e-04, -9.3415477308046704e+00,  0.0000000000000000e+00, -5.0006936440937949e+01, -1.1905971024683076e-02, -1.7641882495749405e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373754659174631e+02,  9.3312764542142720e-04,  2.9274162365006383e+01,  4.5261891971491485e-03, -3.6942627277508060e-05,  2.2163989750616417e-03,  3.8026772147089858e+01, -7.0204983045094934e-06, -1.4999999999882446e+04,  3.5460595835430197e-03,  2.6447765951498030e+00,  5.5741968053739445e-05,  5.6454805953875135e-02,  3.8596403968016141e-02, -3.0294963423033694e-01,  2.7323873900889811e-01, -8.2115508796370984e-01, -6.1706335041960398e-04, -1.0729852947036576e+01,  0.0000000000000000e+00, -3.5016314647782842e+01, -1.4900047612099942e-02, -1.0151987933213441e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373754678813691e+02,  6.3806681140945207e-04,  2.9274157801069848e+01, -1.0756818234170695e-02, -4.9244316637330550e-05,  2.5171702418680213e-03,  4.4364567503936364e+01, -9.7280478085186650e-06, -1.4999999999835840e+04,  3.5132919987492478e-03,  2.6447761659137763e+00,  7.9513705924593462e-05,  4.6504139075393101e-02,  3.8589495984373105e-02, -4.1520682954894728e-01,  2.7323873900889811e-01, -1.0956297564441029e+00, -7.9618808639587307e-04, -1.1319121655036124e+01,  0.0000000000000000e+00, -1.9933513981991908e+01, -2.0960724530349122e-02, -1.6451716009374742e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373754715969915e+02,  2.7389315448898821e-04,  2.9274150907443413e+01, -2.2413095784036666e-02, -6.5492734474725873e-05,  2.6835735568948253e-03,  5.0702362860938074e+01, -1.2459351127648122e-05, -1.4999999999791235e+04,  3.3456461364590705e-03,  2.6447755949640097e+00,  1.0563637073747840e-04,  3.4564101529417531e-02,  3.8580496114142097e-02, -5.2910591105423554e-01,  2.7323873900889811e-01, -1.2253992560632594e+00, -1.0474018260603925e-03, -1.1061241496301818e+01,  0.0000000000000000e+00, -6.0463398417630243e+00, -2.9332266150487535e-02,  6.8079323787984393e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373754777553268e+02, -1.2341059621302628e-04,  2.9274141052149357e+01, -3.0148717451142532e-02, -8.6643374195362322e-05,  2.7052309858841025e-03,  5.7040158218974376e+01, -1.4949317590456738e-05, -1.4999999999757076e+04,  3.0811041771397619e-03,  2.6447748377596261e+00,  1.3270204369995531e-04,  2.2020637455747571e-02,  3.8568568874961309e-02, -6.3621065564888357e-01,  2.7323873900889811e-01, -1.2271143142441716e+00, -1.3841054474031649e-03, -1.0004330386268450e+01,  0.0000000000000000e+00,  5.7029851939442642e+00, -3.8075798842335716e-02,  1.4351428044069431e+02,  0.0000000000000000e+00
