#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -7.9999999999999986e+01, -5.1722151624834725e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  4.0504565859753785e+02, -2.7108961931872921e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373729227318631e+02,  1.1903413118398516e-04,  2.9274891755198144e+01,  1.7787148968677979e-01, -1.8737834920309726e-02, -5.7339015373466338e-03,  6.3377941669797835e+00, -3.5089182316853819e-06, -1.4999999991843497e+04,  6.9512585601064062e-04,  2.6446676278776522e+00, -2.3517318424329929e-05, -7.9920079920079912e-01, -1.3058405070943196e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -7.7976794912100203e+01, -6.5263091650745269e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  4.0504565859753785e+02, -2.7108961931872921e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373700053135451e+02,  3.8805664665440376e-03,  2.9278739295479244e+01,  5.8045182981746335e-01, -1.5914518699847537e-02, -1.7420302060367283e-02,  1.2675586689787602e+01, -5.9621432941304149e-06, -1.4999999947251599e+04,  4.2990397469560241e-03,  2.6444783210724454e+00, -1.3459390473863784e-04, -1.5579779203216824e+00, -9.1783711441228738e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -6.5100581901716524e+01, -4.4992640658197995e+00,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.1727721860812762e+03,  6.7690404818952618e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373646000218469e+02,  1.2641410144767048e-02,  2.9288899362553739e+01,  1.1664922598681500e+00,  6.5446679586072675e-04, -3.3894658946377158e-02,  1.9013378361502120e+01,  3.2587063877139643e-06, -1.4999999816571353e+04,  1.2886712346899878e-02,  2.6443979525907544e+00, -3.8781102724489222e-04, -2.0999117263080223e+00, -1.0295379100140871e-01,  1.4985014985014984e+00,  2.7323873900889811e-01, -4.3378579038087622e+01,  2.7066817610178981e+00,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.1759727872172284e+03,  7.6572630634338111e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373571138255988e+02,  2.7214133039589895e-02,  2.9302391925549923e+01,  1.8762167266242615e+00,  1.2045823225141217e-02, -5.3864233259085598e-02,  2.5351169122215779e+01,  3.0688833975050925e-05, -1.4999999562913346e+04,  2.7984093345887671e-02,  2.6444737473997253e+00, -8.2408137046221727e-04, -2.4246827962075490e+00, -3.7704155776535471e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -2.2804424625369414e+01,  6.9578183694661773e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.9429729262089563e+03,  8.5351242667964527e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373499545696075e+02,  4.8175337207990165e-02,  2.9313537137378056e+01,  2.6388477943477127e+00,  1.0590906296132614e-02, -7.6583137640300392e-02,  3.1688958219209752e+01,  7.9473682661525009e-05, -1.4999999193853313e+04,  5.0497203372054184e-02,  2.6445942826497029e+00, -1.4742757312655136e-03, -2.5555445859557628e+00,  3.6063559037875559e-02,  2.4975024975024973e+00,  2.7323873900889811e-01, -5.0132092649633089e+00,  6.0722874258949293e+00,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.6188283889443462e+03, -2.6263453757092873e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373450114084312e+02,  7.5741737587299851e-02,  2.9319977347611669e+01,  3.3905608957534130e+00,  9.6026148416529233e-03, -1.0059964433691944e-01,  3.8026745274181238e+01,  1.5125461852035025e-04, -1.4999998748272163e+04,  8.0598020717402449e-02,  2.6446884101871437e+00, -2.3599533109809547e-03, -2.5248468174855372e+00,  8.3620268317269292e-02,  2.9970029970029968e+00,  2.7323873900889811e-01,  9.3620796522748666e+00,  5.4439369769366444e+00,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.2591044522867369e+03,  1.3683877768948031e+02,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373419061338552e+02,  1.0970374383652537e-01,  2.9323396712579651e+01,  4.0801234436954505e+00,  1.9712859693367654e-02, -1.2379325203288948e-01,  4.4364530646753849e+01,  2.4680653755507529e-04, -1.4999998266873930e+04,  1.1793772954551214e-01,  2.6448280735725662e+00, -3.4830787117285772e-03, -2.3684900474487725e+00,  1.4483352860703930e-01,  3.4965034965034967e+00,  2.7323873900889811e-01,  2.0037348263184491e+01,  7.9067107531758278e+00,  4.9999999999999986e+01,  0.0000000000000000e+00,  8.7808432361736936e+02,  3.5620853231360417e+02, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373387794910695e+02,  1.4957467871741018e-01,  2.9325001001360963e+01,  4.6754901373586080e+00,  2.4036778816232694e-02, -1.4578063025560969e-01,  5.0702314305151312e+01,  3.6704121212768372e-04, -1.4999997780203095e+04,  1.6168787379280086e-01,  2.6450673405488643e+00, -4.8310653470677025e-03, -2.1245001988404923e+00,  2.4159650714196118e-01,  3.9960039960039957e+00,  2.7323873900889811e-01,  2.7125976034832583e+01,  7.3110985077659754e+00,  5.0000000000000021e+01,  0.0000000000000000e+00,  5.4105895626657548e+02, -4.7545010384465814e+02,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373348752398886e+02,  1.9470197039721598e-01,  2.9324298035003888e+01,  5.1680139440145378e+00,  9.0458860663139642e-03, -1.6694392322369619e-01,  5.7040094736100727e+01,  5.1340425429272953e-04, -1.4999997312676038e+04,  2.1087451558095893e-01,  2.6452488692419203e+00, -6.3952885900779195e-03, -1.8265125042952746e+00,  2.9090942286809768e-01,  4.4955044955044956e+00,  2.7323873900889811e-01,  3.1100926561558552e+01, -5.6098155251306614e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  2.5472613918397016e+02, -1.1005403242232057e+03,  0.0000000000000000e+00,  0.0000000000000000e+00
