#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01,  3.6301106176168929e+01, -1.0553607412372616e+01,  4.9999999999999993e+01,  0.0000000000000000e+00, -9.1701243981492939e+02,  1.8091203451693630e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373729380345935e+02, -1.1752806076532477e-03,  2.9275564532202473e+01,  4.1792639835614119e-03, -1.4698280198419941e-02, -7.3527345289626568e-04,  6.3377942828770850e+00, -6.2228950295754469e-06, -1.4999999990006152e+04,  1.1206979841263918e-04,  2.6446821784126593e+00, -6.7541999332927457e-06,  3.6264841334834097e-01, -6.6818567407498086e-02,  4.9950049950049946e-01,  2.7323873900889811e-01,  3.1720624458811642e+01, -9.6499508963040039e+00,  4.9999999999999993e+01,  0.0000000000000000e+00, -9.1701243981492939e+02,  1.8091203451693630e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373698757220609e+02, -3.0849712801589010e-03,  2.9281055498777274e+01, -9.0982006811487062e-02, -5.2821959826508842e-03,  2.0988985833451696e-03,  1.2675587415242832e+01, -2.7378564968914355e-05, -1.4999999936288117e+04, -2.5263304220570523e-04,  2.6445645071213035e+00, -2.6410996698758964e-06,  6.3377871046576706e-01, -1.5419413564161788e-01,  9.9900099900099892e-01,  2.7323873900889811e-01,  2.0631162054422756e+01, -7.4059176782616465e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -1.3030979335437264e+03,  2.6834341573514399e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373641101776343e+02, -6.5089938749031545e-03,  2.9294061891642844e+01, -2.4569432064230637e-01,  2.0711227805627411e-02,  7.6453485526673456e-03,  1.9013380451407293e+01, -6.7151270395488018e-05, -1.4999999786654371e+04, -1.9045212259813970e-03,  2.6446320641619852e+00,  4.4389851080669682e-05,  7.7485944340673762e-01, -2.1478895058954894e-01,  1.4985014985014984e+00,  2.7323873900889811e-01,  7.2894382915227727e+00, -4.6555855376741357e+00,  4.9999999999999993e+01,  0.0000000000000000e+00, -1.3679151637888499e+03,  2.8227307881047545e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373558462617075e+02, -1.1855916460905478e-02,  2.9312991436576144e+01, -4.0753589135044027e-01,  5.0529973804094457e-02,  1.4530063930083282e-02,  2.5351173890100647e+01, -1.2946086635956671e-04, -1.4999999497004605e+04, -5.1780987879102500e-03,  2.6449910380594495e+00,  1.5477036810145742e-04,  7.7942183317351477e-01, -2.4721282770303918e-01,  1.9980019980019978e+00,  2.7323873900889811e-01, -5.2624283225462118e+00, -2.0969357052007584e+00,  4.9999999999999986e+01,  0.0000000000000000e+00, -1.1449685323477606e+03,  2.2996861765069457e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373469909433220e+02, -1.8990599954261181e-02,  2.9333562670840415e+01, -5.4647210656238565e-01,  7.8633936562025039e-02,  2.1139648011884053e-02,  3.1688967865669770e+01, -2.1769994154387560e-04, -1.4999999062292858e+04, -9.9554388302301403e-03,  2.6456356789891644e+00,  3.3393459912187356e-04,  6.6971602037884126e-01, -2.5668576787627739e-01,  2.4975024975024973e+00,  2.7323873900889811e-01, -1.4882850289433380e+01,  5.5290503236069301e-02,  5.0000000000000007e+01,  0.0000000000000000e+00, -7.8103994542304883e+02,  2.0090706927835814e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373388831198133e+02, -2.7454370151274422e-02,  2.9353861433853353e+01, -6.4532071895061993e-01,  1.1398268337970388e-01,  2.6689410808151275e-02,  3.8026762765873258e+01, -3.3328811435320079e-04, -1.4999998510929996e+04, -1.5940991959168496e-02,  2.6465863663309506e+00,  5.7366350108570686e-04,  4.8206218703098974e-01, -2.4610812234367715e-01,  2.9970029970029968e+00,  2.7323873900889811e-01, -2.0837368831175443e+01,  2.2227489081426457e+00,  5.0000000000000007e+01,  0.0000000000000000e+00, -4.1105466663371277e+02,  2.3301810338393847e+02,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373308026444715e+02, -3.6708470177117231e-02,  2.9375589676830710e+01, -6.9710213953673428e-01,  1.6348331165700278e-01,  3.1467988175492782e-02,  4.4364559331420040e+01, -4.7561604319421361e-04, -1.4999997879212249e+04, -2.2665216903990384e-02,  2.6479606313756943e+00,  8.6445740443583032e-04,  2.5338497480091027e-01, -2.1227520028101973e-01,  3.4965034965034967e+00,  2.7323873900889811e-01, -2.3419579183394113e+01,  4.5879817620844037e+00,  4.9999999999999986e+01,  0.0000000000000000e+00, -1.0590384588046524e+02,  2.4050151397520142e+02, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373206926950888e+02, -4.6208796813389470e-02,  2.9400421578434781e+01, -6.9706652178343520e-01,  2.1120260016834852e-01,  3.4812643760876866e-02,  5.0702357766037949e+01, -6.4208654149738452e-04, -1.4999997195066839e+04, -2.9665035592716237e-02,  2.6498470057947872e+00,  1.1969318646094661e-03,  1.4138527023115272e-02, -1.5444015506926348e-01,  3.9960039960039957e+00,  2.7323873900889811e-01, -2.2490333894313512e+01,  6.4020799299194255e+00,  5.0000000000000021e+01,  0.0000000000000000e+00,  2.9193875275440490e+02,  1.2268093922536883e+02,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373075744493019e+02, -5.5391722124539883e-02,  2.9427881483369571e+01, -6.3832693723146117e-01,  2.4105741091930408e-01,  3.5542006123874273e-02,  5.7040156736770498e+01, -8.2859535927419579e-04, -1.4999996480991116e+04, -3.6361682624760847e-02,  2.6521206900424574e+00,  1.5496954943758497e-03, -1.9597234576479403e-01, -8.4361515367544770e-02,  4.4955044955044956e+00,  2.7323873900889811e-01, -1.7650301300526820e+01,  6.9753028083015751e+00,  5.0000000000000028e+01,  0.0000000000000000e+00,  6.7703577252168782e+02, -7.9217189732613162e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
