#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01,  7.9999999999999986e+01, -7.8047519716367999e+00,  4.9641054655874257e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.9218734963440433e+01, -7.0648907607377100e+02,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373729591399172e+02, -1.6370567757250840e-03,  2.9275257040418101e+01, -5.9006162033637066e-02, -1.6657559925042996e-02,  1.0517780120613710e-03,  6.3377942405858017e+00, -7.1743541696830494e-06, -1.4999999990807311e+04, -9.4171282496584749e-05,  2.6446754481724253e+00, -9.1142443143894970e-07,  7.9920079920079912e-01, -3.9357474093453956e-02,  4.9591463192681573e-01,  2.7323873900889811e-01,  7.9999999999999986e+01, -7.5589041446465881e+00,  4.6112138191969308e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.9218734963440433e+01, -7.0648907607377100e+02,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373701002732639e+02, -5.7397224862517152e-03,  2.9279834701100008e+01, -3.5704087506644511e-01, -1.1414928234043496e-02,  9.6344103258687429e-03,  1.2675587149546926e+01, -3.5353882551507277e-05, -1.4999999941638924e+04, -1.9728175163632685e-03,  2.6445191400425649e+00,  4.6190042927150438e-05,  1.5984015984015982e+00, -1.1241497976434682e-01,  9.2132144239698910e-01,  2.7323873900889811e-01,  8.0000000000000014e+01, -5.2715629712736813e+00,  3.7327593671741006e+01,  0.0000000000000000e+00,  3.3373337426922955e-12,  4.0870696794581579e+02, -1.0521767368759365e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373648584321234e+02, -1.4494515993528898e-02,  2.9291068763481768e+01, -8.8432417517742579e-01,  7.9354766047312082e-03,  2.5654604527015717e-02,  1.9013379712029195e+01, -9.5407062080933455e-05, -1.4999999802625578e+04, -7.9811693216449431e-03,  2.6444953406901623e+00,  2.1665271788390953e-04,  2.3976023976023977e+00, -1.4468340758543558e-01,  1.2417206992942682e+00,  2.7323873900889811e-01,  8.0000000000000014e+01, -7.8291483856790445e-01,  2.6952758660695803e+01,  0.0000000000000000e+00, -2.2248891617948630e-12,  4.8992038822188061e+02, -1.0248652323353115e+03,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373576311998465e+02, -3.0014538954727138e-02,  2.9306702951400641e+01, -1.6244814037988808e+00,  2.6353746109757832e-02,  4.8640726203520994e-02,  2.5351172297855658e+01, -2.0002228169750652e-04, -1.4999999533693737e+04, -2.0325672176608627e-02,  2.6446746105874599e+00,  5.8251664597202928e-04,  3.1968031968031969e+00, -1.2805763388158767e-01,  1.4598380989543478e+00,  2.7323873900889811e-01,  7.9928362415706090e+01,  3.1996587304438173e+00,  1.6885602526572665e+01,  0.0000000000000000e+00, -1.4341844375639129e+01,  3.0739084029426618e+02, -9.9057942571613967e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373506294449157e+02, -5.4167830160731997e-02,  2.9321609378253843e+01, -2.5804673494743575e+00,  3.6446239290196643e-02,  7.7965627161163759e-02,  3.1688964807040719e+01, -3.6317920961266478e-04, -1.4999999136301405e+04, -4.1111100907481032e-02,  2.6449939499879189e+00,  1.2104135333426719e-03,  3.9945726756384836e+00, -8.0754162221922735e-02,  1.5790953751498660e+00,  2.7323873900889811e-01,  6.4116624784719320e+01,  5.6486594303599427e+00,  7.2078422334560415e+00,  0.0000000000000000e+00, -3.1511680293479185e+03,  1.8289909982894176e+02, -9.4690818496580926e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373455364289146e+02, -8.8498470806949947e-02,  2.9333042209536170e+01, -3.7263937461593080e+00,  4.6569741521981262e-02,  1.1270428400332545e-01,  3.8026757343932772e+01, -5.9824706306750455e-04, -1.4999998646611550e+04, -7.2466822577375911e-02,  2.6454042093628041e+00,  2.1600828419774194e-03,  4.4778546410533329e+00, -1.5197305602667759e-02,  1.6038509307916313e+00,  2.7323873900889811e-01,  1.9968657534840993e+01,  7.8273106680856586e+00, -1.8257949546654699e+00,  0.0000000000000000e+00, -5.6872550140777175e+03,  2.5326687796374682e+02, -8.6162598009611725e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373418633203119e+02, -1.3329014239735201e-01,  2.9341928206551373e+01, -4.9213926007489990e+00,  6.3807713940086261e-02,  1.4931639882597825e-01,  4.4364550296419267e+01, -9.1365477482758042e-04, -1.4999998108651627e+04, -1.1561828343298949e-01,  2.6459517332802811e+00,  3.4695041902010715e-03,  4.3935468521587833e+00,  7.5635661316252281e-02,  1.5426159554762302e+00,  2.7323873900889811e-01, -3.1661869680318667e+01,  1.0311626839009945e+01, -9.6081739318081496e+00,  0.0000000000000000e+00, -4.6491765343972447e+03,  2.4409321945529501e+02, -6.9640629112784688e+02,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373377560599124e+02, -1.8759139241295958e-01,  2.9349149435364446e+01, -6.0130396215945838e+00,  7.2159844316624658e-02,  1.8328719241193717e-01,  5.0702343369629766e+01, -1.3096025451350929e-03, -1.4999997557743067e+04, -1.7030549047802052e-01,  2.6466552480861965e+00,  5.1348890231075290e-03,  3.8452498522357770e+00,  1.9082920466726122e-01,  1.4118794236625973e+00,  2.7323873900889811e-01, -6.6911612370574858e+01,  1.0681562222993559e+01, -1.5400530622240378e+01,  0.0000000000000000e+00, -2.4078219521920360e+03, -1.7003215558177712e+02, -4.6322351829668349e+02,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373325379567120e+02, -2.4961858072423462e-01,  2.9353675035995927e+01, -6.8832854337849625e+00,  5.6919023128625713e-02,  2.1093327838657455e-01,  5.7040134671199617e+01, -1.7801599215144482e-03, -1.4999997022975176e+04, -2.3483941799865365e-01,  2.6473242529798626e+00,  7.1098926022490506e-03,  3.0566515000993464e+00,  2.8905348794949010e-01,  1.2349130459409581e+00,  2.7323873900889811e-01, -7.9469347524428358e+01,  6.9742529219425471e+00, -1.8806336776746612e+01,  0.0000000000000000e+00, -1.0623662560944879e+02, -5.7217116648863396e+02, -2.1861887383546710e+02,  0.0000000000000000e+00
