#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3362269741478246e+02,  0.0000000000000000e+00,  3.1662785975822437e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.8607501496366918e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1472575914174565e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  7.8948441499794741e-01, -9.2178803062307177e-02,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.2471570505501343e+02, -9.4779345805768109e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9966677774075315e-03,  6.3362244577064803e+02, -6.7033354281392907e-04,  3.1663318480745108e+01,  5.3413341514028947e-02, -1.9449826130486205e-02, -2.1160993186957111e-03,  6.3420179578030433e+00, -4.8368938693095091e-06, -1.4999999992296303e+04,  2.7185641256104116e-04,  2.8606425539688884e+00, -1.0931789828383561e-05,  7.8922134121754157e-03,  1.1380427827141269e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  1.4128551500280044e+00, -1.3955268467132156e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.2471570505501343e+02, -9.4779345805768109e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9993335554815063e-02,  6.3362219421121483e+02, -7.2259576055193103e-04,  3.1665133652283277e+01,  9.7618754347767983e-02, -2.7554187034979669e-02, -3.8430801423231286e-03,  1.2684034014421561e+01, -1.8380333740209707e-05, -1.4999999956004323e+04,  1.0347641569720223e-03,  2.8603991301434331e+00, -4.1054782827266711e-05,  2.8247687104858473e-02,  1.1193563548953663e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  2.4258017561820115e+00, -1.8598832985171493e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  7.7941145949531560e+01,  1.8770983481944684e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9990003332222594e-02,  6.3362178687621417e+02, -3.6133790615662650e-04,  3.1670715826062345e+01,  1.3379877157120409e-01, -2.8605651588986550e-02, -5.3372254422086179e-03,  1.9026048653969582e+01, -3.9744912944027543e-05, -1.4999999853144009e+04,  2.1927683044481224e-03,  2.8601151746749891e+00, -8.7088914101233201e-05,  5.6392081912982048e-02,  1.1008575118340773e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.0876898456074593e+00, -1.7090866996706633e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  5.4480597808186417e+01,  2.8292274527692465e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9986671109630126e-02,  6.3362127848195621e+02,  1.9092097237761172e-04,  3.1678227252357821e+01,  1.7062203356753339e-01, -3.0917318872168534e-02, -6.7129027908359989e-03,  2.5368062021056815e+01, -6.9669532764101458e-05, -1.4999999649443844e+04,  3.7066400061954129e-03,  2.8598230016740613e+00, -1.4752287250403506e-04,  8.9980906277283529e-02,  1.0851860110165792e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.5770036547920161e+00, -1.6098119482312978e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.3414784949337033e+01, -8.4307059230566650e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9983338887037654e-02,  6.3362087389098122e+02,  8.6987707293279372e-04,  3.1683598650757773e+01,  1.9978484229268442e-01, -3.6868952935273945e-02, -8.2243394864021917e-03,  3.1710074004474478e+01, -1.1030254768215306e-04, -1.4999999343590993e+04,  5.5715746165506128e-03,  2.8594848978048888e+00, -2.2195952222938653e-04,  1.2790831626403867e-01,  1.0686720013729384e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.8017848287584419e+00, -1.6615605900592567e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.5564352555460426e+00, -1.9224723519903714e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9980006664445189e-02,  6.3362071686087552e+02,  1.7215059435153647e-03,  3.1685110214015715e+01,  2.1082955375278406e-01, -3.6700970145763893e-02, -9.9763441792801756e-03,  3.8052084839682664e+01, -1.6341329472132474e-04, -1.4999998963320522e+04,  7.6320125760118620e-03,  2.8591062967102161e+00, -3.1302424959406429e-04,  1.6599126606585618e-01,  1.0519658725948680e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.5839356651154306e+00, -1.2041983456710577e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.5140791261724175e+01,  9.3425412045922549e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9976674441852724e-02,  6.3362073383603149e+02,  2.7905534950412947e-03,  3.1684832038904673e+01,  1.9599490456095875e-01, -2.1421007680392359e-02, -1.1547382535698231e-02,  4.4394095290201548e+01, -2.2946549312125248e-04, -1.4999998540625162e+04,  9.6900441067269832e-03,  2.8588015571262164e+00, -4.2113970748233580e-04,  1.9956314462356081e-01,  1.0445960597733837e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  2.8084666713663329e+00,  1.3020669035458423e-02,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.1000470542101222e+02,  1.7354455549494087e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 7.9973342219260252e-02,  6.3362070263048940e+02,  3.9563548459863396e-03,  3.1685184368659961e+01,  1.5625120610298895e-01, -2.6900519487089137e-03, -1.2703720168601404e-02,  5.0736105844969700e+01, -3.0763118590305320e-04, -1.4999998094765717e+04,  1.1455703707398079e-02,  2.8586895801875771e+00, -5.4285167655860375e-04,  2.2214188262099779e-01,  1.0545691386466091e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  1.5922361124539504e+00,  1.4749856464639746e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.3332248839872526e+02,  9.5500887657344453e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 8.9970009996667780e-02,  6.3362050186753140e+02,  5.0213101954408000e-03,  3.1686656954859298e+01,  1.0479869614899076e-01,  6.3920529141502066e-03, -1.3726424344984485e-02,  5.7078115698091509e+01, -3.9707692970854426e-04, -1.4999997636549024e+04,  1.2762294851638966e-02,  2.8587155948786687e+00, -6.7501082663876057e-04,  2.3139725550234688e-01,  1.0740859427416738e-01,  0.0000000000000000e+00,  2.7817232786892876e-01,  3.2106404547558215e-01,  1.9374539784981518e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.2099666980141366e+02, -2.9763900283734057e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9966677774075308e-02,  6.3362018126440955e+02,  5.7837405326739552e-03,  3.1688355101781799e+01,  5.9216508332232486e-02,  4.5495688849177497e-03, -1.5031904688776035e-02,  6.3420123729373152e+01, -4.9826850717524490e-04, -1.4999997166183182e+04,  1.3557129696837282e-02,  2.8587810097768322e+00, -8.1856116309531968e-04,  2.2856102381677751e-01,  1.0933053061607341e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -6.8050459450216305e-01,  1.5198099828010600e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -7.9383829436800596e+01, -8.0580252044091090e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.0996334555148285e-01,  6.3361994144708262e+02,  6.2416952346622213e-03,  3.1687854321833846e+01,  5.5338589098053873e-03, -2.0234719635107449e-03, -1.7209589412652080e-02,  6.9762129139163136e+01, -6.1336578021234725e-04, -1.4999996692812660e+04,  1.3904122185999164e-02,  2.8587908302306118e+00, -9.7881563243537475e-04,  2.1779169879787177e-01,  1.1044720137073731e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -1.6473490455598672e+00,  8.3575841700815501e-02,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.1404951707147734e+02, -5.6275664552209381e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.1996001332889038e-01,  6.3361994939611213e+02,  6.4471091808907333e-03,  3.1683846246496028e+01, -7.6607802180630777e-02, -4.0934665947690938e-03, -2.0472728043998672e-02,  7.6104132220979693e+01, -7.4448493268582561e-04, -1.4999996239149126e+04,  1.3555096039419451e-02,  2.8587556910529663e+00, -1.1666861355116487e-03,  1.9562502157299475e-01,  1.1100149046347392e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -2.8291865587148894e+00,  5.3420590157436505e-02,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.2239677472707042e+02, -4.0549420355775800e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.2995668110629791e-01,  6.3362021081913042e+02,  6.5460312777287548e-03,  3.1676762093354537e+01, -1.5970214781961686e-01, -6.6890148149081625e-04, -2.4224069601069868e-02,  8.2446133882705425e+01, -8.9270251714454647e-04, -1.4999995838523708e+04,  1.2349036356752508e-02,  2.8587274141244792e+00, -1.3902934127849253e-03,  1.6122682258231252e-01,  1.1151525715529119e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -3.7815523886568041e+00,  7.0764695229490943e-02,  0.0000000000000000e+00,  0.0000000000000000e+00, -6.8139882316642328e+01,  3.8754714916401216e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.3995334888370545e-01,  6.3362054090165634e+02,  6.8075730123113472e-03,  3.1669759535446463e+01, -2.2275196577954939e-01,  7.4991762679996630e-03, -2.7909228370800444e-02,  8.8788135029305209e+01, -1.0573711842554550e-03, -1.4999995511705110e+04,  1.0405354712226443e-02,  2.8587582387982988e+00, -1.6514033233433209e-03,  1.2001917574846681e-01,  1.1241631276063135e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -4.1715464761710761e+00,  1.1927165024885360e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -9.8849347920456960e+00,  5.8291533092336865e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.4995001666111296e-01,  6.3362067565653274e+02,  7.4195089492401292e-03,  3.1666708224020233e+01, -2.7124557104221281e-01,  1.6640745684387497e-02, -3.1402723188461740e-02,  9.5130136063204120e+01, -1.2363229075169489e-03, -1.4999995246336286e+04,  7.9164917918121327e-03,  2.8588806961755915e+00, -1.9483316160091464e-03,  7.7823694101717883e-02,  1.1389989528089306e-01,  0.0000000000000000e+00,  2.7817232786892876e-01, -4.0739014818802879e+00,  1.7420345173180521e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.9420443316489528e+01,  5.1608691074555031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
