#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -3.7336861336098337e+01, -9.1419286529249497e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  6.1423319694850443e+02,  1.3827586800132002e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373728945143978e+02, -3.9284708978319421e-04,  2.9275477226361385e+01,  1.1622739773041715e-01, -1.5144366079040156e-02, -3.7638232449567666e-03,  6.3377942547968580e+00, -4.6032253311025417e-06, -1.4999999990247585e+04,  4.9223694460838073e-04,  2.6446806330044836e+00, -1.7168258439103365e-05, -3.7299561774324014e-01, -5.2715882497930980e-02,  1.4985014985014986e+00,  2.7323873900889811e-01, -3.4268763449242670e+01, -8.4512400015697047e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  6.1423319694850443e+02,  1.3827586800132002e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373697186310483e+02,  9.2814820225613226e-04,  2.9280630827146148e+01,  3.2608491234489811e-01, -7.1454967650059036e-03, -8.6144612844736186e-03,  1.2675587183052990e+01, -1.5413003240809096e-05, -1.4999999938219155e+04,  2.6298489651132156e-03,  2.6445519328709870e+00, -7.8885182118779585e-05, -6.8469057840644698e-01, -1.3024386801455895e-01,  2.9970029970029972e+00,  2.7323873900889811e-01, -2.8350193156329190e+01, -7.0466193599142581e+00,  1.5000000000000003e+02,  0.0000000000000000e+00,  5.7066457569277600e+02,  1.4292918445810085e+02, -2.2248891617948638e-12,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373637939565424e+02,  4.1124225099735809e-03,  2.9293086972686513e+01,  6.1398208165587020e-01,  1.7277095070491636e-02, -1.3190192677839219e-02,  1.9013379668724092e+01, -3.0179691716032641e-05, -1.4999999792724373e+04,  7.2589114245216043e-03,  2.6445925607090279e+00, -1.8847053895424301e-04, -9.3943304344412293e-01, -1.9350747810061342e-01,  4.4955044955044956e+00,  2.7323873900889811e-01, -2.2865786212488338e+01, -5.6516814288845971e+00,  1.4999999999999997e+02,  0.0000000000000000e+00,  5.2731369446416159e+02,  1.3633738933403697e+02, -4.4497783235897260e-12,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373553442909156e+02,  9.2315864303253170e-03,  2.9311412698172205e+01,  9.7309414927538951e-01,  4.6253264302079815e-02, -1.7225255683955373e-02,  2.5351172110536396e+01, -4.9760530351882837e-05, -1.4999999509339181e+04,  1.5121844729757059e-02,  2.6449123954994365e+00, -3.4068488082920624e-04, -1.1415494437908293e+00, -2.4316457588438106e-01,  5.9940059940059935e+00,  2.7323873900889811e-01, -1.7770092936627343e+01, -5.4247046321902896e+00,  1.4999999999999997e+02,  0.0000000000000000e+00,  4.9284409936320895e+02, -9.0896634635836847e+01,  8.8995566471794488e-12,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373462226652384e+02,  1.6475974727901358e-02,  2.9331841274935801e+01,  1.3796388845419403e+00,  7.6993082990059650e-02, -2.0827448755022692e-02,  3.1688964664725869e+01, -7.6589358436400957e-05, -1.4999999081107555e+04,  2.6843073902444954e-02,  2.6455216249914515e+00, -5.3144548834169387e-04, -1.2944798553647492e+00, -3.0189318503748236e-01,  7.4925074925074924e+00,  2.7323873900889811e-01, -1.3184692962902917e+01, -5.3777883319944149e+00,  1.5000000000000006e+02,  0.0000000000000000e+00,  4.2515297537642175e+02,  1.0028927793505147e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373374648073866e+02,  2.5764582715990705e-02,  2.9353631951051948e+01,  1.8087906537791469e+00,  1.2270622982671031e-01, -2.2247724289471749e-02,  3.8026757988350639e+01, -1.1404921168705159e-04, -1.4999998529184879e+04,  4.2742910874389667e-02,  2.6465008627679638e+00, -7.4922813308347155e-04, -1.4049798726200584e+00, -3.5061289420594777e-01,  8.9910089910089912e+00,  2.7323873900889811e-01, -9.1772655332007176e+00, -4.1412683689723240e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  3.7713399604995772e+02,  1.4726201866197076e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373280913004237e+02,  3.6727309519827570e-02,  2.9379253286878200e+01,  2.2393446702226938e+00,  1.8963379447487594e-01, -1.9141976208780161e-02,  4.4364553243335578e+01, -1.6667142008162269e-04, -1.4999997880656854e+04,  6.2967207883021167e-02,  2.6480445591767112e+00, -9.5924377582626730e-04, -1.4778418040800483e+00, -3.8463580979217415e-01,  1.0489510489510490e+01,  2.7323873900889811e-01, -5.6699056662408891e+00, -2.6699795761291552e+00,  1.5000000000000000e+02,  0.0000000000000000e+00,  3.2503944931539979e+02,  1.4728999766523154e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373158525143822e+02,  4.9073302445016259e-02,  2.9411049809836324e+01,  2.6593940010385189e+00,  2.6151053026032289e-01, -1.2415815023644441e-02,  5.0702351162658104e+01, -2.3832538301056343e-04, -1.4999997155662299e+04,  8.7432517308024316e-02,  2.6503065740645231e+00, -1.1154174786103422e-03, -1.5182647011163799e+00, -4.0395913948325357e-01,  1.1988011988011989e+01,  2.7323873900889811e-01, -2.6756917550217465e+00, -1.3176427815838596e+00,  1.5000000000000011e+02,  0.0000000000000000e+00,  2.7440217571067325e+02,  1.2344782860273689e+02,  0.0000000000000000e+00,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3372994174670453e+02,  6.2677447079692916e-02,  2.9449500167977821e+01,  3.0710616280229743e+00,  3.2360542893317445e-01, -4.0910143837956858e-03,  5.7040151059851837e+01, -3.2987919684381413e-04, -1.4999996368008731e+04,  1.1606281667496100e-01,  2.6532370441664694e+00, -1.1941032150524270e-03, -1.5313021788057575e+00, -4.1096233889474876e-01,  1.3486513486513488e+01,  2.7323873900889811e-01, -1.3804913813779152e-01, -4.0143134405977454e-01,  1.5000000000000000e+02,  0.0000000000000000e+00,  2.3363387618949443e+02,  5.9977701189584870e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
