#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01, -1.5482858285580091e+01,  1.8587086332375987e-02,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.3718147499612283e+02, -2.0358377880655993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3373729449691336e+02, -5.7975847170217633e-04,  2.9274532373801300e+01,  8.2983442296175602e-02, -2.1106023476091685e-02, -3.0448480802351728e-03,  6.3377941237388953e+00, -4.9655312762553310e-06, -1.4999999992689227e+04,  3.7989096553117798e-04,  2.6446604571152208e+00, -1.4561725418496092e-05, -1.5467390894685407e-01,  3.8797761250893452e-02,  4.9950049950049946e-01,  2.7323873900889811e-01, -1.4298135633251807e+01, -8.3103112871699900e-02,  4.9999999999999993e+01,  0.0000000000000000e+00,  2.3718147499612283e+02, -2.0358377880655993e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3373703280729626e+02,  4.2891414486212476e-05,  2.9276239437535015e+01,  2.0160409044539296e-01, -2.9464634752645102e-02, -6.7427575884910999e-03,  1.2675586197578360e+01, -1.7657026990764086e-05, -1.4999999956767464e+04,  1.7734437296686289e-03,  2.6443982293189943e+00, -6.3081726364391664e-05, -2.8567703562940672e-01,  3.6951674217169418e-02,  9.9900099900099892e-01,  2.7323873900889811e-01, -1.2056935500792525e+01, -2.3883484539869740e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.1150679152222577e+02, -1.0819114971248906e+01,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3373659874216639e+02,  1.9367903733903101e-03,  2.9282009113299384e+01,  3.5234870259136758e-01, -2.9601556834425218e-02, -1.0977584707975939e-02,  1.9013376548440441e+01, -3.5683806607588099e-05, -1.4999999852055726e+04,  4.5083708059778672e-03,  2.6440991625625618e+00, -1.5121485288069035e-04, -3.9557172115050088e-01,  3.4025836267902496e-02,  1.4985014985014984e+00,  2.7323873900889811e-01, -1.0053855050141699e+01, -3.2789546309654632e-01,  4.9999999999999993e+01,  0.0000000000000000e+00,  1.8950991469806903e+02, -7.0108206918604212e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3373604968275288e+02,  5.1408984373217245e-03,  2.9289984571033969e+01,  5.3949058265069760e-01, -3.0767017713506154e-02, -1.5877380632176270e-02,  2.5351165181624207e+01, -5.8634351409258505e-05, -1.4999999642081189e+04,  8.9241581529812160e-03,  2.6438034322438932e+00, -2.8487385963006743e-04, -4.8655326040746266e-01,  3.0400316313142519e-02,  1.9980019980019978e+00,  2.7323873900889811e-01, -8.2572221449900969e+00, -4.0444773248393018e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.7017599291328153e+02, -8.3149436394937695e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3373559628364910e+02,  9.8657113751037112e-03,  2.9295954595297179e+01,  7.4945225247540870e-01, -3.5335652541869093e-02, -2.1825502039874684e-02,  3.1688951975952214e+01, -8.7486289575826218e-05, -1.4999999324910814e+04,  1.5348379993226755e-02,  2.6434730368985440e+00, -4.7238409698997682e-04, -5.6055118458686648e-01,  2.5944962491999794e-02,  2.4975024975024973e+00,  2.7323873900889811e-01, -6.6624658210943446e+00, -4.7360657112413879e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.4909422313064857e+02, -5.5306558562759287e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3373537907384946e+02,  1.6356224345024491e-02,  2.9298313292390066e+01,  9.6647042061762412e-01, -3.1775892904418179e-02, -2.8565519002785741e-02,  3.8026737280636034e+01, -1.2293771410117421e-04, -1.4999998928210196e+04,  2.3901184761442245e-02,  2.6431246213303519e+00, -7.2426726181845419e-04, -6.1966946062912787e-01,  2.0937647559413474e-02,  2.9970029970029968e+00,  2.7323873900889811e-01, -5.2737342847655286e+00, -4.8205585017318181e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.2892983044237999e+02,  3.8391101906574803e+00,  4.4497783235897244e-12,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3373532109752580e+02,  2.4737243125355197e-02,  2.9299335774407396e+01,  1.1769260444837044e+00, -1.0657675828262009e-02, -3.4971759535666849e-02,  4.4364522005842069e+01, -1.6494861743282296e-04, -1.4999998484151194e+04,  3.4610132564670340e-02,  2.6428970240993950e+00, -1.0428490136806662e-03, -6.6592050096579813e-01,  1.6313476974054102e-02,  3.4965034965034967e+00,  2.7323873900889811e-01, -4.0882471707406429e+00, -4.1036123254503071e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.0840468978540206e+02,  1.0514152258498362e+01, -8.8995566471794488e-12,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3373519835577042e+02,  3.5005507049230909e-02,  2.9301591164865489e+01,  1.3755223319427423e+00,  1.4861443432992893e-02, -4.1018516775658619e-02,  5.0702306747192623e+01, -2.1244568303380699e-04, -1.4999998012994954e+04,  4.7344177793320515e-02,  2.6429268683584328e+00, -1.4225693484412885e-03, -7.0135272078378608e-01,  1.2738621934138133e-02,  3.9960039960039957e+00,  2.7323873900889811e-01, -3.0865258427143170e+00, -3.3165191199249355e-01,  5.0000000000000021e+01,  0.0000000000000000e+00,  9.2139920085468844e+01,  5.2434537161196451e+00,  8.8995566471794601e-12,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3373488032125681e+02,  4.7132606892402090e-02,  2.9305683722260248e+01,  1.5699946288595734e+00,  3.0801840060492174e-02, -4.7474090175626982e-02,  5.7040090767482369e+01, -2.6346558064381406e-04, -1.4999997526302153e+04,  6.2041428058999336e-02,  2.6431625749072860e+00, -1.8643954515047733e-03, -7.2758934897207816e-01,  9.6870651460322556e-03,  4.4955044955044956e+00,  2.7323873900889811e-01, -2.2310157544953846e+00, -3.0980888589933514e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  7.9133199575961115e+01, -8.7047989226934264e-01,  0.0000000000000000e+00,  0.0000000000000000e+00
