#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277961e+02,  2.2655162823548954e-02,  2.9850264791017636e+01,  6.7631526337830783e-01,  8.8648634038057006e-02,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975069e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120804e-02, -2.6190755327597548e-01,  2.7433066213374896e-01,  1.9225622660162642e+01,  1.8744423168327862e-03, -1.4147880290839909e+00, -2.1729244852830565e-03, -5.2752224496255076e+02,  1.8881654389964198e-01, -8.4352946466344440e+02,  2.1853587289788479e-03
 1.0000000000000000e-02,  6.3371066957972539e+02,  2.6084883210803232e-02,  2.9850262835278219e+01,  6.3065310894021709e-01,  8.8694022678488027e-02,  5.0348846376840806e-01,  6.3439254964205407e+00, -5.1328694514284900e-02, -1.5000000000045560e+04,  1.0006818455156489e+01,  2.6563052996987482e+00,  5.1129078840890380e-03,  1.9753255804588710e-01,  4.2922257066289132e-02, -2.7605543356681539e-01,  2.7430893288889613e-01,  1.6588011435349888e+01,  2.8185250363309960e-03, -5.6324353524012132e+00, -2.1619976916381622e-03, -5.2752224496255076e+02,  1.8881654389964198e-01, -8.4352946466344440e+02,  2.1853587289788479e-03
 2.0000000000000000e-02,  6.3371066227958727e+02,  2.8789699201344561e-02,  2.9850260220725726e+01,  5.3702737724510352e-01,  8.8710211195669228e-02,  5.0563320192605965e-01,  1.2687855481801700e+01, -1.0209348304980666e-01, -1.5000000000404263e+04,  1.0012927239953894e+01,  2.6563019862068549e+00,  1.0240450039766870e-02,  3.3703656015125844e-01,  4.2959883143847424e-02, -3.7455626032399975e-01,  2.7428742217991620e-01,  1.1228344512039609e+01,  3.5032027656350250e-03, -1.6666863912549037e+01, -2.1401344450999731e-03, -5.4441113969950572e+02, -5.1880998038836300e-02, -1.3633562473661202e+03,  2.1872905786590744e-03
 2.9999999999999999e-02,  6.3371065015261638e+02,  3.0513144832159347e-02,  2.9850253860152346e+01,  4.1249466098343496e-01,  8.8697958551500020e-02,  5.0870195899173565e-01,  1.9031789844806276e+01, -1.5229586029805381e-01, -1.5000000001320248e+04,  1.0017932416955706e+01,  2.6562935890101627e+00,  1.5394095126866339e-02,  4.2209944828667922e-01,  4.2992321121601833e-02, -6.0939271181779608e-01,  2.7426613019999413e-01,  5.9452604717906059e+00,  1.9412308861870009e-03, -3.1017637502409222e+01, -2.1182466725028215e-03, -5.1220566835029456e+02, -2.6051337785076845e-01, -1.5067984706059171e+03,  2.1902639407711533e-03
 4.0000000000000001e-02,  6.3371063318653432e+02,  3.1141475018543478e-02,  2.9850239996461532e+01,  2.7347101884648584e-01,  8.8652623139925585e-02,  5.1220675922573122e-01,  2.5375728478515271e+01, -2.0193653837165770e-01, -1.5000000002914532e+04,  1.0021608396305268e+01,  2.6562787390695943e+00,  2.0580477758586107e-02,  4.5594176958707056e-01,  4.2998707761571164e-02, -9.9490901037218415e-01,  2.7424505724646614e-01,  1.1693929327333565e+00, -1.9277087260585741e-03, -4.3924646279831109e+01, -2.0963274122154370e-03, -4.4296783946115505e+02, -5.1327454459834643e-01, -1.0746032848784621e+03,  2.1935881167056684e-03
 5.0000000000000003e-02,  6.3371061181991115e+02,  3.0685784680622410e-02,  2.9850212195134436e+01,  1.3446440269260107e-01,  8.8556923841858939e-02,  5.1570346041378168e-01,  3.1719671281308067e+01, -2.5101548225988835e-01, -1.5000000005203134e+04,  1.0023884879672259e+01,  2.6562567932650696e+00,  2.5801582703582404e-02,  4.4548730694134636e-01,  4.2953766947080661e-02, -1.4878856374144185e+00,  2.7422420365174982e-01, -2.7934628859187605e+00, -8.8570710297806322e-03, -4.9648831352111713e+01, -2.0743850641075094e-03, -3.4960332426926823e+02, -8.7259791614606486e-01, -7.0233729577654529e+01,  2.1948815048800094e-03
 5.9999999999999998e-02,  6.3371058720884434e+02,  2.9251787534018168e-02,  2.9850161469947871e+01,  7.2079609109275810e-03,  8.8390911571046116e-02,  5.1883906030143456e-01,  3.8063618160592824e+01, -2.9953203836233538e-01, -1.5000000008130684e+04,  1.0024823139039734e+01,  2.6562276098326127e+00,  3.1055395428556034e-02,  4.0007251186869536e-01,  4.2821566340975552e-02, -1.9878856374144183e+00,  2.7420356954518399e-01, -5.7644493599943711e+00, -1.9651633443500471e-02, -4.9999999999999993e+01, -2.0524526264331651e-03, -2.4459397054585429e+02, -1.2863145665979037e+00, -4.4408920985006245e-12,  2.1916060299886899e-03
 7.0000000000000007e-02,  6.3371056092976107e+02,  2.7014052179809303e-02,  2.9850078050676270e+01, -9.9792823064132730e-02,  8.8142267035804522e-02,  5.2135769871700754e-01,  4.4407569036464572e+01, -3.4748512822705746e-01, -1.5000000011596843e+04,  1.0024585715462496e+01,  2.6561914103283448e+00,  3.6336890999273098e-02,  3.3019831974145891e-01,  4.2560734278210652e-02, -2.4878856374144185e+00,  2.7418315459922116e-01, -7.6823873758361980e+00, -3.4598023768328191e-02, -4.9999999999999979e+01, -2.0305815478960372e-03, -1.3899363262251100e+02, -1.7029634983676398e+00,  6.6613381477509360e-12,  2.1826096774368855e-03
 8.0000000000000002e-02,  6.3371053471928349e+02,  2.4193008362885224e-02,  2.9849951728283209e+01, -1.8135470239932627e-01,  8.7803564823700733e-02,  5.2309135724764089e-01,  5.0751523842949872e+01, -3.9487339380607034e-01, -1.5000000015471844e+04,  1.0023403450617291e+01,  2.6561486716970060e+00,  4.1638937618553834e-02,  2.4642476435197136e-01,  4.2129605865608988e-02, -2.9878856374144180e+00,  2.7416295791422607e-01, -8.5863307207570791e+00, -5.3563580305328345e-02, -5.0000000000000000e+01, -2.0088305627941070e-03, -4.1795036361664302e+01, -2.0901478090323855e+00, -4.4408920985006310e-12,  2.1675873429494196e-03
 8.9999999999999997e-02,  6.3371051032213484e+02,  2.1029179890744029e-02,  2.9849772291705222e+01, -2.3542029469594822e-01,  8.7371433438490062e-02,  5.2395668994894962e-01,  5.7095482527684013e+01, -4.4169532597818106e-01, -1.5000000019610288e+04,  1.0021543068585450e+01,  2.6561000138336968e+00,  4.6953160842004661e-02,  1.5847170532631741e-01,  4.1489462672104085e-02, -3.4878856374144180e+00,  2.7414297798796528e-01, -8.5931764041261935e+00, -7.6154246570785455e-02, -5.0000000000000014e+01, -1.9872584785085574e-03,  4.0425899687839809e+01, -2.4279854440590460e+00, -4.4408920985006245e-12,  2.1468295141602303e-03
 1.0000000000000001e-01,  6.3371048936826014e+02,  1.7760704252594590e-02,  2.9849529827012589e+01, -2.6263693792519233e-01,  8.6845556140696251e-02,  5.2394528772197180e-01,  6.3439445050493610e+01, -4.8794938067029436e-01, -1.5000000023863728e+04,  1.0019277905628320e+01,  2.6560460919734297e+00,  5.2270740848028893e-02,  7.4561236269447426e-02,  4.0606520934193278e-02, -3.9878856374144185e+00,  2.7412321274465590e-01, -7.8730396733198749e+00, -1.0183037392959524e-01, -4.9787311209647648e+01, -1.9659189372966952e-03,  1.0360144647342440e+02, -2.7072400277029076e+00,  4.2537758070477750e+01,  2.1210787282122104e-03
 1.1000000000000000e-01,  6.3371047328847465e+02,  1.4605406242103616e-02,  2.9849214887675632e+01, -2.6578885221991955e-01,  8.6227672077729259e-02,  5.2310943585543590e-01,  6.9783411381223843e+01, -5.3363407512555339e-01, -1.5000000028090966e+04,  1.0016863643545557e+01,  2.6559875031840194e+00,  5.7583088113846083e-02,  1.0109118599198848e-03,  3.9452855193512180e-02, -4.4836318616073711e+00,  2.7410365960921934e-01, -6.6248742789769963e+00, -1.2971367868455172e-01, -4.4231399971757554e+01, -1.9448547150663362e-03,  1.4603163239515237e+02, -2.8694209232883767e+00,  1.0686444895075476e+03,  2.0917657178598525e-03
 1.2000000000000000e-01,  6.3371046278058782e+02,  1.1743497066429121e-02,  2.9848822518310985e+01, -2.4916284690841692e-01,  8.5546383544476801e-02,  5.2155891611595140e-01,  7.6127381496237874e+01, -5.7874807344958723e-01, -1.5000000032158636e+04,  1.0014520118397558e+01,  2.6559247791798821e+00,  6.2882415119941401e-02, -5.7936249310092433e-02,  3.8012247360502245e-02, -4.8725136368495692e+00,  2.7408431565035457e-01, -5.0544297667923095e+00, -1.5672861364757412e-01, -3.0177839349529862e+01, -1.9240796568870118e-03,  1.6805727004178416e+02, -2.5335660693161222e+00,  1.7420676349379862e+03,  2.0632459180047738e-03
 1.3000000000000000e-01,  6.3371045666835937e+02,  9.3013092343975593e-03,  2.9848363370215107e+01, -2.1791175916364289e-01,  8.4899048104520758e-02,  5.1946359978310830e-01,  8.2471355368443625e+01, -6.2329032550380226e-01, -1.5000000035894433e+04,  1.0012419516207512e+01,  2.6558588222444568e+00,  6.8162449319214558e-02, -1.0007768347592633e-01,  3.6318282920560697e-02, -5.0871886485979685e+00,  2.7406517801608160e-01, -3.3557774580207926e+00, -1.7665807791671703e-01, -1.3039866670675547e+01, -1.9035631411840042e-03,  1.7167319171251842e+02, -1.4523267845124839e+00,  1.6855269008328714e+03,  2.0400572225964769e-03
 1.4000000000000001e-01,  6.3371045242299863e+02,  7.3539657017894942e-03,  2.9847862488929721e+01, -1.7745066508170423e-01,  8.4401531777700461e-02,  5.1701378402593923e-01,  8.8815332957257652e+01, -6.6726015859252541e-01, -1.5000000039044611e+04,  1.0010680809861626e+01,  2.6557912935354984e+00,  7.3418912976166026e-02, -1.2505179847050835e-01,  3.4479085802167901e-02, -5.1333109702630804e+00,  2.7404624438753089e-01, -1.6970845492290965e+00, -1.8273894953803196e-01,  3.0368069425651192e+00, -1.8832411479902120e-03,  1.6006539004582143e+02,  2.3615246024955042e-01,  1.5298078218152627e+03,  2.0243414161624806e-03
 1.4999999999999999e-01,  6.3371044677227087e+02,  5.9290692816647110e-03,  2.9847354801136195e+01, -1.3294679044692992e-01,  8.4153425035105006e-02,  5.1439840572127593e-01,  9.5159314204147989e+01, -7.1065728159229635e-01, -1.5000000041276768e+04,  1.0009369781408125e+01,  2.6557245939505418e+00,  7.8649600468799569e-02, -1.3401937446050824e-01,  3.2663503929800060e-02, -5.0264525097466661e+00,  2.7402751319312180e-01, -2.1121441227942167e-01, -1.7039061705296207e-01,  1.7174380313169699e+01, -1.8630360251514775e-03,  1.3710863734411370e+02,  2.2335140367644328e+00,  1.2977068523056548e+03,  2.0166831515844330e-03
 1.6000000000000000e-01,  6.3371043623964897e+02,  5.0123071865840006e-03,  2.9846879598897893e+01, -8.8927423201000444e-02,  8.4218027441708893e-02,  5.1179127395116819e-01,  1.0150329903164270e+02, -7.5348175360353975e-01, -1.5000000042210195e+04,  1.0008503557945682e+01,  2.6556616189359685e+00,  8.3854248190292524e-02, -1.2927608671609678e-01,  3.1071273461108662e-02, -4.7898233639996866e+00,  2.7400898366702786e-01,  1.0088662077094495e+00, -1.3832157644528004e-01,  2.8738065933696895e+01, -1.8428702337397445e-03,  1.0690748665366075e+02,  4.1802940847718917e+00,  1.0150302717997910e+03,  2.0164751307616378e-03
