#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277961e+02,  2.2655162823548954e-02,  2.9850264791017636e+01, -2.3684736621692244e-02,  1.9819719740114806e+01,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975069e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120804e-02, -2.6190755327597548e-01,  2.7433066213374896e-01, -3.5635685991479683e-02,  1.3564277072679999e+02, -1.2153894990232961e+02,  0.0000000000000000e+00, -5.7366674175840515e+00, -2.2878169771918292e+03,  1.0242874874854499e+04,  0.0000000000000000e+00
 1.0000000000000000e-02,  6.3360452368612505e+02,  2.1728762420728451e-02,  3.1985435176874351e+01, -2.4394076221874061e-02,  1.9572991439593050e+01,  5.0903018918955922e-01,  6.3439178416704349e+00, -5.1305799560751604e-02, -1.5000000140779177e+04,  1.0001644345051226e+01,  2.8495279643233857e+00,  3.9244425269067525e-02,  4.9199745843458830e-03,  1.3993312199111207e+00, -1.4772970522992717e+00,  2.7433066213374896e-01, -6.4319023079399948e-02,  1.2420368584084085e+02, -7.0324575528057110e+01,  0.0000000000000000e+00, -5.7366674175840515e+00, -2.2878169771918292e+03,  1.0242874874854499e+04,  0.0000000000000000e+00
 2.0000000000000000e-02,  6.3349239244413695e+02,  1.8814275247572135e-02,  3.4049747345321080e+01, -2.4759682258550159e-02,  1.9184827101944364e+01,  5.2228951938719348e-01,  1.2687808564815857e+01, -1.0196587138086843e-01, -1.5000000801453330e+04,  1.0003391588168197e+01,  3.0395818612386489e+00,  7.8046213884744503e-02,  3.9899509826726810e-03,  2.5269772294599377e+00, -1.6683990638371178e+00,  2.7433066213374896e-01, -9.7627670218687290e-02,  1.0269821070878746e+02, -1.1842438128448375e+01,  0.0000000000000000e+00, -9.2506201027341517e-01, -2.0132780492188504e+03,  1.4535526050672481e+03,  0.0000000000000000e+00
 2.9999999999999999e-02,  6.3337534459688948e+02,  1.3361673316516985e-02,  3.6033045818519440e+01, -2.4740961377461849e-02,  1.8681658561103436e+01,  5.4147320159130541e-01,  1.9031645422466895e+01, -1.5193017131537806e-01, -1.5000002308260286e+04,  1.0005231046960054e+01,  3.2251968609868737e+00,  1.1624313967897580e-01,  2.9674211799721375e-03,  3.4532954340868698e+00, -1.7141458148682391e+00,  2.7433066213374896e-01, -1.0039150827613071e-01,  8.3795175803676784e+01, -2.0458096595321273e+00,  0.0000000000000000e+00,  3.7229439878472786e-01, -1.7673289318032826e+03,  5.0577308871600167e+02,  0.0000000000000000e+00
 4.0000000000000001e-02,  6.3325458403846528e+02,  4.9872415770020658e-03,  3.7927558420670870e+01, -2.4297555770097571e-02,  1.8086713424044959e+01,  5.6509517780164353e-01,  2.5375400446423654e+01, -2.0115414328786754e-01, -1.5000004949572458e+04,  1.0007152120186733e+01,  3.4053483043227422e+00,  1.5370655495979724e-01,  1.9821208171500668e-03,  4.2028807455334736e+00, -1.7093152570277603e+00,  2.7433066213374896e-01, -9.2693643447133850e-02,  6.7225245773874065e+01,  1.7235107222703490e+00,  0.0000000000000000e+00,  1.1672785670146368e+00, -1.5466570741572598e+03,  2.4809098764449357e+02,  0.0000000000000000e+00
 5.0000000000000003e-02,  6.3313136656978816e+02, -6.5608959144426247e-03,  3.9727593304039736e+01, -2.3413288965662186e-02,  1.7420328603130674e+01,  5.9186333962958393e-01,  3.1719045946339950e+01, -2.4959756582878209e-01, -1.5000008979352300e+04,  1.0009144321729105e+01,  3.5792282260913444e+00,  1.9033176795347270e-01,  1.1135483110294600e-03,  4.7978003495643513e+00, -1.6796756004228321e+00,  2.7433066213374896e-01, -7.8292976940341694e-02,  5.2747030120379101e+01,  3.7105860741831647e+00,  0.0000000000000000e+00,  1.7128547343438005e+00, -1.3489860565417371e+03,  1.4932408273806936e+02,  0.0000000000000000e+00
 5.9999999999999998e-02,  6.3300693511584439e+02, -2.1423710231663770e-02,  4.1429263026539999e+01, -2.2092663494523272e-02,  1.6700226891273267e+01,  6.2067042079224788e-01,  3.8062555515122838e+01, -2.9722420222634138e-01, -1.5000014620407801e+04,  1.0011197411165877e+01,  3.7462179454336524e+00,  2.2603511133349252e-01,  4.1626127834323335e-04,  5.2578213479410554e+00, -1.6351035355440970e+00,  2.7433066213374896e-01, -5.9341359288049872e-02,  4.0141857303703027e+01,  4.9748905274408664e+00,  0.0000000000000000e+00,  2.0774687961145548e+00, -1.1720485067934744e+03,  1.0353680791347126e+02,  0.0000000000000000e+00
 7.0000000000000007e-02,  6.3288247280251653e+02, -3.9649146738168328e-02,  4.3030234388734847e+01, -2.0356631494883023e-02,  1.5941773242086315e+01,  6.5057589477210476e-01,  4.4405904665491136e+01, -3.4400149622176512e-01, -1.5000022067358206e+04,  1.0013301501318521e+01,  3.9058632934390283e+00,  2.6075139270124831e-01, -7.3278874731537677e-05,  5.6006374956384120e+00, -1.5801777898740148e+00,  2.7433066213374896e-01, -3.7468937191817278e-02,  2.9212644119444590e+01,  5.8905189635029878e+00,  0.0000000000000000e+00,  2.2970156231319625e+00, -1.0137941300582116e+03,  7.9588879298952932e+01,  0.0000000000000000e+00
 8.0000000000000002e-02,  6.3275907052990306e+02, -6.1207873708743074e-02,  4.4529502659238510e+01, -1.8238706655555829e-02,  1.5158211707990322e+01,  6.8078841429010595e-01,  5.0749071194168842e+01, -3.8990029280255767e-01, -1.5000031489338886e+04,  1.0015447143326222e+01,  4.0578522987470880e+00,  2.9443160167721300e-01, -3.3311746549311233e-04,  5.8420742303299473e+00, -1.5172931562740373e+00,  2.7433066213374896e-01, -1.3993292442409705e-02,  1.9781696371433821e+01,  6.6184614859979316e+00,  0.0000000000000000e+00,  2.3981133267495562e+00, -8.7239541954394633e+02,  6.5999625200035069e+01,  0.0000000000000000e+00
 8.9999999999999997e-02,  6.3263770617712532e+02, -8.6007201255744001e-02,  4.5927188727296958e+01, -1.5781561442518511e-02,  1.4360883943663882e+01,  7.1064951283889377e-01,  5.7092035348150233e+01, -4.3489457921202201e-01, -1.5000043032471664e+04,  1.0017625389943330e+01,  4.2019951443171379e+00,  3.2704084426919106e-01, -3.5314472357973162e-04,  5.9962714230670882e+00, -1.4478085601540562e+00,  2.7433066213374896e-01,  1.0013378056393060e-02,  1.1688599407211385e+01,  7.2376438626976833e+00,  0.0000000000000000e+00,  2.4032207730109971e+00, -7.4622397330053900e+02,  5.7836850139916216e+01,  0.0000000000000000e+00
 1.0000000000000001e-01,  6.3251923300023725e+02, -1.1390335504746829e-01,  4.7224357668818101e+01, -1.3034110925926832e-02,  1.3559430210304003e+01,  7.3961861621630942e-01,  6.3434779850284102e+01, -4.7896124363550169e-01, -1.5000056822123128e+04,  1.0019827838526268e+01,  4.3382062163594766e+00,  3.5855648430266124e-01, -1.3284990436525108e-04,  6.0758462184741751e+00, -1.3725402790200836e+00,  2.7433066213374896e-01,  3.3689433743945459e-02,  4.7883585731394165e+00,  7.7904729034750417e+00,  0.0000000000000000e+00,  2.3319903644994810e+00, -6.3382419351385420e+02,  5.2728958015555413e+01,  0.0000000000000000e+00
 1.1000000000000000e-01,  6.3240437516111058e+02, -1.4471225488033362e-01,  4.8422857193376387e+01, -1.0049050762663291e-02,  1.2761973831491911e+01,  7.6725931616657550e-01,  6.9777289827924548e+01, -5.2207984982766442e-01, -1.5000072964970264e+04,  1.0022046655881590e+01,  4.4664880756086509e+00,  3.8896647418208025e-01,  3.2064395129917774e-04,  6.0920385945298765e+00, -1.2919991020845554e+00,  2.7433066213374896e-01,  5.6357809442522708e-02, -1.0502102972975718e+00,  8.3012665045826424e+00,  0.0000000000000000e+00,  2.2016847752159614e+00, -5.3388958057354387e+02,  4.9429762205963677e+01,  0.0000000000000000e+00
 1.2000000000000000e-01,  6.3229372865840412e+02, -1.7821893304604625e-01,  4.9525174448747819e+01, -6.8808078566678817e-03,  1.1975290053418464e+01,  7.9322683902673830e-01,  7.6119552677787155e+01, -5.6423242636095317e-01, -1.5000091550890213e+04,  1.0024274587564589e+01,  4.5869171905647210e+00,  4.1826785875551203e-01,  9.9430628448520246e-04,  6.0548420125282236e+00, -1.2065149489284308e+00,  2.7433066213374896e-01,  7.7503014306643372e-02, -5.9458706719943235e+00,  8.7845844219619700e+00,  0.0000000000000000e+00,  2.0273561976081806e+00, -4.4524249436580709e+02,  4.7233821269903032e+01,  0.0000000000000000e+00
 1.3000000000000000e-01,  6.3218776622582425e+02, -2.1418571780283496e-01,  5.0534309690863211e+01, -3.5838606169613660e-03,  1.1204960253678752e+01,  8.1725663808896032e-01,  8.2461557891828036e+01, -6.0540326943500034e-01, -1.5000112654688864e+04,  1.0026504954368898e+01,  4.6996312817781858e+00,  4.4646543730916816e-01,  1.8707042374320453e-03,  5.9731211810899900e+00, -1.1163074136453159e+00,  2.7433066213374896e-01,  9.6749699049297380e-02, -1.0006169197130035e+01,  9.2493250741491320e+00,  0.0000000000000000e+00,  1.8219807509226320e+00, -3.6681721066133588e+02,  4.5714309167530416e+01,  0.0000000000000000e+00
 1.4000000000000001e-01,  6.3208684502076687e+02, -2.5235929930648215e-01,  5.1453665375733088e+01, -2.1138683601706613e-04,  1.0455512426245297e+01,  8.3915403822449086e-01,  8.8803296862458012e+01, -6.4557875836328504e-01, -1.5000136337681355e+04,  1.0028731638698309e+01,  4.8048181355881772e+00,  4.7357056985507090e-01,  2.9293002654711517e-03,  5.8547186285856228e+00, -1.0215284474454480e+00,  2.7433066213374896e-01,  1.1384260107702004e-01, -1.3328484488745358e+01,  9.7008773291801624e+00,  0.0000000000000000e+00,  1.5965996546218728e+00, -2.9764584766172527e+02,  4.4596141838673155e+01,  0.0000000000000000e+00
