#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3371067205277961e+02,  2.2655162823548954e-02,  2.9850264791017636e+01, -2.3684736621692244e-02,  2.2974523079730641e+01,  5.0275138655397644e-01,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  1.0000000000000000e+01,  2.6563057655975069e+00,  0.0000000000000000e+00,  5.2763314442606799e-03,  4.2903512643120804e-02, -2.6190755327597548e-01,  2.7433066213374896e-01, -4.6869478564392185e-02,  1.5721577218513559e+02, -1.2096323495452293e+02,  0.0000000000000000e+00, -5.8481314942361298e+00, -2.6562161693837197e+03,  1.0168546153962103e+04,  0.0000000000000000e+00
 9.9900099900099900e-03,  6.3358698454729415e+02,  2.1577981855350745e-02,  3.2324385657365525e+01, -2.4410448672322553e-02,  2.2688685524624688e+01,  5.0999325714019561e-01,  6.3375789733373527e+00, -5.1251297400827622e-02, -1.5000000162794693e+04,  1.0001916475171681e+01,  2.8801996669068326e+00,  4.4658664076722629e-02,  4.8081048851758429e-03,  1.6134906473597601e+00, -1.4703314788955852e+00,  2.7433066213374896e-01, -7.6080924589547683e-02,  1.4394795915125087e+02, -7.0171296123543385e+01,  0.0000000000000000e+00, -5.8481314942361298e+00, -2.6562161693837197e+03,  1.0168546153962103e+04,  0.0000000000000000e+00
 1.9980019980019980e-02,  6.3345499709335877e+02,  1.8197054463462651e-02,  3.4716488543950135e+01, -2.4763514590374659e-02,  2.2239097405370782e+01,  5.2534520147100638e-01,  1.2675125042227775e+01, -1.0184566019215163e-01, -1.5000000926372497e+04,  1.0003973719228153e+01,  3.1004271710154563e+00,  8.8807048925943335e-02,  3.7562330508631239e-03,  2.9189866125682133e+00, -1.6639314518482711e+00,  2.7433066213374896e-01, -1.1114594126275286e-01,  1.1901069665344392e+02, -1.2058358086933529e+01,  0.0000000000000000e+00, -1.1718848437395455e+00, -2.3362237826772407e+03,  1.4656640409671913e+03,  0.0000000000000000e+00
 2.9970029970029968e-02,  6.3331601289771584e+02,  1.1878860129536720e-02,  3.7014842399986314e+01, -2.4693087886015590e-02,  2.1656330890630446e+01,  5.4755967522957660e-01,  1.9012605613595611e+01, -1.5172539595712525e-01, -1.5000002667174838e+04,  1.0006157960680133e+01,  3.3155184367906561e+00,  1.3225794864497473e-01,  2.5874067580479139e-03,  3.9913267443316660e+00, -1.7112577143987526e+00,  2.7433066213374896e-01, -1.1545725122440992e-01,  9.7105464809257015e+01, -2.1792157278267492e+00,  0.0000000000000000e+00,  3.0876058941579854e-01, -2.0492036325289714e+03,  5.1214025932598622e+02,  0.0000000000000000e+00
 3.9960039960039960e-02,  6.3317154385446281e+02,  2.1802471355140754e-03,  3.9210461664301171e+01, -2.4148569449444508e-02,  2.0967254260146390e+01,  5.7491736187689058e-01,  2.5349986116111065e+01, -2.0083915106221420e-01, -1.5000005717669659e+04,  1.0008455237772846e+01,  3.5242878916360523e+00,  1.7486262726093382e-01,  1.4493948645612274e-03,  4.8591557396262957e+00, -1.7074722256310233e+00,  2.7433066213374896e-01, -1.0759288406914921e-01,  7.7916846604696403e+01,  1.6362011217943642e+00,  0.0000000000000000e+00,  1.2656857150673915e+00, -1.7923577320240604e+03,  2.5170619396816056e+02,  0.0000000000000000e+00
 4.9950049950049952e-02,  6.3302319255397481e+02, -1.1189805919951832e-02,  4.1296760011341370e+01, -2.3107591636526204e-02,  2.0195395285023437e+01,  6.0592314931799629e-01,  3.1687232033903278e+01, -2.4914059182932657e-01, -1.5000010370458855e+04,  1.0010851534179626e+01,  3.7258003944045885e+00,  2.1649995422194898e-01,  4.3769878463833877e-04,  5.5481068962736524e+00, -1.6785663832939701e+00,  2.7433066213374896e-01, -9.1592690069479288e-02,  6.1158111871461408e+01,  3.6506741377287582e+00,  0.0000000000000000e+00,  1.9375531236665373e+00, -1.5627409615695906e+03,  1.5159130382190492e+02,  0.0000000000000000e+00
 5.9940059940059937e-02,  6.3287256295730890e+02, -2.8394107251956964e-02,  4.3269234241624623e+01, -2.1572178016543916e-02,  1.9361260634204179e+01,  6.3929556067202065e-01,  3.8024310277216529e+01, -2.9658799088811605e-01, -1.5000016882114405e+04,  1.0013333011969891e+01,  3.9193395904304857e+00,  2.5707302745503002e-01, -3.8062891305074616e-04,  6.0810960367583915e+00, -1.6345316834186605e+00,  2.7433066213374896e-01, -6.9957155623740580e-02,  4.6571342671789047e+01,  4.9326326509542895e+00,  0.0000000000000000e+00,  2.3938808723703482e+00, -1.3575302322048124e+03,  1.0505679052584676e+02,  0.0000000000000000e+00
 6.9930069930069935e-02,  6.3272119523332321e+02, -4.9487859504694164e-02,  4.5125176963995813e+01, -1.9563867944726466e-02,  1.8482631826723225e+01,  6.7394585495856540e-01,  4.4361190058560680e+01, -3.4314386814065023e-01, -1.5000025476656543e+04,  1.0015886203588918e+01,  4.1043793093586958e+00,  2.9650623882973892e-01, -9.6004658246936537e-04,  6.4786032533523548e+00, -1.5800122843738045e+00,  2.7433066213374896e-01, -4.4641294557869020e-02,  3.3925282799258135e+01,  5.8602326338574668e+00,  0.0000000000000000e+00,  2.6743545130171369e+00, -1.1742109542758753e+03,  8.0648726051369351e+01,  0.0000000000000000e+00
 7.9920079920079920e-02,  6.3257052021713889e+02, -7.4436862199219883e-02,  4.6863416762619536e+01, -1.7119187482127950e-02,  1.7574838844725491e+01,  7.0895775078544354e-01,  5.0697843403662176e+01, -3.8877466291007812e-01, -1.5000036348713371e+04,  1.0018498165049071e+01,  4.2805577984528380e+00,  3.3474263700652274e-01, -1.2725628702509265e-03,  6.7589238649153973e+00, -1.5174441183066232e+00,  2.7433066213374896e-01, -1.7246733428835172e-02,  2.3012313854153849e+01,  6.5964988396833091e+00,  0.0000000000000000e+00,  2.8100366250154440e+00, -1.0105654285340072e+03,  6.6751768354963247e+01,  0.0000000000000000e+00
 8.9910089910089905e-02,  6.3242182962849711e+02, -1.0313361852041444e-01,  4.8484084372719551e+01, -1.4285667431601560e-02,  1.6651012456826244e+01,  7.4356860595413410e-01,  5.7034245396774445e+01, -4.3345043125866378e-01, -1.5000049666396777e+04,  1.0021156592416608e+01,  4.4476545759272019e+00,  3.7174155301061473e-01, -1.3046366609675705e-03,  6.9383897439448390e+00, -1.4482141057587534e+00,  2.7433066213374896e-01,  1.0914592636653217e-02,  1.3645676112875719e+01,  7.2214811057872383e+00,  0.0000000000000000e+00,  2.8278608532953320e+00, -8.6463544726987186e+02,  5.8369681319044425e+01,  0.0000000000000000e+00
 9.9900099900099903e-02,  6.3227625877014782e+02, -1.3541154645041484e-01,  4.9988403275337262e+01, -1.1118420956078401e-02,  1.5722316335677117e+01,  7.7715210874671181e-01,  6.3370374236781466e+01, -4.7714456513970621e-01, -1.5000065573924006e+04,  1.0023849904575640e+01,  4.6055696978403802e+00,  4.0747646456880759e-01, -1.0544890912968163e-03,  7.0315647462915356e+00, -1.3731587815276574e+00,  2.7433066213374896e-01,  3.8784612818731024e-02,  5.6570631740523600e+00,  7.7782607396902481e+00,  0.0000000000000000e+00,  2.7517171871566433e+00, -7.3468486308256433e+02,  5.3097601388338219e+01,  0.0000000000000000e+00
 1.0989010989010989e-01,  6.3213477893591812e+02, -1.7105746182167850e-01,  5.1378503057263842e+01, -7.6772475566012285e-03,  1.4798160071785039e+01,  8.0920242555856459e-01,  6.9706211162438052e+01, -5.1983353103504770e-01, -1.5000084194009809e+04,  1.0026567296078198e+01,  4.7543052427148655e+00,  4.4193307827799028e-01, -5.2971932193198541e-04,  7.0514179791906404e+00, -1.2928043007699372e+00,  2.7433066213374896e-01,  6.5530138944826510e-02, -1.1054327323702484e+00,  8.2915889629435018e+00,  0.0000000000000000e+00,  2.6027371432876656e+00, -6.1916681738324212e+02,  4.9670708906961877e+01,  0.0000000000000000e+00
 1.1988011988011987e-01,  6.3199819720671678e+02, -2.0982248635812489e-01,  5.2657253859432799e+01, -4.0242173418230292e-03,  1.3886394187320082e+01,  8.3931972729802407e-01,  7.6041740290923912e+01, -5.6149662627675623e-01, -1.5000105630050517e+04,  1.0029298764348191e+01,  4.8939488289739845e+00,  4.7510761055754708e-01,  2.5480439411430220e-04,  7.0094781782122100e+00, -1.2074926683819331e+00,  2.7433066213374896e-01,  9.0515895236079044e-02, -6.7790738693535104e+00,  8.7763199160321914e+00,  0.0000000000000000e+00,  2.3994112662210947e+00, -5.1669613824080739e+02,  4.7372427901393912e+01,  0.0000000000000000e+00
 1.2987012987012986e-01,  6.3186716170702391e+02, -2.5143152416537207e-01,  5.3828120247643106e+01, -2.2168662167172258e-04,  1.2993488242746807e+01,  8.6719701218431222e-01,  8.2376948402805880e+01, -6.0211575160983521e-01, -1.5000129968118510e+04,  1.0032035115621532e+01,  5.0246589912111084e+00,  5.0700524991276807e-01,  1.2787900733942684e-03,  6.9159719478349260e+00, -1.1174532534965669e+00,  2.7433066213374896e-01,  1.1327870711043772e-01, -1.1487977871275351e+01,  9.2415612875203514e+00,  0.0000000000000000e+00,  2.1577036710255397e+00, -4.2602644294394770e+02,  4.5768894670538174e+01,  0.0000000000000000e+00
 1.3986013986013987e-01,  6.3174217073925786e+02, -2.9559144184029063e-01,  5.4895032876410610e+01,  3.6693033936611380e-03,  1.2124693108811520e+01,  8.9260814245100062e-01,  8.8711824697855278e+01, -6.4167519880441071e-01, -1.5000157278783287e+04,  1.0034767953861239e+01,  5.1466522520868567e+00,  5.3763878445326596e-01,  2.5181152254916813e-03,  6.7799481508141008e+00, -1.0228460892106972e+00,  2.7433066213374896e-01,  1.3350300106045179e-01, -1.5344410025276948e+01,  9.6928562462840784e+00,  0.0000000000000000e+00,  1.8911999777672717e+00, -3.4603127428717130e+02,  4.4580356073961212e+01,  0.0000000000000000e+00
