#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0981404984005853e+02,  0.0000000000000000e+00,  6.3933135168816344e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  0.0000000000000000e+00,  3.3319675594464599e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -2.8200868703032920e+00,  0.0000000000000000e+00,  1.9638090788887572e-01, -9.4032639631400938e-01, -5.9247102408299668e-02,  4.5632967568606455e+00, -6.1709304333135151e-09, -4.6755530506359939e+01,  1.1341048189272840e+00,  2.2626505677062050e+02, -3.1211219719828875e-06
 1.0000000000000000e-02,  1.0981404955539102e+02, -1.2874457801934287e-05,  6.3933196824954868e+00,  1.6885926039661620e-02,  3.1976031231201413e-04,  1.0210647264472916e-03,  1.1000000002584494e+00, -4.2936985612238307e-08, -4.5999999999859856e+03,  5.7473156604761619e-05,  3.3319686479196173e+00,  3.4291287334828946e-06, -9.4032639631400940e-03, -2.8206793413273750e+00,  4.5632967568606457e-02,  1.9638090782716641e-01, -1.1741040488458090e+00, -5.3576578313663248e-02,  5.6946220407137478e+00, -2.1776540293227953e-08, -4.6755530506359939e+01,  1.1341048189272840e+00,  2.2626505677062050e+02, -3.1211219719828875e-06
 2.0000000000000000e-02,  1.0981404833614802e+02, -6.2494477317832952e-05,  6.3933436358978524e+00,  7.6052332728878250e-02,  1.1757120863334532e-03,  4.8333297019132809e-03,  2.2000000018278927e+00, -3.7126993889104113e-07, -4.5999999998973562e+03,  4.8674348981028747e-04,  3.3319757419840985e+00,  3.0155785780934134e-05, -2.3482080976916182e-02, -2.8211584018695652e+00,  1.1389244081427496e-01,  1.9638090745334491e-01, -1.5873842954987951e+00, -4.3002094985866719e-02,  7.6594339180995519e+00, -5.9817684139318330e-08, -3.5900518824237260e+01,  9.8079184663202346e-01,  1.6669731870654013e+02, -4.4871067972351869e-06
 2.9999999999999999e-02,  1.0981404574459278e+02, -1.6835995675007921e-04,  6.3933913678712067e+00,  1.8778242831558112e-01,  2.4245591894572175e-03,  1.2476609849475937e-02,  3.3000000052930489e+00, -1.3686698039644825e-06, -4.5999999996857114e+03,  1.7661523225429355e-03,  3.3319934724744416e+00,  1.1342879853000037e-04, -4.1150949873115995e-02, -2.8215393832270923e+00,  1.9882164593059748e-01,  1.9638090663081273e-01, -2.0394353048615024e+00, -3.4967205810287894e-02,  9.7216522843299540e+00, -9.9698917177537538e-08, -5.4509683048304183e+01,  6.2618598848374063e-01,  2.4574635453954050e+02, -3.4891398104086591e-06
 4.0000000000000001e-02,  1.0981404148017839e+02, -3.5201566539286338e-04,  6.3934661804716217e+00,  3.5689136968077595e-01,  3.9329014581484514e-03,  2.4698103922388210e-02,  4.4000000102517678e+00, -3.4753142002081620e-06, -4.5999999993318597e+03,  4.4484812997431251e-03,  3.3320250817808339e+00,  2.9541583710882750e-04, -6.4270787074146227e-02, -2.8218577459857710e+00,  3.0832548650087405e-01,  1.9638090545936657e-01, -2.5230370216932547e+00, -2.9342122481823545e-02,  1.1830562029446831e+01, -1.1583645015411645e-07, -4.2210660318046429e+01,  4.9883067720912755e-01,  1.7603559448383535e+02,  2.6163321509287119e-07
 5.0000000000000003e-02,  1.0981403535205324e+02, -6.4432613869589415e-04,  6.3935692192705380e+00,  5.9380774146996862e-01,  5.5903897114077915e-03,  4.2563898755883005e-02,  5.5000000151439963e+00, -7.1582385144714510e-06, -4.5999999988452028e+03,  9.1653563811751014e-03,  3.3320725849452306e+00,  6.2744654817202777e-04, -9.1611690306981103e-02, -2.8221262256767288e+00,  4.3543288651953416e-01,  1.9638090431408373e-01, -2.8975908390613685e+00, -2.4734643713908436e-02,  1.3302297757772696e+01, -7.9094661376011301e-08, -3.2700103155576130e+01,  4.2266507637389611e-01,  1.1831155118133655e+02,  7.0867245405281690e-06
 5.9999999999999998e-02,  1.0981402727325346e+02, -1.0767855661729879e-03,  6.3936996144021654e+00,  9.0296934058031875e-01,  7.2894900101617456e-03,  6.6795413677884968e-02,  6.6000000171075364e+00, -1.2870804175105613e-05, -4.5999999982628051e+03,  1.6621529620977071e-02,  3.3321368752400109e+00,  1.1697673650670193e-03, -1.2222260385537359e-01, -2.8223524388600492e+00,  5.7437144165632792e-01,  1.9638090387747334e-01, -3.3128359952992215e+00, -2.2698314917968251e-02,  1.4845440877421193e+01,  4.2349254658624596e-08, -5.0348928091994679e+01, -1.5399317185860177e-02,  1.9031707274836376e+02,  1.7202058666399005e-05
 7.0000000000000007e-02,  1.0981401725950565e+02, -1.6815237542160181e-03,  6.3938545911732243e+00,  1.2847737404891677e+00,  8.9245711100166061e-03,  9.7827045772083468e-02,  7.7000000118779495e+00, -2.0971926407263341e-05, -4.5999999976486706e+03,  2.7545096933019649e-02,  3.3322177212588020e+00,  1.9883823798235709e-03, -1.5786841021296555e-01, -2.8225801919750881e+00,  7.3234170406795807e-01,  1.9638090516106882e-01, -3.7589913201523335e+00, -2.2935834795556605e-02,  1.6416066491503663e+01,  2.8216220054888547e-07, -3.8882136878627662e+01, -3.2104658331810740e-02,  1.2380805006813040e+02,  3.0760530511653159e-05
 8.0000000000000002e-02,  1.0981400539786772e+02, -2.4971608855523788e-03,  6.3940299820697586e+00,  1.7456258374715738e+00,  1.0411291000840640e-02,  1.3638197290311718e-01,  8.7999999937146729e+00, -3.1685072715143842e-05, -4.5999999970913577e+03,  4.2700677387530250e-02,  3.3323138532795871e+00,  3.1551666800083856e-03, -1.9740243025842028e-01, -2.8228111555559603e+00,  9.0269277148640126e-01,  1.9638090952071735e-01, -4.1043186477168598e+00, -2.3142578299872884e-02,  1.7387474696990211e+01,  6.7528529296145866e-07, -3.0183328634277061e+01, -9.2440425314421863e-03,  7.0473591029176575e+01,  4.7864087970861438e-05
 8.9999999999999997e-02,  1.0981399185537740e+02, -3.5600681965084215e-03,  6.3942201753126726e+00,  2.2868842911519245e+00,  1.1661305257645242e-02,  1.8285612553288227e-01,  9.8999999553492763e+00, -4.5049715940416593e-05, -4.5999999967016065e+03,  6.2890576444630877e-02,  3.3324229896410786e+00,  4.7475647594287301e-03, -2.3995478316730270e-01, -2.8230430435410856e+00,  1.0800911980077621e+00,  1.9638091866677468e-01, -4.4833345229236796e+00, -2.5643772564443165e-02,  1.8406033340754565e+01,  1.2569025750752692e-06, -4.5619846407087529e+01, -4.9099481038261650e-01,  1.3323813772369681e+02,  6.8459368451900788e-05
 1.0000000000000001e-01,  1.0981397688255299e+02, -4.9040785452112009e-03,  6.3944181508536637e+00,  2.9066461886963610e+00,  1.2584593878973307e-02,  2.3738244672002165e-01,  1.0999999887999952e+01, -6.0837865963940760e-05, -4.5999999966105261e+03,  8.8913591482212895e-02,  3.3325417472509420e+00,  6.8456386372230680e-03, -2.8706912071689389e-01, -2.8233240310072492e+00,  1.2708134383014926e+00,  1.9638093465876885e-01, -4.8862020439055964e+00, -3.0038420238609469e-02,  1.9435530895004657e+01,  2.0616544638141217e-06, -3.4953657789295860e+01, -3.8793472445064464e-01,  7.2661373126321450e+01,  9.2491009295869690e-05
 1.1000000000000000e-01,  1.0981396077649011e+02, -6.5654655704228239e-03,  6.3946159870055279e+00,  3.6086217783495957e+00,  1.3111547568062898e-02,  3.0034815113445518e-01,  1.2099999781385414e+01, -7.8508530389394176e-05, -4.5999999969658047e+03,  1.2157972417705566e-01,  3.3326656685974609e+00,  9.5321152616520237e-03, -3.3767882404541466e-01, -2.8236438119458578e+00,  1.4688018159078553e+00,  1.9638095989986395e-01, -5.2286024317451574e+00, -3.4292579385697422e-02,  2.0081586682842101e+01,  3.1233223160564999e-06, -3.3526419778615626e+01, -4.6289710496694220e-01,  5.6549784441164491e+01,  1.1984256115260562e-04
 1.2000000000000000e-01,  1.0981394390031974e+02, -8.5750113453774042e-03,  6.3948047319420418e+00,  4.3921823913111453e+00,  1.3166796554473632e-02,  3.7184654017425456e-01,  1.3199999623766699e+01, -9.7157038078795764e-05, -4.5999999979279428e+03,  1.6171327387883172e-01,  3.3327891949981447e+00,  1.2892087354829308e-02, -3.9164116935179699e-01, -2.8240098825949631e+00,  1.6724451719583344e+00,  1.9638099712521517e-01, -5.5558599500957389e+00, -3.9169182494047654e-02,  2.0568706990271298e+01,  4.4736832641167892e-06, -3.1925083891501380e+01, -5.1242351670310859e-01,  4.0874277044677925e+01,  1.5022962845945279e-04
 1.3000000000000000e-01,  1.0981392667395622e+02, -1.0959491676230762e-02,  6.3949745707480536e+00,  5.2562641401819663e+00,  1.2679856403952491e-02,  4.5187905910641224e-01,  1.4299999402056239e+01, -1.1544381364911546e-04, -4.5999999996666675e+03,  2.1013010141762584e-01,  3.3329055676503572e+00,  1.7011107998991751e-02, -4.4879602304732946e-01, -2.8244271955957387e+00,  1.8801759557132813e+00,  1.9638104937352924e-01, -5.8662905352781767e+00, -4.4411106178188178e-02,  2.0901582989257733e+01,  6.1413844190671923e-06, -3.0161033144986916e+01, -5.3596122012500202e-01,  2.5700922752611664e+01,  1.8331060253062826e-04
