#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  1.0982150417552323e+02,  0.0000000000000000e+00,  6.2639620549244777e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -4.6000000000000000e+03,  0.0000000000000000e+00,  3.2644803803296765e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -3.4069905424527702e+00,  0.0000000000000000e+00,  1.9260028480384875e-01, -2.6969078633169052e-01, -2.1663018871582729e-01,  8.1973414850664261e-01, -6.3249794290953787e-09, -2.7448523777016632e+01,  6.2826653008185573e+00,  8.3166285638085270e+01, -2.4655150143715332e-06
 1.0000000000000000e-02,  1.0982150290454284e+02, -1.6749577218430276e-06,  6.2639856518817130e+00,  4.3036606057845362e-03,  1.1534394553801698e-03,  1.7434315656781837e-04,  1.1000000002790882e+00, -7.2780446393408076e-09, -4.5999999999445381e+03,  1.4538338142018972e-05,  3.2644843388838729e+00,  5.8800709453883443e-07, -2.6969078633169055e-03, -3.4091568443399285e+00,  8.1973414850664266e-03,  1.9260028474059895e-01, -4.0693340521677368e-01, -1.8521686221173450e-01,  1.2355655766970690e+00, -1.8652554500953045e-08, -2.7448523777016632e+01,  6.2826653008185573e+00,  8.3166285638085270e+01, -2.4655150143715332e-06
 2.0000000000000000e-02,  1.0982149799830549e+02, -9.2744614489541612e-06,  6.2640736451686116e+00,  2.4315305221115323e-02,  4.1322746428152949e-03,  1.0832020107272549e-03,  2.2000000016497623e+00, -7.4660351289573841e-08, -4.5999999995996395e+03,  1.4226802637239922e-04,  3.2645095710979724e+00,  6.1365604570210088e-06, -8.1386681043354742e-03, -3.4106948796970049e+00,  2.4711311533941380e-02,  1.9260028443079766e-01, -5.6981829502679182e-01, -1.2042304980777187e-01,  1.6233269300906079e+00, -3.5525984931616967e-08, -5.1284541849869862e+00,  6.6760971799739748e+00, -5.6140149593775419e+00, -9.0917107176125032e-07
 2.9999999999999999e-02,  1.0982148844361387e+02, -1.9185849834873209e-05,  6.2642399245447908e+00,  6.2784444820469673e-02,  8.1726891344289943e-03,  2.8346295933585654e-03,  3.3000000034336257e+00, -2.9754980647082152e-07, -4.5999999987971150e+03,  5.6419004246269450e-04,  3.2645705280272379e+00,  2.5098515871809852e-05, -1.4093273763852741e-02, -3.4115653053360839e+00,  4.0663880086878580e-02,  1.9260028403007926e-01, -7.6499938184069738e-01, -5.5927567632774178e-02,  2.0917429171679616e+00, -9.5713673098352103e-09, -3.3907763177794138e+01,  6.2229992550255631e+00,  9.9297212374848286e+01,  6.1000945961176001e-06
 4.0000000000000001e-02,  1.0982147401324046e+02, -2.7311347868040532e-05,  6.2644839684117937e+00,  1.2394924157283840e-01,  1.2542793124525687e-02,  5.6401079791319536e-03,  4.4000000025377481e+00, -7.5863053245683317e-07, -4.5999999975080718e+03,  1.4773674311324161e-03,  3.2646741024987587e+00,  6.6450347657085414e-05, -2.3438655741149422e-02, -3.4118134310496604e+00,  6.6546169877300609e-02,  1.9260028423937031e-01, -9.8222677237454570e-01,  8.1389845534296501e-04,  2.6195079168688351e+00,  1.1544050576572926e-07, -9.5377149289755483e+00,  5.1252939625978629e+00,  6.2557875653265036e+00,  1.8902280018995289e-05
 5.0000000000000003e-02,  1.0982145512577520e+02, -2.6985266874893864e-05,  6.2647939655631859e+00,  2.1142655576193242e-01,  1.6621896105755377e-02,  9.6708852817511421e-03,  5.4999999932858890e+00, -1.5475113107835164e-06, -4.5999999958334647e+03,  3.1380431219533160e-03,  3.2648203712975379e+00,  1.4217895918596326e-04, -3.3737809211343658e-02, -3.4115490273669771e+00,  9.3054038424255289e-02,  1.9260028633888937e-01, -1.1640922036224461e+00,  4.4711421236254274e-02,  3.0048265439091217e+00,  3.9520049455177292e-07, -2.6835371320604466e+01,  3.6542105935843963e+00,  7.0807937842730681e+01,  3.7049717738213430e-05
 5.9999999999999998e-02,  1.0982143265855777e+02, -1.0965685309473297e-05,  6.2651506057238970e+00,  3.2936566451639365e-01,  1.9951295297540864e-02,  1.5180639494852701e-02,  6.5999999675985768e+00, -2.7216727667996341e-06, -4.5999999939799545e+03,  5.8223397042237498e-03,  3.2650039805215094e+00,  2.6532726130522067e-04, -4.6720499813598340e-02, -3.4109192026249353e+00,  1.2664270075548303e-01,  1.9260029214338020e-01, -1.3375628820871885e+00,  7.3286867446431522e-02,  3.3579780445837981e+00,  8.7825263728191750e-07, -7.8587643723441287e+00,  2.0608786484510579e+00, -1.7763770779513624e-01,  5.9560710807815526e-05
 7.0000000000000007e-02,  1.0982140774541823e+02,  3.2538258856797385e-05,  6.2655310123246828e+00,  4.7749527533833525e-01,  2.2254780780454213e-02,  2.2173008286944958e-02,  7.6999999154070746e+00, -4.3066929639429363e-06, -4.5999999922276911e+03,  9.8440536783886579e-03,  3.2652158916321761e+00,  4.5127346283890015e-04, -6.0489066853087435e-02, -3.4100832900180484e+00,  1.6021359931593127e-01,  1.9260030390394212e-01, -1.5005666654634164e+00,  8.6304801053316268e-02,  3.6754126133704665e+00,  1.6014550130449832e-06, -2.4741992302901433e+01,  5.4270807292589018e-01,  6.3664551465128753e+01,  8.5079764344797541e-05
 8.0000000000000002e-02,  1.0982138158536090e+02,  1.1369693549194222e-04,  6.2659122196996986e+00,  6.5854302799254227e-01,  2.3434574319990326e-02,  3.0856232965839073e-02,  8.7999998252416649e+00, -6.2498924515209260e-06, -4.5999999908948184e+03,  1.5511084976635243e-02,  3.2654452004474006e+00,  7.1541608279479443e-04, -7.6731833122866674e-02, -3.4091931066038690e+00,  2.0015095302289237e-01,  1.9260032417248046e-01, -1.6316900527013085e+00,  8.5487563181452272e-02,  3.8767823062032765e+00,  2.5879049153632052e-06, -1.4826851446767695e+00, -7.0615564729870151e-01, -2.3390612898567277e+01,  1.1221021611884664e-04
 8.9999999999999997e-02,  1.0982135528398931e+02,  2.4663028090347812e-04,  6.2662740274539539e+00,  8.7108111624477791e-01,  2.3546163433196866e-02,  4.1196069802585139e-02,  9.8999996848335723e+00, -8.4267381730632924e-06, -4.5999999903044054e+03,  2.3155805112583569e-02,  3.2656808051698931e+00,  1.0750560563768572e-03, -9.3122867907113591e-02, -3.4083735387544194e+00,  2.3774924543999676e-01,  1.9260035566204042e-01, -1.7801064184714710e+00,  7.3708302281816337e-02,  4.1476757392274344e+00,  3.8466650961743723e-06, -2.8200588009355947e+01, -1.6496965326284745e+00,  7.7569299503399378e+01,  1.3954182004338728e-04
