   Time[sec]         Fxb               Fyb               Fzb               Mxb               Myb               Mzb           
   1.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.566995919E-10   0.000000000E+00
   2.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.530616131E-10   0.000000000E+00
   3.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.421476766E-10   0.000000000E+00
   4.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.421476766E-10   0.000000000E+00
   5.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.385096978E-10   0.000000000E+00
   6.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.312337402E-10   0.000000000E+00
   7.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.239577826E-10   0.000000000E+00
   8.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.275957614E-10   0.000000000E+00
   9.000000000E-02   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.203198038E-10   0.000000000E+00
   1.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.166818250E-10   0.000000000E+00
   1.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.130438462E-10   0.000000000E+00
   1.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.021299098E-10   0.000000000E+00
   1.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -7.021299098E-10   0.000000000E+00
   1.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.948539522E-10   0.000000000E+00
   1.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.912159733E-10   0.000000000E+00
   1.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.839400157E-10   0.000000000E+00
   1.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.803020369E-10   0.000000000E+00
   1.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.730260793E-10   0.000000000E+00
   1.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.693881005E-10   0.000000000E+00
   2.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.621121429E-10   0.000000000E+00
   2.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.584741641E-10   0.000000000E+00
   2.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.511982065E-10   0.000000000E+00
   2.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.439222489E-10   0.000000000E+00
   2.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.330083124E-10   0.000000000E+00
   2.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.293703336E-10   0.000000000E+00
   2.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.184563972E-10   0.000000000E+00
   2.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.111804396E-10   0.000000000E+00
   2.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.075424608E-10   0.000000000E+00
   2.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -6.002665032E-10   0.000000000E+00
   3.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.966285244E-10   0.000000000E+00
   3.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.893525667E-10   0.000000000E+00
   3.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.820766091E-10   0.000000000E+00
   3.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.748006515E-10   0.000000000E+00
   3.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.675246939E-10   0.000000000E+00
   3.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.566107575E-10   0.000000000E+00
   3.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.493347999E-10   0.000000000E+00
   3.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.456968211E-10   0.000000000E+00
   3.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.347828846E-10   0.000000000E+00
   3.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.275069270E-10   0.000000000E+00
   4.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.238689482E-10   0.000000000E+00
   4.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.129550118E-10   0.000000000E+00
   4.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -5.056790542E-10   0.000000000E+00
   4.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.984030966E-10   0.000000000E+00
   4.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.911271390E-10   0.000000000E+00
   4.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.802132025E-10   0.000000000E+00
   4.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.729372449E-10   0.000000000E+00
   4.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.656612873E-10   0.000000000E+00
   4.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.547473509E-10   0.000000000E+00
   4.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.511093721E-10   0.000000000E+00
   5.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.438334145E-10   0.000000000E+00
   5.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.329194780E-10   0.000000000E+00
   5.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.256435204E-10   0.000000000E+00
   5.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.147295840E-10   0.000000000E+00
   5.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.110916052E-10   0.000000000E+00
   5.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -4.038156476E-10   0.000000000E+00
   5.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.892637324E-10   0.000000000E+00
   5.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.819877747E-10   0.000000000E+00
   5.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.747118171E-10   0.000000000E+00
   5.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.674358595E-10   0.000000000E+00
   6.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.601599019E-10   0.000000000E+00
   6.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.528839443E-10   0.000000000E+00
   6.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.492459655E-10   0.000000000E+00
   6.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.383320291E-10   0.000000000E+00
   6.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.310560714E-10   0.000000000E+00
   6.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.237801138E-10   0.000000000E+00
   6.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.165041562E-10   0.000000000E+00
   6.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -3.092281986E-10   0.000000000E+00
   6.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.946762834E-10   0.000000000E+00
   6.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.946762834E-10   0.000000000E+00
   7.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.874003258E-10   0.000000000E+00
   7.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.728484105E-10   0.000000000E+00
   7.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.692104317E-10   0.000000000E+00
   7.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.546585165E-10   0.000000000E+00
   7.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.546585165E-10   0.000000000E+00
   7.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.437445801E-10   0.000000000E+00
   7.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.437445801E-10   0.000000000E+00
   7.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.328306437E-10   0.000000000E+00
   7.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.255546860E-10   0.000000000E+00
   7.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.182787284E-10   0.000000000E+00
   8.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.182787284E-10   0.000000000E+00
   8.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.037268132E-10   0.000000000E+00
   8.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -2.000888344E-10   0.000000000E+00
   8.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.928128768E-10   0.000000000E+00
   8.400000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.891748980E-10   0.000000000E+00
   8.500000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.818989404E-10   0.000000000E+00
   8.600000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.746229827E-10   0.000000000E+00
   8.700000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.709850039E-10   0.000000000E+00
   8.800000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.637090463E-10   0.000000000E+00
   8.900000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.564330887E-10   0.000000000E+00
   9.000000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.491571311E-10   0.000000000E+00
   9.100000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.455191523E-10   0.000000000E+00
   9.200000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.382431947E-10   0.000000000E+00
   9.300000000E-01   1.141914889E+03   0.000000000E+00  -2.046817115E+04   0.000000000E+00  -1.346052159E-10   0.000000000E+00
