   Time[sec]         u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             alpha[deg]        beta[deg]         phi[deg]          psi[deg]          eo                e1            
   1.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.362270346E-16   0.000000000E+00   6.340000000E+00   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   2.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -2.712590951E-16   0.000000000E+00   1.268000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   3.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -4.048789137E-16   0.000000000E+00   1.902000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   4.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -5.383900983E-16   0.000000000E+00   2.536000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   5.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -6.708149429E-16   0.000000000E+00   3.170000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   6.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -8.029138855E-16   0.000000000E+00   3.804000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   7.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -9.332746841E-16   0.000000000E+00   4.438000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   8.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.063635483E-15   0.000000000E+00   5.072000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   9.000000000E-02   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.192801307E-15   0.000000000E+00   5.706000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.000000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.321423962E-15   0.000000000E+00   6.340000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.100000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.449394813E-15   0.000000000E+00   6.974000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.200000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.576387957E-15   0.000000000E+00   7.608000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.300000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.702186128E-15   0.000000000E+00   8.242000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.400000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.827332495E-15   0.000000000E+00   8.876000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
   1.500000000E-01   6.330156347E+02   0.000000000E+00   3.531580681E+01   0.000000000E+00  -1.951283887E-15   0.000000000E+00   9.510000000E+01   0.000000000E+00  -1.500000000E+04   3.193209070E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   9.996117680E-01   0.000000000E+00
